school_name,qr_4_1,dates_of_review,iep,survey_pp_sf,ell,survey_pp_es,school_type
Longwood Preparatory Academy,Well Developed,2018-05-01T00:00:00.000,0.305,0.96,0.159,0.96,High School
New World High School,Proficient,2019-02-01T00:00:00.000,0.066,0.87,0.63,0.93,High School
The Bronxwood Preparatory Academy,Well Developed,2017-11-01T00:00:00.000,0.246,0.86,0.056,0.9,High School
Eagle Academy for Young Men of Harlem,Well Developed,2016-12-01T00:00:00.000,0.277,0.78,0.063,0.57,High School
International Community High School,Well Developed,2017-11-01T00:00:00.000,0.085,0.84,0.81,0.88,High School
The Urban Assembly Bronx Academy of Letters,Proficient,2017-05-01T00:00:00.000,0.24,0.93,0.108,0.9,High School
Urban Assembly Gateway School for Technology,No Data,2016-05-18T00:00:00.000,0.227,No Data,0.038,No Data,High School
High School for Law and Public Service,Proficient,2016-11-01T00:00:00.000,0.258,0.95,0.357,0.93,High School
The Laboratory School of Finance and Technology: X,Well Developed,2019-10-01T00:00:00.000,0.199,0.81,0.036,0.98,High School
Bard High School Early College,Developing,2018-11-01T00:00:00.000,0.106,0.87,0.0,0.92,High School
Frederick Douglass Academy,Developing,2018-02-01T00:00:00.000,0.16,0.85,0.045,0.78,High School
New Design High School,Proficient,2018-05-01T00:00:00.000,0.286,0.76,0.04,0.79,High School
Orchard Collegiate Academy,Well Developed,2017-04-01T00:00:00.000,0.288,0.86,0.08,0.88,High School
Community School for Social Justice,Well Developed,2019-12-01T00:00:00.000,0.265,0.99,0.223,1,High School
Health Opportunities High School,Developing,2019-04-01T00:00:00.000,0.275,0.88,0.113,0.9,High School
Mott Haven Village Preparatory High School,Proficient,2016-12-01T00:00:00.000,0.305,0.87,0.152,0.74,High School
Lower Manhattan Arts Academy,Well Developed,2018-03-01T00:00:00.000,0.347,0.72,0.054,0.54,High School
High School for Media and Communications,Proficient,2020-02-01T00:00:00.000,0.189,0.93,0.474,0.84,High School
Bronx Engineering and Technology Academy,Proficient,2017-03-01T00:00:00.000,0.246,0.92,0.177,0.91,High School
"Urban Assembly School of Design and Construction,",Proficient,2019-04-01T00:00:00.000,0.289,0.8,0.076,0.86,High School
Pace High School,Proficient,2018-10-01T00:00:00.000,0.184,0.8,0.031,0.86,High School
"New Explorations into Science, Technology and Math",Proficient,2017-04-01T00:00:00.000,0.145,0.92,0.003,0.82,High School
Northside Charter High School,No Data,No Data,0.196,0.82,0.043,0.71,High School
Bronxdale High School,Proficient,2018-10-01T00:00:00.000,0.239,0.95,0.069,0.96,High School
West Bronx Academy for the Future,Proficient,2017-02-01T00:00:00.000,0.265,0.89,0.104,0.9,High School
Harry S Truman High School,Proficient,2017-05-01T00:00:00.000,0.228,0.86,0.07,0.9,High School
Careers in Sports High School,Proficient,2017-03-01T00:00:00.000,0.273,No Data,0.154,No Data,High School
NYC iSchool,No Data,2016-02-05T00:00:00.000,0.194,0.88,0.011,0.93,High School
Bronx Compass High School,Developing,2017-04-01T00:00:00.000,0.265,0.66,0.112,0.79,High School
Stuyvesant High School,Proficient,2019-01-01T00:00:00.000,0.004,0.86,0.0,0.9,High School
"Urban Assembly Academy of Government and Law, The",Well Developed,2017-01-01T00:00:00.000,0.227,0.85,0.034,0.88,High School
Professional Performing Arts High School,Well Developed,2018-03-01T00:00:00.000,0.163,0.88,0.002,0.94,High School
"H.E.R.O. High (Health, Education, and Research Occ",Well Developed,2018-05-01T00:00:00.000,0.226,0.92,0.077,0.95,High School
Jacqueline Kennedy Onassis High School,Proficient,2016-11-01T00:00:00.000,0.222,0.81,0.063,0.6,High School
The High School For Language And Diplomacy,Proficient,2018-05-01T00:00:00.000,0.186,0.65,0.102,0.44,High School
Bronx Leadership Academy II High School,Well Developed,2017-11-01T00:00:00.000,0.296,0.92,0.123,0.78,High School
Murry Bergtraum High School for Business Careers,Proficient,2017-01-01T00:00:00.000,0.105,0.91,0.026,0.86,High School
Gregorio Luperon High School for Science and Mathe,Proficient,2017-05-01T00:00:00.000,0.027,0.94,0.752,0.94,High School
Collegiate Institute for Math and Science,Proficient,2017-05-01T00:00:00.000,0.149,0.89,0.03,0.92,High School
High School for Teaching and the Professions,Proficient,2017-03-01T00:00:00.000,0.229,0.99,0.239,0.93,High School
Essex Street Academy,Well Developed,2019-11-01T00:00:00.000,0.257,0.97,0.033,1,High School
Fordham High School for the Arts,No Data,2016-03-15T00:00:00.000,0.23,0.9,0.019,0.82,High School
Wadleigh Secondary School for the Performing & Vis,Proficient,2018-05-01T00:00:00.000,0.212,0.85,0.035,0.87,High School
