total_financial_plan_amount,city_funds_financial_plan_amount,total_current_budget_amount,other_categorical_funds_current_budget_amount,state_funds_current_budget_amount,intra_city_sales_funds_current_budget_amount,city_funds_adopted_budget_amount,other_categorical_funds_financial_plan_amount,intra_city_sales_funds_financial_plan_amount,federal_funds_adopted_budget_amount,personal_service_other_than_personal_service_indicator,unit_appropriation_name,inter_fund_agreement_funds_adopted_budget_amount
7279649,6704262,7080646,0,0,0,6520519,0,0,0,P,PERSONAL SERVICES,0
299642506,244118547,313122838,10000,0,970000,254971638,55000,12309,51849391,O,YOUTH WORKFORCE AND CAREER TRAINING OTPS,0
2829933,2271600,3259978,0,0,0,2356200,0,0,0,O,SUSTAINABILITY OTPS,0
143752,143752,143752,0,0,0,143752,0,0,0,O,RENT AND ENERGY,0
1,1,1,0,0,0,1,0,0,0,O,"CMTEE ON RULES,PRIV. & ELECT.",0
88052932,88052932,89107733,0,0,90000,85805000,0,0,0,P,ADMINISTRATION,0
286925,286925,278951,0,0,0,280951,0,0,0,P,PERSONAL SERVICES,0
191616715,191616715,198641848,9321984,3907734,0,185412130,0,0,0,P,TRAFFIC ENFORCEMENT,0
5649534,4593216,0,0,0,0,0,0,0,0,P,COMMUNITY SERVICES - PS,0
1,1,1,0,0,0,1,0,0,0,O,COMMITTEE ON CONTRACTS,0
350000,350000,350000,0,0,0,350000,0,0,0,P,NON - ACTUARIAL PENSIONS,0
284113,284113,274794,0,0,0,277380,0,0,0,P,PERSONAL SERVICES,0
104337285,104337285,115318615,0,7825215,62742,107430658,0,0,0,O,911 TECHNICAL OPERATIONS - OTPS,0
5912936,5912936,5762426,0,0,0,5762426,0,0,0,P,PERSONAL SERVICES,0
57474820,57474820,57157205,0,0,0,57157205,0,0,0,P,COMMUNITY AFFAIRS BUREAU,0
617545,617545,609971,0,0,0,609971,0,0,0,P,PERSONAL SERVICES,0
1,1,1,0,0,0,1,0,0,0,P,COMM ON FIRE & CRIMINAL JUSTICE,0
201536418,167236567,200258544,0,34095008,1822505,164136203,0,204843,0,P,SCHOOL FACILITIES - PS,0
352181716,125927736,346569151,0,72251249,1715152,121332041,0,1567708,143381845,P,ADMINISTRATION,0
241040,241040,239108,0,0,0,239108,0,0,0,P,PERSONAL SERVICES,0
51827,51827,51827,0,0,0,51827,0,0,0,O,RENT AND ENERGY,0
4701364,4701364,4590725,0,0,0,4590725,0,0,0,P,PERSONAL SERVICES,0
134851602,28301760,149101124,0,53123281,0,34437986,0,0,60579656,O,OTHER THAN PERSONAL SERVICES,0
56249438,56249438,0,0,0,0,0,0,0,0,P,DIVISION OF TECHNOLOGY - PS,0
75600912,75600912,0,0,0,0,0,0,0,0,O,DIVISION OF TECHNOLOGY - OTPS,0
3904381,3904381,3904381,0,0,0,566081,0,0,0,P,FAIR FARES - PS,0
13212,13212,13212,0,0,0,13212,0,0,0,O,OTHER THAN PERSONAL SERVICES,0
69958773,69958773,69268457,0,0,0,69268457,0,0,0,P,CRIMINAL JUSTICE,0
862807,739907,1735537,0,74213,0,630879,0,0,101143,O,OTHER THAN PERSONAL SERVICES,0
67020,67020,67020,0,0,0,67020,0,0,0,O,RENT AND ENERGY,0
234785,234785,230263,0,0,0,230263,0,0,0,P,PERSONAL SERVICES,0
9184398,9184398,10590446,16635,0,0,10184034,0,0,0,O,BROOKLYN MUSEUM,0
134439,134439,134439,0,0,0,134439,0,0,0,O,RENT AND ENERGY,0
33019447,33019447,27762150,0,0,0,23422447,0,0,235136,O,NYC DOC HEALTH AND PROGRAMS - OTPS,0
38085,38085,57085,0,0,0,57085,0,0,0,O,OTHER THAN PERSONAL SERVICES,0
15713,15713,15713,0,0,0,15713,0,0,0,O,OTHER THAN PERSONAL SERVICES,0
2384794,1220054,2580753,9400,528533,0,1152763,26600,0,609607,P,IN HOME SERVICES - PS,0
684303,684303,1249603,0,0,0,1249603,0,0,0,O,OTHER THAN PERSONAL SERVICES,0
102770,102770,102770,0,0,0,102770,0,0,0,O,RENT,0
201536418,167236567,200942515,0,34095008,1822505,164136203,0,204843,0,P,SCHOOL FACILITIES - PS,0
1,1,1,0,0,0,1,0,0,0,O,CMTEE ON ECONOMIC DEVELOPMENT,0
5291828,5291828,5896531,969,0,0,5380995,0,0,0,O,BROOKLYN BOTANIC GARDEN,0
277847,277847,277847,0,0,0,277847,0,0,0,O,FIRE INVESTIGATION-OTPS,0
171094499,55734452,80938419,0,16539222,0,46147563,0,0,14955619,O,DOMESTIC VIOLENCE SERVICES - OTPS,0
1325118,1325118,3290323,0,74540,0,2115783,0,0,0,O,OTHER THAN PERSONAL SERVICES,0
17245120,13151911,18006866,13636,707017,0,12950997,13636,0,3979719,P,EXECUTIVE & ADMIN MGMT - PS,0
58390654,49003115,80116811,0,13304239,400000,54962724,0,0,753414,O,CENTER FOR HLTH EQUITY&COMM WELLNESS-OTP,0
256628,256628,251705,0,0,0,251705,0,0,0,P,PERSONAL SERVICES,0
1,1,1,0,0,0,1,0,0,0,O,COMMITTEE ON FINANCE,0
46186,46186,46186,0,0,0,46186,0,0,0,O,OTHER THAN PERSONAL SERVICES,0
2398028,2398028,2449128,0,50000,0,2474958,0,0,0,O,"PATROL, HOUSING & TRANSIT - OTPS",0
683569,683569,618552,0,0,0,618552,0,0,0,P,COMMISSION ON GENDER EQUITY-PS,0
74841858,66057487,125908938,42412,900000,0,156522110,0,0,7601724,O,OTHER THAN PERSONAL SERVICES,0
1116123,1116123,1272512,0,0,0,1241281,0,0,0,O,N.Y.SHAKESPEARE FESTIVAL,0
84296986,19992996,81006119,0,0,313235,17606940,0,331210,2151409,P,OFFICE OF HOUSING PRESERVATION,178677
70492,70492,70492,0,0,0,70492,0,0,0,O,RENT AND ENERGY,0
57671951,53753638,54493323,0,4067000,0,50592574,0,0,0,O,RUNAWAY AND HOMELESS YOUTH,0
682290,682290,0,0,0,0,0,0,0,0,O,URBAN PARK SERVICE - OTPS,0
1,1,1,0,0,0,1,0,0,0,P,COMMITTEE ON GENERAL WELFARE,0
64190000,64190000,65340739,0,0,208000,65132739,0,0,0,O,OTHER THAN PERSONAL SERVICES,0
4420,4420,75734,11814,0,0,13920,0,0,0,O,OTHER THAN PERSONAL SERVICES,0
91661700,91661700,112411700,0,0,0,115750000,0,0,0,O,FAIR FARES - OTPS,0
47242243,36831891,46047843,0,0,0,35842562,0,0,0,P,FIRST DEPUTY COMPT-PS,10205281
41861615,41600615,42522305,0,306550,0,41242031,0,0,0,O,FIRE EXTING & RESP-OTPS,0
7843690520,4202407695,7760587648,0,3687822504,0,3981021986,0,0,114546900,P,GE INSTR & SCH LEADERSHIP - PS,0
6178494,5817814,15421647,0,6321933,0,5134947,0,0,3076093,P,OFFICE OF CRIMINAL JUSTICE - PS,360680
61140378,54855044,78460354,0,0,405421,56178825,0,411887,0,P,EXECUTIVE ADMINISTRATIVE,5775483
69958773,69958773,69268457,0,0,0,69268457,0,0,0,P,CRIMINAL JUSTICE,0
17816298,17816298,19583101,0,0,0,17293380,0,0,0,P,911 TECHNICAL OPERATIONS- PS,2289721
3670088,3670088,3464405,0,0,0,3578524,0,0,0,P,PERSONAL SERVICES,0
75600912,75600912,0,0,0,0,0,0,0,0,O,DIVISION OF TECHNOLOGY - OTPS,0
922706411,75651945,922706411,317970,846736496,0,75651945,317970,0,0,O,SE PRE-K CONTRACT PMTS - OTPS,0
1,1,0,0,0,0,0,0,0,0,P,COMMITTEE ON WATERFRONTS,0
260050,260050,252232,0,0,0,275232,0,0,0,P,PERSONAL SERVICES,0
268718,268718,261997,0,0,0,261997,0,0,0,P,PERSONAL SERVICES,0
33173094,33157637,26374043,0,0,0,23422447,0,0,235136,O,NYC DOC HEALTH AND PROGRAMS - OTPS,0
299904143,299904143,298119598,0,0,1321971,293906025,0,0,0,P,ADMINISTRATION-PERSONNEL,0
321172427,149651004,319982776,0,21830421,1380789,147705079,0,1380789,139548735,P,PUBLIC ASSISTANCE,0
20747290,20747290,22004060,0,0,0,21105130,0,0,450522,O,THE WILDLIFE CONSERVATION SOC.,0
60238720,33573263,57636259,238916,16549910,0,29724218,238916,0,13283028,P,MENTAL HYGIENE MANAGEMENT SERVICES - PS,0
4406207,4406207,4558208,0,0,0,5658208,0,0,0,P,PERSONAL SERVICES,0
1,1,1,0,0,0,1,0,0,0,P,COMMITTEE ON GENERAL WELFARE,0
77021437,77021437,124130754,0,10190515,0,76882569,0,0,0,O,OTHER THAN PERSONAL SERVICES,0
43940094,18169578,48546903,0,23021199,0,25600750,0,0,4750255,O,MENTAL HYGIENE MANAGEMENT SERVICES- OTPS,0
404363787,72716718,392196344,0,164288373,0,68462421,0,0,160405751,P,PERSONAL SERVICES,0
24551187,24551187,24551187,0,0,0,24551187,0,0,0,O,LUMP SUM- BORO OF BRONX,0
1,1,1,0,0,0,1,0,0,0,P,CMTEE ON STANDARDS AND ETHICS,0
8029,8029,10615,0,0,0,8029,0,0,0,O,OTHER THAN PERSONAL SERVICES,0
1,1,1,0,0,0,1,0,0,0,O,CMTEE ON YOUTH SERVICES,0
66359343,61052061,64790084,51136,0,0,58894308,0,0,0,P,EXECUTIVE AND SUPPORT,5121424
11152059,11087811,26088345,0,15009607,63448,10673272,0,63448,0,O,OTHER THAN PERSONAL SERVICES,0
34226,34226,46219,0,0,0,42226,0,0,0,O,OTHER THAN PERSONAL SERVICES,0
3126330,3126330,2279893,3688,3554,49545,2219036,0,0,0,O,RECREATION SERVICES-OTPS,0
113874573,113874573,109230170,0,0,0,109230170,0,0,0,P,NON-CITY PENSIONS,0
249661555,128002577,362313541,0,75197228,0,154737433,0,0,129863826,O,ADULT SERVICES - OTPS,0
1,1,1,0,0,0,1,0,0,0,P,COMMITTEE ON IMMIGRATION,0
1,1,2,0,0,0,2,0,0,0,O,"CULT. AFFAIRS, LIB. & INT'L INTGRP. REL",0
282225,252885,282222,29340,0,0,252882,29340,0,0,O,OTHER THAN PERSONAL SERVICES,0
12034553,10739496,11774657,0,0,1324663,10465016,0,1295057,0,P,OFFICE OF CITYWIDE PURCHASING,0
0,0,1,0,0,0,1,0,0,0,P,COMMITTEE ON COURTS AND LEGAL SERVICES,0
6719112,6395112,6754112,344000,0,15000,6395112,324000,0,0,O,OFF OF LABOR RELATIONS-OTPS,0
0,0,1,0,0,0,1,0,0,0,O,COMMITTEE ON COURTS AND LEGAL SERVICES,0
1,1,1,0,0,0,1,0,0,0,O,COMMITTEE ON EDUCATION,0
42114,42114,42114,0,0,0,42114,0,0,0,O,OTHER THAN PERSONAL SERVICES,0
303109884,303109884,300893207,0,0,0,300893207,0,0,0,P,TRANSIT POLICE-PS,0
275476,275476,268879,0,0,0,268879,0,0,0,P,PERSONAL SERVICES,0
27051686,10108207,26069173,0,0,1755531,9575706,0,1803879,414047,P,HOUSING MAINTENANCE AND SALES,12007118
30156000,30156000,0,0,0,0,0,0,0,0,P,URBAN PARK SERVICE,0
8002334393,4355572695,7625988547,0,3599944003,0,3981021986,0,0,114546900,P,GE INSTR & SCH LEADERSHIP - PS,0
38049299,0,68743970,0,0,0,0,0,0,38049299,O,HOME ENERGY ASSISTANCE - OTPS,0
2664047,2664047,9401694,0,0,0,9401694,0,0,0,O,CONTRACT COMP & BUS OPP - OTPS,0
41003,41003,34403,0,0,0,34403,0,0,0,O,RENT,0
33155746,20468801,32275066,0,24551,0,19098580,0,0,1311530,P,PERSONAL SERVICES,0
972674,972674,1202527,0,0,0,981541,0,0,0,O,OTHER THAN PERSONAL SERVICES,0
1094651354,1094651354,967623078,0,0,0,1086934716,0,0,0,P,RESERVE FOR COLLECTIVE BARGAINING,0
290729500,169609069,282108245,0,121120431,0,158229525,0,0,0,P,SCHOOL SUPPORT ORGANIZATION,0
191870273,191870273,209082309,19762445,3907734,0,185412130,0,0,0,P,TRAFFIC ENFORCEMENT,0
260873,260873,245047,0,0,0,256475,0,0,0,P,PERSONAL SERVICES,0
13554,13554,28554,0,0,0,28554,0,0,0,O,OTHER THAN PERSONAL SERVICES,0
23014613,23014613,22073093,0,0,0,22323093,0,0,0,P,OPERATIONS,0
27868919,27868919,30073356,1015185,582110,479725,25261447,0,0,0,O,OFFICE OF CHIEF MEDICAL EXAMINER - OTPS,0
1,1,1,0,0,0,1,0,0,0,P,CMTEE ON GOV'T OPERATIONS,0
667379483,47308228,713805225,744499,0,0,42161144,0,0,602679132,O,RENTAL SUBSIDY PROGRAMS - OTPS,0
16182,16182,24682,0,0,0,21182,0,0,0,O,OTHER THAN PERSONAL SERVICES,0
130911,130911,130911,0,0,0,130911,0,0,0,O,RENT AND ENERGY,0
12997,12997,34693,0,0,0,23997,0,0,0,O,OTHER THAN PERSONAL SERVICES,0
784936624,180288719,913501233,0,604647905,0,442826073,0,0,0,O,GE INSTR & SCH LEADERSHIP - OTPS,0
108655,108655,108655,0,0,0,108655,0,0,0,O,RENT,0
1,1,0,0,0,0,0,0,0,0,P,CMTEE ON STATE AND FED LEG,0
387410300,380279815,287277569,3000000,0,6577485,274856014,0,6577485,0,O,STREET PROGRAMS - OTPS,0
2454788,2454788,2434803,0,0,0,1163543,0,0,1275000,P,EMERGENCY FOOD - PS,0
39710826,39449826,43578182,0,306550,0,41242031,0,0,0,O,FIRE EXTING & RESP-OTPS,0
160803,160803,160803,0,0,0,160803,0,0,0,O,RENT AND ENERGY,0
1,1,1,0,0,0,1,0,0,0,O,CMTEE ON ENVIRON PROTECTION,0
262600,262600,257581,0,0,0,257581,0,0,0,P,PERSONAL SERVICES,0
6622057844,6484898620,6782336172,0,83702292,0,6645176948,0,0,53456932,O,MEDICAL ASSISTANCE - OTPS,0
0,0,1,0,0,0,1,0,0,0,O,HOSPITALS,0
28995306,983209,28060816,34519,0,0,632923,44677,0,25800837,P,RENTAL SUBSIDY PROGRAMS - PS,0
11890977,11890977,11983718,0,0,0,11657864,0,0,0,P,EXECUTIVE MANAGEMENT,0
117209,117209,117216,0,0,0,117209,0,0,0,O,RENT AND ENERGY,0
79431,79431,79431,0,0,0,79431,0,0,0,O,RENT AND ENERGY,0
17451071,13962862,24827497,0,73375,145000,14346835,0,0,31321,O,OTHER THAN PERSONAL SERVICES,0
83061,83061,83061,0,0,0,83061,0,0,0,O,RENT AND ENERGY,0
1,1,1,0,0,0,1,0,0,0,O,CMTEE ON ENVIRON PROTECTION,0
245440200,84947874,238915111,0,24682531,0,78333933,0,0,198611,P,HIGHWAY OPERATIONS,130932151
1676235616,1597627041,935789823,0,0,0,940660886,0,0,97823418,O,NYC Transitional Finance Authority,0
247860474,241220135,244291554,1750000,0,0,236250998,0,0,0,P,WASTEWATER TREATMENT,6503371
1,1,1,0,0,0,1,0,0,0,O,COMMITTEE ON OVERSIGHT & INVESTIGATIONS,0
1629670,1629670,1663058,0,0,0,1385165,0,0,0,O,OTHER THAN PERSONAL SERVICE,0
6492005,5450676,7179306,0,0,0,6150897,0,0,0,P,OFFICE OF OPERATIONS-PS,1012724
17358432,12996644,17008519,0,3638920,0,12852373,0,0,517226,P,HEADSTART and DAYCARE-PS,0
69853711,69853711,68751623,0,0,0,68751623,0,0,0,P,PERSONAL SERVICES,0
6354794,6354794,5869299,0,0,0,6269299,0,0,0,P,PERSONAL SERVICES,0
297688,0,297688,0,0,0,0,0,0,0,O,GEOGRAPHIC SYSTEMS,0
300261198,25179908,271469336,0,0,244445324,25055749,0,275081290,0,P,SCHOOL SAFETY- P.S.,0
8908322,8908322,9540632,39867,0,0,9195300,0,0,0,O,NY BOTANICAL GARDEN,0
22410112,22410112,21229354,27233,0,0,20787133,0,0,0,O,AMER MUSEUM NATURAL HISTORY,0
1514457,1414457,1514457,0,100000,0,1414457,0,0,0,O,HUNTER SCHOOLS-OTPS,0
678895,678895,670001,0,0,0,670001,0,0,0,P,PERSONAL SERVICES,0
2411614,325957,2313501,0,613237,0,285642,0,0,1414622,P,ADOPTION SUBSIDY - PS,0
8,8,8,0,0,0,8,0,0,0,O,SPECIAL ENFORCEMENT-OTPS,0
338565412,166696969,320199071,0,21830421,1380789,147705079,0,1707392,139548735,P,PUBLIC ASSISTANCE,0
324627,324627,551139,0,0,0,323834,0,0,0,O,OTHER THAN PERSONAL SERVICES,0
72061493,49268508,67730501,103263,19865424,341417,42892975,0,0,715758,P,HEALTH ADMINISTRATION - PS,0
1,1,1,0,0,0,1,0,0,0,P,COMMITTEE ON SMALL BUSINESS,0
270669,270669,266186,0,0,0,266186,0,0,0,P,PERSONAL SERVICES,0
244884,244884,231484,0,0,0,265124,0,0,0,P,PERSONAL SERVICES,0
31327,31327,76327,0,0,0,46327,0,0,0,O,OTHER THAN PERSONAL SERVICES,0
29938155,29259155,30005930,0,679000,0,26205108,0,0,0,P,NYC DOC TRANSPORTATION PS,0
107608680,84995226,162239261,0,80038942,1428038,80772281,0,0,0,O,NPS & FIT PMTS - OTPS,0
277335,277335,271312,0,0,0,271312,0,0,0,P,PERSONAL SERVICES,0
1,1,1,0,0,0,1,0,0,0,P,COMMITTEE ON SMALL BUSINESS,0
9939927,6999160,14163640,0,1421803,6180,7168981,0,0,1562927,O,EPIDEMIOLOGY - OTPS,0
50779,50779,50779,0,0,0,50779,0,0,0,O,RENT,0
18717180,18717180,21871084,0,0,0,21105130,0,0,450522,O,THE WILDLIFE CONSERVATION SOC.,0
2588198,0,3221468,0,0,0,0,0,0,0,O,DESIGN & ENGINEERING-OTPS,3215348
33832378,33394878,30514696,0,437500,0,32463744,0,0,0,P,PROPERTY,0
696687,696687,1191812,0,0,0,1065099,0,0,0,O,S I HISTORICAL SOCIETY,0
18346,18346,18346,0,0,0,18346,0,0,0,O,OTHER THAN PERSONAL SERVICES,0
10563828,10563828,10609434,16635,0,0,10184034,0,0,0,O,BROOKLYN MUSEUM,0
