city_funds_financial_plan_amount,agency_name,inter_fund_agreement_funds_current_budget_amount,state_funds_financial_plan_amount,agency_number,intra_city_sales_funds_adopted_budget_amount
1,CITY COUNCIL,0,0,102,0
167236567,DEPARTMENT OF EDUCATION,0,34095008,40,162614
125927736,DEPARTMENT OF SOCIAL SERVICES,0,70878838,69,1567708
241040,BROOKLYN COMMUNITY BOARD #16,0,0,486,0
51827,BROOKLYN COMMUNITY BOARD #3,0,0,473,0
4701364,COMMISSION ON HUMAN RIGHTS,0,0,226,0
28301760,ADMIN FOR CHILDREN'S SERVICES,0,46969809,68,0
56249438,DEPARTMENT OF EDUCATION,0,0,40,0
75600912,DEPARTMENT OF EDUCATION,0,0,40,0
3904381,DEPARTMENT OF SOCIAL SERVICES,0,0,69,0
13212,STATEN ISLAND COMMUNITY BOARD #1,0,0,491,0
69958773,POLICE DEPARTMENT,0,0,56,0
739907,LANDMARKS PRESERVATION COMM.,0,0,136,0
67020,BRONX COMMUNITY BOARD #2,0,0,382,0
234785,BROOKLYN COMMUNITY BOARD #15,0,0,485,0
9184398,DEPARTMENT OF CULTURAL AFFAIRS,0,0,126,0
134439,MANHATTAN COMMUNITY BOARD #9,0,0,349,0
33019447,DEPARTMENT OF CORRECTION,0,0,72,0
38085,BRONX COMMUNITY BOARD #2,0,0,382,0
15713,PUBLIC ADMINISTRATOR- QUEENS COUNTY,0,0,944,0
1220054,DEPARTMENT FOR THE AGING,0,528533,125,0
684303,BOROUGH PRESIDENT BRONX,0,0,11,0
102770,QUEENS COMMUNITY BOARD #7,0,0,437,0
167236567,DEPARTMENT OF EDUCATION,0,34095008,40,162614
1,CITY COUNCIL,0,0,102,0
5291828,DEPARTMENT OF CULTURAL AFFAIRS,0,0,126,0
277847,FIRE DEPARTMENT,0,0,57,0
55734452,DEPARTMENT OF SOCIAL SERVICES,0,29313933,69,0
1325118,CITY CLERK,0,0,103,0
13151911,DEPARTMENT FOR THE AGING,0,698311,125,0
49003115,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,0,8762332,816,0
256628,BROOKLYN COMMUNITY BOARD #4,0,0,474,0
1,CITY COUNCIL,0,0,102,0
46186,BROOKLYN COMMUNITY BOARD #15,0,0,485,0
2398028,POLICE DEPARTMENT,0,0,56,0
683569,MAYORALTY,0,0,2,0
66057487,DEPARTMENT OF EMERGENCY MANAGEMENT,0,0,17,0
1116123,DEPARTMENT OF CULTURAL AFFAIRS,0,0,126,0
19992996,HOUSING PRESERVATION AND DEVELOPMENT,178677,0,806,313235
70492,QUEENS COMMUNITY BOARD #12,0,0,442,0
53753638,DEPARTMENT OF YOUTH & COMMUNITY DEV,0,3918313,260,0
682290,DEPARTMENT OF PARKS AND RECREATION,0,0,846,0
1,CITY COUNCIL,0,0,102,0
64190000,FINANCIAL INFORMATION SERVICE AGENCY,0,0,127,0
4420,MANHATTAN COMMUNITY BOARD #3,0,0,343,0
91661700,DEPARTMENT OF SOCIAL SERVICES,0,0,69,0
36831891,OFFICE OF THE COMPTROLLER,10205281,0,15,0
41600615,FIRE DEPARTMENT,0,261000,57,0
4202407695,DEPARTMENT OF EDUCATION,0,3626735925,40,0
5817814,OFFICE OF CRIMINAL JUSTICE,360680,0,128,0
54855044,DEPARTMENT OF SANITATION,5775483,0,827,405421
69958773,POLICE DEPARTMENT,0,0,56,0
17816298,DEPARTMENT OF INFO TECH & TELECOMM,2289721,0,858,0
3670088,BOARD OF CORRECTION,0,0,73,0
75600912,DEPARTMENT OF EDUCATION,0,0,40,0
75651945,DEPARTMENT OF EDUCATION,0,846736496,40,0
1,CITY COUNCIL,0,0,102,0
260050,BRONX COMMUNITY BOARD #8,0,0,388,0
268718,MANHATTAN COMMUNITY BOARD #12,0,0,352,0
33157637,DEPARTMENT OF CORRECTION,0,0,72,0
299904143,POLICE DEPARTMENT,0,0,56,0
149651004,DEPARTMENT OF SOCIAL SERVICES,0,22366497,69,1380789
20747290,DEPARTMENT OF CULTURAL AFFAIRS,0,0,126,0
33573263,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,0,16379648,816,0
4406207,CITY CLERK,0,0,103,0
1,CITY COUNCIL,0,0,102,0
77021437,BOARD OF ELECTIONS,0,0,3,0
18169578,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,0,22884254,816,0
72716718,ADMIN FOR CHILDREN'S SERVICES,0,170314152,68,0
24551187,NEW YORK PUBLIC LIBRARY,0,0,37,0
1,CITY COUNCIL,0,0,102,0
8029,QUEENS COMMUNITY BOARD #7,0,0,437,0
1,CITY COUNCIL,0,0,102,0
61052061,DEPARTMENT OF ENVIRONMENTAL PROTECT.,5121424,0,826,0
11087811,DISTRICT ATTORNEY BRONX COUNTY,0,800,902,63448
34226,BROOKLYN COMMUNITY BOARD #9,0,0,479,0
3126330,DEPARTMENT OF PARKS AND RECREATION,0,0,846,0
113874573,PENSION CONTRIBUTIONS,0,0,95,0
128002577,DEPARTMENT OF SOCIAL SERVICES,0,59639632,69,0
1,CITY COUNCIL,0,0,102,0
1,CITY COUNCIL,0,0,102,0
252885,OFFICE OF COLLECTIVE BARGAINING,0,0,313,0
10739496,DEPARTMENT OF CITYWIDE ADMIN SERVICE,0,0,856,1247587
0,CITY COUNCIL,0,0,102,0
6395112,MAYORALTY,0,0,2,0
0,CITY COUNCIL,0,0,102,0
1,CITY COUNCIL,0,0,102,0
42114,BROOKLYN COMMUNITY BOARD #3,0,0,473,0
303109884,POLICE DEPARTMENT,0,0,56,0
275476,QUEENS COMMUNITY BOARD #2,0,0,432,0
10108207,HOUSING PRESERVATION AND DEVELOPMENT,12007118,0,806,1755531
30156000,DEPARTMENT OF PARKS AND RECREATION,0,0,846,0
4355572695,DEPARTMENT OF EDUCATION,0,3632214798,40,0
0,DEPARTMENT OF SOCIAL SERVICES,0,0,69,0
2664047,DEPARTMENT OF SMALL BUSINESS SERVICES,0,0,801,0
41003,BROOKLYN COMMUNITY BOARD #16,0,0,486,0
20468801,DEPARTMENT OF CITY PLANNING,0,146906,30,0
972674,BOROUGH PRESIDENT STATEN ISLAND,0,0,14,0
1094651354,MISCELLANEOUS,0,0,98,0
169609069,DEPARTMENT OF EDUCATION,0,121120431,40,0
191870273,POLICE DEPARTMENT,0,0,56,0
260873,QUEENS COMMUNITY BOARD #10,0,0,440,0
13554,MANHATTAN COMMUNITY BOARD #8,0,0,348,0
23014613,DEPARTMENT OF FINANCE,0,0,836,0
27868919,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,0,0,816,0
1,CITY COUNCIL,0,0,102,0
47308228,HOUSING PRESERVATION AND DEVELOPMENT,0,0,806,0
16182,BROOKLYN COMMUNITY BOARD #14,0,0,484,0
130911,STATEN ISLAND COMMUNITY BOARD #3,0,0,493,0
12997,QUEENS COMMUNITY BOARD #4,0,0,434,0
180288719,DEPARTMENT OF EDUCATION,0,604647905,40,0
108655,BROOKLYN COMMUNITY BOARD #6,0,0,476,0
1,CITY COUNCIL,0,0,102,0
380279815,DEPARTMENT OF HOMELESS SERVICES,0,0,71,6577485
2454788,DEPARTMENT OF SOCIAL SERVICES,0,0,69,0
39449826,FIRE DEPARTMENT,0,261000,57,0
160803,MANHATTAN COMMUNITY BOARD #8,0,0,348,0
1,CITY COUNCIL,0,0,102,0
262600,BROOKLYN COMMUNITY BOARD #12,0,0,482,0
6484898620,DEPARTMENT OF SOCIAL SERVICES,0,83702292,69,0
0,CITY COUNCIL,0,0,102,0
983209,HOUSING PRESERVATION AND DEVELOPMENT,0,0,806,0
11890977,DEPARTMENT OF PROBATION,0,0,781,0
117209,BROOKLYN COMMUNITY BOARD #9,0,0,479,0
79431,QUEENS COMMUNITY BOARD #6,0,0,436,0
13962862,DEPARTMENT OF CITY PLANNING,0,0,30,0
83061,BRONX COMMUNITY BOARD #8,0,0,388,0
1,CITY COUNCIL,0,0,102,0
84947874,DEPARTMENT OF TRANSPORTATION,133505162,24634930,841,0
1597627041,DEBT SERVICE,0,0,99,0
241220135,DEPARTMENT OF ENVIRONMENTAL PROTECT.,6503371,0,826,0
1,CITY COUNCIL,0,0,102,0
1629670,OFFICE OF PAYROLL ADMINISTRATION,0,0,131,0
5450676,MAYORALTY,1012724,0,2,0
12996644,ADMIN FOR CHILDREN'S SERVICES,0,3813652,68,0
69853711,BOARD OF ELECTIONS,0,0,3,0
6354794,BOROUGH PRESIDENT - BROOKLYN,0,0,12,0
0,DEPARTMENT OF CITY PLANNING,0,0,30,0
25179908,POLICE DEPARTMENT,0,0,56,244445324
8908322,DEPARTMENT OF CULTURAL AFFAIRS,0,0,126,0
22410112,DEPARTMENT OF CULTURAL AFFAIRS,0,0,126,0
1414457,CITY UNIVERSITY OF NEW YORK,0,100000,42,0
678895,PUBLIC ADMINISTRATOR- QUEENS COUNTY,0,0,944,0
325957,ADMIN FOR CHILDREN'S SERVICES,0,662348,68,0
8,MAYORALTY,0,0,2,0
166696969,DEPARTMENT OF SOCIAL SERVICES,0,22373118,69,1380789
324627,PUBLIC ADVOCATE,0,0,101,0
49268508,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,0,22441264,816,0
1,CITY COUNCIL,0,0,102,0
270669,BROOKLYN COMMUNITY BOARD #1,0,0,471,0
244884,BRONX COMMUNITY BOARD #5,0,0,385,0
31327,MANHATTAN COMMUNITY BOARD #9,0,0,349,0
29259155,DEPARTMENT OF CORRECTION,0,679000,72,0
84995226,DEPARTMENT OF EDUCATION,0,22613454,40,0
277335,MANHATTAN COMMUNITY BOARD #6,0,0,346,0
1,CITY COUNCIL,0,0,102,0
6999160,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,0,1592182,816,0
50779,QUEENS COMMUNITY BOARD #1,0,0,431,0
18717180,DEPARTMENT OF CULTURAL AFFAIRS,0,0,126,0
0,DEPARTMENT OF PARKS AND RECREATION,3215348,0,846,0
33394878,DEPARTMENT OF FINANCE,0,437500,836,0
696687,DEPARTMENT OF CULTURAL AFFAIRS,0,0,126,0
18346,QUEENS COMMUNITY BOARD #12,0,0,442,0
10563828,DEPARTMENT OF CULTURAL AFFAIRS,0,0,126,0
