objectid,plantingspaceglobalid,inspectiondate,:@computed_region_efsh_h5xi,:@computed_region_yeji_bk3q,treepointdbh,:@computed_region_sbqj_enih,swclearancerating,swlocationrating,inspectiontype,createddate
83258,AB084964-EF01-41B9-9525-730BF35E8C2A,2015-03-18T04:00:00.000,16866,2,28,40,,,Level 1,2015-03-18T04:00:00.000
91260,CCFFD247-75D2-4601-85E0-8CCB35A29073,2015-03-23T04:00:00.000,13093,4,24,16,,,Level 1,2015-03-24T04:00:00.000
94882,2E4AA5D2-9868-44E0-93DC-0BDB874D205D,2015-03-05T05:00:00.000,10693,1,22,76,,,Level 1,2015-03-26T04:00:00.000
91663,C2E8AAB2-4143-426F-9BC2-90B98A9C3581,2015-03-16T04:00:00.000,10934,5,27,27,6.0,16.0,Sidewalk Rating,2015-03-24T04:00:00.000
70837,92FFFF33-89EA-489F-9460-C3EBF56ECCA6,2015-03-06T05:00:00.000,24337,3,30,63,,,Level 1,2015-03-09T04:00:00.000
85637,6170B810-0779-43D8-B212-52565BA065EC,2015-03-19T04:00:00.000,14509,3,22,65,1.0,1.0,General - Planting Space,2015-03-19T04:00:00.000
94458,52812B7C-1414-49A3-B587-48FA86AC5DDE,2015-03-25T04:00:00.000,17620,2,20,39,,,Level 1,2015-03-26T04:00:00.000
94876,5CB83014-0CD8-4ACE-A2CB-B0CC1F08A9C2,2015-03-24T04:00:00.000,10693,1,12,76,,,Level 1,2015-03-26T04:00:00.000
82059,A4437875-C119-4CB3-8028-BEAD5EC925B3,2015-03-13T04:00:00.000,11274,5,17,28,,,Level 1,2015-03-17T04:00:00.000
90844,D721AFFB-09B0-4762-A296-1E9FF391A81F,2015-03-12T04:00:00.000,10693,1,15,76,,,Level 1,2015-03-24T04:00:00.000
94082,DB402445-BB08-4716-B01D-685F8471EB6B,2015-03-26T04:00:00.000,24016,3,4,64,20.0,20.0,Sidewalk Rating,2015-03-26T04:00:00.000
91255,CC8B7D22-0C5B-45ED-8ABE-AD1435F52697,2015-03-12T04:00:00.000,10693,1,20,76,,,Level 1,2015-03-24T04:00:00.000
90037,6735F16F-E05B-4A79-862A-0F909970A81E,2015-03-18T04:00:00.000,10700,1,7,75,20.0,8.0,Sidewalk Rating,2015-03-23T04:00:00.000
94077,428EE78F-734A-46F2-82E5-916D6C6CBA33,2015-03-25T04:00:00.000,10371,1,14,75,20.0,10.0,Sidewalk Rating,2015-03-26T04:00:00.000
79258,BAA0D416-118A-4499-B2AE-21DCB54E4948,2015-03-11T04:00:00.000,13097,4,12,20,,,Level 1,2015-03-16T04:00:00.000
89267,93D8F90B-F7DC-4D62-BAAB-8DCAC4D755D3,2015-03-19T04:00:00.000,17621,2,25,39,,,Level 1,2015-03-23T04:00:00.000
96047,DBC9B6D9-60CC-4A43-828B-4C6AA800D34A,2015-03-05T05:00:00.000,10693,1,12,76,,,Level 1,2015-03-27T04:00:00.000
89640,47D26102-6955-4114-A810-F0430EA6C793,2015-03-20T04:00:00.000,11609,5,20,33,,,Level 1,2015-03-23T04:00:00.000
94884,85868E0F-E094-44F1-A0C5-13360D0603BF,2015-03-23T04:00:00.000,10369,1,25,74,20.0,5.0,Sidewalk Rating,2015-03-26T04:00:00.000
90439,B56E8DD9-B8F8-412F-85B6-BE0AF19DA425,2015-03-20T04:00:00.000,16098,3,13,63,,,Level 1,2015-03-23T04:00:00.000
90457,7CE025DD-A639-4E67-80DE-CDA18965C0B1,2015-01-13T05:00:00.000,13093,4,7,16,,,Level 1,2015-03-23T04:00:00.000
88037,F3ECD5C6-30D8-4C99-A578-80B07AE1B97D,2015-03-18T04:00:00.000,12422,4,8,17,,,Level 1,2015-03-18T04:00:00.000
95644,DA0E24CE-56F4-4368-8D1D-8D3907D0F535,2015-03-25T04:00:00.000,10693,1,32,76,,,Level 1,2015-03-27T04:00:00.000
80052,BAA0D416-118A-4499-B2AE-21DCB54E4948,2015-03-11T04:00:00.000,13097,4,15,20,,,Level 1,2015-03-16T04:00:00.000
90460,93353090-592E-4445-99B9-67B4EDD7A225,2015-03-23T04:00:00.000,13094,4,11,10,,,General - Planting Space,2015-03-23T04:00:00.000
72437,A9105105-92B3-475E-9B6D-5980D54AF2CE,2015-03-11T04:00:00.000,14505,3,30,69,,,Level 1,2015-03-11T04:00:00.000
87255,9458C54C-825D-40A2-A342-5EC74ADABBBB,2015-03-16T04:00:00.000,14192,3,32,67,20.0,7.0,Sidewalk Rating,2015-03-20T04:00:00.000
95641,65CA7634-97CD-4E63-BA9A-F683D8C47464,2015-03-05T05:00:00.000,10693,1,18,76,,,Level 1,2015-03-27T04:00:00.000
96040,BCCF416A-A256-4595-8215-AE81DB216271,2015-03-05T05:00:00.000,10693,1,6,76,,,Level 1,2015-03-27T04:00:00.000
94875,35836A44-21B5-4ED4-9FF0-A6F361AA33F0,2015-03-04T05:00:00.000,10693,1,18,76,,,Level 1,2015-03-26T04:00:00.000
95653,FFDACCC7-ED49-4B13-9B54-A65928394819,2015-03-27T04:00:00.000,10700,1,13,75,,,Level 1,2015-03-27T04:00:00.000
95250,059695ED-4B1C-4C08-A81B-466CDEC6234D,2015-03-04T05:00:00.000,10693,1,6,76,,,Level 1,2015-03-26T04:00:00.000
76841,075215D4-DF9A-4E3D-AC91-C48F12A470AA,2015-02-27T05:00:00.000,11607,5,14,30,,,Level 1,2015-03-13T04:00:00.000
94881,A619A7A0-7895-4997-92A9-05AA8CBD0E08,2015-03-05T05:00:00.000,10693,1,10,76,,,Level 1,2015-03-26T04:00:00.000
83640,DD626F38-7E7F-4810-B72C-CF792ABBC76F,2015-03-17T04:00:00.000,24018,3,20,63,,,Level 1,2015-03-18T04:00:00.000
94475,B237E2E2-B6AE-4811-9BB8-081CE9A129A1,2015-03-05T05:00:00.000,10693,1,5,76,,,Level 1,2015-03-26T04:00:00.000
83646,5B185C97-098A-491E-B8AB-22C461FA1040,2015-03-18T04:00:00.000,14783,3,25,73,,,Level 1,2015-03-18T04:00:00.000
89662,A9AF1B2C-F657-4838-830B-14F5B81AFDEB,2015-03-18T04:00:00.000,17616,2,18,35,,,Level 1,2015-03-23T04:00:00.000
95651,CA7B99B5-7BAE-437A-B00D-678D41135036,2015-03-25T04:00:00.000,11611,5,24,26,,,Level 1,2015-03-27T04:00:00.000
91256,6911D950-8AE4-49FF-A6DC-0E5C30434200,2015-03-12T04:00:00.000,10693,1,18,76,,,Level 1,2015-03-24T04:00:00.000
80057,3878CB12-9B60-4180-8F09-5BC794B372A9,2015-03-09T04:00:00.000,17615,2,8,49,,,Level 1,2015-03-16T04:00:00.000
84841,FB016AF0-5BF7-49B0-AA42-4273DFE53E53,2015-03-12T04:00:00.000,16866,2,40,40,,,Level 1,2015-03-19T04:00:00.000
89639,FE31E753-DA9F-418D-8278-98833CA79C63,2015-03-19T04:00:00.000,10099,4,12,11,,,Level 1,2015-03-23T04:00:00.000
92051,BC333028-1F71-4268-A895-614048F24075,2015-03-10T04:00:00.000,12422,4,8,15,,,Level 1,2015-03-10T04:00:00.000
87643,4A6ECEA8-7117-47F3-8EB8-DB06B4E075EE,2015-03-10T04:00:00.000,10700,1,22,75,,,Level 1,2015-03-20T04:00:00.000
70042,F6FBE1E0-C633-46A4-807D-2EED2E3B32FA,2015-03-04T05:00:00.000,17620,2,18,39,,,Level 1,2015-03-09T04:00:00.000
92844,A98B4C27-930F-4EA2-9675-A36BC7C53938,2015-03-18T04:00:00.000,14786,3,45,70,,,Level 1,2015-03-25T04:00:00.000
94076,82EC569F-A7DF-4A3A-9B83-54B67F6BF9AB,2015-03-04T05:00:00.000,10693,1,20,76,,,Level 1,2015-03-26T04:00:00.000
76450,80C37107-1317-41E7-8475-5C63FC81A23B,2015-03-13T04:00:00.000,10691,1,28,74,,,Level 1,2015-03-13T04:00:00.000
74037,B4AA48FB-2B2A-4DAF-A30C-FB09AD01F22A,2015-03-10T04:00:00.000,24669,3,16,71,,,Level 1,2015-03-10T04:00:00.000
83648,75840898-5A9F-497D-9363-5F52A98BA784,2015-03-18T04:00:00.000,15314,3,18,64,,,Level 1,2015-03-18T04:00:00.000
85243,B6428955-A919-4A76-B93F-A0E9CE8D93D8,2015-03-11T04:00:00.000,17616,2,15,37,,,Level 1,2015-03-19T04:00:00.000
93254,AA440455-3DC8-4C09-A755-BD6395861B84,2015-03-02T05:00:00.000,10693,1,30,76,,,Level 1,2015-03-25T04:00:00.000
94038,BBC2BB7F-44B4-464A-A9EB-5D5CA70BB2FD,2015-03-25T04:00:00.000,10692,1,16,76,,,Level 1,2015-03-26T04:00:00.000
81663,D2045E66-7662-4432-A750-9E268F76B4C2,2015-03-16T04:00:00.000,14191,3,28,67,,,Level 1,2015-03-17T04:00:00.000
90872,9B021F4D-38E3-432D-8588-59F860683C64,2015-03-24T04:00:00.000,12344,5,24,30,6.0,8.0,Sidewalk Rating,2015-03-24T04:00:00.000
76437,7DD6AE82-8650-463B-9F76-3E292AF16B68,2015-03-13T04:00:00.000,24016,3,15,64,,,Level 1,2015-03-13T04:00:00.000
93654,D601AA52-4D78-4549-9FE6-E311F13953A0,2015-03-25T04:00:00.000,18182,2,10,57,,,Level 1,2015-03-25T04:00:00.000
96039,7B49D9F9-DA30-46C9-A1F8-76658B8748CC,2015-03-05T05:00:00.000,10693,1,15,76,,,Level 1,2015-03-27T04:00:00.000
94878,4299DB71-CD32-49E3-BC23-5F819B2546B5,2015-03-04T05:00:00.000,10693,1,22,76,,,Level 1,2015-03-26T04:00:00.000
72845,C80C9E73-C3C3-4F1B-B629-1A60815C3347,2015-03-16T04:00:00.000,10700,1,21,74,,,Level 1,2015-03-11T04:00:00.000
92841,5F0D6DF7-E59D-41F0-B0EE-F433228B4813,2018-03-23T12:38:54.000,14507,3,17,69,,,Level 1,2015-03-25T04:00:00.000
90883,C02E47E2-F048-4DA4-8AD2-89ABE0C94BCE,2015-03-24T04:00:00.000,14196,3,32,69,,,Level 1,2015-03-24T04:00:00.000
86844,3AC54FB6-268F-4A55-95DE-B8B73420E02A,2015-03-16T04:00:00.000,11272,5,5,33,,,Level 1,2015-03-20T04:00:00.000
94071,D938E096-A1C2-4C8C-B016-7E6660F63DB8,2015-03-26T04:00:00.000,10700,1,16,75,,,Level 1,2015-03-26T04:00:00.000
95648,A3417DE9-812F-40C2-A467-E6D905AE7D8A,2015-03-06T05:00:00.000,10693,1,30,76,,,Level 1,2015-03-27T04:00:00.000
95650,C8ADB0BA-7C63-4AEB-B57D-2DFD0912EC30,2015-03-16T04:00:00.000,12083,4,11,11,,,General - Planting Space,2015-03-27T04:00:00.000
94837,57A4D392-5B90-4DF8-B28D-941C0120DBAA,2015-03-25T04:00:00.000,10695,1,22,76,,,Level 1,2015-03-26T04:00:00.000
90453,6662627D-E68D-4631-AFF4-8EFC96A454FF,2015-03-18T04:00:00.000,13827,2,18,42,,,Level 1,2015-03-23T04:00:00.000
70437,568A662E-15D4-4E57-BD16-F9D55D9C80A2,2015-02-04T05:00:00.000,12083,4,24,11,,,Level 1,2015-03-09T04:00:00.000
81263,4C3989B5-653D-46D3-A251-3E1330AAB959,2015-03-16T04:00:00.000,14192,3,18,67,,,Level 1,2015-03-17T04:00:00.000
71640,E9D2728E-E15E-4B65-82D4-DBB46C5EB766,2015-03-10T04:00:00.000,14787,3,35,73,,,Level 1,2015-03-10T04:00:00.000
94883,040ABE98-95CB-44EB-AD44-FC7EF92DAB97,2015-03-25T04:00:00.000,10700,1,23,74,20.0,8.0,Sidewalk Rating,2015-03-26T04:00:00.000
94056,B46DE00A-3F91-4E15-92C8-742D7D798EAC,2015-03-25T04:00:00.000,12424,4,14,18,,,General - Planting Space,2015-03-26T04:00:00.000
94470,650D3B95-929D-46F9-86F1-507C3D7DB8DB,2015-03-24T04:00:00.000,16866,2,36,40,,,Level 1,2015-03-26T04:00:00.000
72847,DADC40C1-669C-4778-9862-ED93B881F4BD,2015-03-10T04:00:00.000,24670,3,18,61,,,Level 1,2015-03-11T04:00:00.000
82845,03CAA140-759F-4259-A0C9-74F98D140037,2015-03-13T04:00:00.000,15312,3,0,71,,,General - Planting Space,2015-03-18T04:00:00.000
78439,1BCB4471-7A0A-451C-A09F-DDAA242F9243,2015-03-12T04:00:00.000,12424,4,14,17,,,Level 1,2015-03-15T04:00:00.000
94857,1F1BE0EF-2EE1-4B0B-BEC4-FC2462D30819,2015-03-24T04:00:00.000,17614,2,30,40,,,Level 1,2015-03-26T04:00:00.000
87680,91F06534-40EB-4B42-9A3D-51B65D92061E,2015-03-20T04:00:00.000,10700,1,26,75,,,Level 1,2015-03-20T04:00:00.000
93245,8C233769-B99A-4923-9DD5-C84EF85C844B,2015-03-21T04:00:00.000,17617,2,14,50,,,Level 1,2015-03-25T04:00:00.000
79682,20A27260-2B60-4AE0-9639-42ED7D54BFD8,2015-03-16T04:00:00.000,15310,3,15,62,20.0,12.0,Sidewalk Rating,2015-03-16T04:00:00.000
89244,C863DD22-87FF-439A-A580-D3A9F795ADB6,2015-03-20T04:00:00.000,15313,3,30,71,,,Level 1,2015-03-23T04:00:00.000
79276,DF0041AC-F606-46EB-8587-BFBC2630EDC0,2015-03-16T04:00:00.000,15310,3,18,62,20.0,8.0,Sidewalk Rating,2015-03-16T04:00:00.000
94078,DB5ECB29-ADFF-4E53-BA5F-20C7A9C50F02,2015-03-04T05:00:00.000,10693,1,18,76,,,Level 1,2015-03-26T04:00:00.000
71240,2F0C0FC8-75AE-49A3-8EF7-60388FCAB917,2015-03-10T04:00:00.000,14506,3,42,69,,,Level 1,2015-03-10T04:00:00.000
94872,B43DA448-2ACD-4F5A-87D4-B974659A71B0,2015-03-24T04:00:00.000,16863,3,34,72,20.0,10.0,Sidewalk Rating,2015-03-26T04:00:00.000
73643,03E02A15-69F8-400D-A398-7A0EAF3D2ECD,2015-03-11T04:00:00.000,14193,3,24,67,,,Level 1,2015-03-11T04:00:00.000
96050,45EB2FCA-6EE6-4825-92F4-EAAA20D0B960,2015-03-05T05:00:00.000,10693,1,40,76,,,Level 1,2015-03-27T04:00:00.000
96048,8E21611C-CC8C-4591-BCC2-5E77D7B3A5B7,2015-03-05T05:00:00.000,10693,1,7,76,,,Level 1,2015-03-27T04:00:00.000
80066,EC0343E5-F42F-4FA0-B866-E81E0C3B4642,2015-03-05T05:00:00.000,14507,3,12,65,,,Level 1,2015-03-16T04:00:00.000
72842,2421DF8B-73D1-4F3F-A137-BC27035E620F,2015-03-10T04:00:00.000,24014,3,23,60,,,Level 1,2015-03-11T04:00:00.000
72040,52A708B1-F9B5-4CEB-AC0E-15CC7831819D,2015-03-10T04:00:00.000,14781,3,15,72,,,Level 1,2015-03-10T04:00:00.000
94874,79CD28E3-AF68-4006-A8E4-115FA049C768,2015-03-04T05:00:00.000,10693,1,20,76,,,Level 1,2015-03-26T04:00:00.000
81252,B742846B-6D35-4C88-ACB9-4B843DC5CB31,2015-03-17T04:00:00.000,10369,1,36,74,,,Level 1,2015-03-17T04:00:00.000
93242,A98B4C27-930F-4EA2-9675-A36BC7C53938,2015-03-18T04:00:00.000,14786,3,45,70,,,Level 1,2015-03-25T04:00:00.000
81662,3E00D8E9-EC25-41F3-AE4E-B2CD916FD597,2015-03-16T04:00:00.000,14511,3,32,73,,,Level 1,2015-03-17T04:00:00.000
94848,32C8A782-C609-4587-8F31-3DB27AFD0EDA,2015-03-03T05:00:00.000,10693,1,38,76,,,Level 1,2015-03-26T04:00:00.000
94080,13C16A49-75ED-46CE-A0C9-4BB66B50DD6F,2015-03-25T04:00:00.000,10369,1,10,74,20.0,8.0,Sidewalk Rating,2015-03-26T04:00:00.000
96046,2313F46E-652C-415B-B153-88529D73A01D,2015-03-26T04:00:00.000,15314,3,19,64,,,Level 1,2015-03-27T04:00:00.000
94081,72271EEA-052A-4012-A0D9-311A2CCD32DE,2015-03-23T04:00:00.000,10697,1,13,74,20.0,11.0,Sidewalk Rating,2015-03-26T04:00:00.000
70839,99FE920F-5C68-4F25-B042-38BED8A72177,2015-03-09T04:00:00.000,24337,3,19,63,,,Level 1,2015-03-09T04:00:00.000
94873,C1A33AF7-165B-4577-B3D9-826CFDB6577A,2015-03-04T05:00:00.000,10693,1,6,76,,,Level 1,2015-03-26T04:00:00.000
83254,D9AC4CD4-9278-4458-BBBF-11DAF374D90C,2015-03-13T04:00:00.000,16866,2,31,40,,,Level 1,2015-03-13T04:00:00.000
96041,15BC5447-0AC4-453C-BB70-BB8EF862DCAB,2015-03-05T05:00:00.000,10693,1,30,76,,,Level 1,2015-03-27T04:00:00.000
