globalid,swdamagerating,inspectionstatus
D323691D-76CA-45E5-9F68-CF717FCB795A,,Closed
3B40F6FB-881B-414D-86D9-89E44785500B,,Closed
1D5A846E-1703-490C-BA26-0243FC9338C5,,Closed
D3D32577-360E-4804-9BD5-6A3C989BFFC0,,Closed
B74F10C0-4415-4F9C-BDB3-E26BF3C85740,,Closed
D2BC4505-6368-40E3-8551-D8FFB45FDE57,,Closed
DCBB4AC4-8A31-431C-A4CA-7E1B24EC6FD0,,Closed
0AFA1CA8-EF3F-407B-9AED-649C54A69CE1,20.0,Closed
7DD79062-6BA0-4D50-B94B-37743A76B5C1,,Closed
84D76B7D-93D7-4EF0-9597-731B70CC3C0A,,Closed
BCBAB3BF-D25B-40E3-8C39-256891A7C104,,Closed
18BF8A28-9B4D-40C0-99D4-3A6671C0B2DB,,Closed
398C19D9-6BD2-4DD8-BE97-53B9CD447B9B,24.0,Closed
51705038-B2AC-4863-8AF1-DCB81E2143F1,,Closed
A1AFB8CB-D1DD-4490-B5D5-13A80E456895,,Closed
C8928877-EEC7-47A9-97BA-0A800EF44C29,,Closed
981A2B5E-8F19-4333-B072-64F46A887F28,18.0,Closed
F05CE29A-CD59-4431-9B7B-1BBEE5591231,18.0,Closed
9F254325-F7B2-49C8-B4AD-B356815B7E73,,Closed
03F7FC81-F410-4444-A8D0-7478407D4220,,Closed
1A5C1B08-75D3-4B87-9E1B-EB6FD3D7DDB7,,Closed
0BA409BD-1E9C-4DCE-AF7B-3AB9D7C1F10C,,Closed
11B1F6C1-1D76-42BC-8819-170579E7D1EF,6.0,Closed
A35D071B-43C4-4FFB-95AD-79EC947072BC,,Closed
138BAD6B-A17E-440B-A0D5-48183FBF2384,,Closed
6CEC285F-3CC5-4FE8-BC22-7A75AB4644B7,,Closed
EC906EF0-7B1E-498B-9F92-8D81E4025418,,Closed
ABC7D978-0A20-4C34-9DEC-010932A2B0A1,,Closed
74F33EB9-69BB-4671-8AE5-23147A987154,,Closed
DA651DC8-A117-483E-8619-A7462A0CC33A,,Closed
9A8F87F7-6464-44EE-8364-2A260B376588,,Closed
CF840BD1-165A-48C0-BB0B-60EAE868EBB3,,Closed
2C090ACB-CC99-4F29-B1A5-F7143CCC67A5,,Closed
D7F98748-4BF6-47DC-8742-37153E6B98B3,,Closed
AA53FE12-0E6A-40BE-8FD0-13B78F7E7FFF,,Closed
2D698608-0314-4567-9587-95E95AC4F78C,,Closed
F5E99F41-D58D-4C9C-9CC6-4F43EAA613EB,18.0,Closed
3881CA7D-B5C4-4BAF-B485-2564A0A91B58,,Closed
4020C315-0476-456E-8F27-31E6DE8A7E67,,Closed
3365E401-883E-411D-9ACE-BD947E373421,,Closed
26BC7C74-4CF0-4D3A-B730-C9A5248B1E52,,Closed
BE49E8C7-03A9-4912-875F-21DE0CC671D9,,Closed
9CDD0ECB-D4CF-4D16-B5CF-C95AFE901E9C,,Closed
B4603BC8-91D6-4778-BDCC-359676137B43,,Closed
0BD1C65C-D2F1-4E89-BB5E-653B544D2FB2,,Closed
BAD65C75-C086-41B7-9332-B43AA35ACAA9,,Closed
170943A7-CE9A-478F-9B90-513149BC1283,,Closed
51CC1969-1D81-4BF5-899C-C9B2E95D36D3,,Closed
AAFDDCF1-B55A-48E7-8E7A-A3DABA4D5366,,Closed
E6926FF8-F4F5-43DB-9ECC-AEA00FCA9502,,Closed
0596FCDC-B4E5-4FDE-8AAD-C06C29FFB41E,,Closed
EC6848C4-7136-4B6B-8301-1747F7CA666B,,Closed
DCA3A817-ED7E-4386-94E5-86EC77F1D46D,,Closed
75A4E7A0-CCA4-4E92-B12A-36A82657EE1B,,Closed
EAC6A6DF-94A8-4646-9BE8-809845284219,,Closed
304F5E07-9FF8-4955-A138-FDAB90C8E64E,,Closed
DD66D816-AE1B-461F-B7E3-8DBE635D666E,,Closed
B814E80A-687D-47F3-B7DA-9FDC655678F9,,Closed
CFBC846A-66A3-47DC-A326-B43022AAE00A,,Closed
9C84269B-0127-43C2-BE79-4893EB2E398C,,Closed
8B5F8DCF-B69A-4961-86B6-0508FF83F8CA,,Closed
28F4103D-EDC3-4308-B500-FD642E44747C,30.0,Closed
3D2C21CE-599A-4A17-9DD0-49992C1D2A52,,Closed
F8DBC273-E07E-44A4-B210-A272BCDD0044,,Closed
3CA9BBD7-DE92-4C60-987E-941066C0CC58,,Closed
7A88F952-1E31-43A5-949B-18530CD4147A,,Closed
DE3F4A9D-A7FF-4425-B118-3162BE4A8F3D,,Closed
727C27F9-752B-48FE-ABA9-A9EF0125FBAF,,Closed
1C5009E4-D804-4123-A9A3-098D75A83E89,,Closed
8A97E831-8BDF-4805-BC9E-C8DDB26A01C4,,Closed
309735C4-B6FB-4829-A042-D01ABB9DF43A,,Closed
1A6A2E9F-0789-4A8B-A514-E9719196B179,,Closed
ABD484E5-D467-45D1-BCA7-2478E78DE05C,24.0,Closed
A83E0C83-EB39-459C-8073-0F709E820127,,Closed
84F5A875-46C4-4A1C-8E13-C98A2E91E328,,Closed
F33C6C89-9DF9-47B9-8128-50565F706E99,,Closed
B7081BA6-FE5A-40D3-B82B-FBD1F4CDF4A2,,Closed
5470A785-315E-422A-8251-801B63D06157,,Closed
52D5B7AD-AA21-4CB4-A836-A97C51867301,,Closed
3FB0A315-6FD2-4DB5-9A27-8D5E19249968,6.0,Closed
36AF9616-8B91-4185-B118-DBC036F9770F,1.0,Closed
4778B6B9-EA26-4477-931A-EA227C9CC8C5,,Closed
980E10F9-78B1-4FE4-9F5B-3B5FAAD84866,,Closed
3817BED6-F4DE-4A20-A128-71CB9AB4C62F,,Closed
6334684B-74F6-498C-A4CB-94536547AD07,20.0,Closed
FFFBFE69-75FD-497C-BB72-E843061D083C,,Closed
0B1D39CC-62EC-4527-BCAA-29C45E709F04,,Closed
77184692-B1E7-45AC-94DC-093DC9341002,,Closed
DD8AC177-5604-4BCF-9A88-6BBE0592F451,,Closed
B784BA79-20FD-44DE-8530-42C306860109,,Closed
54B18564-98D0-43FE-9A24-2630304DD154,,Closed
FCB7470C-BC18-45C9-8C29-91F7FF4B4A5A,,Closed
D75BD2AE-A7F7-49D6-BB8F-55B35868489E,,Closed
86E3443B-A80A-4064-A1EF-48022D8F5F26,,Closed
CC9688C2-080E-41C4-9367-A7D9A84FFF42,,Closed
08391079-8B91-4D25-AC2D-7557BF0C78FB,,Closed
A56B63AC-9AE0-47A0-9F50-5D90A70672C5,,Closed
CD98D352-9848-46A5-B181-B386B60B86E8,,Closed
D27A8C8C-213D-4F8B-BF8A-AC2922098A41,,Closed
6B0E5423-A59F-48D9-AA20-1333B8152966,12.0,Closed
973C62C7-79D1-4DA3-98E2-F43EA1FDAF7F,,Closed
DB2E4BB8-5B41-4650-A34B-2DA4F3DA1783,,Closed
F9E24A1B-E43C-4B4F-98FE-19C91A6DE933,12.0,Closed
8B5D05B2-F8D0-443E-9073-728C0C0492F9,,Closed
B76715DC-0E5C-4AED-A5F7-6A255DFA9C00,,Closed
92670185-39CF-4262-82A2-2B5B96016698,,Closed
F013DD01-353C-4F1D-8DA6-E7737B5705F2,,Closed
388EA047-800E-499A-AF15-07F3C2D3D2D2,,Closed
5123918A-0DCC-47AC-823E-D7226C0B18BC,,Closed
376827D7-755D-4A82-8297-DACB17268349,,Closed
5B342A56-5712-4CB5-ACF2-991782983F0C,20.0,Closed
8AE93036-67CA-41F2-BFB6-ADC92C504A9A,,Closed
B9CC2181-6B9C-48BF-B8F3-F6B5D7E6F893,,Closed
E31B16D4-BA80-44DA-ADE9-0CE4FA06DFF6,,Closed
CD32840C-9C29-4CB5-9C81-85CDE7F9CC85,,Closed
25238480-A9AD-4DCB-97CE-8D1EDFCAA480,,Closed
1B6219C3-9279-4911-BCA1-D2E2BDBF5071,,Closed
D539271A-E5AD-422F-9A48-74D3E14D58B3,,Closed
D28A7F8D-3AA8-43E8-A0DE-C70389CE9CE3,,Closed
89BF7FD9-363E-44E5-811C-8FADB3E117FE,,Closed
7D2E5734-FD81-4077-A922-E66E85676998,15.0,Closed
364738BE-B470-4849-A1D2-48036C1A957E,,Closed
25129D7F-642F-4316-BF0A-84F06B5CDCE5,,Closed
134396BD-9077-4B02-A837-E287EABDF0C8,,Closed
0E648F27-3E91-4832-A803-4162D1FA7797,,Closed
BDDA8BD2-1ED3-4C00-B3C0-294AA0DDC9DE,,Closed
ED670E72-E280-4F52-9F04-9D1E3A49DFCB,,Closed
A0E4C70B-8CA6-43D3-BD66-29DA2EEA63B5,,Closed
85952676-F99B-48F7-B158-F8C482CF3A69,,Closed
3371AF0E-037A-42FB-B054-9DA0FA907DD3,,Closed
8C559CE3-A332-4031-8BA5-82DD4E08C9A8,,Closed
63317435-883F-4957-849F-8EF503B4C321,,Closed
342D0AA1-B389-4759-8C3E-ACA63D4D0072,,Closed
DC0D1F39-2DC0-4EAF-A3FA-B39E1F6845F9,,Closed
71023403-73A6-4F10-A391-E4C26CDDC423,,Closed
B8B1E673-D68D-4C58-BD34-7EE422B99E63,,Closed
41FFB126-C8E4-4BA7-8ECF-EC7AA435DC3C,,Closed
