plantingspaceglobalid,geometry,inspectiontpstructure,:@computed_region_92fq_4b7q,closeddate
D9AC4CD4-9278-4458-BBBF-11DAF374D90C,POINT (1002553.1547918916 172287.73291684687),Shaft,26,2015-04-22T14:17:00.000
560FED46-BD30-4D1F-93EC-0432087DD409,POINT (958682.34958356619 166704.75166684389),Full,13,2015-03-16T04:00:00.000
DB5ECB29-ADFF-4E53-BA5F-20C7A9C50F02,POINT (951648.436666891 142888.10520851612),Full,14,2015-03-26T04:00:00.000
5B185C97-098A-491E-B8AB-22C461FA1040,POINT (1015637.5783335567 213583.78812518716),Full,5,2015-03-23T04:00:00.000
03CAA140-759F-4259-A0C9-74F98D140037,POINT (1049262.97750023 195096.00875018537),Shaft,6,2015-03-23T04:00:00.000
32C8A782-C609-4587-8F31-3DB27AFD0EDA,POINT (951244.41479189694 143482.22458352149),Full,14,2015-03-26T04:00:00.000
4C3989B5-653D-46D3-A251-3E1330AAB959,POINT (1034148.2170835584 225550.69625018537),Full,20,2015-10-13T17:46:00.000
A783840B-36A9-475B-BEE1-E8B2248F6333,POINT (999614.90250022709 223336.44291685522),Full,1,
B3E480C9-E951-4EB8-BF00-2A6BBC68A701,POINT (999301.54000023007 187288.49583351612),Full,49,2015-03-10T04:00:00.000
FE31E753-DA9F-418D-8278-98833CA79C63,POINT (996863.74437522888 223738.68895851076),Full,1,2015-03-23T04:00:00.000
B099B4D0-4A3E-49B5-8684-0BE7BAD84C49,POINT (1054325.0920835584 182961.99833351374),Full,47,2015-03-24T04:00:00.000
DD626F38-7E7F-4810-B72C-CF792ABBC76F,POINT (1060112.0260418952 178487.59541684389),Full,47,2015-03-23T04:00:00.000
563D1B50-43A3-44E3-B581-0964B6646DFC,POINT (1005318.9756252319 178153.43354184926),Full,17,2015-03-24T04:00:00.000
D79A2C04-1227-4FC5-B1E3-652C14D9E417,POINT (958934.08562523127 166756.40083351731),Full,13,2015-03-16T04:00:00.000
FE07C6EB-94FD-47CA-A01A-F1CEB05FE8E3,POINT (951571.1375002265 142950.93187518418),Full,14,2015-03-26T04:00:00.000
F47E38DA-DB57-4F47-9025-456F2336447F,POINT (1012334.3918752223 195152.88375018537),Full,34,2015-03-31T04:00:00.000
47D26102-6955-4114-A810-F0430EA6C793,POINT (1009899.3602085561 268935.36625018716),Full,40,2015-03-30T04:00:00.000
4BD001A4-0CDD-4A6B-BE52-A160497484BF,POINT (951620.73020856082 143396.75416685641),Full,14,2015-03-25T04:00:00.000
F3ECD5C6-30D8-4C99-A578-80B07AE1B97D,POINT (993584.50208356977 233427.49354185164),Full,23,
E4E63A70-FD87-4D95-8A1C-B135CD7CFBBF,POINT (996907.33416689932 219351.91166685522),Shaft,1,2015-03-04T05:00:00.000
6BED1D32-A49B-4987-9C3B-CEEAD4F253D0,POINT (1021532.9635418952 255866.19458352029),Full,22,
C863DD22-87FF-439A-A580-D3A9F795ADB6,POINT (1050897.9168752283 188360.56812518835),Full,6,2015-03-23T04:00:00.000
03E02A15-69F8-400D-A398-7A0EAF3D2ECD,POINT (1040149.0856252313 221117.80104185641),Full,20,2015-05-14T14:21:00.000
232B1707-EB9B-430E-A414-A750E28DAC41,POINT (944989.64729189873 142937.42229184508),Shaft,9,2015-03-27T04:00:00.000
AB084964-EF01-41B9-9525-730BF35E8C2A,POINT (999661.79687522352 175087.37666684389),Full,26,2016-11-15T14:47:00.000
E7C101AF-A22E-40E5-A8D2-BE9163E434CB,POINT (1042172.3083335608 203362.17208351195),Full,24,2015-03-11T04:00:00.000
91F06534-40EB-4B42-9A3D-51B65D92061E,POINT (950004.55645856261 158481.96375018358),Full,14,2015-03-20T04:00:00.000
CD82FFFA-CE68-4104-A0BD-68188A3C63CD,POINT (1025649.8302085698 266277.79770851135),Full,2,2015-03-20T04:00:00.000
C80C9E73-C3C3-4F1B-B629-1A60815C3347,POINT (948453.66666689515 163278.62166684866),Shaft,14,2015-03-20T04:00:00.000
B742846B-6D35-4C88-ACB9-4B843DC5CB31,POINT (959165.14687523246 166413.60416685045),Full,13,2015-03-17T04:00:00.000
15BC5447-0AC4-453C-BB70-BB8EF862DCAB,POINT (951632.865000233 143537.38791684806),Full,14,2015-03-27T04:00:00.000
BDC79AC4-0F95-43F8-AD30-B0FAE3F625E5,POINT (951794.27000023425 142719.70250017941),Full,14,2015-03-26T04:00:00.000
7648AE15-9318-4E1D-AB2F-9C5EAE762F9C,POINT (987165.54250022769 162698.06333351135),Shaft,45,2015-03-20T04:00:00.000
BAA0D416-118A-4499-B2AE-21DCB54E4948,POINT (1001950.3602085561 240843.08833351731),Full,36,2015-03-16T04:00:00.000
3E00D8E9-EC25-41F3-AE4E-B2CD916FD597,POINT (1020179.9383335561 219341.53937518597),Full,21,2015-03-23T04:00:00.000
7B49D9F9-DA30-46C9-A1F8-76658B8748CC,POINT (951666.59958356619 143585.18833351135),Full,14,2015-03-27T04:00:00.000
80C37107-1317-41E7-8475-5C63FC81A23B,POINT (962929.6020835638 166577.82854184508),Full,13,2015-03-13T04:00:00.000
5F0D6DF7-E59D-41F0-B0EE-F433228B4813,POINT (1042284.3697918952 211348.22916685045),Shaft,3,2018-03-23T12:38:54.000
C8ADB0BA-7C63-4AEB-B57D-2DFD0912EC30,POINT (994835.80166690052 219552.99541684985),Full,51,2015-03-27T04:00:00.000
BBB2EB70-F1DD-4DCE-B202-16F6F1E184A2,POINT (1016214.8847918957 207682.52895851433),Shaft,5,2015-03-23T04:00:00.000
8C233769-B99A-4923-9DD5-C84EF85C844B,POINT (987902.56708356738 181917.01625017822),Full,27,2015-03-25T04:00:00.000
B46DE00A-3F91-4E15-92C8-742D7D798EAC,POINT (999891.369583562 232966.85520851612),Full,36,2015-03-26T04:00:00.000
7DD6AE82-8650-463B-9F76-3E292AF16B68,POINT (1033326.3881252259 183425.54041685164),Full,41,2015-03-13T04:00:00.000
A4437875-C119-4CB3-8028-BEAD5EC925B3,POINT (1032680.3379168957 245446.80729185045),Full,12,2015-03-20T04:00:00.000
4B4E244E-DAE5-4199-B703-0BDA3EBA4601,POINT (951331.48791690171 143239.23375017941),Full,14,2015-03-27T04:00:00.000
6662627D-E68D-4631-AFF4-8EFC96A454FF,POINT (1008711.4120835662 171622.78729185462),Full,8,2015-03-23T04:00:00.000
A98B4C27-930F-4EA2-9675-A36BC7C53938,POINT (1025926.6754169017 199798.43583351374),Full,28,2015-03-25T04:00:00.000
BF668F78-5CEE-46C4-A865-A010CAC8550E,POINT (954598.28562523425 148101.4866668433),Full,14,2015-03-27T04:00:00.000
43C3673C-2F01-4D41-9BA8-7557496DE376,POINT (1020426.7922918946 242027.03520852327),Full,31,2015-03-19T04:00:00.000
2E4AA5D2-9868-44E0-93DC-0BDB874D205D,POINT (951037.43416689336 143375.73541684449),Full,14,2015-03-26T04:00:00.000
8EBBA2E5-1923-46E1-AD1D-3D93144C1D39,POINT (951517.36041688919 142941.70770852268),Full,14,2015-03-26T04:00:00.000
2F0C0FC8-75AE-49A3-8EF7-60388FCAB917,POINT (1045604.0135418922 212457.77562518418),Full,3,2015-03-10T04:00:00.000
4C3989B5-653D-46D3-A251-3E1330AAB959,POINT (1034148.2170835584 225550.69625018537),Full,20,2015-03-24T04:00:00.000
3905D063-4E10-43EF-BCC6-A6F31DEF03BE,POINT (1011688.8004169017 180679.61000017822),Full,25,2015-03-27T04:00:00.000
0783D7AE-C866-4ECB-B7D9-D8431CC5B5B3,POINT (991728.514791891 167262.77979184687),Full,18,2015-03-19T04:00:00.000
5FA53832-1420-44E7-B6C2-AC7601E2729C,POINT (1037232.1627085656 198347.50333352387),Full,24,2015-03-09T04:00:00.000
2B19D148-AF75-4D9B-B39E-BDE9490FE2FD,POINT (940457.33895856142 137669.58541685343),Shaft,9,2015-03-25T04:00:00.000
2421DF8B-73D1-4F3F-A137-BC27035E620F,POINT (1030314.6693752259 191914.25541685522),Full,46,2015-03-11T04:00:00.000
3AC54FB6-268F-4A55-95DE-B8B73420E02A,POINT (1010760.655416891 259443.48875018954),Full,40,2015-03-20T04:00:00.000
65CA7634-97CD-4E63-BA9A-F683D8C47464,POINT (951811.41416689754 142941.05666685104),Full,14,2015-03-27T04:00:00.000
6AD76745-F0D1-4FD2-BA01-9DB13D548347,POINT (1032389.1052085608 240445.28833352029),Full,12,2015-03-27T04:00:00.000
5CB83014-0CD8-4ACE-A2CB-B0CC1F08A9C2,POINT (951819.35000023246 142759.68166685104),Full,14,2015-03-26T04:00:00.000
A619A7A0-7895-4997-92A9-05AA8CBD0E08,POINT (951439.88645856082 142966.88104185462),Full,14,2015-03-26T04:00:00.000
93353090-592E-4445-99B9-67B4EDD7A225,POINT (986621.69645856321 216642.62041684985),Full,10,
040ABE98-95CB-44EB-AD44-FC7EF92DAB97,POINT (948705.2943752259 166165.77458351851),Full,13,2015-03-26T04:00:00.000
41385F34-16D5-464A-A82F-95750240E996,POINT (1004398.5564585626 191338.45395851135),Full,17,2020-05-21T15:00:00.000
EAAF7E4F-6125-406F-BD5E-1FEEA2BFC6B5,POINT (950959.74312523007 143442.14166684449),Full,14,2015-03-26T04:00:00.000
1BCB4471-7A0A-451C-A09F-DDAA242F9243,POINT (997346.67645856738 235576.29229184985),Shaft,36,2015-03-15T04:00:00.000
6170B810-0779-43D8-B212-52565BA065EC,POINT (1034744.7991669029 201724.214375183),Full,24,2015-03-19T04:00:00.000
9EE1F9F9-E996-4447-8BBD-82437B7D1393,POINT (998124.308541894 232708.1116668433),Full,36,2015-03-09T04:00:00.000
138C6510-2DEF-4165-97C8-4DA157603180,POINT (1034503.6281252354 220308.30750018358),Full,20,2015-03-24T04:00:00.000
4DE02A64-F5DC-42E4-8148-E385307CFCFE,POINT (1028084.8516668975 184284.69812518358),Full,41,2016-02-16T17:39:00.000
D309D545-9A62-4C7C-8FAB-8C7FD0619C68,POINT (1006910.8064585626 186122.80604185164),Full,17,2015-03-11T04:00:00.000
B43DA448-2ACD-4F5A-87D4-B974659A71B0,POINT (1004335.0162502229 216900.28104184568),Full,4,2015-03-26T04:00:00.000
20A27260-2B60-4AE0-9639-42ED7D54BFD8,POINT (1011496.5270835608 193901.87875019014),Full,30,2015-03-20T04:00:00.000
35836A44-21B5-4ED4-9FF0-A6F361AA33F0,POINT (951864.75729189813 142716.55687518418),Full,14,2015-03-26T04:00:00.000
FB016AF0-5BF7-49B0-AA42-4273DFE53E53,POINT (1001486.3156252354 172331.27291685343),Full,26,2017-02-21T20:44:00.000
CA7B99B5-7BAE-437A-B00D-678D41135036,POINT (1022930.8687502295 235719.90104185045),Full,31,2015-04-01T04:00:00.000
EAAF7E4F-6125-406F-BD5E-1FEEA2BFC6B5,POINT (950959.74312523007 143442.14166684449),Full,14,2015-03-26T04:00:00.000
8B5A8AEC-48DC-4F9F-A303-E8FF23CEA779,POINT (962756.91895855963 166511.57187518477),Full,13,2015-03-13T04:00:00.000
DD08706E-EE0B-4C97-BE69-F7D0C5B893BB,POINT (951478.90666688979 143025.58458352089),Full,14,2015-03-26T04:00:00.000
A4AED130-38B8-4FB1-9CA5-4D548FB7BC01,POINT (1004098.8983335644 250271.82958351076),Full,39,
B1CFB65C-C56C-43FB-A357-5CDC59B1E6EE,POINT (951345.81083355844 143257.0287501812),Full,14,2015-03-27T04:00:00.000
74D0B306-7BAD-4AB8-AA0A-705D464284EF,POINT (1033720.2354168892 237137.97979184985),Full,12,2015-03-24T04:00:00.000
A3417DE9-812F-40C2-A467-E6D905AE7D8A,POINT (954780.416458562 148236.9927085191),Full,14,2015-03-27T04:00:00.000
FFDACCC7-ED49-4B13-9B54-A65928394819,POINT (948941.83958356082 160107.18083351851),Full,13,2015-03-27T04:00:00.000
B56E8DD9-B8F8-412F-85B6-BE0AF19DA425,POINT (1064750.2470835596 209135.76875019073),Full,16,2015-03-24T04:00:00.000
4A6ECEA8-7117-47F3-8EB8-DB06B4E075EE,POINT (940960.98250022531 156319.11958351731),Full,14,2015-03-20T04:00:00.000
C02E47E2-F048-4DA4-8AD2-89ABE0C94BCE,POINT (1044111.3802085668 217995.95312517881),Full,20,2015-03-24T04:00:00.000
A1427F22-91FB-40F2-81E0-8376461D431D,POINT (1029834.639791891 264255.64062517881),Full,2,2015-03-20T04:00:00.000
15B8F1B8-624C-4CC1-81F7-5B1BF3CDF8A5,POINT (954094.36437523365 147236.13416685164),Full,14,2015-03-27T04:00:00.000
D021368B-916B-41E5-96F8-2549EEA9ACFB,POINT (1058658.8533335626 202915.99145852029),Full,16,2015-07-08T13:34:00.000
757328E2-3378-4C45-971F-886BF556E8CD,POINT (1053583.9837502241 189804.66333352029),Full,6,2018-03-26T09:49:21.000
C1A33AF7-165B-4577-B3D9-826CFDB6577A,POINT (952063.61583356559 142559.19979184866),Full,14,2015-03-26T04:00:00.000
4A2A805F-63BD-44CA-BAAE-2759B37A6F3F,POINT (1041765.4072918892 207593.07479184866),Full,24,2015-03-17T04:00:00.000
B4AA48FB-2B2A-4DAF-A30C-FB09AD01F22A,POINT (1049611.9070835561 186089.42020851374),Full,6,2015-04-29T14:12:00.000
A5EE3959-7D10-41B6-BA4C-4166AE13AC06,POINT (983612.19541689754 174564.21208351851),Full,7,2015-03-26T04:00:00.000
06041913-1AAA-4D9E-B497-61DE753B7E52,POINT (1009821.6137502342 237735.43604184687),Full,43,2015-03-16T04:00:00.000
7C544FE5-1337-45A4-BBB1-7451855D0041,POINT (1037584.2985419035 183281.40062518418),Full,46,2016-02-16T17:37:00.000
E194EE23-6E82-4C32-B0E2-36C62EFA384D,POINT (1027025.1729168892 235934.43770851195),Full,31,2015-05-05T14:45:00.000
D601AA52-4D78-4549-9FE6-E311F13953A0,POINT (999155.08354189992 202249.94645851851),Full,38,2016-01-15T16:21:00.000
1701F644-B956-4CD8-A60D-86CF89F3F337,POINT (1001057.2537502348 178136.53708352149),Full,17,2015-03-23T04:00:00.000
92F419A2-BFC0-4396-978B-5F79ABB834F8,POINT (954773.6429169029 147983.15083351731),Full,14,2015-03-27T04:00:00.000
0350728F-19A7-411E-97E1-5F332898A305,POINT (1042381.7204169035 200558.10854184628),Full,24,2015-03-26T04:00:00.000
99FE920F-5C68-4F25-B042-38BED8A72177,POINT (1058224.5489585698 202529.44479185343),Full,16,2015-03-09T04:00:00.000
8FF05272-4749-45C9-813C-6123F7150603,POINT (1030027.7154168934 180913.01666684449),Full,41,2015-03-26T04:00:00.000
DADC40C1-669C-4778-9862-ED93B881F4BD,POINT (1038486.1895835698 189971.79875017703),Full,46,2015-03-24T04:00:00.000
DB402445-BB08-4716-B01D-685F8471EB6B,POINT (1032722.0043752342 185396.89437519014),Full,41,2015-12-13T13:34:00.000
3878CB12-9B60-4180-8F09-5BC794B372A9,POINT (1001638.3237502277 185663.51812517643),Full,49,2015-03-16T04:00:00.000
2313F46E-652C-415B-B153-88529D73A01D,POINT (1024293.0787502229 182398.24291685224),Full,41,2015-03-27T04:00:00.000
8FF05272-4749-45C9-813C-6123F7150603,POINT (1030027.7154168934 180913.01666684449),Full,41,2015-03-26T04:00:00.000
97F5DFDA-B1CA-4A5D-9DC8-9E3EDB83700D,POINT (1001479.8647918999 233876.81708352268),Full,36,2015-03-26T04:00:00.000
C32CA533-648D-49D5-B437-AD1A5876E9DF,POINT (950100.47666689754 158565.51416684687),Full,14,2015-03-09T04:00:00.000
C2E8AAB2-4143-426F-9BC2-90B98A9C3581,POINT (1007476.518125236 241693.73979185522),Full,42,2015-03-24T04:00:00.000
4062F6A9-7EF0-47A4-8549-FB30C7839AC9,POINT (954704.75916689634 148677.33916684985),Full,14,2015-03-24T04:00:00.000
9458C54C-825D-40A2-A342-5EC74ADABBBB,POINT (1040245.092916891 223528.5293751806),Full,20,2015-03-20T04:00:00.000
21431016-EDB8-4A0B-B122-673125800C87,POINT (1030579.8881252259 262707.9770835191),Full,2,2015-03-03T05:00:00.000
809DA95F-69D9-4809-A34A-AEE57D66C79A,POINT (1008864.5972919017 177147.04333351552),Shaft,25,2015-03-25T04:00:00.000
0F693C2D-EAEA-4D67-A8FB-40849D72BCD4,POINT (951784.41500023007 142785.92812518775),Full,14,2015-03-26T04:00:00.000
79CD28E3-AF68-4006-A8E4-115FA049C768,POINT (951827.25625023246 142693.00979185104),Full,14,2015-03-26T04:00:00.000
1F1BE0EF-2EE1-4B0B-BEC4-FC2462D30819,POINT (1005143.7266668975 179870.47833351791),Full,17,2015-03-26T04:00:00.000
92FFFF33-89EA-489F-9460-C3EBF56ECCA6,POINT (1056689.6693752259 201812.69187518954),Full,16,2015-03-09T04:00:00.000
82F87113-A2ED-44D4-8760-1E6437039CEF,POINT (998585.71979188919 181188.56104184687),Full,11,2015-03-25T04:00:00.000
5B185C97-098A-491E-B8AB-22C461FA1040,POINT (1015637.5783335567 213583.78812518716),Full,5,2015-03-23T04:00:00.000
CCFFD247-75D2-4601-85E0-8CCB35A29073,POINT (999360.21937522292 231178.81375017762),Full,36,2015-03-24T04:00:00.000
AA440455-3DC8-4C09-A755-BD6395861B84,POINT (951414.2162502259 143558.55354185402),Full,14,2015-03-25T04:00:00.000
6911D950-8AE4-49FF-A6DC-0E5C30434200,POINT (953276.62812523544 143089.47145850956),Full,14,2015-03-24T04:00:00.000
7CE025DD-A639-4E67-80DE-CDA18965C0B1,POINT (1002894.1783335656 229252.48083351552),Full,35,2015-03-23T04:00:00.000
F21B933A-DCE8-44BD-9DBB-090EBF3BB31A,POINT (954806.28270855546 147914.37458351254),Full,14,2015-03-27T04:00:00.000
AB084964-EF01-41B9-9525-730BF35E8C2A,POINT (999661.79687522352 175087.37666684389),Full,26,2016-11-15T14:47:00.000
D721AFFB-09B0-4762-A296-1E9FF391A81F,POINT (952831.70479188859 143679.33791685104),Full,14,2015-03-24T04:00:00.000
A9105105-92B3-475E-9B6D-5980D54AF2CE,POINT (1054588.9750002325 218734.13395851851),Full,20,2015-03-11T04:00:00.000
52139F5F-A059-4CB4-A486-175C05625670,POINT (1016225.1854168922 185654.28812518716),Full,37,2015-03-26T04:00:00.000
D2782DF4-3D74-465C-A8A3-F7DC16F689D8,POINT (981162.62125022709 161498.9866668433),Full,44,2016-10-26T12:31:00.000
75840898-5A9F-497D-9363-5F52A98BA784,POINT (1026589.1577085555 176423.83270852268),Full,41,2015-03-18T04:00:00.000
FE0A82E8-5ACA-4BEA-81FE-35DCF5F14C91,POINT (965277.44208356738 162204.19979184866),Full,13,2015-03-20T04:00:00.000
D2045E66-7662-4432-A750-9E268F76B4C2,POINT (1025698.8239585608 225339.65166684985),Full,20,2016-02-16T17:37:00.000
DA0E24CE-56F4-4368-8D1D-8D3907D0F535,POINT (954808.23562522233 147954.52208352089),Full,14,2015-03-27T04:00:00.000
4299DB71-CD32-49E3-BC23-5F819B2546B5,POINT (951761.13625022769 142745.99708351493),Full,14,2015-03-26T04:00:00.000
568A662E-15D4-4E57-BD16-F9D55D9C80A2,POINT (996506.40750022233 219274.79208351672),Shaft,1,2015-03-09T04:00:00.000
45EB2FCA-6EE6-4825-92F4-EAAA20D0B960,POINT (954113.22500023246 147183.45500017703),Full,14,2015-03-27T04:00:00.000
059695ED-4B1C-4C08-A81B-466CDEC6234D,POINT (951926.86541689932 142612.93166685104),Full,14,2015-03-26T04:00:00.000
9B021F4D-38E3-432D-8588-59F860683C64,POINT (1029688.2587502301 259713.19229185581),Full,2,2015-03-24T04:00:00.000
AB765E4A-15A8-4A48-8E43-8ACF3D8EDD8F,POINT (951948.686666891 142595.79729184508),Full,14,2015-03-26T04:00:00.000
DBC9B6D9-60CC-4A43-828B-4C6AA800D34A,POINT (952469.18333356082 142927.27625018358),Full,14,2015-03-27T04:00:00.000
96FB6C55-612F-466D-9449-85A3CD2178E1,POINT (926131.422708556 128642.16854184866),Full,9,2015-03-04T05:00:00.000
707A5E67-82B1-447B-9387-E55D06CDC00C,POINT (1000771.5177085698 153290.79458351433),Full,15,2015-03-11T04:00:00.000
A9AF1B2C-F657-4838-830B-14F5B81AFDEB,POINT (987605.32041689754 153054.28312517703),Full,45,2015-03-23T04:00:00.000
FD30633B-6743-414C-945D-365E1B007C4A,POINT (944798.58479189873 138542.96166685224),Shaft,9,2015-03-27T04:00:00.000
E54C28FC-D2D2-46CE-A8AB-BAA99E71FED9,POINT (986652.29541689157 216625.91041685641),Full,10,
7EC84DB6-C252-4DC9-BB58-312F4A1C07A6,POINT (997900.14479190111 198332.82416684926),Full,30,2015-03-27T04:00:00.000
BCCF416A-A256-4595-8215-AE81DB216271,POINT (951597.76416689157 143569.96291685104),Full,14,2015-03-27T04:00:00.000
BBC2BB7F-44B4-464A-A9EB-5D5CA70BB2FD,POINT (963929.502500236 155619.52041685581),Shaft,14,2015-03-26T04:00:00.000
57A4D392-5B90-4DF8-B28D-941C0120DBAA,POINT (944854.436666891 140698.93708351254),Full,9,2015-03-26T04:00:00.000
