school,_progress_category_score,_performance_grade,_overall_grade
I.S. 289,32.3,B,B
Bayard Rustin Educational Complex,,,
School for Global Leaders,30.5,B,B
Richard R. Green High School of Teaching,26.2,C,C
Manhattan Comprehensive Night and Day High School,40.0,B,A
P.S. 180 Hugo Newman,15.3,C,C
P.S. 050 Vito Marcantonio,17.4,D,C
THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,,,
47 The American Sign Language and English Secondary School,49.9,B,A
The High School of Fashion Industries,48.2,A,A
MANHATTAN BUSINESS ACADEMY,,,
P.S. 142 Amalia Castro,34.4,C,B
P.S. 006 Lillie D. Blake,24.9,B,B
J.H.S. M044 William J. O'Shea,,,
P.S. 163 Alfred E. Smith,22.2,C,C
P.S. 208 Alain L. Locke,22.7,D,C
M.S. M246 Crossroads School,,,
P.S. 241 Family Academy,24.8,F,C
Edward A. Reynolds West Side High School,32.0,C,B
J.H.S. 104 Simon Baruch,31.4,B,B
The Children's Workshop School,24.8,F,C
"Collaborative Academy of Science, Technology, & Language-Arts Education",27.1,C,B
High School of Hospitality Management,52.9,A,A
J.H.S. 013 Jackie Robinson,13.2,D,C
Manhattan / Hunter Science High School,31.9,A,B
Beacon High School,48.5,C,A
Lower Manhattan Arts Academy,51.8,A,A
P.S. 075 Emily Dickinson,24.6,D,C
Jacqueline Kennedy Onassis High School,28.3,A,B
M.S. 256 Academic & Athletic Excellence,20.1,D,C
P.S. 150,34.4,C,B
Professional Performing Arts High School,42.7,A,A
M.S. 45/S.T.A.R.S. Prep Academy,24.0,F,C
Gramercy Arts High School,37.3,B,B
P.S. 007 Samuel Stern,42.7,C,A
P.S. 096 Joseph Lanzetta,18.9,D,C
M.S. 255 Salk School of Science,23.4,B,B
High School M560 - City As School,31.8,B,B
High School of Arts and Technology,39.4,B,B
M.S. M247 Dual Language Middle School,41.5,B,A
Murry Bergtraum High School for Business Careers,20.5,C,D
Cascades High School,42.1,A,A
P.S. 084 Lillian Weber,19.8,F,C
P.S. 137 John L. Bernstein,7.8,D,C
P.S. 130 Hernando De Soto,51.6,A,A
University Neighborhood High School,31.2,D,C
Tag Young Scholars,29.0,A,A
P.S. 212 Midtown West,32.8,B,A
"Facing History School, The",34.0,B,B
P.S. 034 Franklin D. Roosevelt,33.0,C,B
School of the Future High School,20.1,B,B
Washington Irving High School,32.3,F,C
River East Elementary,36.7,C,B
Frederick Douglass Academy II Secondary School,7.8,D,C
P.S. 124 Yung Wing,41.7,A,A
Tompkins Square Middle School,47.4,A,A
Special Music School,46.3,A,A
Legacy School for Integrated Studies,35.5,F,C
Frederick Douglass Academy II Secondary School,27.3,A,C
J.H.S. 167 Robert F. Wagner,28.3,B,B
Eleanor Roosevelt High School,46.9,A,A
Ella Baker School,37.7,D,B
M.S. 250 West Side Collaborative Middle School,37.5,B,A
P.S. 116 Mary Lindley Murray,23.3,B,B
P.S. 064 Robert Simon,15.3,D,C
High School for Health Professions and Human Services,25.4,B,C
P.S. 041 Greenwich Village,29.0,B,B
P.S. 042 Benjamin Altman,46.6,A,A
NYC iSchool,,,
Vanguard High School,29.3,D,C
P.S. 083 Luis Munoz Rivera,51.2,A,A
P.S. 040 Augustus Saint-Gaudens,38.0,B,A
M.S. M245 The Computer School,21.0,C,B
THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,,,
Fiorello H. LaGuardia High School of Music & Art and Performing Arts,48.5,A,A
High School of Graphic Communication Arts,29.3,F,D
Liberty High School Academy for Newcomers,43.7,B,A
Landmark High School,27.5,C,C
P.S. 076 A. Philip Randolph,22.7,F,C
J.H.S. 054 Booker T. Washington,34.2,B,B
P.S. 165 Robert E. Simon,29.8,D,B
Manhattan Village Academy,57.7,A,A
M.S. 260 Clinton School Writers & Artists,37.7,A,A
P.S. 140 Nathan Straus,26.5,C,B
Food and Finance High School,43.9,A,A
Humanities Preparatory Academy,36.8,B,B
P.S. 188 The Island School,5.9,D,C
East Side Community School,38.9,A,A
47 The American Sign Language and English Secondary School,,,
Urban Academy Laboratory High School,38.5,A,A
EMMA LAZARUS HIGH SCHOOL,,,
The East Village Community School,12.3,D,C
P.S. 033 Chelsea Prep,28.8,A,A
P.S. 185 John M. Langston,5.6,F,C
Manhattan Bridges High School,51.7,A,A
Henry Street School for International Studies,21.9,D,C
"P.S. 145, The Bloomingdale School",35.4,D,B
P.S. 011 William T. Harris,41.4,A,A
University Neighborhood Middle School,33.8,C,B
"Urban Assembly School for Media Studies, The",42.1,B,A
Washington Irving YABC,34.6,C,B
P.S. 020 Anna Silver,44.1,C,A
P.S. 110 Florence Nightingale,11.4,C,D
Talent Unlimited High School,43.7,A,A
P.S. 199 Jessie Isador Straus,44.5,B,A
Wadleigh Secondary School for the Performing & Visual Arts,27.8,C,C
Manhattan International High School,42.8,B,A
Harvey Milk High School,44.5,B,A
The Lexington Academy,32.2,C,A
Lower East Side Preparatory High School,45.9,A,A
Henry Street School for International Studies,21.7,C,D
The Anderson School,52.8,A,A
Satellite Academy High School,13.7,D,F
THE GLOBAL LEARNING COLLABORATIVE,,,
Millennium High School,42.8,A,A
High School of Economics and Finance,33.5,B,C
P.S. 134 Henrietta Szold,41.4,D,B
Brandeis YABC,26.2,B,C
P.S. 003 Charrette School,26.5,C,B
INNOVATION DIPLOMA PLUS,,,
The 47 American Sign Language & English Lower School,32.5,D,B
Mott Hall II,37.5,B,A
P.S. 89,29.1,C,B
P.S./I.S. 217 Roosevelt Island,27.7,C,B
"Ballet Tech, NYC Public School for Dance",10.1,B,C
N.Y.C. Lab School for Collaborative Studies,37.6,A,A
M.S. 131,37.8,C,B
Independence High School,31.1,F,C
P.S. 77 Lower Lab School,49.0,A,A
East Side Community School,44.1,B,A
Pace High School,47.2,A,A
P.S. 191 Amsterdam,23.5,F,C
P.S. 051 Elias Howe,31.5,B,B
New York City Lab Middle School for Collaborative Studies,40.5,A,A
WEST PREP ACADEMY,,,
P.S. 001 Alfred E. Smith,23.5,C,B
P.S. 059 Beekman Hill International,22.7,C,B
Institute for Collaborative Education,0.0,F,C
P.S. 184m Shuang Wen,52.9,A,A
Chelsea Career and Technical Education High School,38.0,F,C
P.S. 015 Roberto Clemente,27.4,D,C
P.S. 290 Manhattan New School,45.0,B,A
P.S. 149 Sojourner Truth,32.3,D,B
Earth School,13.4,F,D
James Weldon Johnson,35.7,A,A
P.S. 333 Manhattan School for Children,16.2,F,C
Professional Performing Arts High School,38.2,A,A
P.S. 063 William McKinley,35.8,C,B
Neighborhood School,21.7,D,C
P.S. 087 William Sherman,26.0,C,B
East Side Middle School,40.5,A,A
High School for Dual Language and Asian Studies,53.1,A,A
P.S. 198 Isador E. Ida Straus,28.5,C,B
Louis D. Brandeis High School,,,
M.S. 243 Center School,21.8,B,B
Baruch College Campus High School,44.5,A,A
