dbn,peer_index_,_additional_credit,school_level_,_environment_grade,_progress_grade,_overall_score,progress_report_type,district,_environment_category_score,_performance_category_score,_progress_report_grade
04M096,63.09,0.5,K-8,D,C,26.4,EMS,4,3.2,3.8,A
02M255,3.58,4.3,Middle,A,C,53.1,EMS,2,10.0,15.4,B
02M560,2.56,7.5,High School Transfer,C,C,63.5,HST,2,8.3,15.9,B
03M494,2.34,1.5,High School,D,B,62.2,HS,3,6.8,14.5,A
03M247,2.4,8.5,Middle,A,A,76.3,EMS,3,13.7,12.6,A
02M520,2.47,4.5,High School,F,F,42.8,HS,2,5.7,12.1,D
01M650,2.59,1.5,High School Transfer,A,A,72.4,HST,1,11.1,17.7,A
03M084,43.87,0.0,Elementary,D,C,23.3,EMS,3,3.5,0.0,A
01M137,58.66,0.0,Elementary,B,F,20.1,EMS,1,6.8,5.5,A
02M130,27.53,8.0,Elementary,A,A,88.3,EMS,2,13.1,15.6,A
01M448,2.24,0.0,High School,F,C,47.8,HS,1,5.2,11.4,D
04M012,39.33,0.0,K-8,A,B,58.9,EMS,4,9.8,20.1,A
02M212,23.15,5.5,Elementary,A,B,59.5,EMS,2,10.4,10.8,A
02M303,2.16,4.5,High School,A,C,64.5,HS,2,10.6,15.4,A
01M034,66.75,5.8,K-8,B,B,53.0,EMS,1,6.8,7.4,A
02M413,3.2,4.3,Middle,B,C,45.0,EMS,2,7.8,12.8,A
02M460,2.18,3.0,High School,C,C,51.6,HS,2,8.4,7.9,C
04M037,61.02,1.8,Elementary,A,A,56.2,EMS,4,10.1,7.6,A
03M860,2.35,0.0,Middle,D,F,15.5,EMS,3,3.2,4.5,A
02M124,26.08,2.3,Elementary,B,A,67.3,EMS,2,7.7,15.6,A
01M839,2.8,8.0,Middle,A,A,84.4,EMS,1,12.3,16.7,A
03M859,8.0,0.0,K-8,B,A,75.3,EMS,3,6.5,22.5,
02M429,1.94,0.0,High School,C,B,51.0,HS,2,8.0,7.5,D
03M860,2.28,0.0,High School,C,D,54.1,HS,3,7.9,18.9,C
02M167,3.11,6.0,Middle,B,B,53.9,EMS,2,7.4,12.2,A
02M416,3.6,0.0,High School,A,A,80.7,HS,2,11.5,22.3,A
02M225,41.34,2.8,K-8,B,A,50.9,EMS,2,6.3,4.1,A
03M250,2.38,7.0,Middle,A,A,71.4,EMS,3,15.0,11.9,A
02M116,20.28,5.5,Elementary,B,C,51.3,EMS,2,8.2,14.3,A
01M064,61.5,0.0,Elementary,A,D,31.0,EMS,1,10.3,5.4,A
02M420,2.93,0.0,High School,C,D,49.1,HS,2,8.3,15.4,C
02M041,11.69,7.0,Elementary,A,B,58.2,EMS,2,9.8,12.4,A
02M042,36.63,8.0,Elementary,A,A,82.6,EMS,2,11.7,16.3,A
02M376,3.33,,High School,,,,HS,2,,,
02M449,2.29,1.5,High School,A,C,53.7,HS,2,11.6,11.3,A
04M083,59.17,1.5,Elementary,A,A,84.1,EMS,4,11.4,20.0,A
02M040,15.55,2.8,Elementary,A,A,63.7,EMS,2,9.2,13.7,A
03M245,3.24,2.0,Middle,A,C,43.8,EMS,3,12.1,8.7,A
03M402,2.21,,High School,,,,HS,3,,,
03M485,3.64,0.0,High School,C,A,79.0,HS,3,7.4,23.1,A
02M625,2.24,0.0,High School,D,C,41.5,HS,2,6.6,5.6,C
02M550,2.29,4.5,High School Transfer,C,A,72.4,HST,2,7.6,16.6,A
02M419,2.24,6.0,High School,C,D,54.0,HS,2,8.1,12.4,C
03M076,58.84,0.5,Elementary,D,C,27.1,EMS,3,3.9,0.0,A
03M054,3.45,5.8,Middle,B,B,61.9,EMS,3,7.9,14.0,A
03M165,57.47,2.0,K-8,B,B,43.8,EMS,3,7.7,4.3,A
02M439,3.0,6.0,High School,A,A,96.6,HS,2,12.9,20.0,A
02M260,2.96,7.3,Middle,A,A,74.4,EMS,2,11.4,18.0,A
01M140,61.9,0.8,K-8,A,B,43.0,EMS,1,8.5,7.2,A
02M288,2.44,9.0,High School,B,A,83.9,HS,2,9.7,21.3,A
02M605,2.73,1.5,High School Transfer,D,B,58.8,HST,2,6.2,14.3,B
01M188,64.94,0.8,K-8,B,F,16.8,EMS,1,6.5,3.6,A
01M450,2.42,9.0,High School,A,B,84.0,HS,1,13.5,22.6,A
02M047,,,Middle,,,,EMS,2,,,
02M565,2.99,0.0,High School Transfer,A,B,73.2,HST,2,15.0,19.7,A
02M394,2.5,,High School Transfer,,,,HST,2,,,
01M315,32.44,0.0,Elementary,C,D,22.8,EMS,1,5.8,4.7,A
02M033,50.44,4.3,Elementary,A,B,62.2,EMS,2,13.6,15.5,A
03M185,59.62,3.0,K-2,A,F,20.7,EC,3,9.2,2.9,
02M542,2.32,9.0,High School,A,A,93.9,HS,2,12.3,20.9,A
01M292,2.31,4.0,Middle,D,C,33.7,EMS,1,3.2,4.6,B
03M145,59.05,4.8,Elementary,D,A,47.6,EMS,3,3.1,4.3,A
02M011,40.45,4.5,Elementary,A,A,74.0,EMS,2,12.4,15.7,A
01M332,2.12,3.8,Middle,B,B,51.1,EMS,1,6.8,6.7,A
03M307,2.19,7.5,High School,B,A,74.1,HS,3,9.4,15.1,C
02M473,,7.5,YABC,B,B,64.2,YABC,2,10.4,11.7,
01M020,57.68,9.0,Elementary,A,A,70.3,EMS,1,9.3,7.9,A
01M110,42.47,0.0,Elementary,C,D,25.4,EMS,1,5.2,8.8,B
02M519,3.18,3.0,High School,D,A,74.0,HS,2,6.4,20.9,A
03M199,12.19,4.3,Elementary,B,A,67.0,EMS,3,7.5,10.7,A
03M415,2.41,1.5,Middle,F,B,39.4,EMS,3,2.4,7.7,A
02M459,2.52,0.0,High School,A,A,70.8,HS,2,13.5,14.5,A
02M586,2.0,3.0,High School Transfer,D,A,68.8,HST,2,5.9,15.4,B
04M072,65.94,5.5,Elementary,A,B,58.6,EMS,4,12.1,8.8,A
01M515,2.75,12.0,High School Transfer,B,A,90.1,HST,1,9.8,22.4,A
01M292,2.16,0.0,High School,F,F,40.0,HS,1,5.0,13.3,B
03M334,6.5,0.0,K-8,A,A,91.0,EMS,3,13.4,24.8,A
02M570,2.36,3.0,High School Transfer,F,F,32.2,HST,2,5.4,10.1,C
03M403,2.24,,High School,,,,HS,3,,,
02M418,3.34,3.0,High School,A,A,76.9,HS,2,11.9,19.2,A
02M489,2.79,1.5,High School,D,C,57.2,HS,2,6.4,15.8,B
01M134,53.05,3.8,Elementary,C,A,54.2,EMS,1,4.9,4.1,B
03M577,,3.0,YABC,F,C,49.0,YABC,3,2.0,17.8,
02M003,17.09,6.3,Elementary,B,B,47.8,EMS,2,8.5,6.5,A
03M404,2.38,,High School Transfer,,,,HST,3,,,
02M347,64.27,1.5,K-8,A,B,49.2,EMS,2,10.3,4.9,A
03M862,3.07,4.8,Middle,A,A,66.7,EMS,3,9.9,14.5,A
02M089,11.57,2.0,Elementary,B,B,47.6,EMS,2,8.2,8.3,A
02M217,35.99,3.3,K-8,B,B,45.4,EMS,2,7.8,6.6,B
02M442,31.38,0.0,K-8,A,F,34.3,EMS,2,11.5,12.7,A
02M412,3.22,3.0,High School,B,B,74.9,HS,2,9.3,25.0,A
02M131,2.89,6.3,Middle,B,A,61.9,EMS,2,9.2,8.6,A
02M544,2.31,0.0,High School Transfer,A,C,55.3,HST,2,15.0,9.2,C
02M077,9.83,0.0,Elementary,B,A,76.3,EMS,2,7.6,19.7,A
01M450,2.21,7.0,Middle,A,A,76.9,EMS,1,11.1,14.7,A
02M298,2.82,12.0,High School,B,A,90.9,HS,2,10.2,21.5,A
03M191,53.96,2.8,K-8,C,C,34.3,EMS,3,5.4,2.6,A
02M051,49.51,0.0,Elementary,A,B,57.2,EMS,2,11.2,14.5,A
02M312,3.64,7.3,Middle,A,A,77.0,EMS,2,10.7,18.5,A
03M421,2.29,,Middle,,,,EMS,3,,,
02M001,39.34,3.8,Elementary,C,C,41.2,EMS,2,4.4,9.5,B
02M059,19.37,2.8,Elementary,A,C,43.8,EMS,2,9.2,9.1,A
02M407,3.52,0.0,Middle,A,F,11.0,EMS,2,11.0,0.0,B
01M184,27.58,8.0,K-8,A,A,92.1,EMS,1,12.0,19.2,A
02M615,2.4,4.5,High School,D,B,55.8,HS,2,6.1,7.2,C
01M015,62.65,0.0,Elementary,B,B,37.6,EMS,1,7.2,3.0,B
02M290,13.17,8.0,Elementary,A,A,78.7,EMS,2,12.1,13.6,A
03M149,59.72,1.3,K-8,B,B,45.2,EMS,3,7.1,4.5,A
01M364,31.8,0.0,Elementary,B,D,22.0,EMS,1,8.6,0.0,B
04M057,62.56,9.5,K-8,A,A,74.5,EMS,4,14.3,15.0,A
03M333,24.69,2.0,K-8,B,D,27.9,EMS,3,7.5,2.2,B
02M408,3.64,0.0,Middle,B,A,62.4,EMS,2,7.1,17.1,B
01M063,57.55,3.3,Elementary,B,A,54.0,EMS,1,7.8,7.1,B
01M363,33.79,1.0,Elementary,B,C,33.1,EMS,1,6.8,3.6,B
03M087,18.92,2.8,Elementary,C,B,41.5,EMS,3,4.3,8.4,A
02M114,3.62,5.5,Middle,A,A,78.3,EMS,2,13.2,19.1,A
02M545,3.14,3.0,High School,B,A,90.5,HS,2,9.4,25.0,A
02M198,50.02,3.3,Elementary,C,B,42.8,EMS,2,4.3,6.7,B
03M470,,,High School,,,,HS,3,,,
03M243,3.64,0.0,Middle,A,C,50.0,EMS,3,13.8,14.4,A
02M411,3.45,0.0,High School,B,A,74.5,HS,2,10.0,20.0,A
