title_description,pure_prov_10_24_mos
COMPUTER ASSOCIATE (OPERATIONS),0
CARPENTER,3
ASSISTANT LEGISLATIVE REPRESENTATIVE (MA),0
MAYORAL OFFICE ASSISTANT (MA),1
ADMINISTRATIVE FIRE PROTECTION INSPECTOR,0
ASSISTANT PRINTING PRESS OPERATOR,0
ASSOCIATE FRAUD INVESTIGATOR,0
COMPUTER ASSOCIATE (OPERATIONS),0
ASSISTANT URBAN DESIGNER,2
IT SECURITY SPECIALIST,0
ASSISTANT TO THE DEPUTY MAYOR (OFFICE OF THE MAYOR),2
ADMINISTRATIVE CONSTRUCTION PROJECT MANAGER,1
COMPUTER OPERATIONS MANAGER,0
ARCHITECT,0
PROGRAM PRODUCER,0
ADMINISTRATIVE BUSINESS PROMOTION COORDINATOR,2
ELECTRICIAN'S HELPER,0
STATISTICAL SECRETARY (OMB),0
ASSOCIATE PUBLIC RECORDS OFFICER,0
DEPUTY OPERATION SUPPORT MANAGER (LD),0
TELECOMMUNICATIONS MANAGER,0
ASSISTANT ELECTRICAL ENGINEER,1
WORKERS' COMPENSATION BENEFITS EXAMINER,0
ADMINISTRATIVE MANAGEMENT AUDITOR,0
BUSINESS PROMOTION COORDINATOR,0
APPRAISER (REAL ESTATE),0
FIRE PROTECTION INSPECTOR,0
ADMINISTRATIVE ACCOUNTANT,0
CLERICAL ASSOCIATE,0
COMPUTER SPECIALIST (OPERATIONS),0
SUPERVISOR OF RADIO REPAIR OPERATIONS,0
MANAGEMENT AUDITOR TRAINEE,0
ADMINISTRATIVE PSYCHOLOGIST,1
ADMINISTRATIVE PUBLIC INFORMATION SPECIALIST (NON-MANGERIAL),0
MANAGEMENT AUDITOR,0
MEDICOLEGAL ANALYST (LAW DEPARTMENT),0
ASSISTANT DIRECTOR OF INTRGVRN RELATIONS FOR THE ALBANY OFF,0
ELECTRICAL ENGINEERING INTERN,1
CUSTODIAN,0
COMPUTER SPECIALIST (OPERATIONS),0
SENIOR STATIONARY ENGINEER,0
SPECIAL ASSISTANT (MA) (MANAGERIAL ASSIGNMENTS),13
PUBLIC RECORDS OFFICER,0
SENIOR STUDENT LEGAL SPECIALIST (LAW DEPARTMENT),1
LOCKSMITH,1
DEPUTY EXECUTIVE DIRECTOR (CFB),0
COMPUTER ASSOCIATE (SOFTWARE),0
SYSTEMS ADMINISTRATOR (CAMPAIGN FINANCE BOARD),1
ADMINISTRATIVE RETIREMENTS BENEFITS SPECIALIST,3
DIRECTOR OF AUDITS (CO),0
DEPUTY DIRECTOR OF ADMINISTRATION (WRKRS COMP BENEFITS) LAW,0
BUDGET ANALYST (OMB) (MANAGERIAL ASSIGNMENTS),4
CASHIER,0
EXECUTIVE COOK (OFFICE OF THE MAYOR),0
SECRETARY TO THE EXECUTIVE ASSISTANT (BRONX BOROUGH PRES.),0
ADMINISTRATIVE CONTRACT SPECIALIST,0
ELECTRICIAN,0
STENOGRAPHIC SPECIALIST,0
COMPUTER ASSOCIATE (TECHNICAL SUPPORT),0
ADMINISTRATIVE RETIREMENT BENEFITS SPECIALIST,4
"LEGAL SECRETARIAL ASSISTANT, LEVEL II",3
SUPERVISOR ELEVATOR MECHANIC,0
ADMINISTRATIVE SUPERVISOR OF BUILDING MAINTENANCE,0
ASSOCIATE RETIREMENT BENEFITS EXAMINER,0
FIRST DEPUTY COMMISSIONER (OEM),0
ASSISTANT RETIREMENT BENEFITS EXAMINER,0
ACTUARIAL SPECIALIST,0
ADMINISTRATIVE STAFF ANALYST,0
CONTRACT SPECIALIST,1
TELECOMMUNICATIONS MANAGER,1
ASSOCIATE FINGERPRINT TECHNICIAN,0
ADMINISTRATIVE LABOR RELATIONS ANALYST,2
SENIOR SERVICE INSPECTOR (PROJECT SCORECARD),0
ASSOCIATE FIRE PROTECTION INSPECTOR,0
ASSISTANT RETIREMENT BENEFITS EXAMINER,12
COMMISSIONER OF THE OFFICE TO END DOMESTIC & GENDER BAS VIOL,0
