dbn,school_name,admissions_methods
02M135,The Urban Assembly School for Emergency Management,HS: Limited Unscreened
02M011,P.S. 011 William T. Harris,ES: Zoned School
02M296,High School of Hospitality Management,HS: Limited Unscreened
02M280,Manhattan Early College School for Advertising,HS: Limited Unscreened
01M063,The STAR Academy - P.S.63,ES: Choice District
03M479,Beacon High School,HS: Screened
01M134,P.S. 134 Henrietta Szold,ES: Choice District
02M394,Emma Lazarus High School,Transfer School: School-managed Admissions
03M054,J.H.S. 054 Booker T. Washington,MS: Screened
02M544,Independence High School,Transfer School: School-managed Admissions
03M403,The Global Learning Collaborative,HS: Limited Unscreened
02M308,Lower Manhattan Arts Academy,HS: Limited Unscreened
03M250,M.S. 250 West Side Collaborative Middle School,MS: Screened
02M392,MANHATTAN BUSINESS ACADEMY,HS: Limited Unscreened
01M450,East Side Community School,"MS: Screened, HS: Screened"
03M245,M.S. M245 The Computer School,MS: Screened
01M015,P.S. 015 Roberto Clemente,ES: Choice District
03M291,West End Secondary School,MS: Screened
01M142,P.S. 142 Amalia Castro,ES: Choice District
02M077,P.S. 77 Lower Lab School,ES: Gifted & Talented School
03M452,P.S. 452,ES: Zoned School
02M933,City Knoll Middle School,MS: Limited Unscreened
02M546,Academy for Software Engineering,HS: Limited Unscreened
03M402,The Urban Assembly School for Green Careers,HS: Limited Unscreened
02M432,Murray Hill Academy,Transfer School: School-managed Admissions
01M020,P.S. 020 Anna Silver,ES: Choice District
02M550,Liberty High School Academy for Newcomers,Transfer School: School-managed Admissions
03M299,"High School for Arts, Imagination and Inquiry",HS: Limited Unscreened
02M131,M.S. 131,MS: Screened
02M316,"Urban Assembly School of Business for Young Women,",HS: Limited Unscreened
03M163,P.S. 163 Alfred E. Smith,ES: Zoned School
01M188,P.S. 188 The Island School,"ES: Choice District, MS: Screened"
02M655,Life Sciences Secondary School,"MS: Screened, HS: Ed. Opt., For Continuing 8th Graders"
02M437,Hudson High School of Learning Technologies,HS: Limited Unscreened
02M551,Urban Assembly New York Harbor School,HS: Limited Unscreened
02M507,Urban Assembly Gateway School for Technology,HS: Limited Unscreened
01M378,School for Global Leaders,MS: Limited Unscreened
02M399,The High School For Language And Diplomacy,HS: Limited Unscreened
01M332,University Neighborhood Middle School,"MS: Screened, Screened: Language"
03M505,Edward A. Reynolds West Side High School,Transfer School: School-managed Admissions
02M459,Manhattan International High School,HS: Screened: Language
02M294,Essex Street Academy,HS: Limited Unscreened
01M650,Cascades High School,Transfer School: School-managed Admissions
10X033,P.S. 033 Timothy Dwight,ES: Zoned School
01M345,"Collaborative Academy of Science, Technology, & La",MS: Screened
02M260,M.S. 260 Clinton School Writers & Artists,"MS: Screened, HS: Screened"
02M529,Jacqueline Kennedy Onassis High School,HS: Ed. Opt.
02M340,Sixth Avenue Elementary School,ES: Zoned School
02M006,P.S. 006 Lillie D. Blake,ES: Zoned School
02M565,Urban Academy Laboratory High School,Transfer School: School-managed Admissions
02M439,Manhattan Village Academy,HS: Screened
02M033,P.S. 033 Chelsea Prep,ES: Zoned School
03M862,Mott Hall II,MS: Screened
02M051,P.S. 051 Elias Howe,ES: Zoned School
03M307,"Urban Assembly School for Media Studies, The",HS: Limited Unscreened
01M301,"Technology, Arts, and Sciences Studio",MS: Screened
02M167,J.H.S. 167 Robert F. Wagner,MS: Screened
01M064,P.S. 064 Robert Simon,ES: Choice District
02M124,P.S. 124 Yung Wing,ES: Zoned School
02M126,P.S. 126 Jacob August Riis,"ES: Zoned School, MS: Screened"
02M419,Landmark High School,HS: Ed. Opt.
02M376,NYC iSchool,HS: Screened
02M615,Chelsea Career and Technical Education High School,"HS: Ed. Opt., Screened"
03M417,Frank Mccourt High School,HS: Screened
03M185,P.S. 185 - The Early Childhood Discovery and Desig,ES: Zoned School
02M104,J.H.S. 104 Simon Baruch,MS: Screened
01M515,Lower East Side Preparatory High School,Transfer School: School-managed Admissions
01M509,Marta Valle High School,HS: Ed. Opt.
01M034,P.S. 034 Franklin D. Roosevelt,"ES: Choice District, MS: Screened"
04M007,P.S. 007 Samuel Stern,"ES: Zoned School, MS: Screened"
03M241,STEM Institute of Manhattan,ES: Zoned School
02M255,M.S. 255 Salk School of Science,MS: Screened
02M343,The Peck Slip School,ES: Zoned School
02M500,Unity Center for Urban Technologies,HS: Ed. Opt.
02M605,Humanities Preparatory Academy,Transfer School: School-managed Admissions
02M425,Leadership and Public Service High School,HS: Ed. Opt.
03M009,P.S. 009 Sarah Anderson,ES: Zoned School
02M545,High School for Dual Language and Asian Studies,HS: Screened: Language & Academics
01M839,Tompkins Square Middle School,MS: Screened
03M084,P.S. 084 Lillian Weber,ES: Zoned School
02M449,Vanguard High School,HS: Ed. Opt.
02M560,High School M560 - City As School,Transfer School: School-managed Admissions
02M267,"East Side Elementary School, PS 267",ES: Zoned School
02M217,P.S./I.S. 217 Roosevelt Island,"ES: Zoned School, MS: Screened, Zoned"
03M485,Fiorello H. LaGuardia High School of Music & Art a,HS: Audition
02M438,International High School at Union Square,HS: Screened: Language
03M859,Special Music School,"ES: Non-Zoned School, MS: School-managed Admissions, HS: Audition"
02M575,Manhattan Comprehensive Night and Day High School,Transfer School: School-managed Admissions
02M531,Repertory Company High School for Theatre Arts,HS: Audition
03M415,Wadleigh Secondary School for the Performing & Vis,"MS: Screened, HS: Audition, Limited Unscreened"
01M361,The Children's Workshop School,ES: Choice District
02M896,Lower Manhattan Community Middle School,MS: Screened
02M111,P.S. 111 Adolph S. Ochs,ES: Zoned School
04M037,River East Elementary,ES: Non-Zoned School
02M150,P.S. 150,ES: Non-Zoned School
01M110,P.S. 110 Florence Nightingale,ES: Choice District
03M256,M.S. 256 Academic & Athletic Excellence,"MS: Screened, Screened: Language"
02M003,P.S. 003 Charrette School,ES: Zoned School
03M492,"High School for Law, Advocacy and Community Justic",HS: Ed. Opt.
02M527,P.S. 527 - East Side School for Social Action,ES: Zoned School
02M411,Baruch College Campus High School,HS: Screened
02M475,Stuyvesant High School,HS: Test
02M151,Yorkville Community School,ES: Zoned School
03M166,P.S. 166 The Richard Rodgers School of The Arts an,ES: Zoned School
02M114,East Side Middle School,MS: Screened
02M289,I.S. 289,MS: Screened
02M416,Eleanor Roosevelt High School,HS: Screened
03M494,High School of Arts and Technology,"HS: Ed. Opt., Limited Unscreened"
02M212,P.S. 212 Midtown West,ES: Non-Zoned School
02M047,47 The American Sign Language and English Secondar,HS: Screened
02M298,Pace High School,HS: Limited Unscreened
03M145,"P.S. 145, The Bloomingdale School",ES: Zoned School
02M001,P.S. 001 Alfred E. Smith,ES: Zoned School
02M407,Institute for Collaborative Education,"MS: School-managed Admissions, HS: Screened"
02M422,Quest to Learn,"MS: Limited Unscreened, HS: Limited Unscreened"
01M696,Bard High School Early College,HS: Screened
02M519,Talent Unlimited High School,HS: Audition
02M282,Urban Assembly Maker Academy,HS: Limited Unscreened
02M489,High School of Economics and Finance,HS: Ed. Opt.
03M258,Community Action School - MS 258,MS: Screened
02M408,Professional Performing Arts High School,"MS: Screened, HS: Audition"
03M199,P.S. 199 Jessie Isador Straus,ES: Zoned School
02M630,Art and Design High School,HS: Audition
02M420,High School for Health Professions and Human Servi,"HS: Ed. Opt., Screened"
03M404,Innovation Diploma Plus,Transfer School: School-managed Admissions
01M364,Earth School,ES: Choice District
01M539,"New Explorations into Science, Technology and Math","ES: Gifted & Talented School, MS: School-managed Admissions, HS: Screened"
02M040,P.S. 040 Augustus Saint-Gaudens,ES: Zoned School
03M075,P.S. 075 Emily Dickinson,ES: Zoned School
01M448,University Neighborhood High School,"HS: Ed. Opt., Screened, Screened: Language"
03M076,P.S. 076 A. Philip Randolph,"ES: Zoned School, MS: Limited Unscreened"
02M533,Union Square Academy for Health Sciences,HS: Limited Unscreened
02M116,P.S. 116 Mary Lindley Murray,ES: Zoned School
02M198,P.S. 198 Isador E. Ida Straus,ES: Zoned School
02M412,N.Y.C. Lab School for Collaborative Studies,HS: Screened
02M089,P.S. 89,ES: Zoned School
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,HS: Limited Unscreened
02M225,Ella Baker School,"ES: Non-Zoned School, MS: School-managed Admissions"
03M191,P.S. 191 Amsterdam,"ES: Zoned School, MS: Unscreened"
01M184,P.S. 184m Shuang Wen,"ES: Choice District, MS: Screened: Language"
