bizaddress,the_geom,suitenum,:@computed_region_92fq_4b7q,openstreet,openstre_1,bizname
"1559 WESTCHESTER AVENUE, Bronx, NY","{'type': 'Point', 'coordinates': [-73.87745379201542, 40.828781403051494]}",,31.0,0,0,AT&T MOBILITY
"991 Southern Blvd, Bronx, NY","{'type': 'Point', 'coordinates': [-73.89177502787776, 40.82258491336907]}",,43.0,0,0,Versace retail Systems LLC
"1036 Morris Park Ave, Bronx, NY","{'type': 'Point', 'coordinates': [-73.85495785319229, 40.848660678760425]}",,12.0,0,0,La Casa del Caffe LTD
"52 WEST 29TH STREET, Manhattan, NY","{'type': 'Point', 'coordinates': [-73.98915282938673, 40.74619908299749]}",,10.0,0,0,PARAMOUNT CALENDAR & ADVERTISING SPECAILTY CO INC.
"2451 Broadway, Manhattan, NY","{'type': 'Point', 'coordinates': [-73.97444419759236, 40.79125534663489]}",,19.0,0,0,2451 Broadway Market Inc
"112 West 18th st, Manhattan, NY","{'type': 'Point', 'coordinates': [-73.99544541123167, 40.73996201961964]}",,10.0,0,0,William Sonoma Inc.
"31 EAST 17TH STREET, Manhattan, NY","{'type': 'Point', 'coordinates': [-73.99000819221597, 40.736993492943185]}",,50.0,0,0,AT&T MOBILITY
"849 MADISON AVENUE, Manhattan, NY","{'type': 'Point', 'coordinates': [-73.96609275309856, 40.77083885684925]}",,51.0,0,0,Lanvin LLC L3
"75 Wythe Avenue , Brooklyn, NY","{'type': 'Point', 'coordinates': [-73.95787144650872, 40.72183158724093]}",,38.0,0,0,Brooklyn Brewery
"333 AVENUE OF THE AMERICAS, Manhattan, NY","{'type': 'Point', 'coordinates': [-74.00129951270983, 40.73155731925573]}",,10.0,0,0,"SEASONED, LLC"
,"{'type': 'Point', 'coordinates': [-1.911132e-10, -1.788617e-10]}",,,0,0,
"745 BROADWAY, Manhattan, NY","{'type': 'Point', 'coordinates': [-73.99277941257819, 40.73023794726852]}",,32.0,0,0,AT&T MOBILITY
"31-24 Steinway Street, Queens, NY","{'type': 'Point', 'coordinates': [-73.91766982830985, 40.76065388059521]}",Store front,4.0,0,0,Hour children inc
"1 CATHERINE ST UNIT #A, Manhattan, NY","{'type': 'Point', 'coordinates': [-73.99737812307032, 40.713836719064744]}",,32.0,0,0,FENG YU CHEN
"4738 broadway, Manhattan, NY","{'type': 'Point', 'coordinates': [-73.9281497114765, 40.864985133061325]}",,39.0,0,0,Compton eye associates
"5316 8TH AVENUW, Brooklyn, NY","{'type': 'Point', 'coordinates': [-74.00586211762656, 40.63907089744779]}",,7.0,0,0,"LUCKY STAR MARKET, INC."
"2 Columbus Circle, Manhattan, NY","{'type': 'Point', 'coordinates': [-73.98202339730608, 40.7675993695931]}",,10.0,0,0,Museum of Arts and Design
"654 Manhattan Avenue, Brooklyn, NY","{'type': 'Point', 'coordinates': [-73.95113357052337, 40.724440120297906]}",,38.0,0,0,"Cato Merchandising Mart, Inc."
"340 East Fordham Road, Bronx, NY","{'type': 'Point', 'coordinates': [-73.8933818391506, 40.86187697110088]}",,22.0,0,0,Hot Point Of Fordham
"2201 31ST STREET, Queens, NY","{'type': 'Point', 'coordinates': [-1.911132e-10, -1.788617e-10]}",,,0,0,AT&T
"2152 BARTOW AVENUE, Bronx, NY","{'type': 'Point', 'coordinates': [-73.82471846052181, 40.869153803723925]}",,2.0,0,0,AT&T MOBILITY
"102 East 23rd Street, Manhattan, NY","{'type': 'Point', 'coordinates': [-73.98619498494573, 40.74003757865854]}",,50.0,0,0,Best Wireless 23rd Park Inc.
"1285 BROADWAY, Brooklyn, NY","{'type': 'Point', 'coordinates': [-73.92447056940715, 40.690902657710915]}",,30.0,0,0,METIS TRADING INC
"1202 AVENUE U , Brooklyn, NY","{'type': 'Point', 'coordinates': [-73.95996097187712, 40.59840881812853]}",,15.0,0,0,L&L Shipping Center Inc
"16512B Jamaica ave, Queens, NY","{'type': 'Point', 'coordinates': [-73.7944291975471, 40.705656987017136]}",,6.0,0,0,Me perfumes inc
"223 Bedford Ave, Brooklyn, NY","{'type': 'Point', 'coordinates': [-73.9592050078447, 40.71641738144927]}",A,30.0,0,0,Office 11211 Corp
"51 GREENE ST, Manhattan, NY","{'type': 'Point', 'coordinates': [-74.00164240054318, 40.72237093572643]}",STORE FRONT,32.0,0,0,FRAME
,"{'type': 'Point', 'coordinates': [-1.911132e-10, -1.788617e-10]}",,,0,0,
"155 East 52nd street , Manhattan, NY","{'type': 'Point', 'coordinates': [-73.97093012119475, 40.75761336678974]}",,51.0,0,0,Gu Japanese Fusion Sushi and Bar
,"{'type': 'Point', 'coordinates': [-1.911132e-10, -1.788617e-10]}",,,0,0,
"1021 Cortelyou Road, Brooklyn, NY","{'type': 'Point', 'coordinates': [-73.96833390603447, 40.63948295064487]}",,11.0,0,0,"Meredith Jacks, LLC"
"1015 Foster Ave , Brooklyn, NY","{'type': 'Point', 'coordinates': [-73.96711844735154, 40.63214379929853]}",,11.0,0,0,New Fashion Metropole Barbershop
"2101 church ave, Brooklyn, NY","{'type': 'Point', 'coordinates': [-73.95929327053317, 40.65031786031532]}",,11.0,0,0,danice
"54 Bond St , Manhattan, NY","{'type': 'Point', 'coordinates': [-73.99316209148041, 40.726237508380784]}",Suite #2,32.0,0,0,Billy Reid
"3722 73RD ST, Queens, NY","{'type': 'Point', 'coordinates': [-73.89282595149847, 40.74822477601632]}",,5.0,0,0,NABANNO RESTAURANT &amp; PARTY CENTER INC
"62 Gansevoort St., Manhattan, NY","{'type': 'Point', 'coordinates': [-74.00735197269132, 40.7393075159865]}",,10.0,0,0,Belstaff North America
"699 Madison Avenue , Manhattan, NY","{'type': 'Point', 'coordinates': [-73.96976536359195, 40.76572307978977]}",,51.0,0,0,Jimmy Choo USA
"3747A Junction Blvd, Queens, NY","{'type': 'Point', 'coordinates': [-73.87005491766391, 40.750300637873316]}",,21.0,0,0,Babyblue7Inc.
"1811 Kings Highway , Brooklyn, NY","{'type': 'Point', 'coordinates': [-73.95517976658365, 40.61011670175856]}",,15.0,0,0,Le flip la flop
"40-04A Bell Blvd, Queens, NY","{'type': 'Point', 'coordinates': [-73.82518918183558, 40.79264741091002]}",,20.0,0,0,Best Wireless Bell Blvd Inc
"218-91 Hempstead ave , Queens, NY","{'type': 'Point', 'coordinates': [-73.83450000034179, 40.76982000022782]}",,3.0,0,0,Black Diamondzz inc
"2218 Avenue U, Brooklyn, NY","{'type': 'Point', 'coordinates': [-73.94886182276706, 40.59962813338462]}",,15.0,0,0,2218 New City Houseware Inc
"5013 5th Avenue, Brooklyn, NY","{'type': 'Point', 'coordinates': [-74.01060501824227, 40.64477746405587]}",,7.0,0,0,LOS FERNANDEZ
"541 8th Avenue, Manhattan, NY","{'type': 'Point', 'coordinates': [-73.9920685418546, 40.75421134089171]}",,10.0,0,0,Wireless world of big apple llc.
"265 KINGSTON AVENUE, Brooklyn, NY","{'type': 'Point', 'coordinates': [-73.94203350648812, 40.670639071763134]}",,48.0,0,0,MT.VERNON FRUITS MARKETS INC
"228-230 Brighton Beach Avenue, Brooklyn, NY","{'type': 'Point', 'coordinates': [-73.96622778647493, 40.576561051894494]}",,15.0,0,0,Global Trade House Inc
"41-38 Main Street, Queens, NY","{'type': 'Point', 'coordinates': [-73.82902667607921, 40.75715632166843]}",,3.0,0,0,Zhong Mei USA Trading Inc.
"1454 31st ave, Queens, NY","{'type': 'Point', 'coordinates': [-73.93087945050301, 40.76770072934629]}",Unit c 1,4.0,0,0,Horton’s market llc
"1028 Lexington Ave, Manhattan, NY","{'type': 'Point', 'coordinates': [-73.96164699236495, 40.77142328517698]}",,51.0,0,0,Ever/Body
"1705 1st Ave. , Manhattan, NY","{'type': 'Point', 'coordinates': [-73.94831947610827, 40.7784279667121]}",South Store,1.0,0,0,"EarthworksNYC, Inc."
"3092 Steinway st, Queens, NY","{'type': 'Point', 'coordinates': [-73.91685829190405, 40.76164784871717]}",,4.0,0,0,High on heels
"426D Marcus Garvey Blvd, Brooklyn, NY","{'type': 'Point', 'coordinates': [-73.9379527364105, 40.68228298529275]}",,49.0,0,0,Kristino LLC DBA A True Love of Wine
"1830 Flatbush Avenue, Brooklyn, NY","{'type': 'Point', 'coordinates': [-73.93964114314322, 40.6250017053163]}",,26.0,0,0,H&H Mini Mart Inc.
"554 w 181st, Manhattan, NY","{'type': 'Point', 'coordinates': [-73.93294284762682, 40.84891765867641]}",1st Floor,39.0,0,0,Centro de Fajas la Belleza es Tuya Corp.
"585 Kings Highway, Brooklyn, NY","{'type': 'Point', 'coordinates': [-73.9678048405709, 40.605260353231735]}",,18.0,0,0,Satiz Inc
"316 E 84th St, Manhattan, NY","{'type': 'Point', 'coordinates': [-73.95229499726412, 40.776313025738276]}",,1.0,0,0,Brothers Guitar Shop LLC
"31 Graham Avenue, Brooklyn, NY","{'type': 'Point', 'coordinates': [-73.94242200698713, 40.702472451195966]}",,30.0,0,0,Best Wireless Graham Avenue Inc.
"275 Grand St, Manhattan, NY","{'type': 'Point', 'coordinates': [-73.99287854446523, 40.717780266370205]}",,32.0,0,0,Nice Entertainment Group
"1031 Leximgton ave - corner store, Manhattan, NY","{'type': 'Point', 'coordinates': [-73.96123641161898, 40.77165328578181]}",corner store,51.0,0,0,La Petite Princesse inc
"40-10 Main St, Queens, NY","{'type': 'Point', 'coordinates': [-73.83004449002921, 40.75932518055935]}",Unit L1,3.0,0,0,HONG EN FOOD PRODUCTS INC
,"{'type': 'Point', 'coordinates': [-1.911132e-10, -1.788617e-10]}",,,0,0,
,"{'type': 'Point', 'coordinates': [-1.911132e-10, -1.788617e-10]}",,,0,0,
"373 Tompkins Ave, Brooklyn, NY","{'type': 'Point', 'coordinates': [-73.94410006388972, 40.68497573115656]}",,49.0,0,0,Playheavy LLC
"1116 ave j, Brooklyn, NY","{'type': 'Point', 'coordinates': [-73.96451360312953, 40.6248085861923]}",,18.0,0,0,j steps
"756 Flatbush Ave , Brooklyn, NY","{'type': 'Point', 'coordinates': [-73.9596473211499, 40.65442666944039]}",,11.0,0,0,Brooklyn Crazy Deals
"332 MYRTLE AVENUE, Brooklyn, NY","{'type': 'Point', 'coordinates': [-73.9732092397881, 40.69322955797518]}",,48.0,0,0,MUTALE KANYANTA
,"{'type': 'Point', 'coordinates': [-1.911132e-10, -1.788617e-10]}",,,0,0,
"102 Broadway, Brooklyn, NY","{'type': 'Point', 'coordinates': [-73.96511785439165, 40.710398042808265]}",B102,30.0,0,0,Oxalis US Inc.
"1019 Southern Blvd, Bronx, NY","{'type': 'Point', 'coordinates': [-73.89184375899727, 40.823374405312514]}",,43.0,0,0,Jean Star Express
"801 Madison Avenue, Manhattan, NY","{'type': 'Point', 'coordinates': [-73.96750938565732, 40.768836117699784]}",,51.0,0,0,Lingua Franca NYC
"2125 86th street, Brooklyn, NY","{'type': 'Point', 'coordinates': [-73.99530108721034, 40.60283999503955]}",,45.0,0,0,Rainbow.us
"710 Madison Avenue, Manhattan, NY","{'type': 'Point', 'coordinates': [-73.9696664605556, 40.76626099682437]}",,51.0,0,0,Graff Diamonds (New York) Inc.
"805 Franklin Avenue, Brooklyn, NY","{'type': 'Point', 'coordinates': [-73.95768386013768, 40.67134629474344]}",,48.0,0,0,805 Franklin Avenue Food Corp.
"16829 Hillside ave, Queens, NY","{'type': 'Point', 'coordinates': [-73.79380214700497, 40.710419290857]}",,24.0,0,0,RRAJ corporation
,"{'type': 'Point', 'coordinates': [-1.911132e-10, -1.788617e-10]}",,,0,0,
"169 Canal Street Ground Floor, Manhattan, NY","{'type': 'Point', 'coordinates': [-73.9971341725023, 40.71666967180273]}",,32.0,0,0,Lucky Diamond Corp
"200 East 161 street , Bronx, NY","{'type': 'Point', 'coordinates': [-73.92078672281013, 40.826274710585324]}",,42.0,0,0,Rainbow apparel company
"3310 fulton st, Brooklyn, NY","{'type': 'Point', 'coordinates': [-73.87317860256444, 40.68331493976907]}",,37.0,0,0,rainbow usa inc
