site_location,prop_name
BTWN 20TH ST AND 44TH ST,Rockaway Beach and Boardwalk
"44 RD, VERNON BOULEVARD AND 43 AVE",PEDESTRIAN ACCESS EASEMENT
W 2ND ST TO W 10TH ST,Coney Island Beach & Boardwalk
CONEY ISLAND AVE TO B. 2ND ST,Coney Island Beach & Boardwalk
"Court House, Worth, Pearl, Centre, Duane",Foley Square Court House
SURF AVE BET. SEABREEZE AVE & WEST 5 ST (4),GREENSTREET
"RIVERSIDE PARK, 119TH ST",OVER THE TRACKS TENNIS COURTS
B. 2ND ST TO W 2ND ST,Coney Island Beach & Boardwalk
"246 ST, NORTH CONDUIT AVENUE",HOOK CREEK - FIELD OF DREAMS
"237 ST, 130 AVE",PLAYGROUND ONE-THIRTY
LITTLE HELL GATE INLET/EAST-DEP/NRTH-DSNY LOTS,Randall's Island Park
"OCEAN TERRACE, MILFORD DRIVE",KOREAN WAR VETERANS MEMORIAL PK
BTWN 87TH ST AND 100TH ST,Rockaway Beach Boardwalk
BTWN 44TH ST AND 56TH ST,Rockaway Beach and Boardwalk
KINGS CO LINE TO SOUTHERN PKWY,SHORE PARKWAY
PIER TO W 25TH ST,Coney Island Beach & Boardwalk
(CENTER) SEAGIRT BLVD &    ROCKAWAY FREEWAY (2),GREENSTREET
,Wards Island Park
LILY POND & VERRAZANO-NARROWS BRIDGE,GREENSTREET
BTWN 138TH AND 149TH ST,Rockaway Beach
S.E. OF FENCE RUNNING FROM 118TH RD TO HOSPITAL,Roy Wilkins Recreation Center
Shorefront Parkway Malls between Beach 73rd St and Beach 109th St,Rockaway Beach Boardwalk
PELHAM PKWY ON-RAMP TO BRONX RIVER PKWY/KAZIMIROFF/BRONX PARK E/BRONX RIVER PKWY,Bronx Park
ESPLANADE AVE & HAIGHT AVE & LURTING AVE,GREENSTREET
"79 ST, 157 AV (DOT FENCE)",ROGER RABBIT RUN
SHERIDAN AVE & SUTTER AVE,GREENSTREET
N.W. OF FENCE RUNNING FROM 118TH RD TO HOSPITAL,Roy Wilkins Recreation Center
"SELFRIDGE, MANSE STS & 68 AVE",IAN MACLENNAN GARDEN
BTWN 73rd ST AND 81 ST,Rockaway Beach Boardwalk
"W/S BECK ST, N/S INTERVALE AVE",BANANA KELLY PARK
111TH ST. & 47TH AVE.,GREENSTREET
W. Fordham Rd. bet. Sedgwick Ave. and Un,Devoe Park
"Foley Sq, Duane St, Centre St",Foley Square
,GREENSTREET
BTWN 62nd AND 67th ST.,Rockaway Beach and Boardwalk
HENRY HUDSON PKWY EAST (SERVICE ROAD) & 239 ST,GREENSTREET
BTWN 56TH ST AND 73RD ST,Rockaway Beach and Boardwalk
"STEUBEN ST, OLGA PLACE",GREENSTREET
UTOPIA PKWY BET. 50 AVE & 56 AVE,GREENSTREET
GIL BLOOM CIRCLE TO FT WADSWORTH,STATEN ISLAND EXWY (6.8 MILES)
HUDSON RIVER BET. W. 137 ST & W. 145 ST,RIVERBANK PARK
BRONX RIVER PKWY & ROSEWOOD ST,Bronx Park
DUNCOMB/NEREID AVE BRIDGE/BRONX BLVD/BRONX RIVER,Bronx Park
"ALBEMARLE RD, BUCKINGHAM RD BET CONEY ISLAND AVE",FLATBUSH MALLS
B 3 TO B 20 STS,Rockaway Beach and Boardwalk
S/S OCEAN PKWY & SEA BREEZE AVE & SURF AVE,WILLIAM J HENNESSY TRIANGLE
"211 ST, 99 TO HOLLIS AVES",211 MALLS
DEWEY PLACE & GREAVES AVENUE,GREENSTREET
1251 Prospect Place (in B-245),INSPIRATIONAL GARDEN
"Sheridan Exwy, Bronx River, S/o E 174 St Bridge",Starlight Park
COLUMBUS CIRCLE (MEDIAN),GREENSTREET
BEACH 116 ST & OCEAN PROMENADE (CENTER),GREENSTREET
BTWN 126TH AND 138TH ST,Rockaway Beach
CENTRAL AVE. & CEDAR ST. & MYRTLE AVE.,GREENSTREET
"E 219 ST, BX RIVER PKWY",Bronx River Parkway
34TH AVE MALLS (7),GREENSTREET
BTWN 110th ST AND 116th ST,Rockaway Beach
404-16 E. 12th Street,OPEN ROAD GARDEN
BOARDWALK BET BEACH 20-17 STS,O'DONOHUE PARK
SURF AVE BETWEEN SEABREEZE AVE & WEST 5TH ST (2),GREENSTREET
FREDERICK DOUGLASS BLVD & 110TH ST (NW),GREENSTREET
"81 St., 82 St., 15 Ave., 16 Ave.",P.S. 204
Webster Av & Bx River Pkwy Rd,Bronx River Parkway
BOARDWALK & BEACH 64-65 STS,PARKING LOT
NRTH-BX KILL/SO-TRIBORO COMPLEX/E-CONRAD TRESTLE/W-HARLEM RVR,Randall's Island Park
FLATBUSH AVE. & FULTON ST. & HUDSON AVE.,GREENSTREET
130 ROCHESTER AVE,P.S. 335 - BROOKLYN
Sedgwick Ave & Fordham Ave,Devoe Park
"HOYT AVE, 19 TO 21 STS",TRIBOROUGH BRIDGE PLAYGROUND A
,JEWISH WAR VETS MEM SQUARE
BTWN 73RD ST AND 87TH ST,Rockaway Beach Boardwalk
QUEENS BLVD TO NASSAU COUNTY LINE,LONG ISLAND EXPRESSWAY
QUEENS MIDTOWN TUNNEL TO QUEENS BLVD,LONG ISLAND EXWY (5 MILES)
PARKSIDE TO 3 AVES,PROSPECT EXPRESSWAY PARKS
W 32ND TO W 37TH ST,Coney Island Beach & Boardwalk
GRAND CENTRAL PKWY & ASTORIA BLVD,LA GUARDIA LANDING LIGHTS
CROSS BAY BLVD TO 150 ST,NASSAU EXPRESSWAY
RICHMOND TERRACE B/W SI FERRY & SCHUYLER ST (PLANTERS),GREENSTREET
FREDERICK DOUGLASS BLVD. & 110TH ST. (SE),GREENSTREET
White Plains Rd. bet. E. 212 St. and Magenta St.,Marcus Garvey Square
"LEFFERTS BLVD, AUSTIN ST",SITTING AREA
BTWN 110TH AND 121ST ST,Rockaway Beach
"SPRING BLVD, BENNETT ST & SOUTHGATE PL",MALLS
Bronx Blvd & Carpenter Av & 219 St,Bronx River Parkway
S OF CONRAD TRESTLE-ADJ BLFLD PATHS/N OF SOCCER FLDS FENCE LINE/ODYS HSE LAWN PERIMETER,Wards Island Park
ARTHUR KILL RD & RICHMOND AVE (BUS STOP),GREENSTREET
"ROOSEVELT AVE, 60 ST, WOODSIDE AVE",WOODSIDE PLAZA
Bronx Blvd & Duncomb Ave,Bronx River Parkway
NRTH-MN BRIDGE RAMP/S-LIL' HELL GATE/E-STDM PERIM/W-HARLEM RVR,Randall's Island Park
HARBOR AVE BET FOREST CT & DEAD END,GREENSTREET
"BRYANT AVE,  SENECA STREET",BRYANT PLGD
WEST END AVE TO KINGSBOROUGH COLLEGE,SHORE BLVD MALL
SHOREFRONT PKWY & BEACH 101 ST,GREENSTREET
5TH STREET & 48TH AVENUE,QUEENS WEST COMMUNITY PARK
E 227 ST/BRONX RIVER PARKWAY,Bronx River Parkway
SPRINGFIELD BLVD BET. 112 AVE & 113 ST (1),GREENSTREET
W 25TH ST TO W 32ND,Coney Island Beach & Boardwalk
BRONX PARK SOUTH & SOUTHERN BLVD (CROTONA MALLS 1),GREENSTREET
"Laurel Hill Terr, W 182 St (just Off Of Amsterdam)",McNally Plaza
,HARLEM RIVER DRIVE
,GREENSTREET
Doscher St.,DOSCHER ST. BLOCK ASSOCIATION
SURF AVE BET. SEABREEZE AVE & WEST 5 ST (3),GREENSTREET
34TH AVE MALLS (9),GREENSTREET
"LIBERTY AVE TO MAYVILLE ST, BRINKERHOFF AND FONDA",MALLS
"CLOVE ROAD, LITTLE CLOVE ROAD,NARROWS ROAD NORTH",GREENSTREET
KAZIMIROFF @ MOSHOLU/DUNCOMB/METRO N RR TRACKS/BRONX RIVER PKWY,Bronx Park
S/O CONRAD TRESTLE-ADJ BF PATHS/N/O SOCCER FLDS FENCE/ODYS HSE LW PERIMETER,Bronx Park
"Sheridan Exwy. bet. E. 174 St., E. 172 St. and Jennings St.",Starlight Park
WOODHAVEN BLVD BET. MYRTLE AVE & 83 AVE,GREENSTREET
"BAY ST, TIER ST, EASTCHESTER BAY",City Island Wetlands
"LITTLE HELL GATE INLET, PARKING LOTS, PERIMETER PATH, TRIBORO BRIDGE RAMP",Randall's Island Park
WOODHAVEN BLVD BET. 82 AVE & MYRTLE AVE (3),GREENSTREET
/S CITY ISLAND AVENUE AT CENTRE ST,Ambrosini Field
MOSHOLU PKWY & KAZIMIROFF BLVD,GREENSTREET
"OLGA PLACE, STEUBEN ST (NORTH), STEUBEN ST (SOUTH)",GREENSTREET
"N/S QUEENS-MIDTOWN EXWY, MAZEAU ST, 57 & 58 RD",PARK STRIP
RIVERSIDE DRIVE & 156TH ST,GREENSTREET
43 SNYDER AVE,P.S. 6 - BROOKLYN
BRONX BOULEVARD & EAST 219TH STREET & CARPENTER AVE (2),GREENSTREET
"HAMPTON BLVD EAST, 53-56 AVES",TRIANGLE
"HOLLIS COURT BLVD, JAMAICA TO HILLSIDE AVES",HOLLIS COURT MALLS
"43 AVE, 68 ST, W/S BKLYN-QUEENS EXWY",BROOKLYN-QUEENS EXPRESSWAY
HARBOR AVE BET. SYLVAN & FOREST CT,GREENSTREET SITE
BTWN 100TH ST AND 110TH ST,Rockaway Beach Boardwalk
"BRYANT AVE, SENECA ST, LAFAYETTE ST",BRYANT PARK
"MANHATTAN ST DEAD END, SOUTH OF BILLOP AVE",GREENSTREET
"Bqe, Montague St, East River",PIER 4
1919 PROSPECT AVE,P.S. 211 - BRONX
W 188 St & University Ave,Devoe Park
