year,marshal_last_name,assessment_fee,adjusted_gross_fee_poundage,net_income_marshal_s_office
2018,Barone,44206.52,949033.82,308276.86
2018,Renzulli,20104.18,413426.16,135409.21
2020,Pollard,14910.84,298018.73,12227.0
2019,"Essock, G.",3525.68,45015.0,5445.91
2021,Regan,5264.2,83648.98,11241.23
2021,Guida Jr.,10727.61,205058.09,-90030.62
2022,Marchisotto,5543.54,89856.45,-40008.72
2023,McCoy,13121.75,258261.0,-1606.91
2023,Swift,40007.1,855713.42,641572.93
2023,"Kemp, B.",1530.04,667.46,-35426.24
2023,Grossman,47143.86,1014308.02,213546.19
2021,Daley,41311.31,884695.81,430990.7
2022,Daley,56738.21,1227515.69,332.9
2020,Bia,13071.39,257142.0,-164855.21
2021,Biegel,105950.21,2321115.72,1018515.72
2022,Giachetta,39950.86,854463.55,495350.19
2018,Pagnotta,32945.71,698793.59,475809.61
2022,Guida Jr.,31478.01,666177.95,142781.61
2019,"Bienstock, G.",60327.68,1307281.72,453826.79
2021,Schain,24249.98,505555.15,46616.56
2021,"Rose, G.",19749.13,405536.17,107216.11
2021,Solimine,1620.91,2686.93,-87296.07
2021,Pagnotta,17208.32,349073.73,197399.95
2020,Guida Jr.,23508.09,489068.67,8874.01
2019,Pollard,30625.71,647238.08,264362.1
2020,Weinheim,15442.26,309827.94,14896.53
2023,Marchisotto,10356.26,196805.74,10901.95
2018,"Bienstock, G.",53729.61,1160658.09,354499.44
2019,Capuano,51551.58,1112257.29,434631.13
2020,Siracusa,21965.81,454795.73,8628.7
2019,Kemp,29512.53,622500.56,99002.28
2021,Kemp,14336.85,285263.34,129623.67
2019,"Rose, G.",51376.53,1108367.4,612235.55
2020,Solimine,23517.88,489286.33,133057.71
2021,Blake,3982.89,55175.35,-31521.25
2019,Giglio,20271.28,417139.64,195218.7
2019,Locascio,52410.97,1131354.83,421064.86
2022,Renzulli,13764.77,272550.38,87789.64
2019,Blake,15041.57,300923.85,74583.81
2022,Pollard,31946.09,676579.84,360616.0
2022,Moses,155001.85,3411152.31,1419319.17
2021,Swift,8103.1,146735.62,33203.94
