dbn,total_parent_response_rate,total_teacher_response_rate,total_student_response_rate,school_name
02M933,74,100,96,City Knoll Middle School
01M650,21,100,70,Cascades High School
02M374,26,84,90,Gramercy Arts High School
02M630,25,50,48,Art and Design High School
01M509,27,92,62,Marta Valle High School
02M347,33,88,83,The 47 American Sign Language & English Lower School
02M312,54,81,94,New York City Lab Middle School for Collaborative Studies
02M896,55,100,84,Lower Manhattan Community Middle School
02M625,3,22,3,High School of Graphic Communication Arts
03M283,38,100,94,Manhattan Theatre Lab High School
02M003,72,78,,P.S. 003 Charrette School
03M333,59,71,97,P.S. 333 Manhattan School for Children
02M655_B,,,,Life Sciences Secondary School
03M247,70,100,91,M.S. M247 Dual Language Middle School
dbn,rr_p,rr_t,rr_s,
03M087,34,53,,P.S. 087 William Sherman
02M001,51,79,,P.S. 001 Alfred E. Smith
02M531,60,100,83,Repertory Company High School for Theatre Arts
02M475,52,94,96,Stuyvesant High School
02M427,50,100,84,MANHATTAN ACADEMY FOR ARTS & LANGUAGE
02M570,3,100,65,Satellite Academy High School
01M034,25,59,91,P.S. 034 Franklin D. Roosevelt
02M412,34,74,91,N.Y.C. Lab School for Collaborative Studies
02M255,66,96,95,M.S. 255 Salk School of Science
01M345,50,71,91,"Collaborative Academy of Science, Technology, & Language-Arts Education"
02M655_A,,,,Life Sciences Secondary School
02M294,26,100,81,Essex Street Academy
03M299,21,100,82,"High School for Arts, Imagination and Inquiry"
02M151,53,98,,Yorkville Community School
02M316,31,88,67,"Urban Assembly School of Business for Young Women, the"
02M473,0,70,33,Washington Irving Yabc
01M448,32,84,83,University Neighborhood High School
02M041,74,92,,P.S. 041 Greenwich Village
01M539_B,,,,"New Explorations into Science, Technology and Math High School"
02M006,49,85,,P.S. 006 Lillie D. Blake
02M565,22,100,68,Urban Academy Laboratory High School
02M575,39,81,69,Manhattan Comprehensive Night and Day High School
02M077,94,100,,P.S. 77 Lower Lab School
02M437,13,97,56,Hudson High School of Learning Technologies
02M422_B,,,,Quest to Learn
02M288,17,84,81,Food and Finance High School
02M212,98,100,,P.S. 212 Midtown West
02M605,11,100,67,Humanities Preparatory Academy
03M241,60,36,,STEM Institute of Manhattan
02M429,28,86,94,Legacy School for Integrated Studies
06M366,75,94,100,Washington Heights Academy
03M256,76,100,91,M.S. 256 Academic & Athletic Excellence
02M407_B,,,,Institute for Collaborative Education
03M165,53,82,91,P.S. 165 Robert E. Simon
02M059,65,79,,P.S. 059 Beekman Hill International
02M135,45,100,98,The Urban Assembly School for Emergency Management
02M198,88,74,,P.S. 198 Isador E. Ida Straus
02M308,12,96,82,Lower Manhattan Arts Academy
02M489,38,89,80,High School of Economics and Finance
03M258,40,96,94,Community Action School - MS 258
02M260,59,72,97,M.S. 260 Clinton School Writers & Artists
02M425,28,98,42,Leadership and Public Service High School
02M280,53,89,95,Manhattan Early College School for Advertising
02M529,10,80,53,Jacqueline Kennedy Onassis High School
02M543,9,91,74,New Design High School
03M180,37,96,95,P.S. 180 Hugo Newman
02M040,46,72,,P.S. 040 Augustus Saint-Gaudens
02M418,34,100,93,Millennium High School
03M242,42,48,,P.S. 242 - The Young Diplomats Magnet Academy
02M042,100,91,,P.S. 042 Benjamin Altman
02M551,16,75,59,Urban Assembly New York Harbor School
02M414,17,75,98,N.Y.C. Museum School
02M655,34,62,60,Life Sciences Secondary School
02M534,27,76,54,Harvest Collegiate High School
02M413,40,59,90,School of the Future High School
02M340,69,100,,Sixth Avenue Elementary School
01M315,68,100,,The East Village Community School
02M393,21,68,88,BUSINESS OF SPORTS SCHOOL
02M416,51,100,98,Eleanor Roosevelt High School
02M126,37,83,99,P.S. 126 Jacob August Riis
01M458,14,83,39,Forsyth Satellite Academy
02M267,75,95,,"East Side Elementary School, PS 267"
02M408_A,,,,Professional Performing Arts High School
02M550,49,69,87,Liberty High School Academy for Newcomers
02M545,61,82,92,High School for Dual Language and Asian Studies
02M408_B,,,,Professional Performing Arts High School
02M150,73,100,,P.S. 150
02M051,86,89,,P.S. 051 Elias Howe
03M009,72,100,,P.S. 009 Sarah Anderson
02M131,57,95,94,M.S. 131
02M586,22,90,85,Harvey Milk High School
02M542,62,97,85,Manhattan Bridges High School
02M289,60,100,100,I.S. 289
02M580,16,88,67,Richard R. Green High School of Teaching
02M615,29,79,86,Chelsea Career and Technical Education High School
03M307,18,96,87,"Urban Assembly School for Media Studies, The"
02M420,45,91,91,High School for Health Professions and Human Services
03M402,25,74,69,The Urban Assembly School for Green Careers
02M114,72,100,98,East Side Middle School
02M282,25,100,85,Urban Assembly Maker Academy
01M019,100,98,,P.S. 019 Asher Levy
01M188,80,84,97,P.S. 188 The Island School
03M245,43,77,50,M.S. M245 The Computer School
02M217,61,78,95,P.S./I.S. 217 Roosevelt Island
02M419,40,100,71,Landmark High School
01M292_B,,,,Henry Street School for International Studies
03M334,87,97,97,The Anderson School
03M076,48,91,97,P.S. 076 A. Philip Randolph
02M124,100,91,,P.S. 124 Yung Wing
03M243,87,100,99,M.S. 243 Center School
01M020,56,72,,P.S. 020 Anna Silver
03M084,34,59,,P.S. 084 Lillian Weber
01M839,45,72,89,Tompkins Square Middle School
02M544,23,60,30,Independence High School
02M399,30,87,84,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY
02M111,22,67,92,P.S. 111 Adolph S. Ochs
01M696,50,85,92,Bard High School Early College
02M560,6,68,15,High School M560 - City As School
01M364,60,100,,Earth School
02M500,65,100,94,Unity Center for Urban Technologies
01M332,72,100,99,University Neighborhood Middle School
02M449,27,100,79,Vanguard High School
