site_number,bbl,site_name,zip_code,city
S0034,5054440012.0,PS 32 The Gifford School,10308,Staten Island
M0178,1009300012.0,East Midtown Plaza,10010,New York
11508,1021120058.0,The Mirabal Sisters School,10032,New York
B0365,3051030010.0,Erasmus Hall HS,11226,Brooklyn
Q0016,4116230001.0,PS 100-Glen Morris,11420,South Ozone Park
11159,4016000061.0,Elmhurst Campus HS,11373,Elmhurst
11188,3001390001.0,Brooklyn Borough Hall,11201,Brooklyn
10522,1019640001.0,Gen Grant Houses II,10027,New York
B0278,3078810003.0,F.Bennett American Leg. Post,11234,Brooklyn
10465,1007760040.0,Fashion Institute of Technology,10001,New York
B0284,3038380018.0,PS 190,11207,Brooklyn
M0080,1004320001.0,Village View Housing,10009,New York
00062,4022480100.0,PS 196-Grand Central Parkway,11375,Forest Hills
11155,5075960145.0,The Tides at Charleston,10309,Staten Island
X0143,2046750020.0,PS 113 Globe School for Environmental Research,10467,Bronx
10537,1007670068.0,Liberty High School,10011,New York
Q0013,4121510001.0,PS 40-Samuel Huntington,11433,Jamaica
11692,1001110160.0,Alfred E. Smith Recreation Center,10038,New York
X0035,,PS 64 Pura Belpre,10452,Bronx
X0214,2044440016.0,PS 89 Bronx,10469,Bronx
S0009,5000710011.0,Cassidy / Lafayette Senior Center,10301,Staten Island
10027,5036960100.0,IS 2 George L. Egbert,10306,Staten Island
10837,1014490011.0,Holy Trinity Cathedral,10021,New York
00016,1004600001.0,JASA Community Center,10003,New York
00063,4153130485.0,PS 47-Chris Galas,11693,Far Rockaway
11466,2039437501.0,Parkchester South Condominum 18 Metropolitan,10462,Bronx
11501,3057110040.0,Community Board 12,11219,Brooklyn
10738,4102870062.0,St. Albans Congregational Church,11434,Jamaica
M0081,1019190006.0,PS 175,10030,New York
11426,5055200145.0,Eltingville Lutheran Church,10312,Staten Island
10306,1003110013.0,Seward Park II,10002,New York
M0232,1003560100.0,PS 188 Or 196,10002,New York
Q0228,4067920100.0,PS 201-Discovery School for Inquiry & Research,11367,Flushing
10842,3032320001.0,Buena Vida Residence,11221,Brooklyn
B0149,3058250001.0,Bay Ridge Air Rights,11220,Brooklyn
M0041,1011587504.0,Lincoln Towers,10023,New York
Q0200,4028790031.0,PS 102-Bayview,11373,Elmhurst
S0058,5000180015.0,PS 16 John J. Driscoll,10301,Staten Island
00030,2041710001.0,PS 71 Rose E. Scala School,10461,Bronx
Q0222,4021260014.0,JHS 157-Stephen A Halsey,11374,Rego Park
X0140,2041990001.0,Hellenic Orthodox Community Church,10461,Bronx
S0074,5015800044.0,PS 60 Alice Austen,10314,Staten Island
B0256,3007780023.0,PS 220 JHS,11220,Brooklyn
10548,1005330001.0,NYU Wash Square Village 3,10012,New York
00055,4098020041.0,International Tower Senior Center,11432,Jamaica
11581,2057770719.0,Manhattan College Raymond E. Kelly '63 Bldg,10463,Bronx
11597,4093810044.0,High School for Construction Trades,11416,Ozone Park
S0055,5008730027.0,Staten Island Academy,10304,Staten Island
Q0250,4077530001.0,PS 205-Alexander Graham Bell,11364,Oakland Gardens
Q0047,4119720070.0,PS 142-Queens Transition Center /Queens Academy,11436,Jamaica
11748,1012360058.0,B'nai Jeshurun,10024,New York
11373,2040910001.0,Van Nest Academy-PS/MS 498,10462,Bronx
10241,1009780001.0,Peter Cooper Village,10010,New York
B0037,3012830001.0,Crown Gardens Community Center,11225,Brooklyn
11537,3014570032.0,PS 12,11233,Brooklyn
Q0100,4062030001.0,PS 130,11361,Bayside
11450,3037270001.0,Seth Low Senior Center,11212,Brooklyn
S0011,5023660073.0,PS 69 Daniel D. Tompkins,10314,Staten Island
11157,4034280015.0,PS 305-Learners & Leaders,11385,Ridgewood
M0050,1014890001.0,PS 158,10075,New York
Q0125,4079300002.0,Martin Van Buren HS,11427,Queens Village
Q0234,4031720002.0,JHS 190-Russell Sage,11375,Forest Hills
Q0145,4006100001.0,PS 166-Henry Gradstein,11106,Astoria
S0073,5052210001.0,PS 8 Shirlee Solomon,10308,Staten Island
M0093,1021650026.0,PS 132,10033,New York
Q0144,4060440001.0,Bayside HS,11361,Bayside
X0110,2045260001.0,PS 121 Throop,10469,Bronx
B0170,3072730025.0,Trump Village Bldg 6A,11224,Brooklyn
X0141,2024350075.0,PS 53 Annex Basheer Quisim,10456,Bronx
11637,4003630001.0,PS 111 - Jacob Blackwell,11101,Long Island City
B0252,3044310100.0,Vandalia  Ctr,11239,Brooklyn
X0179,2059180376.0,MS/HS 141 Riverdale/Kingsbridge Academy,10463,Bronx
Q0097,4104470007.0,PS 35-Nathaniel Woodhull,11423,Hollis
10437,3051030079.0,PS 6,11226,Brooklyn
11747,1020390010.0,HCCI (The David & Joyce Dinkins Gardens),10039,New York
B0146,3074470001.0,PS 286,11235,Brooklyn
10013,5035840047.0,Saint Christophers Church,10306,Staten Island
X0237,2059520374.0,RIVERDALE -- YMY-WHA,10471,Bronx
10253,3008800001.0,IS 88,11215,Brooklyn
M0108,1017010001.0,1199 Housing,10029,New York
X0025,2025290081.0,PS 11 Highbridge,10452,Bronx
10123,3056420042.0,Boro Park YM-YWHA,11219,Brooklyn
10561,4000180001.0,PS 78,11109,Long Island City
00007,1004460020.0,PS 751,10003,New York
Q0272,4015140001.0,PS 89-Elmhurst,11373,Elmhurst
10168,3056080006.0,West End Gardens,11219,Brooklyn
11260,1002450007.0,PS 184M,10002,New York
M0195,,Penn South (Bldg 2B),10011,New York
11752,3034870021.0,Cypress Hills Sr Housing Residences,11207,Brooklyn
B0240,3072530001.0,Warbasse Bldg 2A,11224,Brooklyn
