site_number,voter_entrance,bin,handicap_entrance,census_tract,:@computed_region_efsh_h5xi,:@computed_region_yeji_bk3q
X0237,5625 Arlington Avenue,2086312.0,Second floor Recreational Room,323.0,11609.0,5.0
B0101,195 Linden Street,3076116.0,195 Linden Street,417.0,18181.0,2.0
B0042,1225 Bay Ridge Avenue,3143190.0,On 68 Street,196.0,17621.0,2.0
Q0271,85-15 258 Street,4180083.0,Entrance on 259th Street,157903.0,15785.0,3.0
11432,3002 Ft Hamilton Parkway,3123973.0,3002 Ft Hamilton Parkway,500.0,17620.0,2.0
00055,90-20 170 Street,4209721.0,90-20 170 Street,460.0,24340.0,3.0
S0052,60 Foote Avenue,5015603.0,Along Martha St.,47.0,10369.0,1.0
Q0250,75-25 Bell Boulevard,4164007.0,75-25 Bell Boulevard,129103.0,14506.0,3.0
11260,327 Cherry Street,1003143.0,327 Cherry Street,201.0,11723.0,4.0
11450,137 Belmont Avenue,3327015.0,137 Belmont Avenue,908.0,17614.0,2.0
11581,3900 Waldo Avenue,2000000.0,3900 Waldo Ave - 5 FL meeting room,285.0,,
S0001,140 Palma Drive,5043519.0,140 Palma Drive,40.0,10691.0,1.0
X0025,1257 Ogden Avenue,2003519.0,Entrance on Merriam Avenue through gated yard,201.0,10930.0,5.0
B0060,1401 Emmons Avenue,3246958.0,1401 Emmons Avenue,608.0,13826.0,2.0
00038,1064 Lenox Road,3101840.0,In back of building on East 95 St,886.0,17614.0,2.0
10785,550 Greene Avenue,3050417.0,550 Greene Avenue,251.0,17618.0,2.0
11738,1716 Southern Boulevard,2010604.0,"Exit 4, First door right of main entrance",161.0,,
Q0234,68-17 Austin Street,4075214.0,Rear Pathway on 68th Avenue between School & Playground,71305.0,14786.0,3.0
10428,241 West 72 Street,1030512.0,241 West 72 Street,159.0,12420.0,4.0
11488,main entrance,3398498.0,main entrance,162.0,,
11654,90-07 101 Avenue,4541381.0,90-07 101 Avenue,38.0,,
10007,505 LaGuardia Place,1008241.0,Wooster Street,5501.0,12075.0,4.0
X0204,888 Rev. James A.Polite Ave,2005348.0,Entrance thru Stebbins Ave.,87.0,10937.0,5.0
Q0036,131-10 97 Avenue,4200233.0,Entrance through Schoolyard on 132nd Street,154.0,24015.0,3.0
Q0185,46-21 Colden Street,4116436.0,Side Entrance on Juniper Avenue,845.0,14190.0,3.0
M0286,100 Hester Street,1082489.0,Eldridge St. (Between Hester & Canal St.),16.0,11723.0,4.0
X0101,Enter thru Allerton & Lodovick Aves,2053518.0,Enter thru Allerton & Lodovick Aves,310.0,11607.0,5.0
11251,361 15th Street,3026581.0,To the right side of main entrance,149.0,17617.0,2.0
10077,2158 Watson Ave - Across from Rectory front door,2087033.0,2158 Watson Ave - Across from Rectory front door,78.0,11610.0,5.0
11630,10 Grand Army Plaza,3029665.0,10 Grand Army Plaza,177.0,,
10123,4912 14 Avenue,3328617.0,4912 14 Avenue,236.0,17621.0,2.0
M0232,442 East Houston Street,1004349.0,East 3rd Street,20.0,11723.0,4.0
10241,360 1 Avenue,1083681.0,360 1 Avenue,60.0,12073.0,4.0
11517,2177 Frederick Douglas Blvd,,2177 Frederick Douglas Blvd,,,
11683,316 East 88 Street,1050057.0,316 East 88 Street,14602.0,,
X0224,677 East 141 Street,2003834.0,Entrance thru schoolyard on Cypress Ave,33.0,10932.0,5.0
11107,5404 Tilden Avenue,3104513.0,To left of main entrance on East 55 Street,946.0,16866.0,2.0
B0324,7502 Ridge Boulevard,3148662.0,Enter on Bay Ridge Parkway,44.0,17216.0,2.0
X0179,Entrance is on Independence Avenue closer to 237th St,2085870.0,Entrance is on Independence Avenue closer to 237th St,309.0,11272.0,5.0
10298,33 Ferndale Avenue,5037524.0,33 Ferndale Avenue,27706.0,10700.0,1.0
B0023,1070 East 104th Street,3326733.0,Through the playground,986.0,13827.0,2.0
M0080,175 East 4 Street,1077559.0,175 East 4 Street,32.0,11729.0,4.0
10561,48-09 Center Boulevard,4000019.0,Side entrance on 48th Avenue,1.0,16864.0,3.0
10168,1002 44 Street entrance on 10th Avenue,3136331.0,1002 44 Street entrance on 10th Avenue,112.0,17621.0,2.0
00063,9 POWER ROAD,4448968.0,9 POWER ROAD,107201.0,20531.0,3.0
10185,103-34 Lefferts Boulevard,4203685.0,103-34 Lefferts Boulevard,106.0,24015.0,3.0
X0110,2750 Throop Avenue,2054253.0,Thru School Yard on Bouck Avenue,348.0,11607.0,5.0
B0240,425 Neptune Avenue,3320734.0,425 Neptune Avenue,35601.0,18184.0,2.0
11647,644 Bloomingdale Road,5158758.0,644 Bloomingdale Road,226.0,,
X0095,2441 Wallace Avenue,2051313.0,Thru School Yard on Holland Ave,330.0,11605.0,5.0
M0111,210 East 33 Street,1020080.0,East 32nd Street (Through Schoolyard),70.0,12078.0,4.0
11637,37-15 13 Street,4004419.0,Schoolyard on 14 STREET between 37 AVE and 21 STREET,43.0,,
11373,1640 Bronxdale Avenue - poll site is on 2nd floor,2116414.0,1640 Bronxdale Avenue - poll site is on 2nd floor,244.0,11271.0,5.0
Q0125,230-17 Hillside Avenue,4166101.0,Entrance through school yard of 229 Street,1301.0,24336.0,3.0
Q0254,63-60 80 Street,4069253.0,63-60 80 Street,663.0,15309.0,3.0
10172,196 Albany Avenue,3031082.0,196 Albany Avenue,343.0,17615.0,2.0
11508,21 Jumel Place,1076741.0,21 Jumel Place,249.0,,
11159,45-10 94 Street,4437166.0,Through Courtyard on 94th Street,463.0,14784.0,3.0
S0055,715 Todt Hill Road,5130212.0,140 Buttonwood Road,177.0,10691.0,1.0
10024,New Building - Visitors room,2096968.0,New Building - Visitors room,284.0,11270.0,5.0
S0058,190 Daniel Low Terrace,5000291.0,190 Daniel Low Terrace,11.0,10369.0,1.0
11188,209 Joralemon Street,3000256.0,Enter on right side of main entrance,11.0,16865.0,2.0
B0170,2928 West 5th Street,3196576.0,2928 West 5th Street,354.0,18184.0,2.0
Q0016,111-11 118 Street,4250416.0,Back Entrance through Schoolyard on Lefferts Boulevard,102.0,24016.0,3.0
B0208,350 Avenue X,3195175.0,350 Avenue X,37401.0,18183.0,2.0
11119,530 West 55 Street,1027059.0,530 West 55 Street,135.0,12081.0,4.0
M0041,140 West End Avenue,1070711.0,140 West End Avenue,155.0,12420.0,4.0
10524,55 5 Avenue,1009373.0,55 5 Avenue,61.0,11724.0,4.0
Q0013,109-20 Union Hall Street,4263341.0,Side Entrance on 109th Avenue,260.0,24668.0,3.0
11248,305 Macdougal Street,3041566.0,305 Macdougal Street,369.0,13516.0,2.0
M0175,3150 Broadway,1084117.0,3150 Broadway,211.0,12424.0,4.0
B0149,260 65 Street,3144193.0,260 65 Street,22.0,18180.0,2.0
11041,46-02 Parsons Boulevard,4117775.0,Side Entrance on Jasmine Avenue,1201.0,14190.0,3.0
10253,544 7 Avenue,3331276.0,544 7 Avenue,147.0,17617.0,2.0
11445,422 Central Avenue,3076595.0,422 Central Avenue,417.0,18181.0,2.0
Q0064,153-23 83 Street,4247454.0,Rear Schoolyard Entrance on 84th Street near 153rd Avenue,6202.0,15314.0,3.0
X0143,3710 Barnes Avenue,2058396.0,Entrance thru back of school on E 216 St,390.0,11605.0,5.0
11157,378 Seneca Avenue,4538307.0,378 Seneca Avenue,539.0,15310.0,3.0
S0034,232 Barlow Avenue,5070651.0,232 Barlow Avenue,14608.0,10695.0,1.0
Q0097,191-02 90 Avenue,4222137.0,Entrance on 191st Street,482.0,24332.0,3.0
B0380,1281 Troy Avenue,3112994.0,Enter on East 45th Street,838.0,16866.0,2.0
10861,233-15 Merrick Boulevard,4529511.0,Schoolyard Entrance on 234th Street near Merrick Blvd,618.0,24018.0,3.0
Q0005,104-12 Springfield Boulevard,4240503.0,Path to Side Entrance on Springfield Blvd near 107 Ave,582.0,24338.0,3.0
M0081,175 West 134 Street,1058248.0,175 West 134 Street,228.0,12427.0,4.0
11466,18 Metropolitan Oval,2096696.0,18 Metropolitan Oval,21002.0,11271.0,5.0
Q0273,85-52 85 Street,4181565.0,Side Entrance on 85th Drive near 85th Street,12.0,24017.0,3.0
10275,11 Fort George Hill,1064066.0,11 Fort George Hill,283.0,13098.0,4.0
X0141,In Annex Building across from Main School Building,2002299.0,In Annex Building across from Main School Building,175.0,10934.0,5.0
Q0228,65-11 155 Street,4146992.0,Rear Entrance on 156th Street,122702.0,14509.0,3.0
M0156,283 Avenue C,1082849.0,283 Avenue C,44.0,11729.0,4.0
B0071,1501 Hendrickson Street,3337372.0,1501 Hendrickson Street,650.0,13825.0,2.0
B0253,4715 18 Avenue,3128909.0,4715 18 Avenue,476.0,16867.0,2.0
B0250,46 McKeever Place,3034356.0,46 McKeever Place,325.0,13509.0,2.0
M0245,490 Hudson Street,1009872.0,490 Hudson Street,73.0,12077.0,4.0
M0140,240 East 109 Street,1052433.0,2nd Ave (Through walkway / Parking Lot),170.0,12426.0,4.0
Q0282,88-02 144 Street,4206905.0,Through Playground Gate on 88th Avenue,214.0,24670.0,3.0
11433,265 Warwick Street,3397079.0,Enter on the right side of the Main Entrance (Atlantic Ave),1170.0,17214.0,2.0
00016,200 East 5 Street,1006580.0,200 East 5 Street,38.0,11724.0,4.0
Q0299,93-06 63 Drive,4072457.0,Wetherole Street,693.0,14785.0,3.0
S0011,144 Keating Place,5037541.0,144 Keating Place,27705.0,10700.0,1.0
11597,94-06 104 Street,4438609.0,94-06 104 Street,114.0,,
X0005,1001 Jennings Street,2010916.0,School entrance on Longfellow Avenue,157.0,11269.0,5.0
X0023,125 East 181 Street,2013849.0,Through Creston Avenue courtyard gate,23704.0,10931.0,5.0
11155,15 Tides Lane,5155401.0,15 Tides Lane,226.0,10696.0,1.0
B0388,5101 Avenue M,3218626.0,Avenue M To the left of main entrance,680.0,13825.0,2.0
Q0145,33-09 35 Avenue,4008220.0,Rear School Entrance from 33rd Street,57.0,16863.0,3.0
11748,270 West 89 Street,1033304.0,270 West 89 Street,175.0,,
11752,137 Jamaica Avenue,3326569.0,137 Jamaica Avenue,114201.0,,
X0008,1020 Anderson Avenue,2003051.0,main ent from ramp at the right of the main entrance,189.0,10930.0,5.0
B0146,2525 Haring Street,3204767.0,In back of building on Avenue Y,596.0,13826.0,2.0
11747,263 West 153 Street,1087790.0,263 West 153 Street,236.0,,
10027,333 Midland Avenue,5053571.0,Accessible Entrance by school yard,11202.0,10693.0,1.0
B0252,47 Vandalia Avenue,3348859.0,47 Vandalia Avenue,105804.0,13830.0,2.0
B0284,590 Sheffield Avenue,3085491.0,590 Sheffield Avenue,1128.0,17214.0,2.0
S0009,125 Cassidy Place,5001762.0,125 Cassidy Place,81.0,10369.0,1.0
Q0222,63-55 102 Street,4442846.0,Side Entrance located midway on 63rd Drive,721.0,14785.0,3.0
10842,48 Cedar Street,3387647.0,48 Cedar Street,423.0,18181.0,2.0
B0037,1185 Carroll Street,3337867.0,Enter on Nostrand Avenue,319.0,13509.0,2.0
11498,99-15 Springfield Boulevard,4231038.0,99-15 Springfield Boulevard,568.0,,
11653,39-07 57 Street,4543408.0,39-07 57 Street,257.0,,
X0003,1000 East Tremont Avenue,2010892.0,Schoolyard entrance on Vyse Avenue,359.0,11269.0,5.0
11187,1055 St Johns Place,3399146.0,1055 St Johns Place,339.0,17615.0,2.0
Q0144,32-24 Corporal Kennedy Street,4134578.0,32-24 Corporal Kennedy Street,1097.0,14196.0,3.0
X0201,851 Grand Concourse,2002869.0,851 Grand Concourse,63.0,10929.0,5.0
M0178,319 East 24 Street,1078830.0,319 East 24 Street,66.0,12073.0,4.0
X0140,3573 Bruckner Boulevard,2095007.0,3573 Bruckner Boulevard,300.0,11270.0,5.0
10709,715 Ocean Terrace,5113169.0,100 Milford Drive,177.0,10369.0,1.0
11692,Off of Catherine Slip behind the Public School,1083357.0,Off of Catherine Slip behind the Public School,25.0,,
11411,431 6th Avenue,3022144.0,To right of Main Entrance on 9th Street,153.0,17617.0,2.0
Q0100,200-01 42 Avenue,4137034.0,Through Pathway on 201st Street between School and Park,1463.0,14196.0,3.0
11629,495 Gates Avenue,3050974.0,495 Gates Avenue,265.0,,
10537,250 West 18 Street,1013858.0,250 West 18 Street,81.0,12074.0,4.0
M0108,2070 1 Avenue,1083953.0,2070 1 Avenue,162.0,12426.0,4.0
M0050,1458 York Avenue,1046411.0,East 78th Street,132.0,10092.0,4.0
11153,3260 Henry Hudson Parkway,2084125.0,Entrance on Arlington Avenue,297.0,11272.0,5.0
10738,172-17 Linden Boulevard,4448875.0,172-17 Linden Boulevard,432.0,24669.0,3.0
10465,298 7 Avenue,1014236.0,7 Ave & W 27 St (SW Corner),95.0,11722.0,4.0
M0195,341 West 24 Street,,341 West 24 Street,93.0,12074.0,4.0
B0088,18 Beaver Street,3071806.0,Left side of main entrance through school yard,389.0,17213.0,2.0
X0052,1691 Weeks Avenue School Entrance,2007387.0,To the left of the school main entrance : right side of room,22902.0,10935.0,5.0
Q0169,40-20 235 Street,4168629.0,234th Street through Schoolyard,1483.0,14505.0,3.0
Q0047,142-10 Linden Boulevard,4259200.0,Rear Parking Lot Entrance on 143rd Street,192.0,24671.0,3.0
B0278,5601 Avenue N,3220323.0,On Avenue N to right of main entrance.,690.0,13825.0,2.0
M0215,41 West 117 Street,1051434.0,West 118th Street (Through Schoolyard),190.0,12423.0,4.0
B0191,On left side of main entrance.,3063188.0,On left side of main entrance.,527.0,17613.0,2.0
Q0200,55-24 Van Horn Street,4437597.0,55-24 Van Horn Street,479.0,14784.0,3.0
11151,2950 Eastchester Road,2062368.0,Enter near corner of Adee & Eastchester; take elevator,356.0,11607.0,5.0
Q0009,107-01 Otis Avenue,4437311.0,Otis Ave & Van Doren Street,439.0,14510.0,3.0
10837,337 East 74 Street,1044929.0,337 East 74 Street,134.0,12083.0,4.0
10437,43 Snyder Avenue,3117230.0,43 Snyder Avenue,794.0,13510.0,2.0
10354,732 East 233 Street,2063714.0,On 233 Street to the right of the Main Entrance,422.0,11275.0,5.0
X0035,1425 Walton Avenue,,1425 Walton Avenue,,10930.0,5.0
X0214,Entrance left of Main Entrance,2051571.0,Entrance left of Main Entrance,324.0,11607.0,5.0
11112,21-16 44 Road,4005184.0,21-16 44 Road,19.0,16858.0,3.0
X0167,Enter thru schoolyard on Thieriot Ave.,2021482.0,Enter thru schoolyard on Thieriot Ave.,16.0,11611.0,5.0
10518,120 East 110 Street,1078931.0,120 East 110 Street,172.0,12426.0,4.0
M0073,166 Essex Street,1004325.0,Essex Street (Through Walkway / Parking Lot),3001.0,11723.0,4.0
11501,5910 13 Avenue,3141046.0,5910 13 Avenue,192.0,,
10450,443 St Marks Avenue,3028281.0,Enter on left side of main entrance,305.0,13829.0,2.0
11493,300 Avenue X,3195077.0,300 Avenue X,37402.0,,
10522,1295 Amsterdam Avenue,1084093.0,1295 Amsterdam Avenue,20901.0,12424.0,4.0
11537,430 Howard Avenue (not used for voters),3039174.0,Enter on Prospect Place through school yard,363.0,,
X0155,4300 Murdock Avenue,2087387.0,Corner of Nereid and Hill Avenue,444.0,11275.0,5.0
00062,71-25 113 Street,4052713.0,71-25 113 Street,75702.0,14786.0,3.0
S0074,55 Merrill Avenue,5031151.0,47 Merrill Ave (to the right of Main Entrance),29104.0,10700.0,1.0
M0093,185 Wadsworth Avenue,1063947.0,West 182nd Street (Through Schoolyard),271.0,13091.0,4.0
10862,17-15 Weirfield Street,4435561.0,17-15 Weirfield Street,553.0,15310.0,3.0
