handicap_entrance,street_name,council_district
Thru School Yard on Bouck Avenue,Throop Avenue,13.0
144 Keating Place,Keating Place,51.0
Thru Jarvis Ave playground entrance,Roberts Avenue,13.0
Enter on Belmont Avenue,Ashford Street,37.0
3002 Ft Hamilton Parkway,Ft Hamilton Parkway,39.0
2070 1 Avenue,1 Avenue,8.0
250 West 18 Street,West 18 Street,3.0
Enter on Prospect Place through school yard,Howard Avenue,41.0
1055 St Johns Place,St Johns Place,35.0
127-15 Kew Gardens Road,Kew Gardens Road,29.0
100 Milford Drive,Ocean Terrace,50.0
232 Barlow Avenue,Barlow Avenue,51.0
544 7 Avenue,7 Avenue,38.0
43 Snyder Avenue,Snyder Avenue,40.0
School entrance on Longfellow Avenue,Jennings Street,17.0
3900 Waldo Ave - 5 FL meeting room,Waldo Avenue,11.0
1295 Amsterdam Avenue,Amsterdam Avenue,7.0
Entrance on Arlington Avenue,Henry Hudson Parkway,11.0
94-06 104 Street,104 Street,28.0
99-15 Springfield Boulevard,Springfield Boulevard,27.0
425 Neptune Avenue,Neptune Avenue,47.0
Essex Street (Through Walkway / Parking Lot),Essex Street,1.0
To the left of the school main entrance : right side of room,Weeks Avenue,15.0
45-25 Kissena Boulevard,Kissena Boulevard,20.0
Entrance on 191st Street,90 Avenue,23.0
Bedford Avenue & Erasmus Street,Flatbush Avenue,40.0
11 Fort George Hill,Fort George Hill,10.0
Off of Catherine Slip behind the Public School,Catherine St.,1.0
On Avenue N to right of main entrance.,Avenue N,46.0
18 Metropolitan Oval,Metropolitan Oval,18.0
196 Albany Avenue,Albany Avenue,36.0
Rear School Entrance from 33rd Street,35 Avenue,26.0
136 Midland Avenue,Midland Avenue,50.0
32-24 Corporal Kennedy Street,Corporal Kennedy Street,19.0
175 West 134 Street,West 134 Street,9.0
Side entrance on Lindenwood Rd,Lindenwood Road,51.0
851 Grand Concourse,Grand Concourse,8.0
9 POWER ROAD,Power Road,32.0
75-25 Bell Boulevard,Bell Boulevard,23.0
Through the playground,East 104 Street,46.0
15 Tides Lane,Tides Lane,51.0
300 Genesee Avenue,Genesee Avenue,51.0
Through Playground Gate on 88th Avenue,144 Street,24.0
Along Martha St.,Foote Avenue,49.0
47 Merrill Ave (to the right of Main Entrance),Merrill Avenue,50.0
39-07 57 Street,57 Street,26.0
17-15 Weirfield Street,Weirfield Street,34.0
On 233 Street to the right of the Main Entrance,East 233 Street,12.0
On left side of main entrance.,South 3 Street,34.0
10 Grand Army Plaza,Grand Army Plaza,35.0
Wetherole Street,63 Drive,29.0
140 Palma Drive,Palma Drive,49.0
21-16 44 Road,44 Road,26.0
main ent from ramp at the right of the main entrance,Anderson Avenue,8.0
West Avenue,West 5 Street,47.0
447 Kingsborough 4 Walk (Entrance On Bergen Street),Kingsborough 4 Walk,41.0
Rear Schoolyard Entrance on 84th Street near 153rd Avenue,83 Street,32.0
Side Entrance on 109th Avenue,Union Hall Street,28.0
Side Entrance on 85th Drive near 85th Street,85 Street,32.0
55 5 Avenue,5 Avenue,2.0
270 West 89 Street,West 89 Street,6.0
Side Entrance on Jasmine Avenue,Parsons Boulevard,20.0
Rear Parking Lot Entrance on 143rd Street,Linden Boulevard,28.0
1401 Emmons Avenue,Emmons Avenue,48.0
Entrance on Merriam Avenue through gated yard,Ogden Avenue,16.0
Entrance through school yard of 229 Street,Hillside Avenue,23.0
Entrance on left side of Main Entrance,Layton Avenue,49.0
Through Creston Avenue courtyard gate,East 181 Street,14.0
337 East 74 Street,East 74 Street,5.0
113 East 4 Street,East 4 Street,2.0
Entrance is on Independence Avenue closer to 237th St,West 237 Street,11.0
55-24 Van Horn Street,Van Horn Street,25.0
33 Ferndale Avenue,Ferndale Avenue,51.0
300 Avenue X,Avenue X,47.0
360 1 Avenue,1 Avenue,4.0
Corner Entrance on Hampton Street near Britton Avenue,Britton Avenue,25.0
West 118th Street (Through Schoolyard),West 117 Street,9.0
Schoolyard on 14 STREET between 37 AVE and 21 STREET,13 Street,26.0
"Exit 4, First door right of main entrance",Southern Boulevard,17.0
341 West 24 Street,West 24 Street,3.0
200 East 5 Street,East 5 Street,2.0
New Building - Visitors room,Waters Place,13.0
327 Cherry Street,Cherry Street,1.0
Enter on Nostrand Avenue,Carroll Street,35.0
To left of main entrance on East 55 Street,Tilden Avenue,45.0
263 West 153 Street,West 153 Street,9.0
Eldridge St. (Between Hester & Canal St.),Hester Street,1.0
2158 Watson Ave - Across from Rectory front door,Watson Avenue,18.0
