voter_entrance,location,longitude,:@computed_region_sbqj_enih
5404 Tilden Avenue,"{'latitude': '40.648368', 'longitude': '-73.925986'}",-73.925986,40.0
17-15 Weirfield Street,"{'latitude': '40.699112', 'longitude': '-73.903935'}",-73.903935,62.0
283 Avenue C,"{'latitude': '40.730894', 'longitude': '-73.975693'}",-73.975693,7.0
Enter thru Allerton & Lodovick Aves,"{'latitude': '40.863709', 'longitude': '-73.836147'}",-73.836147,32.0
230-17 Hillside Avenue,"{'latitude': '40.732746', 'longitude': '-73.739959'}",-73.739959,63.0
3260 Henry Hudson Parkway,"{'latitude': '40.885922', 'longitude': '-73.912622'}",-73.912622,33.0
530 West 55 Street,"{'latitude': '40.768313', 'longitude': '-73.99089'}",-73.99089,10.0
447 Kingsborough 4 Walk (Entrance On Bergen Street),"{'latitude': '40.675908', 'longitude': '-73.924664'}",-73.924664,49.0
2158 Watson Ave - Across from Rectory front door,"{'latitude': '40.829521', 'longitude': '-73.851776'}",-73.851776,26.0
21 Jumel Place,,,
55 Merrill Avenue,"{'latitude': '40.610118', 'longitude': '-74.161987'}",-74.161987,75.0
166 Essex Street,"{'latitude': '40.721191', 'longitude': '-73.986743'}",-73.986743,4.0
1000 East Tremont Avenue,"{'latitude': '40.840548', 'longitude': '-73.88146'}",-73.88146,31.0
190 Daniel Low Terrace,"{'latitude': '40.639783', 'longitude': '-74.079242'}",-74.079242,74.0
888 Rev. James A.Polite Ave,"{'latitude': '40.820289', 'longitude': '-73.898856'}",-73.898856,24.0
55-24 Van Horn Street,"{'latitude': '40.73342', 'longitude': '-73.87786'}",-73.87786,68.0
main entrance,,,
800 Lydig Avenue,,,
131-10 97 Avenue,"{'latitude': '40.693942', 'longitude': '-73.816611'}",-73.816611,60.0
3900 Waldo Avenue,,,
137 Jamaica Avenue,,,
361 15th Street,"{'latitude': '40.663068', 'longitude': '-73.983991'}",-73.983991,50.0
75-25 Bell Boulevard,"{'latitude': '40.738307', 'longitude': '-73.757027'}",-73.757027,69.0
273 Newport Street,"{'latitude': '40.660036', 'longitude': '-73.904916'}",-73.904916,46.0
93-06 63 Drive,"{'latitude': '40.728094', 'longitude': '-73.863521'}",-73.863521,70.0
172-17 Linden Boulevard,"{'latitude': '40.692009', 'longitude': '-73.778024'}",-73.778024,71.0
3150 Broadway,"{'latitude': '40.814085', 'longitude': '-73.959206'}",-73.959206,17.0
3710 Barnes Avenue,"{'latitude': '40.880846', 'longitude': '-73.860836'}",-73.860836,30.0
4912 14 Avenue,"{'latitude': '40.633606', 'longitude': '-73.99011'}",-73.99011,39.0
Via Yard Gate on Morrison Ave to Annex Building,"{'latitude': '40.825328', 'longitude': '-73.873689'}",-73.873689,26.0
210 East Broadway,"{'latitude': '40.714322', 'longitude': '-73.987745'}",-73.987745,4.0
300 Genesee Avenue,"{'latitude': '40.552704', 'longitude': '-74.166845'}",-74.166845,76.0
851 Grand Concourse,"{'latitude': '40.826044', 'longitude': '-73.923167'}",-73.923167,27.0
337 East 74 Street,"{'latitude': '40.769801', 'longitude': '-73.956463'}",-73.956463,11.0
104-12 Springfield Boulevard,"{'latitude': '40.712045', 'longitude': '-73.736536'}",-73.736536,63.0
39-07 57 Street,,,
33-09 35 Avenue,"{'latitude': '40.75737', 'longitude': '-73.926709'}",-73.926709,72.0
2177 Frederick Douglas Blvd,,,
240 East 109 Street,"{'latitude': '40.793035', 'longitude': '-73.942389'}",-73.942389,14.0
1425 Walton Avenue,"{'latitude': '40.840127', 'longitude': '-73.915643'}",-73.915643,27.0
37-15 13 Street,,,
195 Linden Street,"{'latitude': '40.69538', 'longitude': '-73.917579'}",-73.917579,53.0
715 Todt Hill Road,"{'latitude': '40.593322', 'longitude': '-74.110515'}",-74.110515,76.0
2525 Haring Street,"{'latitude': '40.591227', 'longitude': '-73.93903'}",-73.93903,36.0
1295 Amsterdam Avenue,"{'latitude': '40.811768', 'longitude': '-73.957333'}",-73.957333,17.0
1281 Troy Avenue,"{'latitude': '40.641222', 'longitude': '-73.934987'}",-73.934987,40.0
232 Barlow Avenue,"{'latitude': '40.555758', 'longitude': '-74.154529'}",-74.154529,76.0
Thru Jarvis Ave playground entrance,"{'latitude': '40.845703', 'longitude': '-73.829888'}",-73.829888,28.0
18 Metropolitan Oval,"{'latitude': '40.838122', 'longitude': '-73.858838'}",-73.858838,26.0
378 Seneca Avenue,"{'latitude': '40.706998', 'longitude': '-73.915035'}",-73.915035,62.0
263 West 153 Street,,,
107-01 Otis Avenue,"{'latitude': '40.740552', 'longitude': '-73.854212'}",-73.854212,68.0
21-16 44 Road,"{'latitude': '40.748696', 'longitude': '-73.946694'}",-73.946694,66.0
3573 Bruckner Boulevard,"{'latitude': '40.849882', 'longitude': '-73.827969'}",-73.827969,28.0
300 Avenue X,,,
1064 Lenox Road,"{'latitude': '40.657938', 'longitude': '-73.92054'}",-73.92054,40.0
5601 Avenue N,"{'latitude': '40.619509', 'longitude': '-73.920365'}",-73.920365,38.0
112 Lindenwood Road,"{'latitude': '40.548305', 'longitude': '-74.152421'}",-74.152421,76.0
71-25 113 Street,"{'latitude': '40.723148', 'longitude': '-73.838058'}",-73.838058,70.0
732 East 233 Street,"{'latitude': '40.892984', 'longitude': '-73.856287'}",-73.856287,30.0
113 East 4 Street,"{'latitude': '40.725725', 'longitude': '-73.988146'}",-73.988146,5.0
1691 Weeks Avenue School Entrance,"{'latitude': '40.844218', 'longitude': '-73.907704'}",-73.907704,27.0
544 7 Avenue,"{'latitude': '40.660048', 'longitude': '-73.987707'}",-73.987707,45.0
55 Layton Avenue,"{'latitude': '40.641632', 'longitude': '-74.085269'}",-74.085269,74.0
421 West 219 Street,,,
1501 Hendrickson Street,"{'latitude': '40.619258', 'longitude': '-73.934404'}",-73.934404,38.0
45-25 Kissena Boulevard,"{'latitude': '40.751707', 'longitude': '-73.820168'}",-73.820168,67.0
590 Sheffield Avenue,"{'latitude': '40.662355', 'longitude': '-73.894522'}",-73.894522,47.0
298 7 Avenue,"{'latitude': '40.746582', 'longitude': '-73.993942'}",-73.993942,6.0
48 Cedar Street,"{'latitude': '40.696898', 'longitude': '-73.9277'}",-73.9277,53.0
144 Keating Place,"{'latitude': '40.59171', 'longitude': '-74.156563'}",-74.156563,75.0
153-23 83 Street,"{'latitude': '40.665781', 'longitude': '-73.851104'}",-73.851104,64.0
250 West 18 Street,"{'latitude': '40.741605', 'longitude': '-73.99935'}",-73.99935,6.0
85-15 258 Street,"{'latitude': '40.73445', 'longitude': '-73.709104'}",-73.709104,63.0
1020 Anderson Avenue,"{'latitude': '40.83277', 'longitude': '-73.926697'}",-73.926697,27.0
137 Belmont Avenue,"{'latitude': '40.669339', 'longitude': '-73.905239'}",-73.905239,46.0
350 Avenue X,"{'latitude': '40.590467', 'longitude': '-73.969735'}",-73.969735,36.0
142-10 Linden Boulevard,"{'latitude': '40.684087', 'longitude': '-73.801465'}",-73.801465,71.0
430 Howard Avenue (not used for voters),,,
136 Midland Avenue,"{'latitude': '40.579791', 'longitude': '-74.10597'}",-74.10597,76.0
360 1 Avenue,"{'latitude': '40.735773', 'longitude': '-73.979001'}",-73.979001,7.0
911 Flatbush Avenue,"{'latitude': '40.64958', 'longitude': '-73.958412'}",-73.958412,43.0
32-24 Corporal Kennedy Street,"{'latitude': '40.771814', 'longitude': '-73.78042'}",-73.78042,69.0
270 West 89 Street,,,
100 Hester Street,"{'latitude': '40.716365', 'longitude': '-73.992686'}",-73.992686,2.0
442 East Houston Street,"{'latitude': '40.719627', 'longitude': '-73.977658'}",-73.977658,5.0
715 Ocean Terrace,"{'latitude': '40.609504', 'longitude': '-74.104221'}",-74.104221,76.0
425 East 35 Street,,,
425 Neptune Avenue,"{'latitude': '40.580193', 'longitude': '-73.969137'}",-73.969137,35.0
1640 Bronxdale Avenue - poll site is on 2nd floor,"{'latitude': '40.845068', 'longitude': '-73.858266'}",-73.858266,32.0
99-15 Springfield Boulevard,,,
4715 18 Avenue,"{'latitude': '40.62927', 'longitude': '-73.979917'}",-73.979917,39.0
605 Shepherd Avenue,"{'latitude': '40.669427', 'longitude': '-73.879549'}",-73.879549,47.0
2950 Eastchester Road,"{'latitude': '40.868774', 'longitude': '-73.842136'}",-73.842136,30.0
1070 East 104th Street,"{'latitude': '40.64422', 'longitude': '-73.892368'}",-73.892368,42.0
103-34 Lefferts Boulevard,"{'latitude': '40.687305', 'longitude': '-73.82479'}",-73.82479,64.0
9 POWER ROAD,"{'latitude': '40.606045', 'longitude': '-73.820591'}",-73.820591,58.0
5625 Arlington Avenue,"{'latitude': '40.905078', 'longitude': '-73.907189'}",-73.907189,33.0
Enter thru schoolyard on Thieriot Ave.,"{'latitude': '40.81658', 'longitude': '-73.860795'}",-73.860795,26.0
327 Cherry Street,"{'latitude': '40.711494', 'longitude': '-73.986492'}",-73.986492,4.0
88-02 144 Street,"{'latitude': '40.704048', 'longitude': '-73.811847'}",-73.811847,61.0
120 East 110 Street,"{'latitude': '40.795097', 'longitude': '-73.945316'}",-73.945316,14.0
46 McKeever Place,"{'latitude': '40.664736', 'longitude': '-73.959385'}",-73.959385,44.0
85 Jerome Avenue,"{'latitude': '40.596458', 'longitude': '-74.076151'}",-74.076151,76.0
1855 Stillwell Avenue,"{'latitude': '40.601499', 'longitude': '-73.986055'}",-73.986055,37.0
Off of Catherine Slip behind the Public School,,,
2070 1 Avenue,"{'latitude': '40.790369', 'longitude': '-73.939428'}",-73.939428,14.0
60 Foote Avenue,"{'latitude': '40.613744', 'longitude': '-74.099338'}",-74.099338,74.0
15 Tides Lane,"{'latitude': '40.529133', 'longitude': '-74.239719'}",-74.239719,77.0
495 Gates Avenue,,,
40-20 235 Street,"{'latitude': '40.769551', 'longitude': '-73.749603'}",-73.749603,69.0
196 Albany Avenue,"{'latitude': '40.673847', 'longitude': '-73.939078'}",-73.939078,49.0
1100 East New York Avenue,"{'latitude': '40.665508', 'longitude': '-73.926179'}",-73.926179,40.0
422 Central Avenue,"{'latitude': '40.693087', 'longitude': '-73.91659'}",-73.91659,53.0
319 East 24 Street,"{'latitude': '40.738256', 'longitude': '-73.979539'}",-73.979539,7.0
Enter on 49th Street,"{'latitude': '40.640806', 'longitude': '-74.000531'}",-74.000531,39.0
1716 Southern Boulevard,,,
46-02 Parsons Boulevard,"{'latitude': '40.754109', 'longitude': '-73.813486'}",-73.813486,67.0
7502 Ridge Boulevard,"{'latitude': '40.632029', 'longitude': '-74.030582'}",-74.030582,41.0
4300 Murdock Avenue,"{'latitude': '40.897368', 'longitude': '-73.842413'}",-73.842413,30.0
209 Joralemon Street,"{'latitude': '40.692554', 'longitude': '-73.990598'}",-73.990598,54.0
47 Vandalia Avenue,"{'latitude': '40.650051', 'longitude': '-73.886474'}",-73.886474,47.0
175 East 4 Street,"{'latitude': '40.72449', 'longitude': '-73.985143'}",-73.985143,5.0
90-07 101 Avenue,,,
316 East 88 Street,,,
65-11 155 Street,"{'latitude': '40.736939', 'longitude': '-73.81325'}",-73.81325,65.0
333 Midland Avenue,"{'latitude': '40.57674', 'longitude': '-74.100575'}",-74.100575,76.0
111-11 118 Street,"{'latitude': '40.680033', 'longitude': '-73.82202'}",-73.82202,64.0
94-06 104 Street,,,
125 East 181 Street,"{'latitude': '40.854922', 'longitude': '-73.903427'}",-73.903427,29.0
109-20 Union Hall Street,"{'latitude': '40.694199', 'longitude': '-73.790812'}",-73.790812,61.0
33 Ferndale Avenue,"{'latitude': '40.593097', 'longitude': '-74.15879'}",-74.15879,75.0
112-04 167th Street,"{'latitude': '40.691478', 'longitude': '-73.783335'}",-73.783335,71.0
41 West 117 Street,"{'latitude': '40.802142', 'longitude': '-73.947505'}",-73.947505,18.0
233-15 Merrick Boulevard,"{'latitude': '40.674972', 'longitude': '-73.736675'}",-73.736675,63.0
46-21 Colden Street,"{'latitude': '40.749636', 'longitude': '-73.822059'}",-73.822059,67.0
1002 44 Street entrance on 10th Avenue,"{'latitude': '40.641678', 'longitude': '-73.995715'}",-73.995715,39.0
1185 Carroll Street,"{'latitude': '40.667175', 'longitude': '-73.949721'}",-73.949721,44.0
45-10 94 Street,"{'latitude': '40.743728', 'longitude': '-73.87072'}",-73.87072,68.0
On left side of main entrance.,"{'latitude': '40.709676', 'longitude': '-73.954551'}",-73.954551,56.0
200-01 42 Avenue,"{'latitude': '40.759612', 'longitude': '-73.784127'}",-73.784127,69.0
175 West 134 Street,"{'latitude': '40.814362', 'longitude': '-73.943354'}",-73.943354,20.0
1001 Jennings Street,"{'latitude': '40.831227', 'longitude': '-73.887093'}",-73.887093,25.0
265 Warwick Street,"{'latitude': '40.677162', 'longitude': '-73.886667'}",-73.886667,47.0
1225 Bay Ridge Avenue,"{'latitude': '40.624728', 'longitude': '-74.005445'}",-74.005445,41.0
677 East 141 Street,"{'latitude': '40.807484', 'longitude': '-73.91292'}",-73.91292,23.0
3 Washington Square Village,"{'latitude': '40.727945', 'longitude': '-73.99843'}",-73.99843,3.0
127-15 Kew Gardens Road,,,
200 East 5 Street,"{'latitude': '40.727659', 'longitude': '-73.991179'}",-73.991179,5.0
5910 13 Avenue,,,
140 West End Avenue,"{'latitude': '40.776049', 'longitude': '-73.987108'}",-73.987108,12.0
2750 Throop Avenue,"{'latitude': '40.865953', 'longitude': '-73.850908'}",-73.850908,32.0
3002 Ft Hamilton Parkway,"{'latitude': '40.648019', 'longitude': '-73.978772'}",-73.978772,45.0
68-17 Austin Street,"{'latitude': '40.722812', 'longitude': '-73.8518'}",-73.8518,70.0
185 Wadsworth Avenue,"{'latitude': '40.850562', 'longitude': '-73.934333'}",-73.934333,22.0
63-55 102 Street,"{'latitude': '40.73233', 'longitude': '-73.853759'}",-73.853759,70.0
Entrance is on Independence Avenue closer to 237th St,"{'latitude': '40.888298', 'longitude': '-73.913706'}",-73.913706,33.0
5101 Avenue M,"{'latitude': '40.621623', 'longitude': '-73.925694'}",-73.925694,38.0
2441 Wallace Avenue,"{'latitude': '40.862069', 'longitude': '-73.864654'}",-73.864654,32.0
191-02 90 Avenue,"{'latitude': '40.713691', 'longitude': '-73.769437'}",-73.769437,61.0
650 WEST 42ND STREET,"{'latitude': '40.761536', 'longitude': '-74.000193'}",-74.000193,6.0
63-60 80 Street,"{'latitude': '40.719154', 'longitude': '-73.8754'}",-73.8754,62.0
142-30 Barclay Avenue,"{'latitude': '40.75861', 'longitude': '-73.824891'}",-73.824891,67.0
18 Beaver Street,"{'latitude': '40.700954', 'longitude': '-73.938825'}",-73.938825,53.0
549 Audubon Avenue,,,
140 Palma Drive,"{'latitude': '40.611524', 'longitude': '-74.083505'}",-74.083505,74.0
210 East 33 Street,"{'latitude': '40.74487', 'longitude': '-73.97834'}",-73.97834,9.0
644 Bloomingdale Road,,,
241 West 72 Street,"{'latitude': '40.779267', 'longitude': '-73.983014'}",-73.983014,12.0
400 Ashford Street,"{'latitude': '40.672479', 'longitude': '-73.884867'}",-73.884867,47.0
490 Hudson Street,"{'latitude': '40.732572', 'longitude': '-74.006384'}",-74.006384,3.0
Entrance left of Main Entrance,"{'latitude': '40.862994', 'longitude': '-73.859402'}",-73.859402,32.0
48-09 Center Boulevard,"{'latitude': '40.744828', 'longitude': '-73.957994'}",-73.957994,66.0
In Annex Building across from Main School Building,"{'latitude': '40.832543', 'longitude': '-73.911209'}",-73.911209,27.0
305 Macdougal Street,"{'latitude': '40.68076', 'longitude': '-73.908371'}",-73.908371,46.0
505 LaGuardia Place,"{'latitude': '40.727542', 'longitude': '-73.999293'}",-73.999293,3.0
260 65 Street,"{'latitude': '40.639448', 'longitude': '-74.023927'}",-74.023927,41.0
