bbl,:@computed_region_f5dn_yrer,latitude,community_board,borough
5000490182.0,4.0,40.641632,1.0,STATEN IS
4019540037.0,66.0,40.740552,4.0,QUEENS
3053160001.0,9.0,40.648019,7.0,BROOKLYN
3039520047.0,45.0,40.677162,5.0,BROOKLYN
2048460059.0,29.0,40.892984,12.0,BRONX
2025040082.0,50.0,40.83277,4.0,BRONX
4114450001.0,62.0,40.665781,10.0,QUEENS
3012500040.0,16.0,40.671307,8.0,BROOKLYN
3033240019.0,42.0,40.69538,4.0,BROOKLYN
2047830015.0,29.0,40.868774,12.0,BRONX
2030080001.0,34.0,40.831227,3.0,BRONX
3061530060.0,,,10.0,BROOKLYN
3036060001.0,55.0,40.660036,16.0,BROOKLYN
3071940001.0,,,15.0,BROOKLYN
3012300044.0,16.0,40.673847,8.0,BROOKLYN
5070920039.0,,,3.0,STATEN IS
,,,,
4096310136.0,,,9.0,QUEENS
1022150831.0,,,12.0,MANHATTAN
3018090062.0,,,3.0,BROOKLYN
2050600001.0,29.0,40.897368,12.0,BRONX
4050470001.0,22.0,40.75861,7.0,QUEENS
3078490001.0,5.0,40.621623,18.0,BROOKLYN
1009720001.0,71.0,40.730894,6.0,MANHATTAN
3034440016.0,42.0,40.683439,4.0,BROOKLYN
2030050010.0,35.0,40.840548,6.0,BRONX
4004380026.0,53.0,40.748696,2.0,QUEENS
3054450001.0,2.0,40.62927,12.0,BROOKLYN
3057740001.0,10.0,40.624728,10.0,BROOKLYN
2037180001.0,58.0,40.825328,9.0,BRONX
4114030001.0,62.0,40.67178,10.0,QUEENS
3010060001.0,14.0,40.668392,6.0,BROOKLYN
4088010014.0,63.0,40.73445,13.0,QUEENS
5006830001.0,30.0,40.609504,2.0,STATEN IS
2035240020.0,58.0,40.81658,9.0,BRONX
4088550020.0,46.0,40.69491,9.0,QUEENS
1011640015.0,20.0,40.779267,7.0,MANHATTAN
1019800001.0,37.0,40.814085,9.0,MANHATTAN
3082300001.0,5.0,40.64422,18.0,BROOKLYN
5028880040.0,4.0,40.611524,1.0,STATEN IS
1009670002.0,,,6.0,MANHATTAN
2038080035.0,58.0,40.829521,9.0,BRONX
4012280048.0,,,2.0,QUEENS
4052000052.0,22.0,40.751707,7.0,QUEENS
3040690001.0,45.0,40.669427,5.0,BROOKLYN
4111510081.0,63.0,40.712045,13.0,QUEENS
4096840008.0,41.0,40.704048,12.0,QUEENS
1016010001.0,18.0,40.802142,10.0,MANHATTAN
2029830015.0,,,3.0,BRONX
1021700129.0,47.0,40.85734,12.0,MANHATTAN
1021600018.0,,,12.0,MANHATTAN
3013440175.0,16.0,40.675908,8.0,BROOKLYN
2042260030.0,59.0,40.847702,11.0,BRONX
3033500028.0,42.0,40.693087,4.0,BROOKLYN
2025710001.0,49.0,40.807484,1.0,BRONX
3047390001.0,61.0,40.648368,17.0,BROOKLYN
3011480050.0,16.0,40.676754,8.0,BROOKLYN
2044320001.0,59.0,40.862069,11.0,BRONX
3059380040.0,10.0,40.632029,10.0,BROOKLYN
3015280033.0,55.0,40.68076,16.0,BROOKLYN
3087670026.0,32.0,40.583232,15.0,BROOKLYN
2024680001.0,50.0,40.826044,4.0,BRONX
3046690037.0,61.0,40.657938,17.0,BROOKLYN
3072500001.0,21.0,40.581281,13.0,BROOKLYN
5054440012.0,15.0,40.555758,3.0,STATEN IS
1009300012.0,71.0,40.738256,6.0,MANHATTAN
1021120058.0,,,12.0,MANHATTAN
3051030010.0,60.0,40.64958,14.0,BROOKLYN
4116230001.0,62.0,40.680033,10.0,QUEENS
4016000061.0,66.0,40.743728,4.0,QUEENS
3001390001.0,68.0,40.692554,2.0,BROOKLYN
1019640001.0,37.0,40.811768,9.0,MANHATTAN
3078810003.0,5.0,40.619509,18.0,BROOKLYN
1007760040.0,11.0,40.746582,5.0,MANHATTAN
3038380018.0,45.0,40.662355,5.0,BROOKLYN
1004320001.0,70.0,40.72449,3.0,MANHATTAN
4022480100.0,40.0,40.723148,6.0,QUEENS
5075960145.0,15.0,40.529133,3.0,STATEN IS
2046750020.0,29.0,40.880846,12.0,BRONX
1007670068.0,12.0,40.741605,4.0,MANHATTAN
4121510001.0,41.0,40.694199,12.0,QUEENS
1001110160.0,,,3.0,MANHATTAN
,50.0,40.840127,,
2044440016.0,59.0,40.862994,11.0,BRONX
5000710011.0,4.0,40.641995,1.0,STATEN IS
5036960100.0,30.0,40.57674,2.0,STATEN IS
1014490011.0,23.0,40.769801,8.0,MANHATTAN
1004600001.0,70.0,40.727659,3.0,MANHATTAN
4153130485.0,51.0,40.606045,14.0,QUEENS
2039437501.0,58.0,40.838122,9.0,BRONX
3057110040.0,,,12.0,BROOKLYN
4102870062.0,41.0,40.692009,12.0,QUEENS
1019190006.0,18.0,40.814362,10.0,MANHATTAN
5055200145.0,15.0,40.552704,3.0,STATEN IS
1003110013.0,70.0,40.714322,3.0,MANHATTAN
1003560100.0,70.0,40.719627,3.0,MANHATTAN
4067920100.0,25.0,40.736939,8.0,QUEENS
3032320001.0,42.0,40.696898,4.0,BROOKLYN
3058250001.0,10.0,40.639448,10.0,BROOKLYN
1011587504.0,20.0,40.776049,7.0,MANHATTAN
4028790031.0,66.0,40.73342,4.0,QUEENS
5000180015.0,4.0,40.639783,1.0,STATEN IS
2041710001.0,43.0,40.845703,10.0,BRONX
4021260014.0,40.0,40.73233,6.0,QUEENS
2041990001.0,43.0,40.849882,10.0,BRONX
5015800044.0,30.0,40.610118,2.0,STATEN IS
3007780023.0,2.0,40.640806,12.0,BROOKLYN
1005330001.0,57.0,40.727945,2.0,MANHATTAN
4098020041.0,41.0,40.708346,12.0,QUEENS
2057770719.0,,,8.0,BRONX
4093810044.0,,,9.0,QUEENS
5008730027.0,30.0,40.593322,2.0,STATEN IS
4077530001.0,26.0,40.738307,11.0,QUEENS
4119720070.0,41.0,40.684087,12.0,QUEENS
1012360058.0,,,7.0,MANHATTAN
2040910001.0,59.0,40.845068,11.0,BRONX
1009780001.0,71.0,40.735773,6.0,MANHATTAN
3012830001.0,17.0,40.667175,9.0,BROOKLYN
3014570032.0,,,16.0,BROOKLYN
4062030001.0,26.0,40.759612,11.0,QUEENS
3037270001.0,55.0,40.669339,16.0,BROOKLYN
5023660073.0,30.0,40.59171,2.0,STATEN IS
4034280015.0,54.0,40.706998,5.0,QUEENS
1014890001.0,23.0,40.770328,8.0,MANHATTAN
4079300002.0,63.0,40.732746,13.0,QUEENS
4031720002.0,40.0,40.722812,6.0,QUEENS
4006100001.0,39.0,40.75737,1.0,QUEENS
5052210001.0,15.0,40.548305,3.0,STATEN IS
1021650026.0,47.0,40.850562,12.0,MANHATTAN
4060440001.0,26.0,40.771814,11.0,QUEENS
2045260001.0,59.0,40.865953,11.0,BRONX
3072730025.0,21.0,40.577997,13.0,BROOKLYN
2024350075.0,50.0,40.832543,4.0,BRONX
4003630001.0,,,1.0,QUEENS
3044310100.0,45.0,40.650051,5.0,BROOKLYN
2059180376.0,48.0,40.888298,8.0,BRONX
4104470007.0,41.0,40.713691,12.0,QUEENS
3051030079.0,60.0,40.648646,14.0,BROOKLYN
1020390010.0,,,10.0,MANHATTAN
3074470001.0,32.0,40.591227,15.0,BROOKLYN
5035840047.0,30.0,40.579791,2.0,STATEN IS
2059520374.0,48.0,40.905078,8.0,BRONX
3008800001.0,9.0,40.660048,7.0,BROOKLYN
1017010001.0,7.0,40.790369,11.0,MANHATTAN
2025290081.0,50.0,40.839332,4.0,BRONX
3056420042.0,2.0,40.633606,12.0,BROOKLYN
4000180001.0,53.0,40.744828,2.0,QUEENS
1004460020.0,70.0,40.725725,3.0,MANHATTAN
4015140001.0,66.0,40.745867,4.0,QUEENS
3056080006.0,2.0,40.641678,12.0,BROOKLYN
1002450007.0,70.0,40.711494,3.0,MANHATTAN
,12.0,40.746219,4.0,MANHATTAN
3034870021.0,,,5.0,BROOKLYN
3072530001.0,21.0,40.580193,13.0,BROOKLYN
