incident_id,reported_dt,incident_type,reason,facility
105278,2018-05-08T14:32:00.000,Use of Force,Assault on Staff,AMKC
115832,2019-01-25T15:45:00.000,Use of Force,Assault on Staff,QNCTS
117872,2019-03-17T12:32:00.000,Use of Force,Assault on Staff,AMKC
107877,2018-07-20T15:55:00.000,Use of Force,Assault on Staff,MDC
83603,2016-09-23T20:19:00.000,Use of Force,Assault on Staff,
80256,2016-06-13T20:00:00.000,Use of Force,Assault on Staff,
107938,2018-07-23T07:04:00.000,Use of Force,Assault on Staff,RNDC
104842,2018-04-25T18:18:00.000,Use of Force,Assault on Staff,AMKC
95121,2017-08-13T22:04:00.000,Use of Force,Assault on Staff,
143475,2020-12-18T18:50:00.000,Use of Force,Assault on Staff,OBCC
158463,2021-09-24T09:35:00.000,Use of Force,Assault on Staff,AMKC
146768,2021-02-27T16:41:00.000,Use of Force,Assault on Staff,OBCC
99385,2017-12-06T14:10:00.000,Use of Force,Assault on Staff,AMKC
115012,2019-01-07T20:29:00.000,Use of Force,Assault on Staff,BHPW
135878,2020-06-12T13:02:00.000,Use of Force,Assault on Staff,OBCC
116237,2019-02-04T18:35:00.000,Use of Force,Assault on Staff,MDC
150815,2021-05-08T08:19:00.000,Use of Force,Assault on Staff,OBCC
124950,2019-09-12T20:30:00.000,Use of Force,Assault on Staff,RNDC
94723,2017-08-01T18:40:00.000,Use of Force,Assault on Staff,
115042,2019-01-08T11:54:00.000,Use of Force,Assault on Staff,RNDC
108628,2018-08-08T10:16:00.000,Use of Force,Assault on Staff,AMKC
165542,2022-03-04T12:30:00.000,Use of Force,Assault on Staff,AMKC
105054,2018-05-02T14:00:00.000,Use of Force,Assault on Staff,TD
114916,2019-01-05T22:21:00.000,Use of Force,Assault on Staff,OBCC
149456,2021-04-14T12:53:00.000,Use of Force,Assault on Staff,AMKC
98342,2017-11-10T12:06:00.000,Use of Force,Assault on Staff,GMDC
98550,2017-11-15T20:09:00.000,Use of Force,Assault on Staff,AMKC
177725,2022-11-01T13:28:00.000,Use of Force,Assault on Staff,MNCT
152091,2021-05-31T03:39:00.000,Use of Force,Assault on Staff,OBCC
94419,2017-07-23T23:45:00.000,Use of Force,Assault on Staff,
110956,2018-10-03T17:05:00.000,Use of Force,Assault on Staff,AMKC
104969,2018-04-29T15:01:00.000,Use of Force,Assault on Staff,OBCC
128183,2019-11-21T05:40:00.000,Use of Force,Assault on Staff,OBCC
98238,2017-11-08T12:47:00.000,Use of Force,Assault on Staff,BKCTS
125748,2019-09-29T02:06:00.000,Use of Force,Assault on Staff,RNDC
96236,2017-09-14T18:03:00.000,Use of Force,Assault on Staff,
165890,2022-03-11T11:55:00.000,Use of Force,Assault on Staff,TD
157976,2021-09-15T14:53:00.000,Use of Force,Assault on Staff,VCBC
81911,2016-08-04T10:45:00.000,Use of Force,Assault on Staff,AMKC
133179,2020-03-16T15:55:00.000,Use of Force,Assault on Staff,MNCT
87507,2017-01-08T23:45:00.000,Use of Force,Assault on Staff,
119567,2019-04-28T01:35:00.000,Use of Force,Assault on Staff,BKDC
100257,2017-12-28T20:46:00.000,Use of Force,Assault on Staff,AMKC
107299,2018-07-06T19:11:00.000,Use of Force,Assault on Staff,BKDC
83144,2016-09-09T19:55:00.000,Use of Force,Assault on Staff,
155641,2021-08-01T13:14:00.000,Use of Force,Assault on Staff,NIC
132121,2020-02-23T17:21:00.000,Use of Force,Assault on Staff,GRVC
142622,2020-11-30T00:04:00.000,Use of Force,Assault on Staff,GRVC
177693,2022-10-31T18:59:00.000,Use of Force,Assault on Staff,AMKC
135275,2020-05-23T18:31:00.000,Use of Force,Assault on Staff,NIC
165189,2022-02-25T06:32:00.000,Use of Force,Assault on Staff,VCBC
160526,2021-11-05T12:49:00.000,Use of Force,Assault on Staff,MNCT
123958,2019-08-20T17:16:00.000,Use of Force,Assault on Staff,GRVC
133417,2020-03-21T23:00:00.000,Use of Force,Assault on Staff,OBCC
145679,2021-02-06T23:27:00.000,Use of Force,Assault on Staff,GRVC
129477,2019-12-21T04:09:00.000,Use of Force,Assault on Staff,MDC
148095,2021-03-22T13:37:00.000,Use of Force,Assault on Staff,RNDC
167467,2022-04-12T20:16:00.000,Use of Force,Assault on Staff,BXCT
81400,2016-07-20T07:31:00.000,Use of Force,Assault on Staff,
171853,2022-07-11T22:15:00.000,Use of Force,Assault on Staff,TD
111328,2018-10-11T16:25:00.000,Use of Force,Assault on Staff,MNCT
163080,2022-01-07T17:31:00.000,Use of Force,Assault on Staff,RNDC
102218,2018-02-13T13:51:00.000,Use of Force,Assault on Staff,EMTC
125757,2019-09-29T13:10:00.000,Use of Force,Assault on Staff,GRVC
160649,2021-11-08T15:50:00.000,Use of Force,Assault on Staff,AMKC
85759,2016-11-20T15:18:00.000,Use of Force,Assault on Staff,
98141,2017-11-05T19:50:00.000,Use of Force,Assault on Staff,AMKC
144069,2021-01-02T18:32:00.000,Use of Force,Assault on Staff,OBCC
142581,2020-11-28T13:51:00.000,Use of Force,Assault on Staff,EMTC
89182,2017-02-22T18:17:00.000,Use of Force,Assault on Staff,
155882,2021-08-05T16:59:00.000,Use of Force,Assault on Staff,NIC
108934,2018-08-15T14:10:00.000,Use of Force,Assault on Staff,OBCC
85347,2016-11-10T06:47:00.000,Use of Force,Assault on Staff,
161924,2021-12-09T08:56:00.000,Use of Force,Assault on Staff,AMKC
94173,2017-07-17T09:06:00.000,Use of Force,Assault on Staff,
166229,2022-03-18T07:24:00.000,Use of Force,Assault on Staff,EMTC
108446,2018-08-04T22:42:00.000,Use of Force,Assault on Staff,RNDC
91250,2017-04-26T12:42:00.000,Use of Force,Assault on Staff,
87520,2017-01-09T05:45:00.000,Use of Force,Assault on Staff,
113480,2018-12-04T12:46:00.000,Use of Force,Assault on Staff,AMKC
176678,2022-10-11T21:13:00.000,Use of Force,Assault on Staff,BXCT
143053,2020-12-09T10:58:00.000,Use of Force,Assault on Staff,OBCC
136179,2020-06-22T14:44:00.000,Use of Force,Assault on Staff,MDC
126970,2019-10-26T15:50:00.000,Use of Force,Assault on Staff,GRVC
98865,2017-11-23T16:00:00.000,Use of Force,Assault on Staff,OBCC
167384,2022-04-10T23:51:00.000,Use of Force,Assault on Staff,GRVC
122333,2019-07-10T02:03:00.000,Use of Force,Assault on Staff,RNDC
82301,2016-08-15T01:45:00.000,Use of Force,Assault on Staff,
148206,2021-03-23T22:00:00.000,Use of Force,Assault on Staff,RNDC
84347,2016-10-16T17:13:00.000,Use of Force,Assault on Staff,
115426,2019-01-16T15:40:00.000,Use of Force,Assault on Staff,MNCT
161717,2021-12-03T20:00:00.000,Use of Force,Assault on Staff,RNDC
129168,2019-12-14T11:27:00.000,Use of Force,Assault on Staff,NIC
76567,2016-02-17T14:41:00.000,Use of Force,Assault on Staff,
130260,2020-01-09T23:16:00.000,Use of Force,Assault on Staff,AMKC
140942,2020-10-22T16:46:00.000,Use of Force,Assault on Staff,GRVC
101148,2018-01-18T10:16:00.000,Use of Force,Assault on Staff,AMKC
177977,2022-11-06T04:13:00.000,Use of Force,Assault on Staff,EMTC
106152,2018-06-02T16:55:00.000,Use of Force,Assault on Staff,GRVC
138462,2020-08-21T14:55:00.000,Use of Force,Assault on Staff,NIC
81935,2016-08-04T20:51:00.000,Use of Force,Assault on Staff,
135301,2020-05-25T09:01:00.000,Use of Force,Assault on Staff,MDC
95601,2017-08-27T13:47:00.000,Use of Force,Assault on Staff,
123227,2019-08-01T23:42:00.000,Use of Force,Assault on Staff,BKDC
93623,2017-07-02T21:26:00.000,Use of Force,Assault on Staff,OBCC
79909,2016-06-03T11:16:00.000,Use of Force,Assault on Staff,
110849,2018-10-01T16:02:00.000,Use of Force,Assault on Staff,OBCC
128428,2019-11-26T21:59:00.000,Use of Force,Assault on Staff,GRVC
144453,2021-01-12T09:05:00.000,Use of Force,Assault on Staff,OBCC
107885,2018-07-21T02:05:00.000,Use of Force,Assault on Staff,AMKC
84940,2016-10-30T19:40:00.000,Use of Force,Assault on Staff,
112889,2018-11-19T18:50:00.000,Use of Force,Assault on Staff,AMKC
177261,2022-10-23T17:30:00.000,Use of Force,Assault on Staff,GRVC
98531,2017-11-15T13:20:00.000,Use of Force,Assault on Staff,BKCTS
109990,2018-09-10T19:08:00.000,Use of Force,Assault on Staff,GRVC
121002,2019-06-06T10:12:00.000,Use of Force,Assault on Staff,OBCC
159212,2021-10-08T22:40:00.000,Use of Force,Assault on Staff,GRVC
134915,2020-05-12T12:33:00.000,Use of Force,Assault on Staff,NIC
75250,2016-01-06T18:55:00.000,Use of Force,Assault on Staff,
150372,2021-04-30T07:49:00.000,Use of Force,Assault on Staff,GRVC
173773,2022-08-16T14:32:00.000,Use of Force,Assault on Staff,GRVC
80658,2016-06-24T20:02:00.000,Use of Force,Assault on Staff,
124257,2019-08-27T14:59:00.000,Use of Force,Assault on Staff,OBCC
80035,2016-06-07T12:23:00.000,Use of Force,Assault on Staff,
129833,2019-12-30T20:32:00.000,Use of Force,Assault on Staff,MDC
90793,2017-04-12T22:13:00.000,Use of Force,Assault on Staff,
81558,2016-07-24T14:55:00.000,Use of Force,Assault on Staff,
136693,2020-07-08T00:19:00.000,Use of Force,Assault on Staff,AMKC
142506,2020-11-26T16:29:00.000,Use of Force,Assault on Staff,MDC
113368,2018-12-01T15:49:00.000,Use of Force,Assault on Staff,OBCC
76092,2016-02-01T09:03:00.000,Use of Force,Assault on Staff,
130120,2020-01-07T13:06:00.000,Use of Force,Assault on Staff,OBCC
161399,2021-11-25T11:40:00.000,Use of Force,Assault on Staff,GRVC
112363,2018-11-06T13:48:00.000,Use of Force,Assault on Staff,OBCC
126996,2019-10-27T11:20:00.000,Use of Force,Assault on Staff,AMKC
86087,2016-11-29T17:08:00.000,Use of Force,Assault on Staff,
117939,2019-03-19T10:25:00.000,Use of Force,Assault on Staff,QNCTS
154001,2021-07-01T12:40:00.000,Use of Force,Assault on Staff,GRVC
129856,2019-12-31T14:52:00.000,Use of Force,Assault on Staff,MDC
76064,2016-01-31T14:10:00.000,Use of Force,Assault on Staff,
158713,2021-09-28T17:33:00.000,Use of Force,Assault on Staff,RNDC
168248,2022-04-29T11:05:00.000,Use of Force,Assault on Staff,RMSC
136230,2020-06-23T13:02:00.000,Use of Force,Assault on Staff,AMKC
106243,2018-06-05T22:20:00.000,Use of Force,Assault on Staff,GMDC
112997,2018-11-22T01:22:00.000,Use of Force,Assault on Staff,RNDC
151855,2021-05-26T16:18:00.000,Use of Force,Assault on Staff,GRVC
143263,2020-12-14T20:48:00.000,Use of Force,Assault on Staff,GRVC
176145,2022-10-03T11:24:00.000,Use of Force,Assault on Staff,EMTC
95888,2017-09-05T18:00:00.000,Use of Force,Assault on Staff,
100079,2017-12-24T00:36:00.000,Use of Force,Assault on Staff,OBCC
173499,2022-08-11T15:53:00.000,Use of Force,Assault on Staff,RNDC
100174,2017-12-26T16:09:00.000,Use of Force,Assault on Staff,GRVC
96358,2017-09-18T15:03:00.000,Use of Force,Assault on Staff,
148424,2021-03-27T02:40:00.000,Use of Force,Assault on Staff,AMKC
122159,2019-07-05T13:28:00.000,Use of Force,Assault on Staff,HOJC
96727,2017-09-28T14:02:00.000,Use of Force,Assault on Staff,
97329,2017-10-14T18:55:00.000,Use of Force,Assault on Staff,RMSC
86490,2016-12-11T15:00:00.000,Use of Force,Assault on Staff,VCBC
172953,2022-08-02T01:28:00.000,Use of Force,Assault on Staff,BHPW
127390,2019-11-05T12:32:00.000,Use of Force,Assault on Staff,OBCC
112253,2018-11-03T12:31:00.000,Use of Force,Assault on Staff,AMKC
119332,2019-04-22T01:05:00.000,Use of Force,Assault on Staff,RNDC
108515,2018-08-06T09:40:00.000,Use of Force,Assault on Staff,TD
