local_unrealized_gain_loss,asset_class,security_description,local_total_cost_amount
-151039.6,FIXED INCOME,4.45%   03 Apr 2026,2266187.4
-173061.5,FIXED INCOME,2.45%   15 Jan 2031,937118.0
-30227.5,FIXED INCOME,8.25%   15 Feb 2026,1070000.0
-38087.0,FIXED INCOME,4.25%   15 Feb 2029,200125.0
-19896.45,FIXED INCOME,5.5%   20 Apr 2026,245000.0
-344360.25,FIXED INCOME,5.75%   15 Jul 2029,1525000.0
-55929.0,FIXED INCOME,6.25%   01 Mar 2028,505364.35
-13156.3,FIXED INCOME,6.375%   15 Jun 2030,413550.0
-15514.47,FIXED INCOME,5%   15 Apr 2029,115162.5
-220551.24,FIXED INCOME,2.45%   29 Oct 2026,1726095.28
-266295.82,FIXED INCOME,2.45%   29 Oct 2026,4514733.86
-392175.0,FIXED INCOME,4.5%   14 May 2035,1920807.0
-1860458.2,FIXED INCOME,4.7%   14 May 2045,7724819.5
-46146.37,FIXED INCOME,1%   18 Oct 2027,816749.98
-32121.58,FIXED INCOME,1%   01 Dec 2023,430580.09
-16236.0,FIXED INCOME,1%   12 Jun 2024,3326433.0
-1313985.4,FIXED INCOME,1.375%   15 Jan 2026,11173851.0
-167109.6,FIXED INCOME,1.7%   25 Mar 2026,1756912.8
-185757.0,FIXED INCOME,3.5%   01 Jun 2041,844503.0
-86407.1,FIXED INCOME,5.125%   01 Mar 2030,536521.04
-11597.85,FIXED INCOME,6.375%   15 Jun 2030,495000.0
-1174618.32,FIXED INCOME,4.25%   21 Nov 2049,4830290.46
-113802.5,FIXED INCOME,4.75%   15 Oct 2029,570040.0
-385251.75,FIXED INCOME,4.25%   15 Feb 2029,2349962.5
-208732.5,FIXED INCOME,6.625%   01 May 2028,1157937.5
-385430.0,FIXED INCOME,6.625%   01 May 2028,2105605.0
-20454.0,FIXED INCOME,5%   15 Apr 2029,200000.0
-46242.99,FIXED INCOME,5.125%   15 Mar 2027,1299312.99
-16425.0,FIXED INCOME,5.5%   01 Jul 2028,250000.0
-274260.0,FIXED INCOME,4.45%   01 Oct 2025,2207040.0
-705088.65,FIXED INCOME,3.65%   15 Sep 2059,3614759.4
