base_unrealized_gain_loss,local_unrealized_gain_loss,base_market_value,original_face,interest_rate,data_as_of,investment_type_name
-171429.15,-171429.15,522427.05,0,4.7,2023-01-25T00:00:00.000,CORPORATE BONDS
361237.5,361237.5,950950.0,0,7.375,2023-01-25T00:00:00.000,CORPORATE BONDS
-877250.7,-877250.7,3259405.7,0,4.3,2023-01-25T00:00:00.000,CORPORATE BONDS
-143322.3,-143322.3,786677.7,0,3.875,2023-01-25T00:00:00.000,CORPORATE BONDS
-27081.6,-27081.6,116724.0,0,4.55,2023-01-25T00:00:00.000,CORPORATE BONDS
-47110.0,-47110.0,202890.0,0,4.125,2023-01-25T00:00:00.000,CORPORATE BONDS
-42977.0,-42977.0,176939.4,0,2.45,2023-01-25T00:00:00.000,CORPORATE BONDS
-255649.65,-255649.65,1419112.85,0,6.5,2023-01-25T00:00:00.000,CORPORATE BONDS
-86355.31,-86355.31,973770.0,0,6.75,2023-01-25T00:00:00.000,CORPORATE BONDS
-78488.83,-78488.83,686332.5,0,5.5,2023-01-25T00:00:00.000,CORPORATE BONDS
-1009193.5,-1009193.5,5454022.0,0,3.0,2023-01-25T00:00:00.000,CORPORATE BONDS
-31057.66,-31057.66,657367.34,0,4.875,2023-01-25T00:00:00.000,CORPORATE BONDS
-396064.5,-396064.5,2969769.0,0,4.85,2023-01-25T00:00:00.000,CORPORATE BONDS
-7955.7,-7955.7,5742055.3,0,3.3,2023-01-25T00:00:00.000,CORPORATE BONDS
-39370.08,-39370.08,755478.94,0,4.75,2023-01-25T00:00:00.000,CORPORATE BONDS
-10593.75,-10593.75,364406.25,0,8.25,2023-01-25T00:00:00.000,CORPORATE BONDS
-133644.1,-133644.1,408717.18,0,6.5,2023-01-25T00:00:00.000,CORPORATE BONDS
-116554.68,-116554.68,481870.62,0,2.55,2023-01-25T00:00:00.000,CORPORATE BONDS
-79007.6,-79007.6,418342.4,490000,5.75,2023-01-25T00:00:00.000,CORPORATE BONDS
-443568.0,-443568.0,6446034.0,0,6.5,2023-01-25T00:00:00.000,CORPORATE BONDS
-49116.39,-49116.39,309812.8,0,10.125,2023-01-25T00:00:00.000,CORPORATE BONDS
-16532.55,-16532.55,419892.45,0,5.75,2023-01-25T00:00:00.000,CORPORATE BONDS
-25035.21,-25035.21,231026.04,0,4.625,2023-01-25T00:00:00.000,CORPORATE BONDS
-408763.8,-408763.8,1640407.68,0,3.8,2023-01-25T00:00:00.000,CORPORATE BONDS
-51663.0,-51663.0,1354619.5,0,8.25,2023-01-25T00:00:00.000,CORPORATE BONDS
-39516.75,-39516.75,135483.25,0,5.75,2023-01-25T00:00:00.000,CORPORATE BONDS
-5535.82,-5535.82,239804.19,261000,5.5,2023-01-25T00:00:00.000,CORPORATE BONDS
32985.0,32985.0,294750.0,0,8.0,2023-01-25T00:00:00.000,CORPORATE BONDS
-163498.2,-163498.2,977233.96,0,3.65,2023-01-25T00:00:00.000,CORPORATE BONDS
-502744.74,-502744.74,5413554.0,0,1.7,2023-01-25T00:00:00.000,CORPORATE BONDS
-273230.1,-273230.1,936769.9,0,5.75,2023-01-25T00:00:00.000,CORPORATE BONDS
-434659.0,-434659.0,1913766.0,0,4.25,2023-01-25T00:00:00.000,CORPORATE BONDS
-312182.69,-312182.69,2622240.0,0,10.125,2023-01-25T00:00:00.000,CORPORATE BONDS
-335698.49,-335698.49,712374.53,0,10.0,2023-01-25T00:00:00.000,CORPORATE BONDS
-106305.0,-106305.0,1074445.0,0,5.5,2023-01-25T00:00:00.000,CORPORATE BONDS
53899.7,53899.7,1909107.2,0,6.5,2023-01-25T00:00:00.000,CORPORATE BONDS
-30852.5,-30852.5,256147.5,0,5.5,2023-01-25T00:00:00.000,CORPORATE BONDS
-671697.6,-671697.6,2724236.64,0,3.55,2023-01-25T00:00:00.000,CORPORATE BONDS
-50763.65,-50763.65,205967.85,0,4.85,2023-01-25T00:00:00.000,CORPORATE BONDS
-154363.7,-154363.7,434512.82,0,3.875,2023-01-25T00:00:00.000,CORPORATE BONDS
-39264.0,-39264.0,403864.75,0,4.5,2023-01-25T00:00:00.000,CORPORATE BONDS
-1084906.01,-1084906.01,3047918.0,0,3.5,2023-01-25T00:00:00.000,CORPORATE BONDS
-28215.73,-28215.73,416170.51,0,0.0,2023-01-25T00:00:00.000,BANK LOAN
-1016023.7,-1016023.7,3892777.3,0,3.4,2023-01-25T00:00:00.000,CORPORATE BONDS
-19750.0,-19750.0,231875.0,0,7.5,2023-01-25T00:00:00.000,CORPORATE BONDS
-174121.23,-174121.23,498880.64,0,4.75,2023-01-25T00:00:00.000,CORPORATE BONDS
-804770.8,-804770.8,6594556.35,0,1.75,2023-01-25T00:00:00.000,CORPORATE BONDS
-141360.0,-141360.0,431680.0,0,4.4,2023-01-25T00:00:00.000,CORPORATE BONDS
-23577.67,-23577.67,954679.77,0,4.393,2023-01-25T00:00:00.000,CORPORATE BONDS
-4264.26,-4264.26,177735.74,0,6.375,2023-01-25T00:00:00.000,CORPORATE BONDS
-114706.25,-114706.25,1165031.25,0,6.0,2023-01-25T00:00:00.000,CORPORATE BONDS
-550209.75,-550209.75,2520383.3,0,2.25,2023-01-25T00:00:00.000,CORPORATE BONDS
-170843.75,-170843.75,971750.0,0,4.0,2023-01-25T00:00:00.000,CORPORATE BONDS
-76451.25,-76451.25,742000.0,0,7.5,2023-01-25T00:00:00.000,CORPORATE BONDS
-5103.0,-5103.0,194772.0,0,8.75,2023-01-25T00:00:00.000,CORPORATE BONDS
-88612.5,-88612.5,407137.5,0,4.625,2023-01-25T00:00:00.000,CORPORATE BONDS
-1119403.2,-1119403.2,2911102.8,0,3.85,2023-01-25T00:00:00.000,CORPORATE BONDS
-129621.25,-129621.25,1239837.5,0,3.95,2023-01-25T00:00:00.000,CORPORATE BONDS
-156306.25,-156306.25,629850.0,0,4.75,2023-01-25T00:00:00.000,CORPORATE BONDS
-46528.0,-46528.0,277472.0,50000,5.75,2023-01-25T00:00:00.000,CORPORATE BONDS
-77611.5,-77611.5,622363.5,0,5.0,2023-01-25T00:00:00.000,CORPORATE BONDS
-650929.0,-650929.0,4336856.75,0,4.3,2023-01-25T00:00:00.000,CORPORATE BONDS
-5848.5,-5848.5,69151.5,0,5.0,2023-01-25T00:00:00.000,CORPORATE BONDS
-128547.66,-128547.66,424836.63,0,4.75,2023-01-25T00:00:00.000,CORPORATE BONDS
-45928.1,-45928.1,357272.0,0,3.1,2023-01-25T00:00:00.000,CORPORATE BONDS
-93562.25,-93562.25,545431.25,0,6.25,2023-01-25T00:00:00.000,CORPORATE BONDS
-577.5,-577.5,75333.5,0,2.5,2023-01-25T00:00:00.000,CORPORATE BONDS
-67197.5,-67197.5,258115.0,0,4.125,2023-01-25T00:00:00.000,CORPORATE BONDS
-1234423.8,-1234423.8,4958560.8,0,3.5,2023-01-25T00:00:00.000,CORPORATE BONDS
-480043.0,-480043.0,2541726.0,0,4.625,2023-01-25T00:00:00.000,CORPORATE BONDS
-178569.74,-178569.74,1421612.01,0,6.25,2023-01-25T00:00:00.000,CORPORATE BONDS
-5136.85,-5136.85,73618.16,0,5.0,2023-01-25T00:00:00.000,CORPORATE BONDS
-23547.15,-23547.15,981452.85,0,6.375,2023-01-25T00:00:00.000,CORPORATE BONDS
-164631.63,-164631.63,1507444.68,0,7.0,2023-01-25T00:00:00.000,CORPORATE BONDS
-1581740.75,-1581740.75,6060256.75,0,3.4,2023-01-25T00:00:00.000,CORPORATE BONDS
-109940.25,-109940.25,965059.75,0,5.0,2023-01-25T00:00:00.000,CORPORATE BONDS
-88729.22,-88729.22,735420.0,0,5.5,2023-01-25T00:00:00.000,CORPORATE BONDS
-151039.6,-151039.6,2115147.8,0,4.45,2023-01-25T00:00:00.000,CORPORATE BONDS
-173061.5,-173061.5,764056.5,0,2.45,2023-01-25T00:00:00.000,CORPORATE BONDS
-30227.5,-30227.5,1039772.5,0,8.25,2023-01-25T00:00:00.000,CORPORATE BONDS
-38087.0,-38087.0,162038.0,0,4.25,2023-01-25T00:00:00.000,CORPORATE BONDS
-19896.45,-19896.45,225103.55,245000,5.5,2023-01-25T00:00:00.000,CORPORATE BONDS
-344360.25,-344360.25,1180639.75,0,5.75,2023-01-25T00:00:00.000,CORPORATE BONDS
-55929.0,-55929.0,449435.35,0,6.25,2023-01-25T00:00:00.000,CORPORATE BONDS
-13156.3,-13156.3,400393.7,0,6.375,2023-01-25T00:00:00.000,CORPORATE BONDS
-15514.47,-15514.47,99648.03,0,5.0,2023-01-25T00:00:00.000,CORPORATE BONDS
-220551.24,-220551.24,1505544.04,0,2.45,2023-01-25T00:00:00.000,CORPORATE BONDS
-266295.82,-266295.82,4248438.04,0,2.45,2023-01-25T00:00:00.000,CORPORATE BONDS
-392175.0,-392175.0,1528632.0,0,4.5,2023-01-25T00:00:00.000,CORPORATE BONDS
-1860458.2,-1860458.2,5864361.3,0,4.7,2023-01-25T00:00:00.000,CORPORATE BONDS
-46146.37,-46146.37,770603.61,0,0.0,2023-01-25T00:00:00.000,BANK LOAN
-32121.58,-32121.58,398458.51,0,0.0,2023-01-25T00:00:00.000,BANK LOAN
-16236.0,-16236.0,3310197.0,0,2.90129,2023-01-25T00:00:00.000,CORPORATE BONDS
-1313985.4,-1313985.4,9859865.6,0,1.375,2023-01-25T00:00:00.000,CORPORATE BONDS
-167109.6,-167109.6,1589803.2,0,1.7,2023-01-25T00:00:00.000,CORPORATE BONDS
-185757.0,-185757.0,658746.0,0,3.5,2023-01-25T00:00:00.000,CORPORATE BONDS
-86407.1,-86407.1,450113.94,0,5.125,2023-01-25T00:00:00.000,CORPORATE BONDS
-11597.85,-11597.85,483402.15,0,6.375,2023-01-25T00:00:00.000,CORPORATE BONDS
-1174618.32,-1174618.32,3655672.14,0,4.25,2023-01-25T00:00:00.000,CORPORATE BONDS
-113802.5,-113802.5,456237.5,0,4.75,2023-01-25T00:00:00.000,CORPORATE BONDS
-385251.75,-385251.75,1964710.75,0,4.25,2023-01-25T00:00:00.000,CORPORATE BONDS
-208732.5,-208732.5,949205.0,0,6.625,2023-01-25T00:00:00.000,CORPORATE BONDS
-385430.0,-385430.0,1720175.0,0,6.625,2023-01-25T00:00:00.000,CORPORATE BONDS
-20454.0,-20454.0,179546.0,0,5.0,2023-01-25T00:00:00.000,CORPORATE BONDS
-46242.99,-46242.99,1253070.0,0,5.125,2023-01-25T00:00:00.000,CORPORATE BONDS
-16425.0,-16425.0,233575.0,0,5.5,2023-01-25T00:00:00.000,CORPORATE BONDS
-274260.0,-274260.0,1932780.0,0,4.45,2023-01-25T00:00:00.000,CORPORATE BONDS
-705088.65,-705088.65,2909670.75,0,3.65,2023-01-25T00:00:00.000,CORPORATE BONDS
-56248.5,-56248.5,493751.5,0,5.0,2023-01-25T00:00:00.000,CORPORATE BONDS
-90160.0,-90160.0,357390.0,0,4.125,2023-01-25T00:00:00.000,CORPORATE BONDS
-263963.2,-263963.2,1541036.8,0,5.75,2023-01-25T00:00:00.000,CORPORATE BONDS
-18272.25,-18272.25,206727.75,0,5.5,2023-01-25T00:00:00.000,CORPORATE BONDS
-85490.5,-85490.5,241072.0,0,6.5,2023-01-25T00:00:00.000,CORPORATE BONDS
-273028.85,-273028.85,1859984.96,0,4.35,2023-01-25T00:00:00.000,CORPORATE BONDS
-138807.4,-138807.4,1019856.9,1110000,5.5,2023-01-25T00:00:00.000,CORPORATE BONDS
-14508.89,-14508.89,458066.5,0,0.0,2023-01-25T00:00:00.000,BANK LOAN
-578096.58,-578096.58,1656251.43,0,6.5,2023-01-25T00:00:00.000,CORPORATE BONDS
-32346.0,-32346.0,896850.0,0,2.85,2023-01-25T00:00:00.000,CORPORATE BONDS
-661809.78,-661809.78,6844440.06,0,3.3,2023-01-25T00:00:00.000,CORPORATE BONDS
10806.0,10806.0,532638.0,0,4.25,2023-01-25T00:00:00.000,CORPORATE BONDS
-134387.3,-134387.3,627897.25,0,4.25,2023-01-25T00:00:00.000,CORPORATE BONDS
-395978.4,-395978.4,1170171.9,0,4.45,2023-01-25T00:00:00.000,CORPORATE BONDS
-91440.0,-91440.0,304560.0,0,3.875,2023-01-25T00:00:00.000,CORPORATE BONDS
-39795.0,-39795.0,110205.0,0,5.75,2023-01-25T00:00:00.000,CORPORATE BONDS
-145885.0,-145885.0,6206980.0,0,4.45,2023-01-25T00:00:00.000,CORPORATE BONDS
-63343.8,-63343.8,716656.2,780000,5.5,2023-01-25T00:00:00.000,CORPORATE BONDS
39501.54,39501.54,596750.0,0,7.375,2023-01-25T00:00:00.000,CORPORATE BONDS
-40268.55,-40268.55,352956.45,0,4.625,2023-01-25T00:00:00.000,CORPORATE BONDS
-146749.6,-146749.6,2177440.0,0,3.8,2023-01-25T00:00:00.000,CORPORATE BONDS
-37531.0,-37531.0,287469.0,0,6.125,2023-01-25T00:00:00.000,CORPORATE BONDS
-2083263.85,-2083263.85,7801149.6,0,3.5,2023-01-25T00:00:00.000,CORPORATE BONDS
-105257.13,-105257.13,577742.87,0,3.875,2023-01-25T00:00:00.000,CORPORATE BONDS
-61827.0,-61827.0,236883.0,0,3.4,2023-01-25T00:00:00.000,CORPORATE BONDS
-76702.75,-76702.75,1031998.5,0,8.25,2023-01-25T00:00:00.000,CORPORATE BONDS
-59473.92,-59473.92,142036.8,0,4.25,2023-01-25T00:00:00.000,CORPORATE BONDS
-190713.28,-190713.28,527376.52,0,6.5,2023-01-25T00:00:00.000,CORPORATE BONDS
-3795.75,-3795.75,146485.5,0,6.375,2023-01-25T00:00:00.000,CORPORATE BONDS
-282660.0,-282660.0,1217340.0,0,4.125,2023-01-25T00:00:00.000,CORPORATE BONDS
-212048.0,-212048.0,1237952.0,0,5.75,2023-01-25T00:00:00.000,CORPORATE BONDS
-175210.3,-175210.3,471115.2,0,3.8,2023-01-25T00:00:00.000,CORPORATE BONDS
-94643.66,-94643.66,866305.0,0,6.625,2023-01-25T00:00:00.000,CORPORATE BONDS
-696853.5,-696853.5,2184738.5,0,4.05,2023-01-25T00:00:00.000,CORPORATE BONDS
-203365.1,-203365.1,991634.9,0,5.0,2023-01-25T00:00:00.000,CORPORATE BONDS
-216388.95,-216388.95,608507.8,0,4.875,2023-01-25T00:00:00.000,CORPORATE BONDS
-976480.85,-976480.85,3938869.15,0,4.5,2023-01-25T00:00:00.000,CORPORATE BONDS
-28875.0,-28875.0,121125.0,0,4.75,2023-01-25T00:00:00.000,CORPORATE BONDS
-222548.76,-222548.76,1780446.45,0,2.95,2023-01-25T00:00:00.000,CORPORATE BONDS
-46343.25,-46343.25,616638.0,0,5.5,2023-01-25T00:00:00.000,CORPORATE BONDS
-74297.3,-74297.3,340540.2,0,6.125,2023-01-25T00:00:00.000,CORPORATE BONDS
