base_unrealized_gain_loss,local_market_value,s_and_p_quality_rating,local_accrued_interest,period_end_date,moody_s_quality_rating,minor_industry_name,trade_country_name,base_accrued_interest
-9571534.06,30577421.7,BBB+,154305.0,2022-06-30T00:00:00.000,Baa2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),154305.0
-214088.4,1817564.85,BBB+,10862.88,2022-06-30T00:00:00.000,Baa2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),10862.88
-247400.4,1625241.14,BB,32207.44,2022-06-30T00:00:00.000,Ba3,TELEPHONE,UNITED STATES OF AMERICA (THE),32207.44
-67304.25,1456710.0,BBB,1835.56,2022-06-30T00:00:00.000,Baa2,FINANCE,UNITED STATES OF AMERICA (THE),1835.56
-306492.1,1679091.65,BB-,29058.19,2022-06-30T00:00:00.000,Ba2,CANADIAN,UNITED STATES OF AMERICA (THE),29058.19
-1062385.0,4784609.45,BBB,28951.25,2022-06-30T00:00:00.000,Baa2,TELEPHONE,UNITED STATES OF AMERICA (THE),28951.25
-483525.0,1303291.75,BBB,8090.73,2022-06-30T00:00:00.000,Baa2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),8090.73
-33682.05,130746.5,BBB-,2641.01,2022-06-30T00:00:00.000,Baa3,INDUSTRIAL,UNITED STATES OF AMERICA (THE),2641.01
-20602.5,303647.5,B,0.0,2022-06-30T00:00:00.000,B1,INDUSTRIAL,UNITED STATES OF AMERICA (THE),0.0
-26607.5,438830.0,BB-,9208.33,2022-06-30T00:00:00.000,B3,FINANCE,UNITED STATES OF AMERICA (THE),9208.33
-173456.6,1074212.0,BB-,7328.04,2022-06-30T00:00:00.000,Ba3,INDUSTRIAL,UNITED STATES OF AMERICA (THE),7328.04
-215498.6,1079451.4,B-,7361.98,2022-06-30T00:00:00.000,B2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),7361.98
-11955.42,727316.41,A-,1772.12,2022-06-30T00:00:00.000,A3,INDUSTRIAL,UNITED STATES OF AMERICA (THE),1772.12
-69502.8,487009.2,BBB,5547.67,2022-06-30T00:00:00.000,Baa3,OTHER YANKEE,UNITED STATES OF AMERICA (THE),5547.67
-102641.3,504024.0,B-,3437.5,2022-06-30T00:00:00.000,B2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),3437.5
-1475721.4,4606052.45,BBB,42157.08,2022-06-30T00:00:00.000,Baa2,OTHER YANKEE,UNITED STATES OF AMERICA (THE),42157.08
-212792.0,3308460.0,BBB,4168.89,2022-06-30T00:00:00.000,Baa2,FINANCE,UNITED STATES OF AMERICA (THE),4168.89
-6350.0,3159633.0,A-,17824.1,2022-06-30T00:00:00.000,Baa2,ELECTRIC/GAS,UNITED STATES OF AMERICA (THE),17824.1
-65679.38,411492.5,BB-,2807.11,2022-06-30T00:00:00.000,Ba3,INDUSTRIAL,UNITED STATES OF AMERICA (THE),2807.11
-37688.0,162312.0,BB-,3437.5,2022-06-30T00:00:00.000,Ba3,INDUSTRIAL,UNITED STATES OF AMERICA (THE),3437.5
-34036.0,165964.0,B,1666.67,2022-06-30T00:00:00.000,B2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),1666.67
-348385.5,2763652.0,NR,75990.0,2022-06-30T00:00:00.000,B1,INDUSTRIAL,UNITED STATES OF AMERICA (THE),75990.0
-773161.92,2903140.0,BBB,39470.28,2022-06-30T00:00:00.000,Baa2,TELEPHONE,UNITED STATES OF AMERICA (THE),39470.28
-153414.8,659980.8,BBB+,3995.0,2022-06-30T00:00:00.000,Baa2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),3995.0
-431094.18,1234321.3,BBB,5123.71,2022-06-30T00:00:00.000,Baa2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),5123.71
-124109.55,1290899.95,,15240.35,2022-06-30T00:00:00.000,Ba2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),15240.35
-64345.6,375654.4,,4989.72,2022-06-30T00:00:00.000,Ba2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),4989.72
-60250.42,674572.5,CCC+,6708.34,2022-06-30T00:00:00.000,Caa2,FINANCE,UNITED STATES OF AMERICA (THE),6708.34
-63683.5,283566.5,BB,5619.44,2022-06-30T00:00:00.000,Ba3,TELEPHONE,UNITED STATES OF AMERICA (THE),5619.44
-43447.35,491552.65,,5803.26,2022-06-30T00:00:00.000,Ba2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),5803.26
-171429.15,522427.05,BBB+,3405.54,2022-06-30T00:00:00.000,Baa2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),3405.54
361237.5,950950.0,C,11638.16,2022-06-30T00:00:00.000,Caa3,INDUSTRIAL,UNITED STATES OF AMERICA (THE),11638.16
-877250.7,3259405.7,BBB+,19480.19,2022-06-30T00:00:00.000,Baa2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),19480.19
-143322.3,786677.7,BB-,13614.17,2022-06-30T00:00:00.000,Ba2,CANADIAN,UNITED STATES OF AMERICA (THE),13614.17
-27081.6,116724.0,BBB+,1607.67,2022-06-30T00:00:00.000,Baa2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),1607.67
-47110.0,202890.0,BB-,4296.87,2022-06-30T00:00:00.000,Ba3,INDUSTRIAL,UNITED STATES OF AMERICA (THE),4296.87
-42977.0,176939.4,BBB-,2485.39,2022-06-30T00:00:00.000,,ELECTRIC/GAS,UNITED STATES OF AMERICA (THE),2485.39
-255649.65,1419112.85,BB-,13745.69,2022-06-30T00:00:00.000,B2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),13745.69
-86355.31,973770.0,NR,26775.0,2022-06-30T00:00:00.000,B1,INDUSTRIAL,UNITED STATES OF AMERICA (THE),26775.0
-78488.83,686332.5,BB-,14098.33,2022-06-30T00:00:00.000,B1,INDUSTRIAL,UNITED STATES OF AMERICA (THE),14098.33
-1009193.5,5454022.0,BBB,33454.17,2022-06-30T00:00:00.000,Baa3,OTHER YANKEE,UNITED STATES OF AMERICA (THE),33454.17
-31057.66,657367.34,BB-,13794.09,2022-06-30T00:00:00.000,B3,FINANCE,UNITED STATES OF AMERICA (THE),13794.09
-396064.5,2969769.0,BBB,50116.66,2022-06-30T00:00:00.000,Baa2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),50116.66
-7955.7,5742055.3,BBB,83496.42,2022-06-30T00:00:00.000,Baa3,OTHER YANKEE,UNITED STATES OF AMERICA (THE),83496.42
-39370.08,755478.94,BB,16051.04,2022-06-30T00:00:00.000,Ba3,INDUSTRIAL,UNITED STATES OF AMERICA (THE),16051.04
-10593.75,364406.25,B+,11687.5,2022-06-30T00:00:00.000,B3,INDUSTRIAL,UNITED STATES OF AMERICA (THE),11687.5
-133644.1,408717.18,B-,99.5,2022-06-30T00:00:00.000,Caa3,OTHER YANKEE,UNITED STATES OF AMERICA (THE),99.5
-116554.68,481870.62,BBB,1262.25,2022-06-30T00:00:00.000,Baa2,TELEPHONE,UNITED STATES OF AMERICA (THE),1262.25
-79007.6,418342.4,,5556.74,2022-06-30T00:00:00.000,Ba2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),5556.74
-443568.0,6446034.0,BBB,188824.99,2022-06-30T00:00:00.000,Baa3,OTHER YANKEE,UNITED STATES OF AMERICA (THE),188824.99
-49116.39,309812.8,CCC+,13457.82,2022-06-30T00:00:00.000,Caa2,FINANCE,UNITED STATES OF AMERICA (THE),13457.82
-16532.55,419892.45,BB-,9449.16,2022-06-30T00:00:00.000,B2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),9449.16
-25035.21,231026.04,BB-,2913.74,2022-06-30T00:00:00.000,Ba3,INDUSTRIAL,UNITED STATES OF AMERICA (THE),2913.74
-408763.8,1640407.68,BBB,6726.0,2022-06-30T00:00:00.000,Baa2,TELEPHONE,UNITED STATES OF AMERICA (THE),6726.0
-51663.0,1354619.5,B+,43446.34,2022-06-30T00:00:00.000,B3,INDUSTRIAL,UNITED STATES OF AMERICA (THE),43446.34
-39516.75,135483.25,CCC,4639.93,2022-06-30T00:00:00.000,Caa1,INDUSTRIAL,UNITED STATES OF AMERICA (THE),4639.93
-5535.82,239804.19,,2831.13,2022-06-30T00:00:00.000,Ba2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),2831.13
32985.0,294750.0,CCC,4600.0,2022-06-30T00:00:00.000,Caa2,FINANCE,UNITED STATES OF AMERICA (THE),4600.0
-163498.2,977233.96,BBB,17455.11,2022-06-30T00:00:00.000,Baa3,OTHER YANKEE,UNITED STATES OF AMERICA (THE),17455.11
-502744.74,5413554.0,BBB,26860.0,2022-06-30T00:00:00.000,Baa2,TELEPHONE,UNITED STATES OF AMERICA (THE),26860.0
-273230.1,936769.9,CCC,32081.8,2022-06-30T00:00:00.000,Caa1,INDUSTRIAL,UNITED STATES OF AMERICA (THE),32081.8
-434659.0,1913766.0,BB-,29219.93,2022-06-30T00:00:00.000,B1,INDUSTRIAL,UNITED STATES OF AMERICA (THE),29219.93
-312182.69,2622240.0,CCC+,113906.27,2022-06-30T00:00:00.000,Caa2,FINANCE,UNITED STATES OF AMERICA (THE),113906.27
-335698.49,712374.53,CCC-,4768.62,2022-06-30T00:00:00.000,Caa3,INDUSTRIAL,UNITED STATES OF AMERICA (THE),4768.62
-106305.0,1074445.0,B,0.0,2022-06-30T00:00:00.000,B1,INDUSTRIAL,UNITED STATES OF AMERICA (THE),0.0
53899.7,1909107.2,BB+,6008.88,2022-06-30T00:00:00.000,Ba1,INDUSTRIAL,UNITED STATES OF AMERICA (THE),6008.88
-30852.5,256147.5,BB-,5261.67,2022-06-30T00:00:00.000,B1,INDUSTRIAL,UNITED STATES OF AMERICA (THE),5261.67
-671697.6,2724236.64,BBB,38006.3,2022-06-30T00:00:00.000,Baa2,TELEPHONE,UNITED STATES OF AMERICA (THE),38006.3
-50763.65,205967.85,BBB,3475.83,2022-06-30T00:00:00.000,Baa2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),3475.83
-154363.7,434512.82,BBB,7700.05,2022-06-30T00:00:00.000,Baa2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),7700.05
-39264.0,403864.75,BBB,2443.75,2022-06-30T00:00:00.000,Baa2,TELEPHONE,UNITED STATES OF AMERICA (THE),2443.75
-1084906.01,3047918.0,BBB,41438.64,2022-06-30T00:00:00.000,Baa2,TELEPHONE,UNITED STATES OF AMERICA (THE),41438.64
-28215.73,416170.51,,0.0,2022-06-30T00:00:00.000,,BANK LOAN,UNITED STATES OF AMERICA (THE),0.0
-1016023.7,3892777.3,BBB,28867.89,2022-06-30T00:00:00.000,Baa3,OTHER YANKEE,UNITED STATES OF AMERICA (THE),28867.89
-19750.0,231875.0,B+,7083.33,2022-06-30T00:00:00.000,B2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),7083.33
-174121.23,498880.64,BBB,7608.44,2022-06-30T00:00:00.000,Baa2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),7608.44
-804770.8,6594556.35,BBB,55382.4,2022-06-30T00:00:00.000,Baa3,OTHER YANKEE,UNITED STATES OF AMERICA (THE),55382.4
-141360.0,431680.0,BBB+,3193.06,2022-06-30T00:00:00.000,Baa2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),3193.06
-23577.67,954679.77,A-,2633.6,2022-06-30T00:00:00.000,A3,INDUSTRIAL,UNITED STATES OF AMERICA (THE),2633.6
-4264.26,177735.74,B+,709.04,2022-06-30T00:00:00.000,Ba2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),709.04
-114706.25,1165031.25,BB-,9775.0,2022-06-30T00:00:00.000,Ba3,INDUSTRIAL,UNITED STATES OF AMERICA (THE),9775.0
-550209.75,2520383.3,BBB,28921.88,2022-06-30T00:00:00.000,Baa2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),28921.88
-170843.75,971750.0,BB-,9711.07,2022-06-30T00:00:00.000,Ba3,INDUSTRIAL,UNITED STATES OF AMERICA (THE),9711.07
-76451.25,742000.0,B+,22666.67,2022-06-30T00:00:00.000,B2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),22666.67
-5103.0,194772.0,BB,8069.44,2022-06-30T00:00:00.000,Ba2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),8069.44
-88612.5,407137.5,B,9539.05,2022-06-30T00:00:00.000,B1,INDUSTRIAL,UNITED STATES OF AMERICA (THE),9539.05
-1119403.2,2911102.8,BBB,26787.44,2022-06-30T00:00:00.000,Baa3,OTHER YANKEE,UNITED STATES OF AMERICA (THE),26787.44
-129621.25,1239837.5,BBB-,25044.1,2022-06-30T00:00:00.000,Baa3,INDUSTRIAL,UNITED STATES OF AMERICA (THE),25044.1
-156306.25,629850.0,B,7821.66,2022-06-30T00:00:00.000,B1,INDUSTRIAL,UNITED STATES OF AMERICA (THE),7821.66
-46528.0,277472.0,,3685.58,2022-06-30T00:00:00.000,Ba2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),3685.58
-77611.5,622363.5,B+,8437.5,2022-06-30T00:00:00.000,Ba2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),8437.5
-650929.0,4336856.75,BBB,9507.78,2022-06-30T00:00:00.000,Baa2,TELEPHONE,UNITED STATES OF AMERICA (THE),9507.78
-5848.5,69151.5,B+,937.5,2022-06-30T00:00:00.000,Ba2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),937.5
-128547.66,424836.63,BBB,2785.87,2022-06-30T00:00:00.000,Baa2,TELEPHONE,UNITED STATES OF AMERICA (THE),2785.87
-45928.1,357272.0,A-,955.83,2022-06-30T00:00:00.000,A2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),955.83
-93562.25,545431.25,B-,13020.83,2022-06-30T00:00:00.000,B2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),13020.83
-577.5,75333.5,A-,809.72,2022-06-30T00:00:00.000,Baa1,INDUSTRIAL,UNITED STATES OF AMERICA (THE),809.72
-67197.5,258115.0,B,6181.77,2022-06-30T00:00:00.000,B1,INDUSTRIAL,UNITED STATES OF AMERICA (THE),6181.77
-1234423.8,4958560.8,BBB,18112.5,2022-06-30T00:00:00.000,Baa2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),18112.5
-480043.0,2541726.0,BBB,26362.5,2022-06-30T00:00:00.000,Baa3,OTHER YANKEE,UNITED STATES OF AMERICA (THE),26362.5
-178569.74,1421612.01,B-,33937.5,2022-06-30T00:00:00.000,B2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),33937.5
-5136.85,73618.16,BB,950.0,2022-06-30T00:00:00.000,Ba3,INDUSTRIAL,UNITED STATES OF AMERICA (THE),950.0
-23547.15,981452.85,B+,3915.31,2022-06-30T00:00:00.000,Ba2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),3915.31
-164631.63,1507444.68,CCC+,14990.88,2022-06-30T00:00:00.000,Caa2,FINANCE,UNITED STATES OF AMERICA (THE),14990.88
-1581740.75,6060256.75,BBB,44941.39,2022-06-30T00:00:00.000,Baa3,OTHER YANKEE,UNITED STATES OF AMERICA (THE),44941.39
-109940.25,965059.75,B,11347.22,2022-06-30T00:00:00.000,B1,INDUSTRIAL,UNITED STATES OF AMERICA (THE),11347.22
-88729.22,735420.0,BB-,15106.67,2022-06-30T00:00:00.000,B1,INDUSTRIAL,UNITED STATES OF AMERICA (THE),15106.67
-151039.6,2115147.8,BBB,24094.27,2022-06-30T00:00:00.000,Baa3,OTHER YANKEE,UNITED STATES OF AMERICA (THE),24094.27
-173061.5,764056.5,BBB-,10732.36,2022-06-30T00:00:00.000,,ELECTRIC/GAS,UNITED STATES OF AMERICA (THE),10732.36
-30227.5,1039772.5,B+,33348.33,2022-06-30T00:00:00.000,B3,INDUSTRIAL,UNITED STATES OF AMERICA (THE),33348.33
-38087.0,162038.0,BB,3211.1,2022-06-30T00:00:00.000,Ba3,TELEPHONE,UNITED STATES OF AMERICA (THE),3211.1
-19896.45,225103.55,,2657.57,2022-06-30T00:00:00.000,Ba2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),2657.57
-344360.25,1180639.75,CCC,40433.68,2022-06-30T00:00:00.000,Caa1,INDUSTRIAL,UNITED STATES OF AMERICA (THE),40433.68
-55929.0,449435.35,B-,8136.28,2022-06-30T00:00:00.000,B2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),8136.28
-13156.3,400393.7,B+,1597.31,2022-06-30T00:00:00.000,Ba2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),1597.31
-15514.47,99648.03,B,1171.67,2022-06-30T00:00:00.000,B1,INDUSTRIAL,UNITED STATES OF AMERICA (THE),1171.67
-220551.24,1505544.04,BBB,7295.42,2022-06-30T00:00:00.000,Baa3,OTHER YANKEE,UNITED STATES OF AMERICA (THE),7295.42
-266295.82,4248438.04,BBB,20586.67,2022-06-30T00:00:00.000,Baa3,OTHER YANKEE,UNITED STATES OF AMERICA (THE),20586.67
-392175.0,1528632.0,BBB+,9253.13,2022-06-30T00:00:00.000,Baa2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),9253.13
-1860458.2,5864361.3,BBB+,38227.97,2022-06-30T00:00:00.000,Baa2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),38227.97
-46146.37,770603.61,,0.0,2022-06-30T00:00:00.000,,BANK LOAN,UNITED STATES OF AMERICA (THE),0.0
-32121.58,398458.51,,0.0,2022-06-30T00:00:00.000,,BANK LOAN,UNITED STATES OF AMERICA (THE),0.0
-16236.0,3310197.0,BBB,4787.12,2022-06-30T00:00:00.000,Baa2,TELEPHONE,UNITED STATES OF AMERICA (THE),4787.12
-1313985.4,9859865.6,BBB-,70884.3,2022-06-30T00:00:00.000,Baa3,ELECTRIC/GAS,UNITED STATES OF AMERICA (THE),70884.3
-167109.6,1589803.2,BBB,7888.0,2022-06-30T00:00:00.000,Baa2,TELEPHONE,UNITED STATES OF AMERICA (THE),7888.0
-185757.0,658746.0,BBB,2406.25,2022-06-30T00:00:00.000,Baa2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),2406.25
-86407.1,450113.94,B,9122.49,2022-06-30T00:00:00.000,B1,INDUSTRIAL,UNITED STATES OF AMERICA (THE),9122.49
-11597.85,483402.15,B+,1928.44,2022-06-30T00:00:00.000,Ba2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),1928.44
-1174618.32,3655672.14,BBB+,19446.11,2022-06-30T00:00:00.000,Baa2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),19446.11
-113802.5,456237.5,B,5665.69,2022-06-30T00:00:00.000,B1,INDUSTRIAL,UNITED STATES OF AMERICA (THE),5665.69
-385251.75,1964710.75,BB,38934.72,2022-06-30T00:00:00.000,Ba3,TELEPHONE,UNITED STATES OF AMERICA (THE),38934.72
-208732.5,949205.0,CCC+,12642.71,2022-06-30T00:00:00.000,Caa1,INDUSTRIAL,UNITED STATES OF AMERICA (THE),12642.71
-385430.0,1720175.0,CCC+,22911.45,2022-06-30T00:00:00.000,Caa1,INDUSTRIAL,UNITED STATES OF AMERICA (THE),22911.45
-20454.0,179546.0,B,2111.11,2022-06-30T00:00:00.000,B1,INDUSTRIAL,UNITED STATES OF AMERICA (THE),2111.11
-46242.99,1253070.0,BB-,20009.7,2022-06-30T00:00:00.000,Ba3,INDUSTRIAL,UNITED STATES OF AMERICA (THE),20009.7
-16425.0,233575.0,B,0.0,2022-06-30T00:00:00.000,B1,INDUSTRIAL,UNITED STATES OF AMERICA (THE),0.0
-274260.0,1932780.0,BBB,22250.0,2022-06-30T00:00:00.000,Baa3,OTHER YANKEE,UNITED STATES OF AMERICA (THE),22250.0
-705088.65,2909670.75,BBB,41752.96,2022-06-30T00:00:00.000,Baa2,TELEPHONE,UNITED STATES OF AMERICA (THE),41752.96
-56248.5,493751.5,B,5805.55,2022-06-30T00:00:00.000,B1,INDUSTRIAL,UNITED STATES OF AMERICA (THE),5805.55
-90160.0,357390.0,B,8559.38,2022-06-30T00:00:00.000,B1,INDUSTRIAL,UNITED STATES OF AMERICA (THE),8559.38
-263963.2,1541036.8,,20469.2,2022-06-30T00:00:00.000,Ba2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),20469.2
-18272.25,206727.75,,2440.63,2022-06-30T00:00:00.000,Ba2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),2440.63
-85490.5,241072.0,B-,58.68,2022-06-30T00:00:00.000,Caa3,OTHER YANKEE,UNITED STATES OF AMERICA (THE),58.68
-273028.85,1859984.96,BBB,27390.5,2022-06-30T00:00:00.000,Baa2,TELEPHONE,UNITED STATES OF AMERICA (THE),27390.5
-138807.4,1019856.9,,12040.42,2022-06-30T00:00:00.000,Ba2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),12040.42
-14508.89,458066.5,,0.0,2022-06-30T00:00:00.000,,BANK LOAN,UNITED STATES OF AMERICA (THE),0.0
-578096.58,1656251.43,B-,403.16,2022-06-30T00:00:00.000,Caa3,OTHER YANKEE,UNITED STATES OF AMERICA (THE),403.16
-32346.0,896850.0,BBB+,3348.75,2022-06-30T00:00:00.000,Baa2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),3348.75
-661809.78,6844440.06,BBB-,111036.01,2022-06-30T00:00:00.000,Baa3,INDUSTRIAL,UNITED STATES OF AMERICA (THE),111036.01
10806.0,532638.0,BBB+,2833.33,2022-06-30T00:00:00.000,Baa2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),2833.33
-134387.3,627897.25,BB,12443.06,2022-06-30T00:00:00.000,Ba3,TELEPHONE,UNITED STATES OF AMERICA (THE),12443.06
-395978.4,1170171.9,BBB+,7494.54,2022-06-30T00:00:00.000,Baa2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),7494.54
-91440.0,304560.0,B+,5855.55,2022-06-30T00:00:00.000,Ba3,INDUSTRIAL,UNITED STATES OF AMERICA (THE),5855.55
-39795.0,110205.0,CCC+,3977.08,2022-06-30T00:00:00.000,Caa1,INDUSTRIAL,UNITED STATES OF AMERICA (THE),3977.08
-145885.0,6206980.0,BBB,70705.56,2022-06-30T00:00:00.000,Baa3,OTHER YANKEE,UNITED STATES OF AMERICA (THE),70705.56
-63343.8,716656.2,,8460.83,2022-06-30T00:00:00.000,Ba2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),8460.83
39501.54,596750.0,C,7303.29,2022-06-30T00:00:00.000,Caa3,INDUSTRIAL,UNITED STATES OF AMERICA (THE),7303.29
-40268.55,352956.45,BB-,4451.56,2022-06-30T00:00:00.000,Ba3,INDUSTRIAL,UNITED STATES OF AMERICA (THE),4451.56
-146749.6,2177440.0,BBB+,24559.62,2022-06-30T00:00:00.000,Baa2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),24559.62
-37531.0,287469.0,B,8294.27,2022-06-30T00:00:00.000,B1,INDUSTRIAL,UNITED STATES OF AMERICA (THE),8294.27
-2083263.85,7801149.6,BBB,28495.83,2022-06-30T00:00:00.000,Baa2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),28495.83
-105257.13,577742.87,BB-,9998.36,2022-06-30T00:00:00.000,Ba2,CANADIAN,UNITED STATES OF AMERICA (THE),9998.36
-61827.0,236883.0,BBB,1756.67,2022-06-30T00:00:00.000,Baa3,OTHER YANKEE,UNITED STATES OF AMERICA (THE),1756.67
-76702.75,1031998.5,B+,33099.02,2022-06-30T00:00:00.000,B3,INDUSTRIAL,UNITED STATES OF AMERICA (THE),33099.02
-59473.92,142036.8,BBB+,755.56,2022-06-30T00:00:00.000,Baa2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),755.56
-190713.28,527376.52,B-,128.37,2022-06-30T00:00:00.000,Caa3,OTHER YANKEE,UNITED STATES OF AMERICA (THE),128.37
-3795.75,146485.5,B+,584.38,2022-06-30T00:00:00.000,Ba2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),584.38
-282660.0,1217340.0,BB-,25781.25,2022-06-30T00:00:00.000,Ba3,INDUSTRIAL,UNITED STATES OF AMERICA (THE),25781.25
-212048.0,1237952.0,,16443.4,2022-06-30T00:00:00.000,Ba2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),16443.4
-175210.3,471115.2,BBB,1931.67,2022-06-30T00:00:00.000,Baa2,TELEPHONE,UNITED STATES OF AMERICA (THE),1931.67
-94643.66,866305.0,CCC+,11538.54,2022-06-30T00:00:00.000,Caa1,INDUSTRIAL,UNITED STATES OF AMERICA (THE),11538.54
-696853.5,2184738.5,BBB+,11025.0,2022-06-30T00:00:00.000,Baa2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),11025.0
