location_1,census_tract,:@computed_region_f5dn_yrer,boro,borough,longitude
"{'latitude': '40.613317', 'longitude': '-73.938871'}",646.0,5.0,K,BROOKLYN,-73.938871
"{'latitude': '40.636455', 'longitude': '-73.933582'}",836.0,61.0,K,BROOKLYN,-73.933582
"{'latitude': '40.631211', 'longitude': '-74.127065'}",141.0,4.0,R,STATEN IS,-74.127065
"{'latitude': '40.860412', 'longitude': '-73.927936'}",283.0,47.0,M,MANHATTAN,-73.927936
"{'latitude': '40.795157', 'longitude': '-73.973292'}",183.0,20.0,M,MANHATTAN,-73.973292
"{'latitude': '40.693606', 'longitude': '-73.844631'}",28.0,46.0,Q,QUEENS,-73.844631
"{'latitude': '40.593005', 'longitude': '-74.158988'}",27706.0,30.0,R,STATEN IS,-74.158988
"{'latitude': '40.818232', 'longitude': '-73.919867'}",67.0,49.0,X,BRONX,-73.919867
"{'latitude': '40.855855', 'longitude': '-73.92712'}",277.0,47.0,M,MANHATTAN,-73.92712
"{'latitude': '40.812619', 'longitude': '-73.906063'}",79.0,49.0,X,BRONX,-73.906063
"{'latitude': '40.648608', 'longitude': '-73.952821'}",794.0,61.0,K,BROOKLYN,-73.952821
"{'latitude': '40.844253', 'longitude': '-73.907616'}",22902.0,50.0,X,BRONX,-73.907616
"{'latitude': '40.750246', 'longitude': '-73.867825'}",40902.0,65.0,Q,QUEENS,-73.867825
"{'latitude': '40.700609', 'longitude': '-73.93834'}",389.0,42.0,K,BROOKLYN,-73.93834
"{'latitude': '40.855855', 'longitude': '-73.92712'}",277.0,47.0,M,MANHATTAN,-73.92712
"{'latitude': '40.751356', 'longitude': '-73.937445'}",3301.0,39.0,Q,QUEENS,-73.937445
"{'latitude': '40.705516', 'longitude': '-73.862208'}",637.0,54.0,Q,QUEENS,-73.862208
"{'latitude': '40.683536', 'longitude': '-73.87691'}",117601.0,45.0,K,BROOKLYN,-73.87691
"{'latitude': '40.836506', 'longitude': '-73.93709'}",24301.0,47.0,M,MANHATTAN,-73.93709
"{'latitude': '40.714182', 'longitude': '-73.995451'}",16.0,70.0,M,MANHATTAN,-73.995451
"{'latitude': '40.547692', 'longitude': '-74.151755'}",15601.0,15.0,R,STATEN IS,-74.151755
"{'latitude': '40.578255', 'longitude': '-73.979628'}",350.0,21.0,K,BROOKLYN,-73.979628
"{'latitude': '40.771215', 'longitude': '-73.924591'}",69.0,39.0,Q,QUEENS,-73.924591
"{'latitude': '40.672579', 'longitude': '-73.884803'}",1150.0,45.0,K,BROOKLYN,-73.884803
