award,name,nta,bbl,buildingid-:@computed_region_yeji_bk3q
18595000.0,P.S. 62 - BRONX,BX0101,2025710001.0,X062-5.0
876800.0,P.S. 88 - QUEENS,QN0902,4092040028.0,Q088-3.0
747000.0,I.S. 324 - MANHATTAN,MN1203,1022290012.0,M090-4.0
233000.0,P.S. 71 - QUEENS,QN0501,4025030031.0,Q071-3.0
171058.92,P.S. 95 - QUEENS,QN1103,4080820285.0,Q095-3.0
644060.0,I.S. 61 - STATEN ISLAND,SI0204,5023640001.0,R061-1.0
546000.0,P.S. 146 - QUEENS,QN0202,4001850001.0,Q146-3.0
701000.5,P.S. 198 - BROOKLYN,BK1002,3062780022.0,K198-2.0
23500000.0,IT TAKES A VILLAGE ACADEMY - K,BK1502,3067880001.0,K415-2.0
15237000.0,P.S. 297 - BROOKLYN,BK0501,3039690001.0,K297-2.0
21441000.0,P.S. 83 - BRONX,BX0501,2032070040.0,X083-5.0
398000.0,P.S. 76 - QUEENS,QN1204,4124950166.0,Q076-3.0
8640000.0,P.S. 142 - MANHATTAN,MN1202,1021730001.0,M142-4.0
373000.0,LONG ISLAND CITY H.S.,QN0401,4018490001.0,Q452-3.0
1676000.0,BRONX ALLIANCE MIDDLE SCHOOL,BX0301,2026320027.0,X142-5.0
983000.0,P.S. 220 - QUEENS,QN1203,4120510001.0,Q220-3.0
580000.0,P.S. 249 - BROOKLYN,BK1303,3086660610.0,K249-2.0
19820000.0,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,MN1202,1021600018.0,M460-4.0
