name,zip_code,projdesc,:@computed_region_sbqj_enih,:@computed_region_92fq_4b7q,geo_dist
P.S. 25 - BRONX,10454.0,IPDVS CAMERA INSTALLATION / IPDVS CAMERA INSTALLATION,23.0,35.0,7
K721 SPED - BROOKLYN,11201.0,FIRE ALARM SYSTEM REPLACEMENT,54.0,38.0,21
P.S. 59 - BROOKLYN,11208.0,ROOFS / WINDOWS / EXTERIOR MASONRY / PARAPETS,47.0,37.0,14
LONG ISLAND CITY HS - Q,11354.0,PUBLIC ADDRESS SYSTEM REPLACEMENT,67.0,3.0,30
LAMAD ACADEMY CHARTER SCHOOL,11234.0,PATH OF TRAVEL RESO A SCIENCE LAB UPGRADE / FY21 RESO A SCIENCE LAB UPGRADE,38.0,8.0,18
FAIRMONT NEIGHBORHOOD SCHOOL,10458.0,EXTERIOR MASONRY / ROOFS / FLOOD ELIMINATION,34.0,22.0,12
BAYSIDE HIGH SCHOOL - QUEENS,11364.0,FY25 RESO A IPDVS CAMERA INSTALLATION / FY25 RESO A IPDVS CAMERA INSTALLATION,69.0,16.0,26
GROVER CLEVELAND HS - QUEENS,11432.0,LSP RESO A CAFETERIA UPGRADE - LIGHTING,65.0,24.0,24
I.S. 109 - QUEENS,11385.0,ELECTRICAL WORK FOR A/C INITIATIVE / ELECTRICAL WORK FOR A/C INITIATIVE / ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,62.0,34.0,29
P.S. 64 - MANHATTAN,10025.0,FY20 RESO A  PATH OF TRAVEL PLAYGROUND UPGRADE / FY20 RESO A PLAYGROUND UPGRADE,15.0,19.0,1
Q075 SPED - QUEENS,11418.0,LSP DOMESTIC WATER HEATER,60.0,41.0,28
THE URBAN ASSEMBLY SCHOOL FOR GLOBAL COMMERCE,10033.0,ELECTRIFICATION/HEAT PUMP SYSTEMS / WINDOWS / ELECTRICAL UPGRADE / LOW VOLTAGE ELECTRICAL SYSTEMS,22.0,39.0,5
P.S. 195/196 - BRONX,10457.0,Demo,29.0,22.0,12
QUEENS ACADEMY HIGH SCHOOL - Q,11356.0,FY21 RESO A GYMNASIUM UPGRADE,67.0,20.0,25
FORT HAMILTON HS - K,11204.0,REPLACE 6' FIRE DOMESTIC WATER MAIN VALVES,39.0,18.0,20
Q811 SPED - QUEENS,11368.0,FULL PROGRAM ACCESSIBILITY / FIRE ALARM REPLACEMENT / FULL PROGRAM ACCESSIBILITY,73.0,21.0,29
P.S. 98 - MANHATTAN,10029.0,OTHER TEMP STRUCTURE REMOVAL/PLAYGROUND REDEVELOPMENT: / PATH OF TRAVEL-OTHER TEMP STRUCTURE REMOVAL,14.0,35.0,6
DISTRICT OFFICE #18 - BROOKLYN,11203.0,BOILER REPLACEMENT / CLIMATE CONTROL / LOW-VOLTAGE ELECTRICAL SYSTEM / VENTILATION / INTRUSION ALARM,40.0,17.0,18
NEW YORK HARBOR SCHOOL - MANHATTAN,11373.0,STRUCTURAL ISSUES,68.0,5.0,2
P.S. 297 - BROOKLYN,11208.0,ROOFS / PARAPETS / EXTERIOR MASONRY / SITE WORK / WINDOWS,47.0,37.0,14
CITY-AS-SCHOOL - MANHATTAN,10128.0,IPDVS INSTALLATIONS,14.0,35.0,2
P.S. 107 - BRONX,10456.0,EXTERIOR MASONRY / PARAPETS / ROOFS / FLOOD ELIMINATION,25.0,42.0,8
HS FOR HEALTH CAREER & SCIENCE - M,10024.0,SWIMMING POOLS / LOW VOLTAGE ELECTRICAL SYSTEM,12.0,19.0,6
LONG ISLAND CITY H.S.,11373.0,FY24 RESO A ELECTRICAL UPGRADE,68.0,5.0,30
P.S. 178 - BRONX,10451.0,FULL PROGRAM ACCESSIBILITY / FIRE ALARM SYSTEM REPLACEMENT,23.0,35.0,11
P.S. 95 - QUEENS,11433.0,Addition,61.0,6.0,29
