uid,xcoord,ycoord,city,facdomain,facgroup,bbl
005c6f1bb14510b2a25148bed81651fe,1022892.4913558952,252768.3896585265,BRONX,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,2043580001.0
0106dae6237f823596009c97cc8a8626,988990.2921242008,182885.3825075621,BROOKLYN,"PARKS, GARDENS, AND HISTORICAL SITES",HISTORICAL SITES,3010000001.0
011da44c69f6ae64c7f1775676ff8e2d,985920.4912490651,153440.55086830727,BROOKLYN,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,3069440085.0
004c784636b86b2a0ea2791c7a5dd156,1044536.0000000153,181633.0000000161,JAMAICA,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,
006f2e3b83ee21b5a2d8f43dec0dd57d,1007921.1783589958,214946.85786682973,ASTORIA,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,4007080040.0
00da32373604e7a5458cc76c6d4445f0,988891.5019684926,207103.87481961364,NEW YORK,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,1008990026.0
0071ca3f4a4f38c89cfefc41e4539633,993262.7672332115,149813.2433190744,BROOKLYN,"EDUCATION, CHILD WELFARE, AND YOUTH",CHILD SERVICES AND WELFARE,3086690088.0
008c1dfb57e60bc63df09069e476aac1,986725.1878440032,216057.74712280897,NEW YORK,"EDUCATION, CHILD WELFARE, AND YOUTH",CHILD SERVICES AND WELFARE,1010350005.0
00c572c100e908291c03c724ec0e13b8,1003993.6635438683,254837.91288052488,NEW YORK,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,1022460065.0
005f610d3dea14c7acc12a0d74e307e6,999612.8442640704,223565.67655132097,NEW YORK,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,1015730022.0
00856def139f6c38ccc8a6a2a7993299,980791.958697136,197575.76466356227,NEW YORK,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),1000510015.0
00b27a72956336661df81c9ba649b681,1004963.0648022998,254659.28789439064,NEW YORK,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,1022330020.0
00628049af80b66856f1f32413b9186a,962840.2544636532,173502.4022919099,STATEN ISLAND,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,5000080070.0
0022398677714f48146da0b4b5fd6e48,1027641.1115354452,239129.25779729863,BRONX,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,2036170001.0
ee2045ad5b93193fae446633fc81eb19,,,BROOKLYN,LIBRARIES AND CULTURAL PROGRAMS,CULTURAL INSTITUTIONS,
0094a31783acbc2e35c02ef3733c594c,1006467.492185336,243726.9421467452,BRONX,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,2024800008.0
00ec0da99e7d7ba06a9fff3c35590065,988071.6110025002,198252.8936050088,NEW YORK,"EDUCATION, CHILD WELFARE, AND YOUTH",CAMPS,1002450001.0
0108886188e485dbe864042935f26fbd,988428.0128398396,221384.3553961872,NEW YORK,CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,
004e8d22e0663c2e48257e0ee8c73cee,1016753.182032828,250889.14292520497,BRONX,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),2031040007.0
00691c84282d443dc01999c155efdba3,1039932.633530878,196408.23208192,JAMAICA,HEALTH AND HUMAN SERVICES,HEALTH CARE,4097600027.0
00e43284ef87db4f44fe5ebd2623358e,962202.9341320914,172088.02555537128,STATEN ISLAND,ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",5000180006.0
0006e49b4ecf531c88f5dec8bd7d0364,1000721.6476923142,204629.22674474303,BROOKLYN,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,3026120133.0
01012004b44410260c42296f4a7389d2,1014930.5609873608,251987.05137429887,BRONX,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),2030580020.0
00cb311c382ff18e4437fa1b968fb90d,1028294.498318794,250896.57736246448,BRONX,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,2042230006.0
0084c1870576f822876459a596b4bf44,1006427.3360323324,248488.5245695568,BRONX,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,2028780028.0
00cf8832270c657e17bcba3c3a506214,1011126.1981939024,196361.9194325377,RIDGEWOOD,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,4034900001.0
00c58f163c859e9a3ed67439a64f5c5a,1008019.3209515782,161370.4435250052,BROOKLYN,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,3084701052.0
011f5f2d9483e4b2c57c8722f55b92ad,1012717.6184780434,256340.8593645272,BRONX,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,2032470070.0
00f37c49af76c435fb7c22f8a79eb29a,1037471.2317353355,185376.15495370867,SOUTH OZONE PARK,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,4116940027.0
002a7df949e57fb493e9fd54efcb62a1,995566.4741050154,207728.22089937053,BROOKLYN,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,3024727503.0
0121e2cc8a0d05c588b44be2d1c71384,1024485.896760184,268046.015899623,BRONX,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),2050760031.0
0048835d2fd1470fc2705dc2938a4563,986403.539478976,214373.33992179137,NEW YORK,HEALTH AND HUMAN SERVICES,HEALTH CARE,1007627503.0
007c5ab10339f11b33a356f6b28f6905,984997.0249173002,157198.9537507445,BROOKLYN,CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,3064480026.0
000081aff7e44860160371b7a6b79e9a,929441.8976105892,137658.3378785442,STATEN ISLAND,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),5060500002.0
002b07719e22476023ebd9035eed81b8,1044536.0000000153,181633.0000000161,JAMAICA,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,
005015dc5e78ecef6c0fd59230317850,1037347.5188697173,195267.8864338379,JAMAICA,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,4096760027.0
0034925c2d889b16c70856d5ef498172,990320.855617,182164.0313219505,BROOKLYN,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),3010890007.0
0068937f33935da344d67fc5a8d425b3,995344.04801484,192630.8471619647,BROOKLYN,HEALTH AND HUMAN SERVICES,HEALTH CARE,3018970013.0
00bf50d1321d5fae5d0190197b58c991,1011378.01831045,255392.18799441177,BRONX,HEALTH AND HUMAN SERVICES,HEALTH CARE,2032200040.0
005f9634a760d0c45707be1b35fb1226,997480.7635239752,227821.74706861968,NEW YORK,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,1016080069.0
0051cdabfd117e137fd752cdb685211f,1033722.8474744904,212400.236392104,FLUSHING,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),4051470001.0
008dd1e3d98fff18327a95987b9b9de0,998386.928663544,234276.73894353097,NEW YORK,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,1019310021.0
0044b7fdf6fecd0c88d9fda284544c6f,1007701.6368122672,192735.6494752836,BROOKLYN,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,3033430001.0
011e71544de938c0fe365bc98bdab66c,1003854.3801244064,192385.4027988576,BROOKLYN,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),3032300027.0
008e1a57cd166815310848d45c9b3d6b,951471.149332289,147761.39373100855,STATEN ISLAND,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,5042120025.0
00442f41ab127eaebd7d753b5ad3fb8f,1060954.4277623931,216409.2856023694,LITTLE NECK,HEALTH AND HUMAN SERVICES,HEALTH CARE,4083520001.0
010fa9cf0b64fa4a1d1f3b23822c5e05,999125.7631845688,183403.7261928168,BROOKLYN,"PARKS, GARDENS, AND HISTORICAL SITES",HISTORICAL SITES,3012630058.0
00056520e4c5483e13933cda8c8a736d,987095.9375813293,160192.82608523252,BROOKLYN,"EDUCATION, CHILD WELFARE, AND YOUTH",CAMPS,3062640030.0
006be6f9363e66a53e7007a7a7401db0,1017229.1404535116,260453.4556638482,BRONX,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,2033270001.0
007c8d7beb10d164691571fc411fc883,981898.1117883128,204433.97208234007,NEW YORK,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,1005980042.0
00e74f939c70ae6e9a4426dd7925896f,996156.128228956,199464.9855287693,BROOKLYN,"PUBLIC SAFETY, EMERGENCY SERVICES, AND ADMINISTRATION OF JUSTICE",EMERGENCY SERVICES,3023680012.0
000898872e62bfd79bb2e5fb4f6fbb38,999908.9826527257,150667.30388780983,BROOKLYN,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),3087520035.0
01303fc90387ab7208ca6f680c960cee,995054.496572647,149852.42279254418,BROOKLYN,"EDUCATION, CHILD WELFARE, AND YOUTH",VOCATIONAL AND PROPRIETARY SCHOOLS,3086760009.0
00353e8867567ede634b120e2d6d19df,950197.4848101852,157420.63919440287,STATEN ISLAND,"EDUCATION, CHILD WELFARE, AND YOUTH",CAMPS,5009240001.0
00cb219455445f5311f3948ac58cdf22,997399.2432855004,158328.48460059863,BROOKLYN,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),3073240001.0
006823a2426bba3fb7faed62a1f98a86,1006824.9961909294,234468.058963716,BRONX,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,2022860036.0
006e96fba058a92aa95a7d872724475f,1010876.3157189856,185145.13044420976,BROOKLYN,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,3036790030.0
00f7d8e918ae410780d78658e117b525,981965.8845094388,195835.78097624224,NEW YORK,HEALTH AND HUMAN SERVICES,HEALTH CARE,1000330001.0
010ae7b993fed6ed39b888998c3de660,1000340.056960262,246185.4842100408,NEW YORK,"EDUCATION, CHILD WELFARE, AND YOUTH",CHILD SERVICES AND WELFARE,1021380079.0
0105fe5e69fbf6d0380d7e9cbeebeeea,994483.7386916413,192482.11966352863,BROOKLYN,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,3018940011.0
002d78d14b022647cfd6d0182f58cd32,1006656.9924400264,170018.9764971644,BROOKLYN,CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,3079790146.0
008a36989057d0000d9978c7d744c406,984757.5363021822,147650.44700366608,BROOKLYN,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,3070667501.0
000a2f27e18e1ee6b1d8ba78872169f2,987150.4758294576,208458.9659690761,NEW YORK,LIBRARIES AND CULTURAL PROGRAMS,CULTURAL INSTITUTIONS,1008480061.0
01135a7c1defbe1431b57d8ab85dfb63,999064.7760879388,192528.71405343563,BROOKLYN,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,3017550046.0
011e7dbcaf915b6903653d5935ceae4a,984947.8348193892,198888.1959666738,NEW YORK,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,1002790040.0
00d4a35172a8da6d650b730726311680,989207.7017852016,170201.37557476494,BROOKLYN,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,3053790004.0
00538d0b3d13d3a37e1bc23b03a9981c,1035329.6874881114,220499.55396245385,FLUSHING,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,4048230005.0
01205c482ad3b9308c33dcf9b994724b,989396.157103958,153373.4039429218,BROOKLYN,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),3071850020.0
0111d9aea5243619f309691df6cb98a3,1027358.6400246468,236775.00230534148,BRONX,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,2035130022.0
00b8cdfa0c2b1c49449aec003cbc79d4,996284.6440181966,187594.33116630488,BROOKLYN,HEALTH AND HUMAN SERVICES,HEALTH CARE,3019970053.0
00b75208c086f3eb8a30fed17e170c81,981412.0638828828,204077.93856535127,NEW YORK,ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",1005967501.0
00cabed09347b76129e2e555d34bf3ce,985396.9710508172,199324.7251212705,NEW YORK,HEALTH AND HUMAN SERVICES,HEALTH CARE,1002810021.0
00389e4606b69e85d8b7e60ab02e89da,993721.5915649284,168950.23170329738,BROOKLYN,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,3066860060.0
000105fd986377e37a8f95abfdbda92d,988441.4255091946,160684.57081373205,BROOKLYN,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),3065950033.0
0054de4a64f00352cbcaf990308c344b,1019599.3255672536,214953.96522442115,JACKSON HEIGHTS,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,4017100010.0
00dc434e92200acb4becfe45cfea9fc8,997933.7248657309,203804.7371469652,BROOKLYN,LIBRARIES AND CULTURAL PROGRAMS,LIBRARIES,3026210032.0
00ac8616dbf1507352af258236d23bc0,995447.2304103882,233831.8107273444,NEW YORK,"PARKS, GARDENS, AND HISTORICAL SITES",PARKS AND PLAZAS,1019620035.0
0054a17505c2e14e545baaab1e0b42e4,1013373.6469365344,240665.42619403696,BRONX,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,2027180017.0
00098ca3934642d37267e38f73e5818a,987806.3966416091,217714.6658666988,NEW YORK,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,1010420054.0
008ac24ce21b417a56da3c9b4eb3b1d9,1003025.999999996,222019.00000001423,ASTORIA,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,
0061207d19a4e48ebb6070eee345ff67,1020014.4366123896,205703.729068451,ELMHURST,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,4030880001.0
01208941d24f3e35d44e3355e5b9bfdf,1053419.797649864,158002.9735711401,FAR ROCKAWAY,LIBRARIES AND CULTURAL PROGRAMS,CULTURAL INSTITUTIONS,4156280026.0
0131fa3ef579280b0337c8ff9d03a581,982918.4140584188,198354.00249781937,NEW YORK,"EDUCATION, CHILD WELFARE, AND YOUTH",CHILD SERVICES AND WELFARE,1001020001.0
0125867d68ba2f8cabffd4565a663e93,1002116.3040339464,239734.40859887493,NEW YORK,"PARKS, GARDENS, AND HISTORICAL SITES",PARKS AND PLAZAS,1020160101.0
001425fed2ed0005ffb556c8d448fd8c,960228.786001526,156938.20573164677,STATEN ISLAND,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,5032150001.0
006b8603543da11106f7416600c67036,,,BROOKLYN,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,
00d964af353253ec6155190694707e0d,962659.2877271558,174292.35481159706,STATEN ISLAND,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,5000090022.0
000b602b4850d4acb4905b495308b051,1010649.994606339,163221.98851092672,BROOKLYN,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,3084460019.0
0123c81e00c235a44469b50e070668b1,1021028.6373526132,263026.4507871349,BRONX,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,2033600130.0
001c4ba76ffa6f279bc6aa53f2ca8c98,997239.3955968256,238390.45113554888,NEW YORK,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,1019880166.0
00ada9e88f7cb054fd7536718f4b59c5,1044536.0000000153,181633.0000000161,JAMAICA,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,
0089a08ad0a375f7a1d95b4b57f48216,1037763.0071319815,188542.29082563124,SOUTH OZONE PARK,CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,4116390012.0
0048902fd89602e9b39845ba33b3baaf,962663.10023242,174291.06446667103,STATEN ISLAND,"PUBLIC SAFETY, EMERGENCY SERVICES, AND ADMINISTRATION OF JUSTICE",JUSTICE AND CORRECTIONS,5000090022.0
002dbff28913a333eccec060f70b8b72,988917.9666580376,209194.5834374994,NEW YORK,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,1008810029.0
00d7ce81b7c15b9f5cc364e78fa94032,1049533.0851330748,160670.6766606874,FAR ROCKAWAY,"EDUCATION, CHILD WELFARE, AND YOUTH",CHILD SERVICES AND WELFARE,
008ad48bd3a0121c610a23f02e0d94fa,1032463.3426216393,217155.93667264844,FLUSHING,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,4050117504.0
0076b9531d2a40446e15f3cef0f917fd,989609.5768218782,216967.8472644348,NEW YORK,"PARKS, GARDENS, AND HISTORICAL SITES",HISTORICAL SITES,1010050049.0
0025957e4f4ec22fea0ab2e456ef9a21,996002.73211175,175733.93869543835,BROOKLYN,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,3051030008.0
0017eef2e888306cb01c2f7770ef4cca,1040756.3082755442,196060.7126357967,JAMAICA,HEALTH AND HUMAN SERVICES,HEALTH CARE,4101510007.0
00a3126e150a320961233378187e3f29,1017038.40675336,174928.14178619153,BROOKLYN,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,3044520025.0
00b00304949bef03e4fa9909a6e29933,983849.9617269824,212389.93677325427,NEW YORK,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,1007240010.0
0079ef4c55b2d8c2d1bd3b917710da1a,1014222.6037416786,178153.97016544567,BROOKLYN,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,3043650007.0
00c87828e920d89a51fa972299f78c17,1006422.2961340556,173526.1255358764,BROOKLYN,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,3079320126.0
00c3424b2cb7b1c3d768c3db0ca7885e,1009140.40311892,174105.1576064377,BROOKLYN,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,3081410046.0
009c2e3c18c75e02ce5f486f26bdd4dc,1030407.7496268912,216966.6705834513,FLUSHING,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,4049690018.0
0026ec3a85a7e20c6b6ac8f27b59338f,994852.0997554013,216967.03492548343,NEW YORK,HEALTH AND HUMAN SERVICES,HEALTH CARE,1014370012.0
00606c8e6cc4840c03f6d22f9ca4ceb0,1014669.724318374,238982.2793286857,BRONX,"PARKS, GARDENS, AND HISTORICAL SITES",PARKS AND PLAZAS,2027460025.0
00a786cdce02fe4e807eef429137a5b9,987221.201158648,213963.3269860516,NEW YORK,LIBRARIES AND CULTURAL PROGRAMS,CULTURAL INSTITUTIONS,1007880037.0
006f709a11487279321587771a7071a0,997575.9827608689,228004.5428876012,NEW YORK,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,1016090001.0
01328370791d3aa5f21a3354748d4416,1014509.7537452172,243984.26957489928,BRONX,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,2029390093.0
00eaf452f583b3ece71d891002a9aaec,947988.9063681808,156531.8195819363,STATEN ISLAND,"EDUCATION, CHILD WELFARE, AND YOUTH",ADULT SERVICES,5009550220.0
0033d7e6df76c103c20b0ac7113e3c34,1008524.1923811452,216019.52446153155,ASTORIA,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,4007140001.0
00e40b6a68db3fbc612b0b95a7d52c55,997715.688443958,220698.62554431937,NEW YORK,"EDUCATION, CHILD WELFARE, AND YOUTH",CAMPS,1015590005.0
00da1ef71583b7c609387dec788fc1ca,1041900.0612377962,198885.26678754407,JAMAICA,CORE INFRASTRUCTURE AND TRANSPORTATION,WATER AND WASTEWATER,4098430015.0
00d1edd46f06cca311154cf0fe277ad6,992627.8691198924,149749.78874887124,BROOKLYN,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),3072740107.0
005f38661cf1d3d81800aff1719bd90a,992276.1903678832,227037.2688972366,NEW YORK,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,1012210007.0
0044ac909c174170318d999cae26aede,1000489.8715848564,231031.09826934853,NEW YORK,ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",1017670067.0
001cff28e6888be61db7b0f789b4f831,1044536.0000000153,181633.0000000161,JAMAICA,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,
00ed14e4ac94a818b1477edbdcead6dc,995825.9664914752,224796.80246629007,NEW YORK,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,1015010069.0
000ff3bb08f400c998fee0bad9b600cf,986680.1735889995,213974.04683592584,NEW YORK,LIBRARIES AND CULTURAL PROGRAMS,CULTURAL INSTITUTIONS,1007870011.0
000dbf675f6b389e6d83b001d43391e0,988204.3447087988,200518.6933273708,NEW YORK,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,1003477501.0
0046d4d36ee8fa16aadbde802c291367,980292.1466979984,186510.03716671103,BROOKLYN,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,3005640022.0
003d88803dd0803d6544b786183e43c0,1019123.9795321932,179416.28000660057,BROOKLYN,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,3044280001.0
005d04e4ba93d2a8d51e4a120efd60ef,929421.51474736,143253.6501574642,STATEN ISLAND,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,5059650040.0
011b815156c2a0d128ad2fad47072680,1028372.973442128,240339.05845004847,BRONX,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,2055410200.0
00fc1f35c4ebdb1ebb5479d2adeae3cd,1043996.8495352728,155622.97407322406,ARVERNE,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,4158920001.0
0102b1a75dbbc3352734f3954f7eb395,1011983.9008135787,224394.9601849992,,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,4008140237.0
00298471feb9c7448d798e151108c365,998990.9533784494,224541.0314510204,NEW YORK,"EDUCATION, CHILD WELFARE, AND YOUTH",CAMPS,1015570041.0
000186821f899fef28e05c9ca2182621,1006473.8804627887,236891.7437425032,BRONX,HEALTH AND HUMAN SERVICES,HEALTH CARE,2023317501.0
0052ddb7b36320d5b081389d1e4feb0c,1011457.5164343062,184061.4446409064,BROOKLYN,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,3037140024.0
0082cd7068bba4504c416117dfb485a6,1012688.5030323308,184718.4440944596,BROOKLYN,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,3037020001.0
00ecba623db355a509d8ea8d8c377a0a,1000557.4999094952,238224.66136394613,NEW YORK,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,1020280016.0
00f806e838d3e093a6f456eda83e295f,995344.04801484,192630.8471619647,BROOKLYN,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,3018970013.0
0106a743dfc15213075f83b31c81f0d5,1011308.5492930484,210259.93000611183,WOODSIDE,HEALTH AND HUMAN SERVICES,HEALTH CARE,4013370023.0
004ee1196ffa52a7cf0b48a76b21b771,993515.5333141236,215074.4823362741,NEW YORK,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,1013460049.0
006ffe8127ba1708621d2c7df4091509,988531.1009113962,185516.2744751356,BROOKLYN,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,3004560029.0
00f97f22b60f070797efa6de171237a0,1028586.8790948258,263788.933975269,BRONX,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,2049580032.0
00861a468a355ea533f80a81907f6cc1,1022659.9655156448,215199.35742380115,CORONA,LIBRARIES AND CULTURAL PROGRAMS,CULTURAL INSTITUTIONS,4017220012.0
00d769ef2890a70c8c08915b1aff726d,993465.4773560124,220244.84365090847,NEW YORK,LIBRARIES AND CULTURAL PROGRAMS,CULTURAL INSTITUTIONS,1013850001.0
00e9b8ed2f5d2833f1deb8ef488a01e8,1041861.3032292594,188738.75583869725,JAMAICA,HEALTH AND HUMAN SERVICES,HEALTH CARE,4121880001.0
0002d3b5bb64af5fbc4d28e67dd33e1a,987829.1662153568,207173.47392890803,NEW YORK,"EDUCATION, CHILD WELFARE, AND YOUTH",CHILD SERVICES AND WELFARE,1008720057.0
011193df7bbd3ed4e7bfe86b436d09be,1020253.9946300077,180619.6763615968,BROOKLYN,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,3045440001.0
011989ca6fa38fed5371aef71b04c85a,994724.194828552,151312.1514014381,BROOKLYN,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,
