uid,latitude,longitude,overagency,policeprct,addressnum,servarea,overabbrev,factype,capacity
01012004b44410260c42296f4a7389d2,40.85826770249697,-73.88908869547225,NYC Department of Education,48.0,2465,Local,NYCDOE,SATELLITE SITE FOR STUDENTS WITH DISABILITIES,
00cb311c382ff18e4437fa1b968fb90d,40.85521812529813,-73.84078484843648,NYC Department of Education,49.0,1616,Regional,NYCDOE,SCHOOL BUS DEPOT,99.0
0084c1870576f822876459a596b4bf44,40.848690746868655,-73.91983970515116,NYC Department of Education,46.0,1646,Local,NYCDOE,EARLY EDUCATION PROGRAM,
00cf8832270c657e17bcba3c3a506214,40.705604014196375,-73.90306411279772,NYC Department of Youth and Community Development,104.0,66-56,Local,NYCDYCD,COMMUNITY SERVICES,
00c58f163c859e9a3ed67439a64f5c5a,40.60956904154069,-73.91439319107641,NYC Department of Education,63.0,6093,Regional,NYCDOE,SCHOOL BUS DEPOT,136.0
011f5f2d9483e4b2c57c8722f55b92ad,40.87022499206586,-73.8970700585566,NYC Department of Youth and Community Development,52.0,2780,Local,NYCDYCD,SCHOOL'S OUT NEW YORK CITY (SONYC),
00f37c49af76c435fb7c22f8a79eb29a,40.67533145481373,-73.8081310238631,NYC Department of Education,106.0,130-01,Local,NYCDOE,DOE UNIVERSAL PRE-K,
002a7df949e57fb493e9fd54efcb62a1,40.73683534502514,-73.95916511549437,NYC Department of Consumer Affairs,94.0,1,Local,NYCDCA,COMMERCIAL GARAGE,
0121e2cc8a0d05c588b44be2d1c71384,40.902306130840365,-73.8544494160287,NYC Department of Education,47.0,4550,Local,NYCDOE,ELEMENTARY SCHOOL - PUBLIC,285.0
0048835d2fd1470fc2705dc2938a4563,40.755081508,-73.992226941,NYS Office of Mental Health,14.0,,Regional,NYSOMH,SUPPORT MENTAL HEALTH,
007c5ab10339f11b33a356f6b28f6905,40.598151,-73.99731,NYC Department of Sanitation,62.0,,Regional,NYCDSNY,TEXTILES,
000081aff7e44860160371b7a6b79e9a,40.5443465222936,-74.19720254056382,NYC Department of Education,123.0,455,Local,NYCDOE,JUNIOR HIGH-INTERMEDIATE-MIDDLE SCHOOL - PUBLIC,1579.0
002b07719e22476023ebd9035eed81b8,40.6650120702292,-73.7826952545091,NYC Department of Education,105.0,,Regional,NYCDOE,SCHOOL BUS DEPOT,134.0
005015dc5e78ecef6c0fd59230317850,40.70248266221724,-73.80849906225198,NYC Department of Health and Mental Hygiene,103.0,90-16,Local,NYCDOHMH,DAY CARE,
0034925c2d889b16c70856d5ef498172,40.66667279694768,-73.97811668975564,NYC Department of Education,78.0,701,Local,NYCDOE,OTHER SCHOOL - NON-PUBLIC,
0068937f33935da344d67fc5a8d425b3,40.69539695630662,-73.95999260909923,NYS Department of Health,79.0,850,Regional,NYSDOH,SCHOOL BASED HOSPITAL EXTENSION CLINIC,
00bf50d1321d5fae5d0190197b58c991,40.8676253989024,-73.90191746732994,NYS Department of Health,52.0,2553,Regional,NYSDOH,ENRICHED HOUSING PROGRAM,
005f9634a760d0c45707be1b35fb1226,40.79198422172025,-73.95221795659326,NYC Department of Consumer Affairs,23.0,2,Local,NYCDCA,COMMERCIAL PARKING LOT,
0051cdabfd117e137fd752cdb685211f,40.749527706137805,-73.82144577699297,NYC Department of Education,109.0,46-21,Local,NYCDOE,SECONDARY SCHOOL - PUBLIC,592.0
008dd1e3d98fff18327a95987b9b9de0,40.8097000032437,-73.94893181024202,NYC Department of Small Business Services,28.0,215,Local,NYCSBS,WORKFORCE 1 CAREER CENTERS,
0044b7fdf6fecd0c88d9fda284544c6f,40.69566049499738,-73.91542828895933,NYC Department of Youth and Community Development,83.0,231,Local,NYCDYCD,AFTERSCHOOL PROGRAMS; COMMUNITY SERVICES; EDUCATIONAL SERVICES; FAMILY SUPPORT,
011e71544de938c0fe365bc98bdab66c,40.6947085082805,-73.92930334742074,NYC Department of Education,83.0,1155,Local,NYCDOE,HIGH SCHOOL - PUBLIC,613.0
008e1a57cd166815310848d45c9b3d6b,40.57218621141112,-74.11798918330824,NYC Department of Health and Mental Hygiene,122.0,145,Local,NYCDOHMH,DAY CARE,
00442f41ab127eaebd7d753b5ad3fb8f,40.76033718740334,-73.72311811022982,NYS Office of Mental Health,111.0,59-28,Regional,NYSOMH,OUTPATIENT MENTAL HEALTH,
010fa9cf0b64fa4a1d1f3b23822c5e05,40.67006506663667,-73.94637534888885,"The New York State Office of Parks, Recreation and Historic Preservation",77.0,,Local,NYSOPRHP,STATE HISTORIC PLACE,
00056520e4c5483e13933cda8c8a736d,40.606368145578486,-73.98975065732307,NYC Department of Health and Mental Hygiene,62.0,7802,Local,NYCDOHMH,CAMP - ALL AGE,
006be6f9363e66a53e7007a7a7401db0,40.88149708658749,-73.88073758986182,NYC Department for the Aging,52.0,3450,Local,NYCDFTA,SENIOR CENTER,
007c8d7beb10d164691571fc411fc883,40.72780036785285,-74.00848551044531,NYC Department of Consumer Affairs,1.0,551,Local,NYCDCA,COMMERCIAL GARAGE,
00e74f939c70ae6e9a4426dd7925896f,40.71415399999983,-73.957052,NYC Fire Department,90.0,332,Local,FDNY,AMBULANCE STATION,
000898872e62bfd79bb2e5fb4f6fbb38,40.58020912761524,-73.9436279171951,NYC Department of Education,61.0,131,Local,NYCDOE,ELEMENTARY SCHOOL - PUBLIC,333.0
01303fc90387ab7208ca6f680c960cee,40.5779796856332,-73.96110528784773,NYC Department of Education,60.0,613,Local,NYCDOE,LICENSED PRIVATE SCHOOLS,
00353e8867567ede634b120e2d6d19df,40.598694093385085,-74.12262247042854,NYC Department of Health and Mental Hygiene,122.0,1131,Local,NYCDOHMH,CAMP - ALL AGE,
00cb219455445f5311f3948ac58cdf22,40.601241609851726,-73.95264802731873,NYC Department of Education,61.0,1902,Local,NYCDOE,OTHER SCHOOL - NON-PUBLIC,
006823a2426bba3fb7faed62a1f98a86,40.81020759171252,-73.91844953665857,NYC Department of Youth and Community Development,40.0,345,Local,NYCDYCD,CITY COUNCIL AWARDS,
006e96fba058a92aa95a7d872724475f,40.67481728559359,-73.90400970965419,NYC Department of Education,73.0,1,Regional,NYCDOE,SCHOOL BUS DEPOT,230.0
00f7d8e918ae410780d78658e117b525,40.70420040982664,-74.00823807196346,NYC Department of Social Services,1.0,77,Regional,NYCDSS,CUSTOMIZED ASSISTANCE SERVICES (CAS),
010ae7b993fed6ed39b888998c3de660,40.84238277,-73.94184778,NYC Department of Education,33.0,,Local,NYCDOE,SUMMER ONLY FEEDING SITE,
0105fe5e69fbf6d0380d7e9cbeebeeea,40.69498977052185,-73.96309528486894,NYC Department of Consumer Affairs,88.0,81,Local,NYCDCA,TOW TRUCK COMPANY,
002d78d14b022647cfd6d0182f58cd32,40.633311,-73.91927099999998,NYC Department of Sanitation,63.0,,Regional,NYCDSNY,TEXTILES,
008a36989057d0000d9978c7d744c406,40.57194226344072,-73.99817310382245,NYC Department of Consumer Affairs,60.0,3030,Local,NYCDCA,COMMERCIAL PARKING LOT,
000a2f27e18e1ee6b1d8ba78872169f2,40.7388478234768,-73.98953347413394,NYC Department of Cultural Affairs,13.0,900,Regional,NYCDCLA,THEATER,
01135a7c1defbe1431b57d8ab85dfb63,40.695111178252766,-73.9465751353411,Non-public,79.0,120,Local,Non-public,FOOD PANTRY,
011e7dbcaf915b6903653d5935ceae4a,40.7125788338732,-73.99748281726886,NYC Department of Education,5.0,8,Local,NYCDOE,DOE UNIVERSAL PRE-K,
00d4a35172a8da6d650b730726311680,40.63383859950089,-73.98213801255069,NYC Department of Education,66.0,4315,Local,NYCDOE,EARLY EDUCATION PROGRAM,
00538d0b3d13d3a37e1bc23b03a9981c,40.77174906966008,-73.81558495016925,NYC Department of Health and Mental Hygiene,109.0,150-03,Local,NYCDOHMH,DAY CARE,
01205c482ad3b9308c33dcf9b994724b,40.587649171365136,-73.98147185530023,NYC Department of Education,60.0,50,Local,NYCDOE,GED-ALTERNATIVE HIGH SCHOOL EQUIVALENCY PREP PROGRAMS,
0111d9aea5243619f309691df6cb98a3,40.81646316693738,-73.84425860650795,NYC Department of Education,43.0,432,Regional,NYCDOE,SCHOOL BUS DEPOT,149.0
00b8cdfa0c2b1c49449aec003cbc79d4,40.68157164927473,-73.95660962606513,NYS Office of Mental Health,79.0,1125,Regional,NYSOMH,SUPPORT MENTAL HEALTH,
00b75208c086f3eb8a30fed17e170c81,40.72682299999983,-74.010239,NYC Department of Sanitation,1.0,500,Regional,NYCDSNY,COMBINED MAINTENANCE/STORAGE FACILITY,
00cabed09347b76129e2e555d34bf3ce,40.71377695551406,-73.99586264895393,NYS Department of Health,5.0,46,Regional,NYSDOH,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,
00389e4606b69e85d8b7e60ab02e89da,40.630400798195765,-73.96587678218336,NYC Department of Youth and Community Development,70.0,1117,Local,NYCDYCD,COMMUNITY SERVICES,
000105fd986377e37a8f95abfdbda92d,40.60771735,-73.98490472,NYC Department of Education,62.0,,Local,NYCDOE,CHARTER SCHOOL,
0054de4a64f00352cbcaf990308c344b,40.75660477567292,-73.87240597337805,NYC Department for the Aging,115.0,95-18,Local,NYCDFTA,SENIOR CENTER,
00dc434e92200acb4becfe45cfea9fc8,40.726063,-73.950631,Brooklyn Public Library,94.0,,Local,BPL,PUBLIC LIBRARY,
00ac8616dbf1507352af258236d23bc0,40.80848301354423,-73.95955190597915,NYC Department of Parks and Recreation,26.0,1195,Local,NYCDPR,GARDEN,
0054a17505c2e14e545baaab1e0b42e4,40.8271984483007,-73.89476615724124,NYC Department of Consumer Affairs,41.0,1140,Local,NYCDCA,COMMERCIAL GARAGE,
00098ca3934642d37267e38f73e5818a,40.76425213870432,-73.98716165289761,NYC Department of Consumer Affairs,18.0,356,Local,NYCDCA,COMMERCIAL PARKING LOT,
008ac24ce21b417a56da3c9b4eb3b1d9,40.77604718850569,-73.93220792009758,NYC Department of Education,114.0,,Regional,NYCDOE,SCHOOL BUS DEPOT,130.0
0061207d19a4e48ebb6070eee345ff67,40.73121354782663,-73.87095681130577,NYC Department of Youth and Community Development,112.0,60-05,Local,NYCDYCD,SCHOOL'S OUT NEW YORK CITY (SONYC),
01208941d24f3e35d44e3355e5b9bfdf,40.60008797162253,-73.75091539794025,NYC Department of Cultural Affairs,101.0,18-17,Regional,NYCDCLA,"MULTI-DISCIPLINE, NON-PERFORM",
0131fa3ef579280b0337c8ff9d03a581,40.71111252720593,-74.00480310140955,NYC Department of Education,1.0,1,Local,NYCDOE,SUMMER ONLY FEEDING SITE,
0125867d68ba2f8cabffd4565a663e93,40.82467301591337,-73.93544530342275,NYC Department of Parks and Recreation,32.0,2619,Local,NYCDPR,RECREATIONAL FIELD/COURTS,
001425fed2ed0005ffb556c8d448fd8c,40.59740277774988,-74.08649825536659,NYC Department of Health and Mental Hygiene,122.0,1305,Local,NYCDOHMH,SCHOOL BASED CHILD CARE - PRESCHOOL,
006b8603543da11106f7416600c67036,,,Non-public,,,Local,Non-public,SOUP KITCHEN,
00d964af353253ec6155190694707e0d,40.6450425324236,-74.07780174241582,NYC Department of Youth and Community Development,120.0,100,Local,NYCDYCD,COMMUNITY SERVICES,
000b602b4850d4acb4905b495308b051,40.61464370114194,-73.90491141120222,NYC Department of Education,63.0,2352,Regional,NYCDOE,SCHOOL BUS DEPOT,132.0
0123c81e00c235a44469b50e070668b1,40.88854412840696,-73.86698336641771,NYC Department of Education,47.0,3900,Regional,NYCDOE,SCHOOL BUS DEPOT,316.0
001c4ba76ffa6f279bc6aa53f2ca8c98,40.82099275208775,-73.95306919215923,NYC Mayor's Office of Criminal Justice,30.0,500,Local,NYCMOCJ,YOUTH RECREATIONAL SERVICES/YOUTH ATHLETIC LEAGUES,
00ada9e88f7cb054fd7536718f4b59c5,40.6650120702292,-73.7826952545091,NYC Department of Education,105.0,,Regional,NYCDOE,SCHOOL BUS DEPOT,21.0
0089a08ad0a375f7a1d95b4b57f48216,40.68402,-73.80705399999998,NYC Department of Sanitation,106.0,,Regional,NYCDSNY,TEXTILES,
0048902fd89602e9b39845ba33b3baaf,40.64503899999984,-74.077788,NYC Office of Court Administration,120.0,100,Regional,NYCOCA,COURTHOUSE,
002dbff28913a333eccec060f70b8b72,40.74086615440979,-73.98315487634662,NYC Department of Youth and Community Development,13.0,137,Local,NYCDYCD,COMMUNITY SERVICES,
00d7ce81b7c15b9f5cc364e78fa94032,40.60743973,-73.76488582999998,NYC Department of Education,101.0,,Local,NYCDOE,SUMMER ONLY FEEDING SITE,
008ad48bd3a0121c610a23f02e0d94fa,40.762587823164594,-73.82595738668537,NYC Department of Consumer Affairs,109.0,142-38,Local,NYCDCA,COMMERCIAL GARAGE AND PARKING LOT,
0076b9531d2a40446e15f3cef0f917fd,40.76220140481472,-73.98065289217159,"The New York State Office of Parks, Recreation and Historic Preservation",18.0,,Local,NYSOPRHP,STATE HISTORIC PLACE,
0025957e4f4ec22fea0ab2e456ef9a21,40.6490178874492,-73.95764672223994,NYC Department of Youth and Community Development,70.0,21,Local,NYCDYCD,"SYEP AND WORK, LEARN & GROW (WLG)",
0017eef2e888306cb01c2f7770ef4cca,40.70463766708132,-73.79619834964704,NYS Office of Mental Health,103.0,163-18,Regional,NYSOMH,SUPPORT MENTAL HEALTH,
00a3126e150a320961233378187e3f29,40.64675325162862,-73.88184451771568,NYC Department of Youth and Community Development,75.0,1400,Local,NYCDYCD,COMPASS ELEMENTARY,
00b00304949bef03e4fa9909a6e29933,40.74963782187125,-74.00144379382361,NYC Department of Youth and Community Development,10.0,441,Local,NYCDYCD,COMPASS ELEMENTARY,
0079ef4c55b2d8c2d1bd3b917710da1a,40.655617419550445,-73.89197712916048,NYC Department of Education,75.0,440,Regional,NYCDOE,SCHOOL BUS DEPOT,123.0
00c87828e920d89a51fa972299f78c17,40.6429379619628,-73.92010505008703,NYC Department of Education,67.0,1386,Regional,NYCDOE,SCHOOL BUS DEPOT,244.0
00c3424b2cb7b1c3d768c3db0ca7885e,40.6445200578611,-73.9103085795585,NYC Department of Consumer Affairs,69.0,995,Local,NYCDCA,TOW TRUCK COMPANY,
009c2e3c18c75e02ce5f486f26bdd4dc,40.76207930835859,-73.83337903662182,NYC Department of Education,109.0,36-06,Local,NYCDOE,EARLY EDUCATION PROGRAM,
0026ec3a85a7e20c6b6ac8f27b59338f,40.762194442707454,-73.96172833090942,NYS Office of Mental Health,19.0,329,Regional,NYSOMH,OUTPATIENT MENTAL HEALTH,
00606c8e6cc4840c03f6d22f9ca4ceb0,40.822574323378255,-73.89009061561329,NYC Department of Parks and Recreation,41.0,954,Local,NYCDPR,GARDEN,
00a786cdce02fe4e807eef429137a5b9,40.75395588973296,-73.98927582619238,NYC Department of Cultural Affairs,14.0,209,Regional,NYCDCLA,"MULTI-DISCIPL, PERF & NON-PERF",
006f709a11487279321587771a7071a0,40.79248580379444,-73.95187371587866,NYC Department of Youth and Community Development,23.0,1220,Local,NYCDYCD,CITY COUNCIL AWARDS,
01328370791d3aa5f21a3354748d4416,40.8363038935706,-73.89064604263953,NYC Department of Youth and Community Development,42.0,1619,Local,NYCDYCD,SCHOOL'S OUT NEW YORK CITY (SONYC),
00eaf452f583b3ece71d891002a9aaec,40.59624570456823,-74.13057073789373,NYC Department of Youth and Community Development,122.0,175,Local,NYCDYCD,ADULT LITERACY - ENGLISH FOR SPEAKERS OF OTHER LANGUAGES,
0033d7e6df76c103c20b0ac7113e3c34,40.759566804004045,-73.91237798588193,NYC Department of Youth and Community Development,114.0,45-11,Local,NYCDYCD,CITY COUNCIL AWARDS,
00e40b6a68db3fbc612b0b95a7d52c55,40.77243279214928,-73.95138381779053,NYC Department of Health and Mental Hygiene,19.0,416,Local,NYCDOHMH,CAMP - ALL AGE,
00da1ef71583b7c609387dec788fc1ca,40.71238299999983,-73.79204900000002,NYC Department of Environmental Protection,107.0,,Regional,NYCDEP,PUMPING STATION,
00d1edd46f06cca311154cf0fe277ad6,40.5777006007251,-73.96984094170169,NYC Department of Education,60.0,3000,Local,NYCDOE,"K-12 ALL GRADES SCHOOL - PUBLIC, SPECIAL EDUCATION",129.0
005f38661cf1d3d81800aff1719bd90a,40.789837299968,-73.9710148702464,NYC Department of Health and Mental Hygiene,24.0,114,Local,NYCDOHMH,DAY CARE,
0044ac909c174170318d999cae26aede,40.80078799999983,-73.941343,NYC Police Department,25.0,110,Local,NYPD,OUTDOOR PARKING,
001cff28e6888be61db7b0f789b4f831,40.6650120702292,-73.7826952545091,NYC Department of Education,105.0,,Regional,NYCDOE,SCHOOL BUS DEPOT,377.0
00ed14e4ac94a818b1477edbdcead6dc,40.78368388247269,-73.958199360684,NYC Department of Health and Mental Hygiene,19.0,4,Local,NYCDOHMH,DAY CARE,
000ff3bb08f400c998fee0bad9b600cf,40.75398547824744,-73.9912285927091,NYC Department of Cultural Affairs,14.0,247,Regional,NYCDCLA,LITERATURE,
000dbf675f6b389e6d83b001d43391e0,40.717053303247965,-73.98573519662277,NYC Department of Education,7.0,164,Local,NYCDOE,EARLY EDUCATION PROGRAM,
0046d4d36ee8fa16aadbde802c291367,40.67860280451016,-74.01426922833002,NYC Department of Education,76.0,146,Regional,NYCDOE,SCHOOL BUS DEPOT,42.0
003d88803dd0803d6544b786183e43c0,40.659064232881946,-73.87430580254659,NYC Department of Education,75.0,1032,Regional,NYCDOE,SCHOOL BUS DEPOT,118.0
005d04e4ba93d2a8d51e4a120efd60ef,40.55970442257527,-74.19732122870597,NYC Department of Youth and Community Development,123.0,1757,Local,NYCDYCD,CITY COUNCIL AWARDS,
011b815156c2a0d128ad2fad47072680,40.82624046975258,-73.84057063123157,NYC Department of Education,45.0,905,Regional,NYCDOE,SCHOOL BUS DEPOT,142.0
00fc1f35c4ebdb1ebb5479d2adeae3cd,40.59362390849905,-73.78486890210094,NYC Housing Authority,101.0,339,Local,NYCHA,NYCHA COMMUNITY CENTER,
0102b1a75dbbc3352734f3954f7eb395,40.78254499999984,-73.899855,NYC Department of Transportation,,,Regional,NYCDOT,TRANSPORTATION FACILITY,
00298471feb9c7448d798e151108c365,40.78297714709943,-73.94677120480051,NYC Department of Health and Mental Hygiene,19.0,312,Local,NYCDOHMH,CAMP - ALL AGE,
000186821f899fef28e05c9ca2182621,40.816860817571865,-73.91970988988234,NYS Department of Health,40.0,349,Regional,NYSDOH,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,
0052ddb7b36320d5b081389d1e4feb0c,40.671841046107424,-73.90191880429948,NYC Department of Education,75.0,148,Regional,NYCDOE,SCHOOL BUS DEPOT,54.0
0082cd7068bba4504c416117dfb485a6,40.6736404922022,-73.89747841563204,NYC Department of Education,75.0,154,Regional,NYCDOE,SCHOOL BUS DEPOT,617.0
00ecba623db355a509d8ea8d8c377a0a,40.82053220359252,-73.9410812563691,NYC Department for the Aging,32.0,220,Local,NYCDFTA,SENIOR CENTER,
00f806e838d3e093a6f456eda83e295f,40.69539695630662,-73.95999260909923,NYC Department of Youth and Community Development,79.0,850,Local,NYCDYCD,SCHOOL'S OUT NEW YORK CITY (SONYC),
0106a743dfc15213075f83b31c81f0d5,40.7437501011937,-73.90235053842385,NYS Office of Mental Health,108.0,40-23,Regional,NYSOMH,SUPPORT MENTAL HEALTH,
004ee1196ffa52a7cf0b48a76b21b771,40.7570013727601,-73.96655570268956,NYC Department of Consumer Affairs,17.0,300,Local,NYCDCA,COMMERCIAL GARAGE,
006ffe8127ba1708621d2c7df4091509,40.67587499999984,-73.984566,Metropolitan Transportation Authority,78.0,276,Regional,MTA,TRANSIT FACILITY,
00f97f22b60f070797efa6de171237a0,40.89060216258924,-73.83964261763086,NYC Department of Education,47.0,2074,Local,NYCDOE,EARLY EDUCATION PROGRAM,
00861a468a355ea533f80a81907f6cc1,40.75726554768329,-73.86135715423423,NYC Department of Cultural Affairs,115.0,33-16,Regional,NYCDCLA,MUSIC,
00d769ef2890a70c8c08915b1aff726d,40.771192732094136,-73.9667292932357,NYC Department of Cultural Affairs,19.0,1,Regional,NYCDCLA,MUSEUM,
00e9b8ed2f5d2833f1deb8ef488a01e8,40.68453352398503,-73.79227559539461,NYC Department of Health and Mental Hygiene,113.0,115-15,Regional,NYCDOHMH,SPECIAL DEMO - CITY COUNCIL-OMH,
0002d3b5bb64af5fbc4d28e67dd33e1a,40.73531921715215,-73.98708506666091,NYC Department of Education,13.0,40,Local,NYCDOE,FEEDING SITE,
011193df7bbd3ed4e7bfe86b436d09be,40.66236276424017,-73.8702265369608,NYC Department of Education,75.0,612,Regional,NYCDOE,SCHOOL BUS DEPOT,461.0
011989ca6fa38fed5371aef71b04c85a,40.581986748524606,-73.96229206682882,NYC Department of Education,60.0,2848,Local,NYCDOE,EARLY EDUCATION PROGRAM,
0060b1812f46f30ec577b7412bfa51d0,40.75571441738241,-73.8859889083569,NYC Department of Health and Mental Hygiene,115.0,81-07,Local,NYCDOHMH,DAY CARE,
00ed95c21806579dd10f4f196b684df6,40.71048190051992,-73.7296129617735,NYC Department of Parks and Recreation,105.0,,Local,NYCDPR,TRIANGLE/PLAZA,
0134b6cd48ed49464de48a029ffd1120,40.75804492931007,-73.8187933686705,NYC Department of Youth and Community Development,109.0,42-07,Local,NYCDYCD,EDUCATIONAL SERVICES,
008106d831de6ecfc43503f7bdcbc156,40.69601727337078,-73.98055736792757,NYC Department of Parks and Recreation,88.0,,Local,NYCDPR,TRIANGLE/PLAZA,
00bbdbcf69ea91d34e4b42388350b7f8,40.71783634564479,-74.007612514166,NYC Department of Consumer Affairs,1.0,15,Local,NYCDCA,COMMERCIAL PARKING LOT,
