facname,nta2010,ct2020,address,council
CAMBA INC,BK95,79400.0,21 SNYDER AVENUE,40.0
"GRANDPA`S BUS CO., INC.",BX09,9000.0,432 ZEREGA AVENUE,18.0
ASSISTED COMPETITIVE EMPLOYMENT - ACE,BK69,22700.0,1125 FULTON STREET,35.0
ST SAVIOUR CATHOLIC ACADEMY,BK37,16700.0,701 8 AVENUE,39.0
ARBOR PLACE,BK38,1501.0,,35.0
UNITED STATES POST OFFICE-PARKVILLE STATION,BK28,25600.0,,47.0
34 NORTH 7TH PARKING CORP.,BK73,55500.0,27 NORTH 6 STREET,33.0
CENTER FOR JEWISH HISTORY,MN13,5400.0,15 WEST 16 STREET,3.0
SURF PARKING LLC,BK21,34000.0,3030 WEST 32 STREET,47.0
COMMUNITY ACCESS INC,MN21,4800.0,315 2 AVENUE,2.0
SCO FAMILY OF SERVICES,QN61,44601.0,89-31 161 STREET,24.0
ALL AMERICAN SCHOOL BUS CORP.,QN71,9100.0,,22.0
"FLUSHING DAY CARE CENTER, INC.",QN22,86900.0,36-06 PRINCE STREET,20.0
STATEN ISLAND CHILDREN'S MUSEUM,SI22,700.0,100 RICHMOND TERRACE,49.0
THE CHILD CENTER OF NY INC,QN76,27200.0,115-15 SUTPHIN BOULEVARD,28.0
CHILD DEVELOPMENT CENTER OF THE MOSHOLU-MONTEFIORE COMMMUNIT,BX43,42100.0,3450 DEKALB AVENUE,11.0
STEVE & KATE'S CAMP - UPPER EAST SIDE,MN32,15601.0,312 EAST 95 STREET,5.0
L & M BUS CORP (A),BK82,110400.0,440 STANLEY AVENUE,42.0
SNT BUS INC,BK81,90800.0,1 JUNIUS STREET,37.0
AD PARKING INC.,BX35,12500.0,1140 TIFFANY STREET,17.0
EASTERN PARKWAY,BK61,33701.0,,35.0
249 PARKING CORP.,MN13,9901.0,249 10 AVENUE,3.0
"BLACK MOON THEATRE COMPANY, INC.",,,104 GREENPOINT AVENUE,
HUDSON RIVER PARKS BIG CITY FISHING,MN15,12101.0,353 WEST 44 STREET,3.0
"RELIANT TRANSPORTATION, INC (B2321)",BK76,58902.0,297 NORMAN AVENUE,33.0
ARMORY COLLEGE PREP PROGRAM,MN36,25100.0,2016 FORT WASHINGTON AVE,10.0
PIONEER TRANSPORTATION CORP,SI11,22602.0,2890 ARTHUR KILL ROAD,51.0
ACTORS COMPANY THEATRE,MN13,5200.0,900 BROADWAY,2.0
JOFAZ TRANSPORTATION INC.,BK45,69800.0,6093 STRICKLAND AVENUE,46.0
PAKISTANI AMERICAN SKILLED WOMEN ORGANIZATION,BK42,52800.0,1117 CONEY ISLAND AVENUE,45.0
JEWISH COMMUNITY CENTER OF STATEN ISLAND INC,SI24,18100.0,175 FRIENDSHIP LANE,50.0
8775 BAY PKWY TEXTILE DROP-OFF SITE,BK28,29400.0,"8775 BAY PKWY, BROOKLYN, NY, USA",47.0
P.S. 096,QN55,18000.0,130-01 ROCKAWAY BOULEVARD,28.0
JOBNET,QN61,44601.0,163-18 JAMAICA AVENUE,27.0
HEMPSTEAD BENCH SPREAD,QN34,58000.0,,27.0
POLICE ATHLETIC LEAGUE INC,MN03,24302.0,3005 FREDERICK DOUGLASS BOULEVARD,9.0
NEW YORK EDGE INC,BX75,15500.0,1619 BOSTON ROAD,17.0
SOUTHEAST BRONX NEIGHBORHOOD CENTERS INC,BX35,13300.0,751 EAST 161 STREET,16.0
WASHINGTON IRVING YABC,MN21,5000.0,40 IRVING PLACE,2.0
UCP OF NYC - HARRY H GORDON SCHOOL,BX06,38700.0,2465 BATHGATE AVENUE,15.0
I.S. 075 FRANK D. PAULO,SI48,17014.0,455 HUGUENOT AVENUE,51.0
KAREN HORNEY CLINIC,MN31,11000.0,329 EAST 62 STREET,5.0
ELMCOR YOUTH & ADULT ACTIVITIES INC,QN26,37502.0,95-18 NORTHERN BOULEVARD,21.0
LOGAN TRANSPORTATION SYSTEMS,BX09,9000.0,432 ZEREGA AVENUE,18.0
P.S./I.S. 157 THE BENJAMIN HEALTH & SCIENCE ACADEMY,BK75,123700.0,850 KENT AVENUE,33.0
EVERYONE READING INC,MN33,16800.0,1220 FIFTH AVENUE,8.0
THE CORNER SCHOOL,QN51,104700.0,150-03 BAYSIDE AVENUE,19.0
BRIGHT HORIZONS CHILDREN'S CENTERS  LLC,MN25,900.0,125 BROAD STREET,1.0
GREENPOINT LIBRARY,BK76,57300.0,,33.0
NW AMSTERDAM AVE & W 65 ST FOOD DROP-OFF SITE,MN14,15101.0,,6.0
MARKS JCH OF BENSONHURST DAY CAMP,BK28,27000.0,7802 BAY PARKWAY,44.0
