xcoord,facname,schooldist,streetname
987829.1662153568,WASHINGTON IRVING YABC,2.0,IRVING PLACE
961039.160082576,UNITED STATES WALLBALL ASSOCIATION INC,31.0,TARGEE STREET
1044536.0000000153,LITTLE RICHIE BUS SERVICE,29.0,
997715.688443958,THE CAEDMON SCHOOL DISCOVERY CAMP,2.0,EAST 80 STREET
1012688.5030323308,"BORO TRANSIT, INC.",19.0,SHEFFIELD AVENUE
929421.51474736,STATEN ISLAND YOUTH SOCCER LEAGUE INC,31.0,ARTHUR KILL ROAD
1027358.6400246468,"GRANDPA`S BUS CO., INC.",8.0,ZEREGA AVENUE
1015836.6617041948,SEMILLITAS CORP.,30.0,NORTHERN BOULEVARD
994724.194828552,TINY BUMBLEBEES INC.,21.0,BRIGHTON SEVENTH STREET
995344.04801484,P.S./I.S. 157 THE BENJAMIN HEALTH & SCIENCE ACADEMY,14.0,KENT AVENUE
1059211.2350319107,HEMPSTEAD BENCH SPREAD,29.0,
1041861.3032292594,THE CHILD CENTER OF NY INC,27.0,SUTPHIN BOULEVARD
983849.9617269824,THE HUDSON GUILD,2.0,WEST 26 STREET
1006415.636864124,"GREEK CULTURAL CENTER, INC.",30.0,HOYT AVENUE SOUTH
1006467.492185336,WOMENS HOUSING & ECONOMIC DEVELOPMENT CORP,9.0,GERARD AVENUE
1020253.9946300077,QUALITY TRANSPORTATION CORP.,19.0,WORTMAN AVENUE
1012717.6184780434,KINGSBRIDGE HEIGHTS COMMUNITY CENTER INC,10.0,RESERVOIR AVENUE
999612.8442640704,92ND REALTY LLC,2.0,EAST 92 STREET
1037763.0071319815,111-06 VAN WYCK EXPY TEXTILE DROP-OFF SITE,27.0,
960228.786001526,ACADEMY OF ST. DOROTHY SCHOOL,31.0,HYLAN BOULEVARD
982246.6054038912,100 ML GARAGE CORP.,2.0,MAIDEN LANE
947988.9063681808,JEWISH COMMUNITY CENTER OF STATEN ISLAND INC,31.0,FRIENDSHIP LANE
984997.0249173002,8775 BAY PKWY TEXTILE DROP-OFF SITE,20.0,
981641.0000000026,Y & M TRANSIT CORP (B2192),15.0,
1040756.3082755442,JOBNET,28.0,JAMAICA AVENUE
1002091.6504364818,"LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK, INC.",5.0,PARK AVENUE
,MASBIA OF BORO PARK,,
1019599.3255672536,ELMCOR YOUTH & ADULT ACTIVITIES INC,30.0,NORTHERN BOULEVARD
989609.5768218782,CENTRAL IND SUBSTATION,2.0,
981334.0794644968,BRIGHT HORIZONS CHILDREN'S CENTERS  LLC,2.0,BROAD STREET
993465.4773560124,FRICK COLLECTION,2.0,EAST 70 STREET
999908.9826527257,P.S. 195 MANHATTAN BEACH,22.0,IRWIN STREET
986725.1878440032,HUDSON RIVER PARKS BIG CITY FISHING,2.0,WEST 44 STREET
980292.1466979984,PHILLIP BUS CORP (B2192),15.0,WOLCOTT STREET
984947.8348193892,P.S. 001 ALFRED E. SMITH,2.0,HENRY STREET
1022892.4913558952,BRONXDALE HIGH SCHOOL (11X508),11.0,ASTOR AVENUE
1019123.9795321932,LEESEL TRANSPORTATION CORP (B2192),19.0,ESSEX STREET
1060954.4277623931,COMMUNITY ADVISORY PROGRAM FOR THE ELDERLY,26.0,LITTLE NECK PARKWAY
992627.8691198924,P.S. 370,21.0,WEST 1 STREET
990320.855617,ST SAVIOUR CATHOLIC ACADEMY,15.0,8 AVENUE
1010649.994606339,"NEW DAWN TRANSIT, LLC (B2321)",22.0,EAST 69 STREET
997933.7248657309,GREENPOINT LIBRARY,14.0,
1011126.1981939024,IS 93,24.0,FOREST AVENUE
989207.7017852016,YESHIVAT BETH HILLEL OF KRASNA INC.,20.0,16 AVENUE
993262.7672332115,CHABAD LUBAVITH OF WEST BRIGHTON MAN,21.0,OCEAN PARKWAY
993721.5915649284,PAKISTANI AMERICAN SKILLED WOMEN ORGANIZATION,22.0,CONEY ISLAND AVENUE
1007921.1783589958,SALVATION ARMY ASTORIA CORPS,30.0,BROADWAY
1022659.9655156448,"ELMCOR YOUTH & ADULT ACTIVITIES, INC.",24.0,108 STREET
987150.4758294576,ACTORS COMPANY THEATRE,2.0,BROADWAY
998386.928663544,EDUCATIONAL DATA SYSTEMS INC,5.0,WEST 125 STREET
962840.2544636532,NEW YORK CENTER FOR INTERPERSONAL DEVELOPMENT INC,31.0,STUYVESANT PLACE
1006473.8804627887,PLANNED PARENTHOOD BRONX HEALTH CENTER,7.0,EAST 149 STREET
998422.1969804312,511 EAST 80TH STREET PARKING CORP.,2.0,EAST 80 STREET
1011378.01831045,THE NEW JEWISH HOME UNIVERSITY AVENUE ASSISTED LIVING,10.0,UNIVERSITY AVENUE
1004963.0648022998,EAST SIDE HOUSE INC,6.0,ACADEMY STREET
995825.9664914752,INTERNATIONAL ACADEMY OF NEW YORK,2.0,EAST 90 STREET
985967.4039420591,CENTER FOR JEWISH HISTORY,2.0,WEST 16 STREET
1028451.6600712938,"JAEWOONG LEE, INC",25.0,COLLEGE POINT BOULEVARD
1041900.0612377962,WELL STATION #19,29.0,HIGHLAND AVENUE
1006824.9961909294,MUSLIM COMMUNITY NETWORK,7.0,BROOK AVENUE
1032463.3426216393,FF PARKING CORP,25.0,37 AVENUE
983270.640216748,PS 105 THE BLYTHEBOURNE,20.0,59 STREET
1011308.5492930484,HEALTH HOME NON MEDICAID CARE MANAGEMENT C&Y,30.0,62 STREET
996284.6440181966,ASSISTED COMPETITIVE EMPLOYMENT - ACE,13.0,FULTON STREET
988428.0128398396,NW AMSTERDAM AVE & W 65 ST FOOD DROP-OFF SITE,3.0,
1028586.8790948258,WAKE-EDEN CHRISTIAN ACADEMY - XAKJ,11.0,STRANG AVENUE
997399.2432855004,ST EDMUND ELEMENTARY SCHOOL,22.0,AVENUE T
1030407.7496268912,"FLUSHING DAY CARE CENTER, INC.",25.0,PRINCE STREET
1022181.3196151884,LIBERTY AVE PLAZA,27.0,
995054.496572647,"INTERNATIONAL DEVELOPMENT INSTITUTE,",21.0,BRIGHTON BEACH AVENUE
1053419.797649864,INFOPOWER INTERNATIONAL INC.,27.0,GATEWAY BOULEVARD
1011032.6029902868,BRONXCARE CHEMICAL DEPENDENCE OP,9.0,FULTON AVENUE
1017038.40675336,ITALIAN AMERICAN CIVIL RIGHTS LEAGUE CANARSIE INC,19.0,PENNSYLVANIA AVENUE
995566.4741050154,SP PLUS CORPORATION,14.0,BLUE SLIP
989142.0504307376,SHERMAN SQUARE,3.0,
986680.1735889995,"GIRLS WRITE NOW, INC.",2.0,WEST 37 STREET
,"BLACK MOON THEATRE COMPANY, INC.",,
987806.3966416091,CHAMPION PARKING 52 LLC,2.0,WEST 52 STREET
1014669.724318374,HOE GARDEN,8.0,HOE AVENUE
993515.5333141236,"CONNAUGHT CAR PARK, LLC",2.0,EAST 54 STREET
988071.6110025002,CHINATOWN YMCA BEACON SATELLITE @ TWO BRIDGES,1.0,SOUTH STREET
987095.9375813293,MARKS JCH OF BENSONHURST DAY CAMP,20.0,BAY PARKWAY
999841.3153004878,NORTH BROOKLYN COMPOST FOOD DROP-OFF SITE,14.0,
1016753.182032828,BRONX ACADEMY FOR SOFTWARE ENGINEERING (BASE),10.0,CROTONA AVENUE
1014930.5609873608,UCP OF NYC - HARRY H GORDON SCHOOL,10.0,BATHGATE AVENUE
1015733.6590531945,HOYT TRANSPORTATION CORP.,8.0,RANDALL AVENUE
1006656.9924400264,1804 RALPH AVE TEXTILE DROP-OFF SITE,22.0,
951492.5385081436,OUR LADY QUEEN OF PEACE SCHOOL,31.0,STEELE AVENUE
992662.6399965428,GRAND ARMY PLAZA GREENMARKET FOOD DROP-OFF SITE,17.0,
983060.557727532,ART RESOURCES TRANSFER,2.0,WEST 26 STREET
1003025.999999996,ALL AMERICAN SCHOOL BUS CORP.,30.0,
992276.1903678832,GODDARD RIVERSIDE COMMUNITY CENTER,3.0,WEST 91 STREET
986977.6081117952,"DANISAR PRODUCTIONS, INC.",2.0,UNION SQUARE SOUTH
1027358.6400246468,LOGAN TRANSPORTATION SYSTEMS,8.0,ZEREGA AVENUE
1001595.4122024932,SINERGIA INCORPORATED,5.0,LEXINGTON AVENUE
984757.5363021822,SURF PARKING LLC,21.0,WEST 32 STREET
990419.5991879264,CONEY ISLAND,21.0,
984760.2372499508,HEBREW ACADEMY FOR SPEC CHLDRN,20.0,14 AVENUE
982918.4140584188,P226M AT PACE UNIVERSITY,2.0,PACE PLAZA
1000557.4999094952,SERVICES AND ADVOCACY FOR GAYLESBIANBISEXUAL AND TRANSGEND,5.0,WEST 143 STREET
950197.4848101852,NEW COUNTRY DAY CAMP,31.0,MANOR ROAD
980791.958697136,A SCHOOL WITHOUT WALLS,2.0,TRINITY PLACE
985708.5253919448,CAMPUS EDUCATION,2.0,8 AVENUE
962659.2877271558,STATEN ISLAND CHILDREN'S MUSEUM,31.0,RICHMOND TERRACE
1008524.1923811452,FRIENDS OF VETERANS NEW YORK INC,30.0,31 AVENUE
996156.128228956,EMS STATION 35,14.0,METROPOLITAN AVENUE
1049533.0851330748,MACHANEH YISROEL,27.0,
1043996.8495352728,OCEAN BAY APARTMENTS (OCEANSIDE),27.0,BEACH 54 STREET
997480.7635239752,SP PLUS CORPORATION,4.0,EAST 103 STREET
988204.3447087988,CPC LITTLE STAR OF BROOME STREET EARLY CHILDHOOD CENTER,1.0,BROOME STREET
996002.73211175,CAMBA INC,17.0,SNYDER AVENUE
1002116.3040339464,FREDERICK JOHNSON PLAYGROUND,5.0,ADAM C POWELL BOULEVARD
994483.7386916413,DOWNTOWN AUTOMOTIVE INC.,14.0,STEUBEN STREET
994852.0997554013,KAREN HORNEY CLINIC,2.0,EAST 62 STREET
932985.778062164,CARLTON PARK,31.0,
1024908.3418624438,EQUITY PLAYGROUND,27.0,
962202.9341320914,CSD 31 DISTRICT OFF (OLD PS16),31.0,DANIEL LOW TERRACE
988441.4255091946,SUCCESS ACADEMY CS - BENSONHURST,21.0,
986831.209853183,ST VINCENT'S SERVICES INC,15.0,BOERUM PLACE
1010664.6682192888,SOUTHEAST BRONX NEIGHBORHOOD CENTERS INC,8.0,EAST 161 STREET
1039932.633530878,SCO FAMILY OF SERVICES,28.0,161 STREET
1027641.1115354452,PIONEER TRANSPORTATION CORP,8.0,ZEREGA AVENUE
995052.0009891852,PARK,13.0,PUTNAM AVENUE
988917.9666580376,"GLOBAL KIDS, INC",2.0,EAST 25 STREET
1020014.4366123896,JEWISH INSTITUTE OF QUEENS,28.0,WOODHAVEN BOULEVARD
986403.539478976,CFTSS: OTHER LICENSED PRACTITIONER,2.0,
1033722.8474744904,EAST-WEST SCHOOL OF INTERNATIONAL STUDIES,25.0,COLDEN STREET
981412.0638828828,MANHATTAN 1/2/5 GARAGES,2.0,WASHINGTON STREET
1044536.0000000153,"GRANDPA`S BUS CO., INC.",29.0,
1003993.6635438683,JTE SERVICE STATION INC.,6.0,DYCKMAN STREET
1035329.6874881114,THE CORNER SCHOOL,25.0,BAYSIDE AVENUE
987221.201158648,"FASHION CENTER DISTRICT MANAGEMENT ASSOCIATION, INC.",2.0,WEST 38 STREET
1002620.1232632812,MORGAN AVENUE STATION,14.0,BOGART STREET
997575.9827608689,EVERYONE READING INC,4.0,FIFTH AVENUE
979943.1106067896,"WEST STREET, BUILDING AT 21",2.0,
1019199.2623675796,MAN UP INC,19.0,ELTON STREET
929441.8976105892,I.S. 075 FRANK D. PAULO,31.0,HUGUENOT AVENUE
1028294.498318794,LITTLE RICHIE BUS SERVICE,11.0,STILLWELL AVENUE
962663.10023242,RICHMOND FAMILY COURT,31.0,RICHMOND TERRACE
1008019.3209515782,JOFAZ TRANSPORTATION INC.,22.0,STRICKLAND AVENUE
999125.7631845688,EASTERN PARKWAY,17.0,
1000340.056960262,ARMORY COLLEGE PREP PROGRAM,6.0,
1001717.5575455758,POLICE ATHLETIC LEAGUE INC,5.0,FREDERICK DOUGLASS BOULEVARD
1044536.0000000153,LOGAN BUS COMPANY INC.,29.0,
1037471.2317353355,P.S. 096,27.0,ROCKAWAY BOULEVARD
957105.7001770051,I.S. 61 WILLIAM A MORRIS,31.0,CASTLETON AVENUE
1003854.3801244064,EBC HIGH SCHOOL FOR PUBLIC SERVICE - BUSHWICK,32.0,DEKALB AVENUE
1017229.1404535116,CHILD DEVELOPMENT CENTER OF THE MOSHOLU-MONTEFIORE COMMMUNIT,10.0,DEKALB AVENUE
995447.2304103882,OLD CROTON AQUEDUCT GATEHOUSE,3.0,AMSTERDAM AVENUE
1019617.4335938625,CYPRESS HILLS-FULTON STREET SENIOR CITIZENS CENTER INC,19.0,FOUNTAIN AVENUE
1010876.3157189856,SNT BUS INC,19.0,JUNIUS STREET
1013373.6469365344,AD PARKING INC.,12.0,TIFFANY STREET
985396.9710508172,LOWER EASTSIDE SERVICE CENTER INC,2.0,EAST BROADWAY
981965.8845094388,METROPOLITAN NEW YORK COORDINATING COUNCIL ON JEWISH POVERTY,2.0,WATER STREET
988505.5531719542,MP WEST 52 LLC,2.0,8 AVENUE
