fy2014,fy_2004,fy_2007,fy_2008,fy_1996,fy_2001,fy_1984
- 0,- 0,- 0,- 0,- 0,- 0,"246,150"
,,,,,,
"852,920,152","492,888,592","577,201,314","620,730,375","347,715,381","392,936,213","192,348,998"
"6,773,943","3,340,727","3,876,828","4,348,879","1,584,171","2,767,269",- 0
,,,,,,
- 0,- 0,- 0,- 0,- 0,- 0,- 0
"46,756,679","10,854,791","2,698,812","2,148,378","876,487","3,417,447",- 0
"18,616,802","17,366,818","25,203,069","19,210,197","9,996,539","25,596,721","4,223,667"
"(1,377,641,278)","(80,160,594)","(123,806,663)","(105,656,676)","(48,327,103)","(63,159,078)","(3,920,730)"
"58,426,249","30,936,794","39,130,596","34,859,461","14,611,069","23,348,283","8,653,395"
"945,202","928,621","1,411,356","2,704,742","824,934","2,148,474","981,561"
- 0,- 0,- 0,- 0,- 0,- 0,- 0
"645,566,887","358,581,564","422,688,607","456,451,493","251,950,840","295,187,221","146,476,557"
- 0,- 0,- 0,- 0,- 0,- 0,
,,,,,,
"757,905","1,081,476","1,619,279","1,555,275","2,067,729","1,907,427","571,219"
"1,665,351,700","1,084,823,420","1,304,788,525","1,364,649,141","769,592,105","989,422,472","472,393,726"
"4,129,586","3,764,359","4,265,148","4,712,129","4,852,485","4,985,570","2,131,973"
,,,,,,
,,,,,,
- 0,- 0,- 0,- 0,"4,060,585",- 0,"1,706,354"
,,,,,,
"(2,627,052)","(2,121,753)","(7,110,427)","(8,491,251)","(797,082)",- 0,- 0
"(1,906,903)","(360,941)","(123,914)","(3,852,796)","(259,726)","(18,574)","(1,101)"
"3,348,355","3,023,980","3,188,754","3,326,428","3,229,012","3,628,187","1,704,654"
- 0,- 0,- 0,- 0,- 0,- 0,- 0
- 0,- 0,- 0,- 0,"1,621,899",- 0,"697,298"
"246,289,764","186,089,028","200,004,169","214,840,018","105,932,144","106,365,143","46,355,502"
"33,888,954","7,558,411","14,891,176","17,746,633",- 0,- 0,- 0
"18,672,172,505","13,061,366,373","15,748,016,177","16,855,124,653","7,835,001,649","11,545,119,411","3,633,515,990"
"1,875,259,377","1,180,100,586","1,436,066,839","1,509,296,709","807,904,300","1,071,887,099","493,298,271"
- 0,"(32,270)",- 0,- 0,- 0,- 0,- 0
- 0,- 0,- 0,- 0,- 0,- 0,- 0
,,,,,,
"229,147","89,685","203,031","85,129","52,129","113,319","134,860"
,,,,,,
- 0,- 0,- 0,- 0,- 0,- 0,
"1,271,134","1,088,957","1,780,752","2,855,492","1,469,837","2,055,027","717,096"
- 0,- 0,- 0,- 0,- 0,- 0,"615,625"
"73,713,601","53,107,606","65,151,382","68,453,093","51,469,945","54,304,689","37,430,437"
,,,,,,
(178),- 0,- 0,(217),(722),- 0,"(2,477)"
,,,,,,
"154,421,787","105,873,102","122,781,701","118,352,545","65,271,807","94,577,167","33,579,315"
- 0,- 0,- 0,- 0,- 0,- 0,- 0
- 0,- 0,- 0,- 0,"6,199,709",- 0,"5,026,847"
- 0,- 0,- 0,- 0,- 0,- 0,"2,144,515"
"65,687,240","64,394,941","89,906,224","72,534,585","69,965,828","103,351,849","23,795,386"
- 0,- 0,- 0,(75),(650),- 0,- 0
"(160,662)",- 0,- 0,- 0,- 0,- 0,- 0
- 0,- 0,- 0,- 0,- 0,- 0,"1,950,119"
- 0,- 0,- 0,- 0,- 0,- 0,- 0
"(113,293)","(24,956)","(350,113)","(544,311)","(75,258)","(167,989)","(144,857)"
"89,852,401","91,647,288","123,743,306","99,911,665","100,119,197","146,176,102","35,857,588"
,,,,,,
"(88,197)","(899,762)","(829,934)","(124,441)","(3,359,992)","(1,871,189)","(129,594)"
"65,315,191","68,381,348","91,208,725","74,843,097","72,917,165","107,650,818","23,546,796"
"3,179,691","2,794,083","3,214,215","3,404,520","1,525,374","2,226,865",- 0
- 0,- 0,- 0,- 0,(40),- 0,(5)
- 0,- 0,- 0,- 0,- 0,- 0,- 0
"(1,285,530)",- 0,- 0,"(100,000)",- 0,- 0,- 0
"(464,180)","(2,759,033)","(204,144)","(1,165,813)","(63,281)","(127,829)","(483,061)"
,,,,,,
"4,976,644","4,816,566","5,528,390","6,650,190","5,578,526","6,682,377","3,315,520"
,,,,,,
- 0,- 0,- 0,- 0,"2,573,715",- 0,"1,194,237"
"25,099,316","16,771,424","17,912,374","18,818,866","17,231,066","20,776,458","3,469,283"
"4,065,620","3,717,104","4,690,375","5,819,479","4,919,871","5,229,670","2,328,950"
"11,202,272","10,075,945","10,716,584","11,073,478","4,930,518","9,182,115",- 0
- 0,- 0,- 0,- 0,"27,644,874",- 0,"18,990,490"
"(985,788)","(2,522,146)","(1,675,981)","(1,750,454)","(1,124,946)","(1,513,206)","(44,921)"
- 0,- 0,- 0,- 0,- 0,- 0,- 0
"(1,578,670)","(1,477,498)","(1,360,490)","(3,493,186)","(2,554,403)","(1,233,311)","(3,061)"
- 0,- 0,- 0,- 0,- 0,- 0,- 0
"(3,886,951)","(2,811,841)","(3,948,499)","(4,632,496)","(1,314,094)","(2,237,754)",- 0
- 0,- 0,- 0,- 0,- 0,- 0,"1,054,976"
"88,954,608","91,647,288","123,743,306","99,811,665","100,119,197","146,176,102","35,857,588"
- 0,(349),"(9,312)","(3,116)","(202,611)","(2,888)","(11,877)"
- 0,- 0,- 0,- 0,- 0,- 0,- 0
"57,409,729","15,987,658","21,977,661","24,714,455","9,958,645","14,069,096","6,927,144"
"104,280,797","77,666,513","86,848,274","90,448,907","52,559,811","73,400,602","25,721,021"
- 0,(595),(80),- 0,- 0,- 0,(6)
- 0,- 0,- 0,- 0,- 0,- 0,
- 0,- 0,- 0,- 0,- 0,- 0,- 0
"4,143,107","3,997,090","4,739,969","5,370,427","4,579,206","5,473,391","2,168,771"
"(6,378,356)","(2,369,264)","(3,073,255)","(3,103,027)","(1,639,347)","(2,153,144)","(794,000)"
"(897,793)",- 0,- 0,"(100,000)",- 0,- 0,- 0
"12,979,995","4,465,854","5,803,900","6,084,716","4,374,138","4,399,773","1,104,222"
,,,,,,
"463,608,676","245,759,129","311,917,263","344,571,726","119,402,512","214,191,835","53,971,755"
"116,081,409","68,007,382","71,748,047","80,674,221","32,994,460","44,160,854","18,108,624"
- 0,- 0,- 0,- 0,- 0,- 0,- 0
,,,,,,
"18,171,774","17,360,519","19,816,659","21,032,842","14,484,644","16,618,151","11,209,148"
"4,143,554","3,910,555","4,661,097","5,383,599","4,214,400","4,712,777","2,258,630"
"(11,753,294)","(5,521,861)","(18,101,187)","(4,096,201)","(845,528)","(3,292,174)","(507,052)"
"58,753,237","52,071,367","49,770,386","55,961,752","23,144,079","30,091,758","11,216,874"
- 0,- 0,- 0,- 0,- 0,- 0,- 0
,,,,,,
- 0,"(65,616)","(20,244)","(9,133)",- 0,"(3,916)",- 0
,,,,,,
,,,,,,
- 0,- 0,- 0,- 0,"9,868,013",- 0,"4,558,044"
,,,,,,
- 0,"(5,773)","(2,011)","(5,101)",- 0,"(1,038)","(1,530)"
,,,,,,
"5,088,578","4,806,906","6,072,453","8,088,124","5,038,612","6,861,251","3,237,714"
- 0,- 0,- 0,- 0,- 0,- 0,"1,067,552"
,,,,,,
"53,529,456","14,195,518","6,572,840","6,494,841","2,460,658","6,184,716",- 0
"3,932,446","1,866,480","2,398,421","2,987,145","1,662,064","2,015,454","811,273"
,,,,,,
- 0,- 0,- 0,- 0,- 0,- 0,- 0
- 0,- 0,- 0,- 0,- 0,- 0,- 0
(1),- 0,- 0,- 0,(751),- 0,"(9,743)"
"4,901,012","5,078,217","6,349,936","6,922,586","6,444,324","7,377,930","2,728,113"
,,,,,,
- 0,- 0,- 0,- 0,- 0,- 0,"469,392"
"386,933,025","309,860,516","376,259,650","397,966,917",- 0,"346,909,111",- 0
- 0,- 0,- 0,- 0,- 0,- 0,- 0
,,,,,,
- 0,- 0,- 0,- 0,- 0,- 0,- 0
"18,616,802","17,366,818","25,203,069","19,210,197","9,996,539","25,596,721","4,223,667"
- 0,- 0,- 0,- 0,- 0,- 0,- 0
- 0,- 0,- 0,- 0,"18,494,432",- 0,"14,622,403"
- 0,- 0,"(5,022)",(409),- 0,- 0,- 0
"(1,166)",- 0,"(2,800)","(2,416)",- 0,- 0,- 0
"3,714,275","3,727,609","3,747,991","3,804,474","4,108,690","4,627,350","2,598,424"
- 0,- 0,- 0,- 0,- 0,- 0,"6,439"
"94,713,026","69,516,844","83,160,442","87,502,171","80,201,448","85,738,471","78,000,062"
,,,,,,
,,,,,,
"(231,176,544)","(146,866,085)","(180,312,685)","(204,500,631)","(80,434)","(112,914,383)","(188,755)"
