fy_1995,fy_1998,fy_2005,fy_2003,fy_1992,fy_2010,fy_1994,fy_1999,fy_1983,fy2017
"(85,929)","(259,874)","(36,422)",- 0,- 0,"(1,457)",- 0,(87),- 0,"(55,775)"
- 0,- 0,- 0,- 0,- 0,"(182,750)",- 0,- 0,- 0,"(97,679)"
"13,338,270",- 0,- 0,- 0,"8,236,854",- 0,"11,634,515",- 0,"1,836,475",- 0
"(3,647)",- 0,- 0,- 0,"(83,303)",- 0,"(54,364)",- 0,- 0,- 0
"(425,251)","(6,666,031)","(7,261)","(699,347)","(17,194)","(795,409)","(630,222)","(1,058)","148,918",(456)
"67,758,763","79,472,327","136,693,590","128,370,887","52,291,749","78,719,291","68,547,650","81,871,448","48,209,485","138,031,793"
,,,,,,,,,
"(2,587,789)","(5,439,393)","(2,165,328)","(731,766)","(155,973)","(6,948)","(2,597,221)","(2,845,112)","(201,350)","(177,437)"
"47,926,202","55,256,792","102,625,355","94,764,993","32,722,288","58,319,593","48,362,192","59,144,010","31,721,643","102,176,570"
"1,487,425","1,759,816","2,923,791","2,538,618","1,664,481","3,285,528","1,779,911","1,864,281",- 0,"4,004,843"
(667),- 0,- 0,- 0,(535),- 0,"(12,321)",- 0,"(5,578)",- 0
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,"(1,406,930)"
"(2,132,358)","(204,393)","47,547,804","(2,319,345)","(151,805)","(231,647)","(577,040)","(1,274,368)","(243,631)","(1,034,559)"
,,,,,,,,,
"5,421,380","5,927,146","4,888,698","4,816,860","4,820,150","4,594,996","4,859,047","5,864,118","2,952,535","5,172,433"
,,,,,,,,,
"2,080,504",- 0,- 0,- 0,"2,216,262",- 0,"2,183,101",- 0,"1,230,672",- 0
"16,136,675","15,962,930","16,613,968","18,685,659","17,036,633","17,704,955","16,812,323","17,144,720","3,251,548","40,622,154"
"4,759,928","5,168,909","3,888,717","3,861,442","4,723,679","4,697,087","4,837,401","5,181,541","2,234,119","4,762,793"
"4,411,558","6,275,103","9,739,165","8,875,264",- 0,"10,089,646","3,458,419","7,144,078",- 0,"15,173,759"
"31,108,838",- 0,- 0,- 0,"29,074,248",- 0,"34,847,210",- 0,"15,829,428",- 0
"(742,040)","(978,514)","(2,499,351)","(2,409,214)","(809,027)","(1,664,742)","(1,469,085)","(1,310,874)","(63,003)","(1,532,525)"
"(1,151)",- 0,- 0,- 0,- 0,- 0,"(14,622)",- 0,- 0,- 0
"(15,643)","(667,905)","(1,419,445)","(2,448,127)","(463,485)","(3,488,295)","(1,127,083)","(2,060,137)","(16,257)","(1,917,458)"
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
