fy_1981,fy_2011,fy_1989,fy_2012,fy_1997,fy_2009,fy_1988,fy2018
- 0,"33,592,476",- 0,"23,298,015",- 0,"19,872,247",- 0,"58,174,469"
"2,716,782,965","18,862,234,832","5,770,819,631","19,129,084,158","8,085,126,808","17,774,246,699","5,271,906,536","25,026,392,457"
"367,713,540","1,719,962,601","675,927,078","1,753,294,259","927,715,896","1,581,320,762","634,285,561","2,082,610,999"
"(4,414)",- 0,- 0,- 0,- 0,- 0,- 0,- 0
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
,,,,,,,
"76,026","193,683","133,332","127,055","122,394","287,419","210,678","203,846"
,,,,,,,
,- 0,,- 0,- 0,- 0,,"2,932,200"
"449,144","793,157","1,283,149","911,531","1,704,746","807,500","944,997","1,648,685"
"325,780",- 0,"1,338,825",- 0,- 0,- 0,"797,628",- 0
"25,487,455","73,771,082","63,504,325","71,624,012","48,974,867","70,247,009","57,133,694","104,271,057"
,,,,,,,
"(14,022)",(1),- 0,- 0,(3),- 0,- 0,- 0
,,,,,,,
"21,638,600","125,250,284","53,790,072","128,277,149","69,056,753","120,645,434","48,191,130","218,697,852"
"(385,797)",- 0,- 0,- 0,- 0,- 0,- 0,- 0
"3,507,806",- 0,"7,849,731",- 0,- 0,- 0,"6,621,803",- 0
"1,601,672",- 0,"3,019,086",- 0,- 0,- 0,"2,817,818",- 0
"17,417,395","81,135,053","49,871,987","55,189,975","25,492,555","99,763,017","35,866,798","106,938,609"
- 0,"(1,265)",- 0,- 0,(510),(188),- 0,"(2,232)"
"(173,864)",- 0,- 0,- 0,"(4,800)",- 0,- 0,"(20,839)"
"1,480,931",- 0,"2,787,893",- 0,- 0,- 0,"2,631,723",- 0
"(5,899)",- 0,- 0,- 0,- 0,- 0,57,- 0
"(40,383)","(2,402,051)","(170,031)","(995,740)","(912,709)","(5,023)","(2,043,995)","(4,353,337)"
"27,178,119","110,850,489","77,070,165","73,867,979","41,042,080","134,126,715","54,167,499","139,888,754"
,,,,,,,
"(550,037)","(9,329)","(6,949,504)","(7,228)","(4,072,946)","(210,989)","(753,805)","(72,355)"
"16,444,154","82,011,052","46,649,777","55,426,086","28,133,889","100,471,787","34,688,243","103,894,779"
- 0,"3,339,095",- 0,"3,271,013","1,471,647","3,258,455",- 0,"4,300,492"
"(34,562)",- 0,85,- 0,- 0,- 0,"(18,980)",- 0
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
"(481,646)","(129,305)",- 0,"(1,731,569)","(50,000)",- 0,- 0,"(1,658,438)"
"(3,142,304)","(914,903)","(320,385)","(722,375)","(35,133)","(3,151,592)","(275,126)","(1,577,268)"
,,,,,,,
"2,365,680","4,699,325","5,457,385","4,586,372","5,658,275","4,716,934","4,876,021","5,752,139"
,,,,,,,
"1,020,374",- 0,"1,932,351",- 0,- 0,- 0,"1,881,300",- 0
"2,442,442","16,296,141","23,943,932","15,340,924","14,152,279","17,755,703","20,646,806","35,788,547"
"1,821,387","4,353,335","4,590,027","4,541,046","4,740,627","4,992,694","4,063,695","4,801,151"
- 0,"9,621,623",- 0,"8,739,056","5,019,489","11,300,244",- 0,"16,403,345"
"13,942,459",- 0,"28,966,408",- 0,- 0,- 0,"27,133,495",- 0
"(2,173,165)","(1,559,560)","(223,394)","(1,437,660)","(906,654)","(1,710,322)","(83,499)","(3,770,534)"
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
"502,801","(2,541,604)","(745,148)","(431,448)","(1,732,279)","(1,786,112)","(5,144)","(2,613,741)"
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
"(88,395)","(5,440,770)","(3,750,581)","(5,936,101)","(1,966,215)","(6,452,249)","(3,414,705)","(6,042,507)"
"690,556",- 0,"1,898,081",- 0,- 0,- 0,"2,207,295",- 0
"26,719,053","110,821,093","77,070,165","73,409,338","41,042,080","134,126,715","54,167,499","138,967,391"
"(3,778)",- 0,(514),"(4,946)","(51,192)","(22,814)",- 0,- 0
(72),- 0,- 0,- 0,- 0,- 0,- 0,- 0
"4,901,327","48,487,298","9,633,184","57,651,415","10,734,590","25,975,721","9,362,415","64,776,829"
"18,038,340","96,361,879","41,479,822","98,285,155","55,020,473","93,695,189","37,661,666","136,490,809"
- 0,- 0,(320),- 0,- 0,- 0,- 0,- 0
,- 0,,- 0,- 0,- 0,,- 0
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
"1,572,100","4,153,334","4,284,268","4,182,556","4,741,187","4,437,990","3,227,216","4,222,112"
"(1,301,101)","(5,907,836)","(972,000)","(5,803,682)","(1,890,132)","(4,180,269)","(950,000)","(6,393,055)"
"(451,780)","(29,396)",- 0,"(458,641)",- 0,- 0,- 0,"(921,363)"
"763,521","6,424,408","5,975,567","6,561,602","3,082,486","7,725,165","4,785,593","12,366,554"
,,,,,,,
"38,310,995","399,576,098","81,207,713","401,244,515","153,442,780","331,589,578","77,840,046","600,320,671"
"14,490,974","102,822,847","29,832,031","109,838,736","30,759,593","81,054,447","26,938,322","129,284,968"
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
,,,,,,,
"8,703,070","19,875,700","15,307,285","18,855,162","13,788,144","21,224,027","14,112,952","25,549,997"
"1,629,599","4,183,848","3,827,273","4,216,454","4,203,372","4,744,784","3,391,087","5,040,774"
"(342,199)","(10,388,266)","(1,413,373)","(4,842,766)","(3,524,356)","(2,398,543)","(967,213)","(13,390,838)"
"9,612,429","54,387,051","20,201,792","52,187,109","20,119,578","55,078,726","17,631,558","64,539,613"
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
,,,,,,,
- 0,"(16,005)",- 0,(304),- 0,- 0,- 0,(1)
,,,,,,,
,,,,,,,
"1,895,667",- 0,"8,015,906",- 0,- 0,- 0,"6,771,423",- 0
,,,,,,,
"(64,050)",- 0,(7),- 0,"(4,665)","(3,000)",- 0,- 0
,,,,,,,
"2,133,285","5,373,560","5,233,215","5,139,671","5,024,612","5,652,186","4,985,877","6,252,789"
"721,149",- 0,"1,357,491",- 0,- 0,- 0,"1,283,326",- 0
,,,,,,,
- 0,"11,278,348","2,164,265","9,645,226","3,584,942","8,658,132",- 0,"32,988,997"
"471,598","3,518,123","1,343,315","3,723,213","1,524,579","3,699,443","1,097,143","4,615,490"
,,,,,,,
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
"(215,511)","(72,763)","(1,026,930)",(524),"(90,588)",- 0,"(824,396)","(30,298)"
"1,933,702","4,860,575","6,111,980","4,862,646","6,797,631","5,543,615","4,869,216","4,902,091"
,,,,,,,
"391,950",- 0,"739,460",- 0,- 0,- 0,"641,453",- 0
- 0,"364,289,272",- 0,"391,461,034","241,178,830","408,116,505",- 0,"500,036,815"
"(13,696)",- 0,"(6,767)",- 0,- 0,- 0,- 0,- 0
,,,,,,,
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
"2,275,915","22,022,600","11,477,500","15,339,363","12,908,251","31,945,525","8,234,495","28,074,950"
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
"12,389,771",- 0,"21,185,562",- 0,- 0,- 0,"20,580,495",- 0
- 0,"(149,293)",- 0,(636),- 0,- 0,- 0,"(50,130)"
- 0,(316),- 0,- 0,- 0,- 0,- 0,(424)
"1,861,331","3,907,349","4,174,236","3,675,579","3,955,859","3,909,566","3,931,700","4,103,454"
"(17,706)",- 0,(212),- 0,- 0,- 0,"248,819",- 0
"45,169,146","93,315,029","134,112,596","91,901,529","76,266,542","89,011,297","132,781,741","124,939,762"
,,,,,,,
,,,,,,,
"(4,694,308)","(234,876,266)","(32,804)","(231,542,479)","(42,625)","(224,293,908)","(13,090)","(294,554,860)"
