fy_1993,fy_1982,fy_2013,fy_2002,fy2016,fy_1990,fy_2006,fy_1991,fy_1987
"(208,680)","(332,386)","(270,054)","(270,054)","(212,854)","(200,000)","(270,054)","(200,000)","(290,000)"
"5,011,003","2,198,211",- 0,- 0,- 0,"4,722,971",- 0,"5,316,405","3,414,235"
- 0,"255,319",- 0,- 0,- 0,"436,173",- 0,"440,476","507,791"
,,,,,,,,
"571,345,965","527,744,544","801,891,309","417,837,931","955,775,205","298,502,442","550,365,753","312,808,618","242,990,651"
"1,796,640",- 0,"6,407,292","3,297,939","8,109,231","1,398,364","3,954,036","1,663,052",- 0
,,,,,,,,
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
"1,262,091",- 0,"3,283,209","45,202,331","(223,498)","7,932,464","34,738,400","614,432",- 0
"9,027,503","3,145,230","22,277,865","9,198,396","26,736,633","6,289,418","19,033,883","9,166,777","7,904,170"
"(24,680,731)","206,471","(73,532,442)","(162,338,600)","(399,830,499)","(18,396,293)","(151,432,752)","(8,527,464)","(10,169,514)"
"14,420,110","6,543,402","43,841,207","20,977,467","75,573,737","14,080,987","41,820,725","13,851,042","11,397,687"
"884,250","484,648","1,081,880","1,664,322","1,535,843","922,007","1,156,111","973,565","2,075,300"
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
"239,313,249","111,830,118","622,061,749","323,653,462","703,301,916","224,544,896","393,011,855","229,936,051","186,242,143"
,,- 0,- 0,- 0,,- 0,,
,,,,,,,,
"1,535,289","492,895","760,820","1,473,762","695,604","1,473,294","1,280,320","1,358,968","494,935"
"685,055,778","387,862,810","1,639,836,958","1,134,999,887","1,748,745,991","696,589,204","1,278,792,967","652,905,328","585,890,164"
"4,527,850","1,653,238","3,904,182","4,787,566","4,048,331","3,823,856","3,972,523","4,469,008","2,755,145"
,,,,,,,,
,,,,,,,,
"3,810,899","1,485,096",- 0,- 0,- 0,"3,202,285",- 0,"4,013,788","2,348,254"
,,,,,,,,
- 0,"(270,907)","(2,707,356)","(60,000)","(604,699)",- 0,"(5,014,491)",- 0,- 0
"(288,476)","(193,691)","(796,767)","(614,698)","(1,929,195)","(293,292)","(91,427)","(285,050)","(8,131)"
"3,190,675","1,386,088","3,180,406","3,436,492","3,014,784","2,967,191","3,152,153","3,086,474","2,409,656"
"(205,000)",- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
"1,208,037","717,476",- 0,- 0,- 0,"1,520,686",- 0,"1,149,538","1,066,706"
"335,947,245","418,965,967","216,648,104","113,269,952","315,395,196","74,826,434","212,264,913","84,331,223","56,717,688"
- 0,- 0,"41,304,870",- 0,"35,007,928",- 0,"12,203,275",- 0,- 0
"7,212,682,139","2,988,915,089","19,128,734,168","11,715,014,880","21,973,688,201","6,384,840,693","14,794,254,341","6,694,187,766","4,818,904,930"
"711,421,074","406,580,820","1,828,985,178","1,266,180,081","1,972,409,329","721,351,608","1,406,850,501","676,403,936","608,277,712"
"(103,750)",- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
,,,,,,,,
"124,221","80,409","335,990","86,606","138,807","180,426","89,073","167,152","186,918"
,,,,,,,,
,,- 0,- 0,- 0,,- 0,,
"1,017,215","504,809","1,089,196","1,433,052","1,219,948","1,159,181","1,420,561","1,096,126","1,020,184"
- 0,"366,974",- 0,- 0,- 0,"1,485,561",- 0,- 0,"902,500"
"61,117,383","27,266,928","71,140,709","55,809,508","86,771,665","61,545,086","58,832,895","59,614,205","51,193,887"
,,,,,,,,
