fy_1986,fy2015,fy_2000,agency_expenditures,fy_1980,fy_1985
"2,961,097","4,659,831","4,650,994",Personal Services,"1,591,795","2,621,808"
"(1,094,886)","(4,198,390)","(705,340)",prior year adjustments,"1,674,066","(114,439)"
"14,513,723","55,363,697","31,906,479",Other Than Personal Services,"12,144,657","12,179,483"
- 0,- 0,- 0,less: intra-city,- 0,- 0
,,,City Planning,,
- 0,(233),(478),prior year adjustments,- 0,- 0
,,,Borough President - Bronx,,
,,,NYC Employees Retirement System,,
"5,223,261",- 0,- 0,Other Than Personal Services,"2,045,404","4,657,970"
,,,New York Public Library,,
"(27,818)",- 0,- 0,prior year adjustments,"(18,287)",- 0
,,,Research Libraries,,
"4,341,031","5,850,533","7,548,699",TOTAL DEPT.,"1,890,049","4,175,715"
"1,180,574",- 0,- 0,Personal Services,"718,623","1,079,920"
,,,Department of Veterans' Affairs,,
- 0,"10,647,483","4,989,366",TOTAL DEPT.,- 0,- 0
"947,987","4,035,473","1,884,399",Personal Services,"373,112","865,793"
,,,Borough President - Manhattan,,
- 0,- 0,- 0,less: intra-city,"(25,000)",- 0
- 0,- 0,- 0,less: intra-city,"(122,410)",- 0
"(440,128)",- 0,- 0,prior year adjustments,"186,140","(11,272)"
"3,307,997","5,283,411","7,103,675",TOTAL DEPT.,"1,668,177","3,293,530"
,,,Department of Investigation,,
"539,789",- 0,- 0,Personal Services,"402,611","543,124"
- 0,"422,045,659","322,484,960",Personal Services,- 0,- 0
"(2,018)",- 0,- 0,prior year adjustments,"(27,355)",- 0
,,,Queens Borough Public Library,,
- 0,- 0,- 0,less: intra-city,- 0,- 0
"7,523,055","24,265,693","14,659,542",Other Than Personal Services,"2,648,202","3,625,863"
- 0,- 0,- 0,TOTAL DEPT.,- 0,- 0
"18,749,852",- 0,- 0,Personal Services,"12,360,105","16,501,831"
- 0,"(31,713)",- 0,prior year adjustments,- 0,- 0
- 0,- 0,- 0,prior year adjustments,- 0,- 0
"3,507,746","3,810,720","4,397,826",Personal Services,"1,723,460","3,051,095"
"(21,526)",- 0,- 0,prior year adjustments,"(10,000)",- 0
"108,821,483","100,259,727","88,004,932",TOTAL DEPT.,"42,530,497","93,819,098"
,,,NYC Gambling Control Commission,,
,,,Department of Personnel,,
"(226,768)","(251,026,386)","(101,654,188)",less: intra-city,"(11,958,300)","(181,910)"
