published_date,neighborhood_tabulation_area,health_events,number_of_avoided_health
2024-04-24T00:00:00.000,BK5691,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,BK0902,Emergency Department Visits for Asthma,0.04
2024-04-24T00:00:00.000,BK1001,Emergency Department Visits for Asthma,0.08
2024-04-24T00:00:00.000,BK0701,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,QN0572,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,BK1601,Emergency Department Visits for Asthma,0.29
2024-04-24T00:00:00.000,BK1101,Emergency Department Visits for Asthma,0.1
2024-04-24T00:00:00.000,BK0101,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,BK1091,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,BK0401,Emergency Department Visits for Asthma,0.46
2024-04-24T00:00:00.000,BK1801,Emergency Department Visits for Asthma,0.06
2024-04-24T00:00:00.000,MN0801,Emergency Department Visits for Asthma,0.01
2024-04-24T00:00:00.000,BK0471,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,BK0802,Emergency Department Visits for Asthma,0.66
2024-04-24T00:00:00.000,BX0601,Emergency Department Visits for Asthma,1.07
2024-04-24T00:00:00.000,QN0271,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,MN0702,Emergency Department Visits for Asthma,0.01
2024-04-24T00:00:00.000,BK1503,Emergency Department Visits for Asthma,0.06
2024-04-24T00:00:00.000,MN0402,Emergency Department Visits for Asthma,0.05
2024-04-24T00:00:00.000,BK0571,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,QN0791,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,QN0502,Emergency Department Visits for Asthma,0.06
2024-04-24T00:00:00.000,BK5692,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,BK1391,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,BX0491,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,BK1401,Emergency Department Visits for Asthma,0.06
2024-04-24T00:00:00.000,BK0501,Emergency Department Visits for Asthma,0.04
2024-04-24T00:00:00.000,BX1004,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,MN1202,Emergency Department Visits for Asthma,0.07
2024-04-24T00:00:00.000,BK0801,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,MN0191,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,BK1501,Emergency Department Visits for Asthma,0.05
2024-04-24T00:00:00.000,MN1201,Emergency Department Visits for Asthma,0.07
2024-04-24T00:00:00.000,BX0391,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,BX0291,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,BX0102,Emergency Department Visits for Asthma,2.26
2024-04-24T00:00:00.000,BK1701,Emergency Department Visits for Asthma,0.04
2024-04-24T00:00:00.000,QN0202,Emergency Department Visits for Asthma,0.05
2024-04-24T00:00:00.000,BK1703,Emergency Department Visits for Asthma,0.04
2024-04-24T00:00:00.000,BX0403,Emergency Department Visits for Asthma,2.63
2024-04-24T00:00:00.000,BK1893,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,BK5591,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,QN0503,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,BX0991,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,BK0302,Emergency Department Visits for Asthma,0.66
2024-04-24T00:00:00.000,BK1403,Emergency Department Visits for Asthma,0.05
2024-04-24T00:00:00.000,BK1891,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,QN0574,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,MN0302,Emergency Department Visits for Asthma,0.38
2024-04-24T00:00:00.000,MN0901,Emergency Department Visits for Asthma,0.3
2024-04-24T00:00:00.000,BK0261,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,MN6491,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,QN0702,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,QN0104,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,MN0604,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,QN0105,Emergency Department Visits for Asthma,0.03
2024-04-24T00:00:00.000,BK0771,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,MN0602,Emergency Department Visits for Asthma,0.03
2024-04-24T00:00:00.000,BX1161,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,BX1102,Emergency Department Visits for Asthma,0.02
2024-04-24T00:00:00.000,BX0904,Emergency Department Visits for Asthma,0.26
2024-04-24T00:00:00.000,QN0201,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,MN1102,Emergency Department Visits for Asthma,3.42
2024-04-24T00:00:00.000,BX0702,Emergency Department Visits for Asthma,0.43
2024-04-24T00:00:00.000,BX1271,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,QN0573,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,QN0804,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,BK0703,Emergency Department Visits for Asthma,0.43
2024-04-24T00:00:00.000,BK1771,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,BX0802,Emergency Department Visits for Asthma,0.18
2024-04-24T00:00:00.000,BK5693,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,QN0501,Emergency Department Visits for Asthma,0.04
2024-04-24T00:00:00.000,BX0492,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,QN0191,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,BX1002,Emergency Department Visits for Asthma,0.04
2024-04-24T00:00:00.000,BK1201,Emergency Department Visits for Asthma,0.28
2024-04-24T00:00:00.000,QN0171,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,BK1203,Emergency Department Visits for Asthma,0.04
2024-04-24T00:00:00.000,BK0702,Emergency Department Visits for Asthma,0.05
2024-04-24T00:00:00.000,QN0303,Emergency Department Visits for Asthma,0.04
2024-04-24T00:00:00.000,BX0901,Emergency Department Visits for Asthma,3.93
2024-04-24T00:00:00.000,MN0603,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,MN1203,Emergency Department Visits for Asthma,0.03
2024-04-24T00:00:00.000,BK1602,Emergency Department Visits for Asthma,3.2
2024-04-24T00:00:00.000,QN0707,Emergency Department Visits for Asthma,0.54
2024-04-24T00:00:00.000,BX0902,Emergency Department Visits for Asthma,0.29
2024-04-24T00:00:00.000,BK0602,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,QN0402,Emergency Department Visits for Asthma,0.07
2024-04-24T00:00:00.000,BK1103,Emergency Department Visits for Asthma,0.05
2024-04-24T00:00:00.000,BX1104,Emergency Department Visits for Asthma,0.27
2024-04-24T00:00:00.000,BX0402,Emergency Department Visits for Asthma,1.72
2024-04-24T00:00:00.000,QN0602,Emergency Department Visits for Asthma,0.01
2024-04-24T00:00:00.000,BX0302,Emergency Department Visits for Asthma,1.3
2024-04-24T00:00:00.000,BX1201,Emergency Department Visits for Asthma,0.48
2024-04-24T00:00:00.000,QN0705,Emergency Department Visits for Asthma,0.03
2024-04-24T00:00:00.000,QN0601,Emergency Department Visits for Asthma,0.03
2024-04-24T00:00:00.000,BX0401,Emergency Department Visits for Asthma,3.67
2024-04-24T00:00:00.000,QN0504,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,BK0891,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,BX1091,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,BX0101,Emergency Department Visits for Asthma,3.05
2024-04-24T00:00:00.000,MN1191,Emergency Department Visits for Asthma,0.07
2024-04-24T00:00:00.000,BX0701,Emergency Department Visits for Asthma,0.36
2024-04-24T00:00:00.000,BX1202,Emergency Department Visits for Asthma,0.05
2024-04-24T00:00:00.000,QN0803,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,QN0704,Emergency Department Visits for Asthma,0.05
2024-04-24T00:00:00.000,QN0261,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,MN0703,Emergency Department Visits for Asthma,0.05
2024-04-24T00:00:00.000,MN1291,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,BK1302,Emergency Department Visits for Asthma,0.38
2024-04-24T00:00:00.000,BX1203,Emergency Department Visits for Asthma,0.04
2024-04-24T00:00:00.000,BK1802,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,MN0301,Emergency Department Visits for Asthma,2.25
2024-04-24T00:00:00.000,MN1001,Emergency Department Visits for Asthma,0.04
2024-04-24T00:00:00.000,BX0801,Emergency Department Visits for Asthma,0.28
2024-04-24T00:00:00.000,BK1204,Emergency Department Visits for Asthma,0.04
2024-04-24T00:00:00.000,QN0871,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,QN0801,Emergency Department Visits for Asthma,0.03
2024-04-24T00:00:00.000,BK1202,Emergency Department Visits for Asthma,4.97
2024-04-24T00:00:00.000,MN0501,Emergency Department Visits for Asthma,0.03
2024-04-24T00:00:00.000,QN0571,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,QN0706,Emergency Department Visits for Asthma,0.02
2024-04-24T00:00:00.000,MN0202,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,QN0301,Emergency Department Visits for Asthma,0.09
2024-04-24T00:00:00.000,MN0401,Emergency Department Visits for Asthma,0.06
2024-04-24T00:00:00.000,MN0802,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,BX0803,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,BK0502,Emergency Department Visits for Asthma,0.33
2024-04-24T00:00:00.000,MN0701,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,MN0902,Emergency Department Visits for Asthma,0.17
2024-04-24T00:00:00.000,BK1303,Emergency Department Visits for Asthma,0.26
2024-04-24T00:00:00.000,BK1061,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,BX0301,Emergency Department Visits for Asthma,1.99
2024-04-24T00:00:00.000,BX0503,Emergency Department Visits for Asthma,1.7
2024-04-24T00:00:00.000,MN0102,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,MN0601,Emergency Department Visits for Asthma,0.02
2024-04-24T00:00:00.000,MN0101,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,BX1001,Emergency Department Visits for Asthma,0.14
2024-04-24T00:00:00.000,BK1803,Emergency Department Visits for Asthma,0.08
2024-04-24T00:00:00.000,BK1102,Emergency Department Visits for Asthma,0.03
2024-04-24T00:00:00.000,BK0601,Emergency Department Visits for Asthma,0.05
2024-04-24T00:00:00.000,BK0203,Emergency Department Visits for Asthma,0.03
2024-04-24T00:00:00.000,BK0402,Emergency Department Visits for Asthma,0.48
2024-04-24T00:00:00.000,BK0201,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,BK0204,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,BX2791,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,BX0201,Emergency Department Visits for Asthma,0.8
2024-04-24T00:00:00.000,BX0202,Emergency Department Visits for Asthma,2.13
2024-04-24T00:00:00.000,BK1301,Emergency Department Visits for Asthma,0.24
2024-04-24T00:00:00.000,BK1702,Emergency Department Visits for Asthma,0.03
2024-04-24T00:00:00.000,QN0161,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,BX0703,Emergency Department Visits for Asthma,0.34
2024-04-24T00:00:00.000,BK0504,Emergency Department Visits for Asthma,0.13
2024-04-24T00:00:00.000,BK0102,Emergency Department Visits for Asthma,0.06
2024-04-24T00:00:00.000,MN0661,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,QN0805,Emergency Department Visits for Asthma,0.04
2024-04-24T00:00:00.000,MN0803,Emergency Department Visits for Asthma,0.01
2024-04-24T00:00:00.000,BK1502,Emergency Department Visits for Asthma,0.04
2024-04-24T00:00:00.000,BK0202,Emergency Department Visits for Asthma,0.04
2024-04-24T00:00:00.000,BX0502,Emergency Department Visits for Asthma,2.6
2024-04-24T00:00:00.000,BX1101,Emergency Department Visits for Asthma,0.03
2024-04-24T00:00:00.000,MN0203,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,QN0701,Emergency Department Visits for Asthma,0.03
2024-04-24T00:00:00.000,MN0303,Emergency Department Visits for Asthma,0.56
2024-04-24T00:00:00.000,MN1002,Emergency Department Visits for Asthma,0.65
2024-04-24T00:00:00.000,QN0401,Emergency Department Visits for Asthma,0.1
2024-04-24T00:00:00.000,BX0603,Emergency Department Visits for Asthma,1.89
2024-04-24T00:00:00.000,BK0301,Emergency Department Visits for Asthma,0.69
2024-04-24T00:00:00.000,BK0505,Emergency Department Visits for Asthma,0.35
2024-04-24T00:00:00.000,BK0901,Emergency Department Visits for Asthma,0.05
2024-04-24T00:00:00.000,MN0502,Emergency Department Visits for Asthma,0.02
2024-04-24T00:00:00.000,BK1704,Emergency Department Visits for Asthma,0.04
2024-04-24T00:00:00.000,BK1892,Emergency Department Visits for Asthma,0.0
