loacation,mgp_percent,material,dsny_diversion_summary
Brooklyn,0.007,Paper: Compostable/Soiled/Waxed OCC/Kraft,Organics Suitable for Composting
Brooklyn,0.001,Film Plastic: Food/Drink Pouches,Other
Queens,0.003,Animal By-Products,Other
Brooklyn,0.001,Dry-Cell Batteries,HHW
Brooklyn,0.002,Other C&D Debris Not Elsewhere Classified,C&D
Brooklyn,0.008,Other Nonrecyclable Paper,Other
Citywide,0.044,Steel/Tin Food Cans,Designated MGP
Citywide,0.072,Other Ferrous,Designated MGP
Brooklyn,0.002,Non-C&D Wood,Other
Citywide,0.003,Appliances: Plastic,Designated MGP
Brooklyn,0.002,Disposable Diapers/Sanitary Products,Other
Queens,0.04,Green Container Glass,Designated MGP
Citywide,0.002,Other Aluminum,Designated MGP
Brooklyn,0.006,Other Plastic Bottles,Designated MGP
Brooklyn,0.001,Home Medical Products,HHW
Brooklyn,0.0,Carpet/Upholstery,Other
Citywide,0.002,Miscellaneous Organics,Other
Citywide,0.005,Newspaper,Designated Paper
Citywide,0.005,Other Plastic Bottles,Designated MGP
Citywide,0.002,Other Color Container Glass,Designated MGP
Brooklyn,0.0,Water-Based Adhesives/Glues,HHW
Citywide,0.0,Antifreeze,HHW
Brooklyn,0.018,Brown Container Glass,Designated MGP
Citywide,0.0,Compressed Gas Cylinders/Fire Extinguishers,HHW
Queens,0.007,Other Glass,Other
Queens,0.029,Appliances: Ferrous,Designated MGP
Queens,0.028,Food,Organics Suitable for Composting
Queens,0.011,Newspaper,Designated Paper
Citywide,0.024,Mixed Low Grade Paper,Designated Paper
Queens,0.0,Film Plastic: Food/Drink Pouches,Other
Brooklyn,0.002,#6 EPS Containers/Packaging (including Single Use),Other
Citywide,0.001,Oil-Based Paint/Solvent,HHW
Citywide,0.026,Other Plastics,Designated MGP
Citywide,0.028,Film Plastic: Garbage Bags,Other
Citywide,0.027,Mixed Metals,Designated MGP
Brooklyn,0.041,Green Container Glass,Designated MGP
Citywide,0.001,High Grade Paper,Designated Paper
Brooklyn,0.013,Paper Beverage Cartons/Aseptic Boxes,Designated MGP
Citywide,0.001,Dry-Cell Batteries,HHW
Brooklyn,0.003,Other Color Container Glass,Designated MGP
Citywide,0.0,Fluorescent Tubes/CFLs,HHW
Citywide,0.01,Other Non-Ferrous,Designated MGP
Citywide,0.014,Paper Beverage Cartons/Aseptic Boxes,Designated MGP
