camis,dba,phone,violation_description,record_date,:@computed_region_sbqj_enih
50177282,ONCHEON NYC LLC,2122687888,,2025-12-24T06:00:18.000,8.0
50178825,NANCY BLAKE'S TAVERN + TAP,7184067751,,2025-12-24T06:00:18.000,73.0
50174993,TIME OUT MARKET (MANHATTAN) LLC,6462956778,,2025-12-24T06:00:18.000,5.0
50067032,TAQUERIA ON TENTH,2126958080,"Toilet facility not maintained or provided with toilet paper, waste receptacle or self-closing door.",2025-12-24T06:00:13.000,
50160550,WONDER,2019141589,,2025-12-24T06:00:18.000,41.0
41298621,KENNEDY'S CHICKEN & SANDWICH,3472705804,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,2025-12-24T06:00:13.000,
50159261,FROZEN LOVE INC,9173256400,,2025-12-24T06:00:18.000,17.0
50170918,MIRU,6467516033,,2025-12-24T06:00:18.000,6.0
50178523,IAN'S COOKIE JAR LLC,5167323754,,2025-12-24T06:00:18.000,8.0
50134700,THE RUBY THEATRE,8573335190,,2025-12-24T06:00:18.000,8.0
41606171,IHOP,2123881499,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",2025-12-24T06:00:13.000,
50179845,SABOR DE CASA CORP.,3476235720,,2025-12-24T06:00:18.000,43.0
50165127,A&J SUSHI,6462490429,,2025-12-24T06:00:18.000,65.0
50166228,DREAM TALK,7186737945,,2025-12-24T06:00:18.000,10.0
40837042,MALECON RESTAURANT,7184325155,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",2025-12-24T06:00:13.000,
41380885,MAMA TINA'S PIZZA,2123682820,Evidence of mice or live mice in establishment's food or non-food areas.,2025-12-24T06:00:13.000,
50013086,POLLO D' ORO,7188558088,,2025-12-24T06:00:13.000,54.0
50082357,ERIS,6463164524,,2025-12-24T06:00:15.000,56.0
50157273,AL DENTE FRESH PASTA,9292207677,,2025-12-24T06:00:18.000,50.0
50164522,PARK ROSE / GOLDEN CHILD,9179030743,,2025-12-24T06:00:18.000,8.0
50172798,SKINNY LOUIE,7866821339,,2025-12-24T06:00:18.000,7.0
50174020,SAN GABRIEL COFFEE SHOP,9173768721,,2025-12-24T06:00:18.000,16.0
50179324,YUMMY PICKS,3474986578,,2025-12-24T06:00:18.000,54.0
50168600,INTERNATIONAL BURGERS,2012387005,,2025-12-24T06:00:18.000,9.0
50176398,MELT SHOP,2159970667,,2025-12-24T06:00:18.000,7.0
50178959,BARRY'S WALL STREET,323 488 2148,,2025-12-24T06:00:18.000,1.0
50179217,Red Poke,9177473395,,2025-12-24T06:00:18.000,8.0
50158273,OTORO,7188801069,,2025-12-24T06:00:18.000,65.0
50149388,AWESOME HIBACHI,2135923608,,2025-12-24T06:00:18.000,72.0
50171661,SPACE CLUB,3474291046,,2025-12-24T06:00:18.000,55.0
50172037,UMAMI ASIAN WOK AND NOODLE,7043286780,,2025-12-24T06:00:18.000,10.0
50094389,KUNFU TERRIYAKI,9293738559,,2025-12-24T06:00:18.000,35.0
50110283,DINNER PARTY BK,2032604770,,2025-12-24T06:00:18.000,55.0
50178013,97 HAPPY KTV,2123479977,,2025-12-24T06:00:18.000,2.0
50174658,NORM'S PIZZA SHOP,9173882305,,2025-12-24T06:00:18.000,7.0
50164043,JACOBS PICKLES,7037237264,,2025-12-24T06:00:18.000,
50166749,GRACE THIANY,6097844279,,2025-12-24T06:00:18.000,10.0
50172606,EXCELLENT SUSHI,9173619750,,2025-12-24T06:00:18.000,10.0
50179208,HILMOND LLC,3476327093,,2025-12-24T06:00:18.000,41.0
50178746,PURA VIDA MIAMI,3058591311,,2025-12-24T06:00:18.000,7.0
50179476,LOK HIN INC.,6462402952,,2025-12-24T06:00:18.000,23.0
50170020,MOJO EAST,6462860389,,2025-12-24T06:00:18.000,4.0
50179123,HEARTH ASIA INC,5168526308,,2025-12-24T06:00:18.000,67.0
50165042,IMPERIAL,9176227315,,2025-12-24T06:00:18.000,70.0
50180338,EL NUEVO TROPICAL RESTAURANT,9174394707,,2025-12-24T06:00:18.000,
50179290,ORTIZ BARBERSHOP INC,6462667071,,2025-12-24T06:00:18.000,25.0
50161218,BIG MOZZ,8457091808,,2025-12-24T06:00:18.000,
50166684,IDEAL HOSPITALITY LLC,6318334030,,2025-12-24T06:00:18.000,8.0
50179425,GNOCCHI ON 9TH,2012745976,,2025-12-24T06:00:18.000,9.0
50143846,COURTYARD JAMAICA,9177915755,,2025-12-24T06:00:18.000,61.0
50173385,UPSIDE PIZZA / SOFTSIDE,9175878888,,2025-12-24T06:00:18.000,8.0
50176473,JOE'S STEAM RICE ROLL INC,343796961,,2025-12-24T06:00:18.000,67.0
50178785,ESMERALDA & CRISTAL RESTAURANT & LOUNGE CORP.,9177949179,,2025-12-24T06:00:18.000,29.0
50170552,NUTRITION 4 U,9174973635,,2025-12-24T06:00:18.000,73.0
50179242,OLIO E PIU,2122047111,,2025-12-24T06:00:18.000,8.0
50141803,L'INDUSTRIE PIZZERIA,2122560648,,2025-12-24T06:00:13.000,3.0
50177587,41-17 HOSPITALITY GROUP CORP,3475320681,,2025-12-24T06:00:18.000,21.0
50145645,HERO,2038148019,,2025-12-24T06:00:18.000,10.0
50066463,CAFE 53,2123507441,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",2025-12-24T06:00:13.000,
50178657,MILANOS FOOD INC,5169870346,,2025-12-24T06:00:18.000,16.0
50162243,PALENQUE HOME MADE COLOMBIAN FOOD INC.,7189541955,,2025-12-24T06:00:18.000,
50126972,MASALA CORP,9174003090,,2025-12-24T06:00:18.000,
50105272,BIXI,6464908575,,2025-12-24T06:00:18.000,
40380164,CUCHIFRITOS,7183674500,Hot food item not held at or above 140º F.,2025-12-24T06:00:13.000,
50167560,RIVIAN,6464534613,,2025-12-24T06:00:18.000,6.0
50175171,CPW5817 CORP,3478895717,,2025-12-24T06:00:18.000,48.0
50159268,JOO OK,6467011556,,2025-12-24T06:00:18.000,8.0
50172926,XIN RONG LYZ INC,3475361575,,2025-12-24T06:00:18.000,54.0
50176328,3 LUIGIS PIZZERIA,3475029510,,2025-12-24T06:00:18.000,55.0
50160730,HOUSE OF PASTA,3479756151,,2025-12-24T06:00:18.000,5.0
50176479,Tracks Raw Bar & Grill,9178808505,,2025-12-24T06:00:18.000,10.0
50063834,AVIATOR GRILL AT INTREPID,3472208442,Evidence of mice or live mice in establishment's food or non-food areas.,2025-12-24T06:00:13.000,
50169655,3145 B4 LLC,6465848800,,2025-12-24T06:00:18.000,35.0
50141787,VIP ONE,7187511151,"Nuisance created or allowed to exist. Facility not free from unsafe, hazardous, offensive or annoying condition.",2025-12-24T06:00:13.000,
50167578,FEDORA,5125606933,,2025-12-24T06:00:18.000,3.0
50179816,SILK SPOON INC,9176749434,,2025-12-24T06:00:18.000,75.0
50171357,EARTHBAR,7144251559,,2025-12-24T06:00:18.000,10.0
50163417,L' APPARTEMENT 4F,9177553943,,2025-12-24T06:00:18.000,3.0
41063300,CENTRE PIZZA,7182299879,Live roaches in facility's food or non-food area.,2025-12-24T06:00:13.000,
50151585,BRISA TROPICAL RESTAURANT,9174718178,Thawing procedure improper.,2025-12-24T06:00:13.000,29.0
50017416,DUNKIN,7188281188,,2025-12-24T06:00:13.000,31.0
50175668,CHOCOLATE CONNECTS CI INC,3474477033,,2025-12-24T06:00:18.000,43.0
50161181,CHILL CHICK,6465786977,,2025-12-24T06:00:18.000,2.0
50173919,T.O.L.K. ART & COFFEE,3479772571,,2025-12-24T06:00:18.000,53.0
50178793,MERA JFK T8,7864367737,,2025-12-24T06:00:18.000,
50174583,A10 KITCHEN,9176782245,,2025-12-24T06:00:18.000,5.0
50153385,DOS TOROS,5163989952,,2025-12-24T06:00:18.000,
50159472,ANNAM CAFE,7403192198,,2025-12-24T06:00:18.000,8.0
50178995,LEBRON CAFE,3475382570,,2025-12-24T06:00:18.000,22.0
50160335,SANMIWAGO,7184501788,,2025-12-24T06:00:18.000,6.0
50180332,PEACE AND CAKE LLC,9179756316,,2025-12-24T06:00:18.000,5.0
50178903,GOOD DAYS,9293308884,,2025-12-24T06:00:18.000,62.0
50144080,GABRIELA,9176977982,,2025-12-24T06:00:18.000,57.0
50174083,DAVE'S HOT CHICKEN,9089270130,,2025-12-24T06:00:18.000,11.0
50172508,MIA'S COCINA,6465921035,,2025-12-24T06:00:18.000,4.0
50179428,CHARCOAL OF HOWARD BEACH LLC,7187668892,,2025-12-24T06:00:18.000,64.0
50156672,CANTINA VALENCIA,3473302480,,2025-12-24T06:00:18.000,76.0
50179527,GOLDEN RATIO,8052155003,,2025-12-24T06:00:18.000,55.0
50163931,MAZZY'S HALAL SPOT,5168522614,,2025-12-24T06:00:18.000,57.0
50173755,AUGUST GATHERINGS NYC CORP,2122741535,,2025-12-24T06:00:18.000,2.0
