location,action,community_board,bbl,score,census_tract,cuisine_description
"{'type': 'Point', 'coordinates': [-73.992992365827, 40.736873453731]}",,105.0,1008177502.0,,5400.0,
"{'type': 'Point', 'coordinates': [-73.998609037843, 40.645999717019]}",,312.0,3009230003.0,,9200.0,
"{'type': 'Point', 'coordinates': [-73.984035427203, 40.754930345322]}",,105.0,1012580001.0,,9600.0,
,Violations were cited in the following area(s).,,1.0,11.0,,American
"{'type': 'Point', 'coordinates': [-73.855270484882, 40.727510543681]}",,406.0,4031590061.0,,71306.0,
"{'type': 'Point', 'coordinates': [-73.967955979926, 40.693833964755]}",,302.0,3018890001.0,,19100.0,
"{'type': 'Point', 'coordinates': [-73.978705471092, 40.60499342239]}",Violations were cited in the following area(s).,311.0,3066510071.0,,42600.0,Chinese
"{'type': 'Point', 'coordinates': [-73.894722120026, 40.823930164063]}",,202.0,2027150053.0,,12901.0,
"{'type': 'Point', 'coordinates': [-73.999657187145, 40.738600123621]}",,104.0,1007640037.0,,8100.0,
"{'type': 'Point', 'coordinates': [-73.938714771609, 40.845321615242]}",,112.0,1021420136.0,,26300.0,
,Violations were cited in the following area(s).,,1.0,13.0,,American
,Violations were cited in the following area(s).,,,12.0,,Italian
,Violations were cited in the following area(s).,,,12.0,,Latin American
"{'type': 'Point', 'coordinates': [-73.983270903538, 40.694970813594]}",Establishment re-opened by DOHMH.,302.0,3001337501.0,0.0,1500.0,Spanish
"{'type': 'Point', 'coordinates': [-73.988392116202, 40.733785220688]}",,103.0,1005590016.0,,4200.0,
"{'type': 'Point', 'coordinates': [-73.987541021756, 40.750541907818]}",,105.0,1008100045.0,,10900.0,
,Violations were cited in the following area(s).,,2.0,23.0,,French
"{'type': 'Point', 'coordinates': [-73.99529954546, 40.71749826812]}",,103.0,1003040002.0,,1600.0,
,Violations were cited in the following area(s).,,2.0,26.0,,Latin American
"{'type': 'Point', 'coordinates': [-74.129481726979, 40.612538973812]}",,501.0,5007220001.0,,18701.0,
,Violations were cited in the following area(s).,,,12.0,,Latin American
"{'type': 'Point', 'coordinates': [-74.000281528635, 40.753037571144]}",,104.0,1007027501.0,,9900.0,
"{'type': 'Point', 'coordinates': [-73.889043814866, 40.855321885296]}",,206.0,2030650027.0,,39100.0,
"{'type': 'Point', 'coordinates': [-73.906231889582, 40.705221097962]}",,405.0,4034780014.0,,58900.0,
"{'type': 'Point', 'coordinates': [-73.788373837829, 40.726830224622]}",,408.0,4072290020.0,,127700.0,
"{'type': 'Point', 'coordinates': [-74.008137748225, 40.742299776174]}",,104.0,1007120006.0,,8300.0,
"{'type': 'Point', 'coordinates': [-73.805825205075, 40.700986095563]}",,412.0,4099980110.0,,20800.0,
"{'type': 'Point', 'coordinates': [-73.961601957407, 40.818638955148]}",,,,,,
"{'type': 'Point', 'coordinates': [-74.009784953715, 40.704279137344]}",,101.0,1000307501.0,,900.0,
"{'type': 'Point', 'coordinates': [-73.97596120472, 40.744677255478]}",Establishment re-opened by DOHMH.,106.0,1009140035.0,0.0,7000.0,Pizza
"{'type': 'Point', 'coordinates': [-73.944660072882, 40.711556311104]}",,301.0,3027880016.0,,49500.0,
"{'type': 'Point', 'coordinates': [-73.947520818142, 40.724836845616]}",,301.0,3026830005.0,,57100.0,
,Violations were cited in the following area(s).,,,22.0,,Latin American
"{'type': 'Point', 'coordinates': [-73.991681908845, 40.741542208716]}",,105.0,1008230070.0,,5800.0,
"{'type': 'Point', 'coordinates': [-73.962691238197, 40.687058270958]}",,302.0,3019650039.0,,20100.0,
"{'type': 'Point', 'coordinates': [-74.026589390095, 40.63436699933]}",,310.0,3058910013.0,,6800.0,
"{'type': 'Point', 'coordinates': [-73.97458305989, 40.686962712621]}",,302.0,3021160021.0,,3500.0,
"{'type': 'Point', 'coordinates': [-73.962741121417, 40.688123259564]}",,302.0,3019480001.0,,23100.0,
"{'type': 'Point', 'coordinates': [-73.988599366875, 40.766615325711]}",,104.0,1010640001.0,,13900.0,
,,,1.0,,,
"{'type': 'Point', 'coordinates': [-73.995146879965, 40.6839379416]}",,306.0,3003260062.0,,6700.0,
"{'type': 'Point', 'coordinates': [-73.783170111335, 40.712805679023]}",,408.0,4099370042.0,,46600.0,
"{'type': 'Point', 'coordinates': [-73.983081533353, 40.744697739719]}",,105.0,1008600037.0,,7400.0,
"{'type': 'Point', 'coordinates': [-73.954270811296, 40.730389652883]}",Establishment re-opened by DOHMH.,301.0,3025590001.0,0.0,57500.0,Hamburgers
"{'type': 'Point', 'coordinates': [-73.967095236332, 40.633341555222]}",,314.0,3054250083.0,,48200.0,
"{'type': 'Point', 'coordinates': [-73.935311525967, 40.703100269006]}",,301.0,3031170037.0,,48500.0,
,,,,,,
"{'type': 'Point', 'coordinates': [-73.975488991143, 40.762729442799]}",Violations were cited in the following area(s).,105.0,1012720020.0,34.0,11201.0,Other
"{'type': 'Point', 'coordinates': [-73.978963829771, 40.744579033857]}",,106.0,1008880037.0,,7200.0,
,Violations were cited in the following area(s).,,1.0,33.0,,Pizza
"{'type': 'Point', 'coordinates': [-73.978348183042, 40.729005128428]}",,103.0,1004070034.0,,3400.0,
"{'type': 'Point', 'coordinates': [-73.996575381015, 40.740518662562]}",,104.0,1007940009.0,,8700.0,
"{'type': 'Point', 'coordinates': [-74.19666417106, 40.513729417996]}",,503.0,5066660008.0,,19800.0,
,,,1.0,,,
"{'type': 'Point', 'coordinates': [-73.995129970237, 40.717866059963]}",,102.0,1002390029.0,,4100.0,
"{'type': 'Point', 'coordinates': [-73.981106698925, 40.747412001006]}",Violations were cited in the following area(s).,106.0,1008640035.0,13.0,7400.0,Asian/Asian Fusion
"{'type': 'Point', 'coordinates': [-73.986348218206, 40.759124635911]}",No violations were recorded at the time of this inspection.,105.0,1010180006.0,0.0,12500.0,American
"{'type': 'Point', 'coordinates': [-73.958155039926, 40.721649053993]}",,301.0,3022950018.0,,55700.0,
"{'type': 'Point', 'coordinates': [-73.991944239076, 40.750654836632]}",No violations were recorded at the time of this inspection.,105.0,1007810001.0,0.0,10100.0,Hotdogs
"{'type': 'Point', 'coordinates': [-73.992857798725, 40.713133960065]}",,103.0,1002750028.0,,800.0,
,Violations were cited in the following area(s).,,,24.0,,African
,,,1.0,,,
"{'type': 'Point', 'coordinates': [-73.989349519271, 40.748763484815]}",,105.0,1008077503.0,,10100.0,
"{'type': 'Point', 'coordinates': [-73.943271034797, 40.707696485365]}",No violations were recorded at the time of this inspection.,301.0,3030520022.0,0.0,50500.0,Not Listed/Not Applicable
"{'type': 'Point', 'coordinates': [-73.984267601047, 40.74999804304]}",,105.0,1008380035.0,,8400.0,
,,,1.0,,,
"{'type': 'Point', 'coordinates': [-73.796622785107, 40.773536399656]}",,407.0,4049150016.0,,114100.0,
"{'type': 'Point', 'coordinates': [-73.982266967297, 40.767808491195]}",,104.0,1010497501.0,,14500.0,
"{'type': 'Point', 'coordinates': [-73.987849705278, 40.759871379059]}",,105.0,1010187502.0,,12500.0,
"{'type': 'Point', 'coordinates': [-74.031713936803, 40.621830268731]}",,310.0,3060620001.0,,6000.0,
,,,,,,
"{'type': 'Point', 'coordinates': [-73.864195454235, 40.752748606377]}",,403.0,4017680043.0,,40500.0,
"{'type': 'Point', 'coordinates': [-73.977595140586, 40.758003399168]}",,105.0,1012650050.0,,10400.0,
"{'type': 'Point', 'coordinates': [-73.988974463331, 40.747009546852]}",,105.0,1008320001.0,,7600.0,
"{'type': 'Point', 'coordinates': [-73.995760844883, 40.724530380047]}",,102.0,1005107502.0,,4300.0,
"{'type': 'Point', 'coordinates': [-73.876861149663, 40.839974633723]}",No violations were recorded at the time of this inspection.,206.0,2040040011.0,0.0,22000.0,Donuts
"{'type': 'Point', 'coordinates': [-73.918860491636, 40.704083415091]}",,304.0,3032490002.0,,44500.0,
"{'type': 'Point', 'coordinates': [-73.896295312326, 40.705218031201]}",,405.0,4036250031.0,,58100.0,
"{'type': 'Point', 'coordinates': [-73.985948643127, 40.753936992473]}",,105.0,1009930029.0,,11300.0,
,,,4.0,,,
"{'type': 'Point', 'coordinates': [-73.932926711548, 40.703925075043]}",,301.0,3031180019.0,,48500.0,
"{'type': 'Point', 'coordinates': [-73.829242612573, 40.759791642744]}",,407.0,4049800011.0,,87100.0,
"{'type': 'Point', 'coordinates': [-73.829235428489, 40.759777908235]}",,407.0,4050190005.0,,85300.0,
"{'type': 'Point', 'coordinates': [-73.9925763627, 40.74608210698]}",,105.0,1008020075.0,,9500.0,
"{'type': 'Point', 'coordinates': [-73.980805293559, 40.728871072395]}",,103.0,1004060059.0,,3400.0,
"{'type': 'Point', 'coordinates': [-74.010392933756, 40.717415550492]}",,101.0,1001410020.0,,3900.0,
"{'type': 'Point', 'coordinates': [-73.983682582468, 40.751348383638]}",,105.0,1008390060.0,,8400.0,
"{'type': 'Point', 'coordinates': [-73.986653743397, 40.747626871722]}",,105.0,1008330057.0,,7600.0,
"{'type': 'Point', 'coordinates': [-73.989170318235, 40.763192668635]}",,104.0,1010590032.0,,12700.0,
"{'type': 'Point', 'coordinates': [-73.988402066414, 40.718140053728]}",,103.0,1003527501.0,,1800.0,
"{'type': 'Point', 'coordinates': [-73.954743627621, 40.777794593983]}",,108.0,1015130037.0,,14801.0,
"{'type': 'Point', 'coordinates': [-73.950989833247, 40.780891880006]}",,108.0,1015350028.0,,15400.0,
"{'type': 'Point', 'coordinates': [-73.970262893814, 40.752460063335]}",,106.0,1013390001.0,,9000.0,
,,,1.0,,,
"{'type': 'Point', 'coordinates': [-73.964626251757, 40.64883236759]}",,314.0,3050770031.0,,50600.0,
"{'type': 'Point', 'coordinates': [-73.982039452071, 40.728083524492]}",,103.0,1004040060.0,,3400.0,
,Violations were cited in the following area(s).,,2.0,16.0,,Spanish
"{'type': 'Point', 'coordinates': [-73.792682270356, 40.725493153573]}",,408.0,4070130041.0,,124700.0,
"{'type': 'Point', 'coordinates': [-73.901854104064, 40.851098414705]}",,205.0,2028140076.0,,38100.0,
"{'type': 'Point', 'coordinates': [-74.009861037008, 40.706587482858]}",,101.0,1000260021.0,,700.0,
"{'type': 'Point', 'coordinates': [-73.992239225365, 40.758941286674]}",,104.0,1010330161.0,,12100.0,
"{'type': 'Point', 'coordinates': [-73.977937228646, 40.760484727373]}",,105.0,1012687501.0,,10400.0,
"{'type': 'Point', 'coordinates': [-73.935986521997, 40.713747613266]}",,301.0,3029240019.0,,48100.0,
"{'type': 'Point', 'coordinates': [-73.821977358429, 40.864319897083]}",Violations were cited in the following area(s).,210.0,2051350210.0,13.0,30200.0,American
"{'type': 'Point', 'coordinates': [-73.924591773798, 40.707026977846]}",,301.0,3030070003.0,,45300.0,
,,,,,,
,Violations were cited in the following area(s).,,1.0,12.0,,Other
"{'type': 'Point', 'coordinates': [-74.008650293747, 40.743081996014]}",,104.0,1006620003.0,,9900.0,
"{'type': 'Point', 'coordinates': [-73.990182515985, 40.729149479607]}",,103.0,1004637501.0,,3800.0,
"{'type': 'Point', 'coordinates': [-73.999574215087, 40.734743730001]}",,102.0,1006060093.0,,7100.0,
"{'type': 'Point', 'coordinates': [-73.935065160219, 40.796452209635]}",,111.0,1017100049.0,,17800.0,
"{'type': 'Point', 'coordinates': [-73.924966036042, 40.755658988379]}",No violations were recorded at the time of this inspection.,401.0,4006400004.0,0.0,5700.0,American
"{'type': 'Point', 'coordinates': [-74.003034609047, 40.734513130444]}",,102.0,1006110004.0,,7300.0,
,,,,,,
"{'type': 'Point', 'coordinates': [-74.101604794022, 40.589208953503]}",,502.0,5035310009.0,,11401.0,
"{'type': 'Point', 'coordinates': [-73.960184888403, 40.813966918793]}",,109.0,1019930037.0,,21100.0,
"{'type': 'Point', 'coordinates': [-74.002876268375, 40.744344876743]}",,104.0,1007430083.0,,8900.0,
"{'type': 'Point', 'coordinates': [-73.97704000693, 40.755845908604]}",,105.0,1012820021.0,,9400.0,
"{'type': 'Point', 'coordinates': [-73.990607118917, 40.737249315882]}",,105.0,1008460019.0,,5200.0,
,Violations were cited in the following area(s).,,,35.0,,Pancakes/Waffles
"{'type': 'Point', 'coordinates': [-73.985696709367, 40.750580119388]}",,105.0,1008370072.0,,8400.0,
,Violations were cited in the following area(s).,,4.0,27.0,,Italian
,Violations were cited in the following area(s).,,,13.0,,Chinese
"{'type': 'Point', 'coordinates': [-73.937939765404, 40.796785914021]}",,111.0,1016650028.0,,18800.0,
,Violations were cited in the following area(s).,,1.0,32.0,,African
,,,4.0,,,
"{'type': 'Point', 'coordinates': [-73.928513781984, 40.866573672969]}",,112.0,1022470001.0,,29500.0,
