camis,latitude,:@computed_region_f5dn_yrer,critical_flag,street,grade,longitude-:@computed_region_92fq_4b7q
50166684,40.750580119388,11.0,Not Applicable,WEST   36 STREET,,-73.985696709367-51.0
50179425,40.744579033857,71.0,Not Applicable,3 AVENUE,,-73.978963829771-50.0
50148177,40.513729417996,15.0,Not Applicable,SEGUINE AVENUE,,-74.19666417106-9.0
50173919,40.70226090071,42.0,Not Applicable,STANHOPE STREET,,-73.918880751316-37.0
50178013,40.71749826812,70.0,Not Applicable,BOWERY,,-73.99529954546-32.0
50153750,0.0,,Not Applicable,LAGURADIA AIRPORT,,0.0-nan
50175120,40.761325854514,22.0,Not Applicable,MAIN STREET,,-73.831021904939-3.0
50178785,40.854383985199,6.0,Not Applicable,WEST BURNSIDE AVENUE,,-73.915853221473-29.0
50172037,40.755634159504,11.0,Not Applicable,PARK AVENUE,,-73.975109006874-51.0
50178959,40.706587482858,56.0,Not Applicable,WALL STREET,,-74.009861037008-32.0
50167578,40.734513130444,57.0,Not Applicable,WEST    4 STREET,,-74.003034609047-10.0
50153385,,,Not Applicable,AIRPORT,,nan-nan
50174993,40.733785220688,70.0,Not Applicable,EAST   14 STREET,,-73.988392116202-50.0
50169423,40.737455140594,11.0,Not Applicable,BROADWAY,,-73.990217372423-50.0
50179191,40.724530380047,57.0,Not Applicable,LAFAYETTE STREET,,-73.995760844883-32.0
50176479,40.755845908604,11.0,Not Applicable,MADISON AVENUE,,-73.97704000693-51.0
50141787,,,Not Critical,TERMINAL    1,,nan-nan
50167409,40.612538973812,4.0,Not Applicable,VICTORY BOULEVARD,,-74.129481726979-14.0
50105933,0.0,,Not Critical,WHITE PLAINS ROAD,,0.0-nan
50124776,40.747412001006,71.0,Not Critical,PARK AVENUE,A,-73.981106698925-50.0
50177282,40.74691311625,11.0,Not Applicable,5 AVENUE,,-73.985679454661-51.0
50174583,40.728083524492,70.0,Not Applicable,AVENUE A,,-73.982039452071-50.0
50151585,40.86172225875,6.0,Not Critical,GRAND CONCOURSE,Z,-73.897543430151-29.0
50176313,40.805942977365,37.0,Not Applicable,BROADWAY,,-73.965416591482-23.0
50170918,40.743081996014,12.0,Not Applicable,11 AVENUE,,-74.008650293747-10.0
50168983,40.753037571144,12.0,Not Applicable,HUDSON YARDS,,-74.000281528635-10.0
50167195,40.777944843112,20.0,Not Applicable,BROADWAY,,-73.982076501289-19.0
50105419,40.705221097962,54.0,Not Applicable,WOODWARD AVENUE,,-73.906231889582-34.0
50175668,40.633341555222,60.0,Not Applicable,CONEY ISLAND AVENUE,,-73.967095236332-11.0
50165042,40.727510543681,40.0,Not Applicable,QUEENS BOULEVARD,,-73.855270484882-28.0
50166749,40.759871379059,11.0,Not Applicable,8 AVENUE,,-73.987849705278-10.0
50175171,40.683215944265,14.0,Not Applicable,SMITH STREET,,-73.992828565498-38.0
50159472,40.751348383638,11.0,Not Applicable,WEST   38 STREET,,-73.983682582468-51.0
50141803,40.733275176029,57.0,Not Applicable,CHRISTOPHER STREET,,-74.004925284301-10.0
41606171,,,Not Critical,EAST   14 STREET,,nan-nan
50178746,40.736873453731,11.0,Not Applicable,5 AVENUE,,-73.992992365827-10.0
50159268,40.747626871722,11.0,Not Applicable,WEST   32 STREET,,-73.986653743397-51.0
50161512,40.739101960026,11.0,Not Applicable,BROADWAY,,-73.989773273905-50.0
50171775,40.749457575625,65.0,Not Applicable,37 AVENUE,,-73.886918181972-5.0
50178523,40.750541907818,11.0,Not Applicable,HERALD SQUARE,,-73.987541021756-51.0
50144391,0.0,,Not Critical,ADAM CLAYTON POWELL JR BOULEVARD,A,0.0-nan
41086967,,,Not Critical,DYCKMAN STREET,A,nan-nan
50160229,40.736609791786,11.0,Not Applicable,UNION SQUARE WEST,,-73.990679378381-50.0
50130609,40.721837387655,54.0,Not Applicable,69 STREET,,-73.893054937639-34.0
50178968,40.750541907818,11.0,Not Applicable,HERALD SQUARE,,-73.987541021756-51.0
50177587,40.845321615242,47.0,Not Applicable,BROADWAY,,-73.938714771609-39.0
50110283,40.686962712621,68.0,Not Applicable,SOUTH PORTLAND AVENUE,,-73.97458305989-48.0
50082357,40.707696485365,36.0,Not Applicable,GRAHAM AVENUE,,-73.943271034797-30.0
50179816,40.599642209161,30.0,Not Applicable,BRADLEY AVENUE,,-74.131015862648-13.0
50170020,40.721524389825,70.0,Not Applicable,STANTON STREET,,-73.988780276159-32.0
50172715,40.759791642744,22.0,Not Applicable,ROOSEVELT AVENUE,,-73.829242612573-3.0
50176328,40.688123259564,68.0,Not Applicable,GRAND AVENUE,,-73.962741121417-48.0
41702724,0.0,,Critical,KNICKERBOCKER AVENUE,,0.0-nan
50159261,40.813966918793,37.0,Not Applicable,LA SALLE STREET,,-73.960184888403-23.0
50156672,40.589208953503,30.0,Not Applicable,RICHMOND ROAD,,-74.101604794022-14.0
50179845,40.64883236759,60.0,Not Applicable,CHURCH AVENUE,,-73.964626251757-11.0
50162243,0.0,,Not Applicable,65 STREET TRANVERSE,,0.0-nan
50152404,40.675042225922,14.0,Not Applicable,COURT STREET,,-73.999433998646-27.0
50066463,0.0,,Critical,AVENUE OF TH AMERICAS,A,0.0-nan
50126972,0.0,,Not Applicable,65 STREET,,0.0-nan
41298621,0.0,,Critical,EAST  163 STREET,,0.0-nan
50162703,40.645999717019,2.0,Not Applicable,8 AVENUE,,-73.998609037843-7.0
50179487,40.748763484815,11.0,Not Applicable,WEST   32 STREET,,-73.989349519271-10.0
41450634,,,Critical,BEACH AVENUE,A,nan-nan
50166521,40.732472337326,71.0,Not Applicable,1 AVENUE,,-73.981616102436-50.0
50163931,40.733169214463,36.0,Not Applicable,MCGUINNESS BOULEVARD,,-73.952100331158-38.0
50164522,40.744697739719,11.0,Not Applicable,PARK AVENUE SOUTH,,-73.983081533353-50.0
50180213,40.747009546852,11.0,Not Applicable,WEST   30 STREET,,-73.988974463331-10.0
50173077,40.729005128428,70.0,Not Applicable,AVENUE B,,-73.978348183042-50.0
41629759,,,Critical,65 STREET,A,nan-nan
50179290,40.835687732775,34.0,Not Applicable,3 AVENUE,,-73.903051425129-42.0
50063834,0.0,,Critical,INTREPID SQUARE,A,0.0-nan
50176473,40.759777908235,22.0,Not Applicable,ROOSEVELT AVENUE,,-73.829235428489-3.0
50163417,40.734743730001,57.0,Not Applicable,WEST   10 STREET,,-73.999574215087-10.0
50174658,40.737249315882,11.0,Not Applicable,EAST   17 STREET,,-73.990607118917-50.0
50157273,40.671151849168,14.0,Not Applicable,5 AVENUE,,-73.984635945638-27.0
50180152,40.780891880006,23.0,Not Applicable,EAST   90 STREET,,-73.950989833247-1.0
50171285,40.749285658502,65.0,Not Applicable,81 STREET,,-73.885164432642-21.0
41380885,0.0,,Critical,FRDERICK DOUGLASS BOULEVARD,,0.0-nan
50160550,40.629358611568,10.0,Not Applicable,5 AVENUE,,-74.022678536659-44.0
50180046,40.713133960065,70.0,Not Applicable,HENRY STREET,,-73.992857798725-32.0
50177848,40.703100269006,36.0,Not Applicable,COOK STREET,,-73.935311525967-30.0
50017416,40.839974633723,35.0,Not Applicable,EAST TREMONT AVENUE,A,-73.876861149663-22.0
50179194,40.823930164063,8.0,Not Applicable,EAST  165 STREET,,-73.894722120026-43.0
50179208,40.63436699933,10.0,Not Applicable,3 AVENUE,,-74.026589390095-44.0
50178793,0.0,,Not Applicable,CENTRAL TERMINAL AREA,,0.0-nan
50094389,40.574551384379,21.0,Not Applicable,STILLWELL AVENUE,,-73.981004597151-45.0
50150867,,,Not Applicable,TERMINALS C CONCOURSE D,,nan-nan
50178552,40.811254040502,18.0,Not Applicable,F DOUGLASS BOULEVARD,,-73.950385774601-36.0
50178657,40.796785914021,7.0,Not Applicable,2 AVENUE,,-73.937939765404-35.0
50105272,0.0,,Not Applicable,FREDERICK DOUGLASS BOULEVARD,,0.0-nan
41521007,,,Critical,US AIRWAYS TERMINAL,A,nan-nan
50179527,40.687058270958,68.0,Not Applicable,GREENE AVENUE,,-73.962691238197-48.0
50121525,40.60499342239,1.0,Not Critical,KINGS HIGHWAY,,-73.978705471092-45.0
50047152,40.864319897083,43.0,Critical,EINSTEIN LOOP,A,-73.821977358429-2.0
50172926,40.686877291245,68.0,Not Applicable,SMITH STREET,,-73.990347416605-38.0
50161181,40.717866059963,57.0,Not Applicable,BOWERY,,-73.995129970237-32.0
50167560,40.742299776174,12.0,Not Applicable,10 AVENUE,,-74.008137748225-10.0
50178995,40.862479702762,47.0,Not Applicable,9 AVENUE,,-73.917932585196-39.0
50165127,40.725493153573,25.0,Not Applicable,UNION TURNPIKE,,-73.792682270356-24.0
50152083,40.76213879279,23.0,Not Applicable,2 AVENUE,,-73.963233813411-51.0
50173914,40.74946359475,11.0,Not Applicable,7 AVENUE,,-73.991724225709-10.0
50160730,40.728871072395,70.0,Not Applicable,EAST   12 STREET,,-73.980805293559-50.0
50178825,40.755584834602,65.0,Not Applicable,NORTHERN BOULEVARD,,-73.885110217458-5.0
41032752,0.0,,Critical,EAST   32 STREET,A,0.0-nan
50170257,40.703304419929,56.0,Not Applicable,WHITEHALL STREET,,-74.013037997991-32.0
50173755,40.717761761063,57.0,Not Applicable,BOWERY,,-73.995184089244-32.0
50142842,40.75923943664,11.0,Not Applicable,WEST   48 STREET,,-73.982785441519-51.0
50044592,40.750654836632,11.0,Not Applicable,PENN PLAZA,A,-73.991944239076-10.0
50134700,40.752130625428,11.0,Not Applicable,WEST   39 STREET,,-73.983577720644-51.0
50179837,40.761320327799,22.0,Not Applicable,MAIN STREET,,-73.830996650422-3.0
50172508,40.718140053728,70.0,Not Applicable,ESSEX STREET,,-73.988402066414-32.0
41172425,,,Critical,RICHMOND ROAD,,nan-nan
50179428,40.671829051876,62.0,Not Applicable,79 STREET,,-73.856675135856-41.0
50163442,,,Not Applicable,INTERNATIONAL AIRPORT,,nan-nan
50180187,40.703925075043,36.0,Not Applicable,BOGART STREET,,-73.932926711548-30.0
50179988,40.819672925094,49.0,Not Applicable,COURTLANDT AVENUE,,-73.918133711201-43.0
50067646,40.762729442799,11.0,Critical,WEST   56 STREET,Z,-73.975488991143-51.0
50179744,40.74999804304,11.0,Not Applicable,WEST   36 STREET,,-73.984267601047-51.0
50158848,40.761061935614,11.0,Not Applicable,EAST   57 STREET,,-73.96948654606-51.0
50158105,40.855321885296,35.0,Not Applicable,HOFFMAN STREET,,-73.889043814866-22.0
50175302,40.754930345322,11.0,Not Applicable,AVENUE OF THE AMERICAS,,-73.984035427203-51.0
50174170,40.724836845616,36.0,Not Applicable,NASSAU AVENUE,,-73.947520818142-38.0
50171661,40.693833964755,68.0,Not Applicable,WAVERLY AVENUE,,-73.967955979926-48.0
50104962,0.0,,Critical,DR MARTIN L KING JR BLVE,Z,0.0-nan
50173134,40.6839379416,14.0,Not Applicable,COURT STREET,,-73.995146879965-27.0
50178873,40.74608210698,11.0,Not Applicable,WEST   27 STREET,,-73.9925763627-10.0
50017190,40.680776096245,16.0,Not Applicable,FLATBUSH AVENUE,,-73.975064947193-48.0
50172606,40.763192668635,12.0,Not Applicable,9 AVENUE,,-73.989170318235-10.0
50179092,40.700828124574,41.0,Not Applicable,ARCHER AVENUE,,-73.80655057604-6.0
41063300,0.0,,Critical,HORACE HARDING EXPRESS,Z,0.0-nan
50176398,40.741752906188,11.0,Not Applicable,PARK AVENUE SOUTH,,-73.985229477097-50.0
50168600,40.751535084739,71.0,Not Applicable,EAST   45 STREET,,-73.970284963875-51.0
50178253,40.713747613266,36.0,Not Applicable,DEVOE STREET,,-73.935986521997-30.0
50172798,40.744015011954,11.0,Not Applicable,BROADWAY,,-73.988978569661-10.0
50174000,40.682411896544,69.0,Not Applicable,MALCOLM X BOULEVARD,,-73.928964350006-49.0
50172713,40.728975903773,70.0,Not Applicable,1 AVENUE,,-73.984290623383-50.0
50149388,40.766568442385,39.0,Not Applicable,47 STREET,,-73.905123532108-4.0
50180338,0.0,,Not Applicable,SEDGWICK AVENUE,,0.0-nan
50170552,40.752748606377,65.0,Not Applicable,103 STREET,,-73.864195454235-21.0
50122846,40.744677255478,71.0,Not Applicable,2 AVENUE,,-73.97596120472-50.0
50078733,40.730389652883,36.0,Not Applicable,MANHATTAN AVENUE,C,-73.954270811296-38.0
50180332,40.729149479607,70.0,Not Applicable,COOPER SQUARE,,-73.990182515985-50.0
50176724,40.689884817399,69.0,Not Applicable,LEWIS AVENUE,,-73.93643862298-49.0
50174083,40.777794593983,23.0,Not Applicable,3 AVENUE,,-73.954743627621-1.0
41248866,0.0,,Critical,FREDERICK DOUGLASS BOULEVARD,,0.0-nan
50175873,40.707026977846,36.0,Not Applicable,FLUSHING AVENUE,,-73.924591773798-30.0
50170521,40.726358363178,57.0,Not Applicable,VANDAM STREET,,-74.005014968398-10.0
50164043,,,Not Applicable,INTERNATIONAL AIRPORT TERMINAL 5,,nan-nan
50169655,40.575579011727,21.0,Not Applicable,BRIGHTON    4 STREET,,-73.962973330361-15.0
40380164,0.0,,Critical,EAST  188 TH STREET,B,0.0-nan
50044605,40.750654836632,11.0,Not Applicable,PENN PLAZA,A,-73.991944239076-10.0
50177653,40.760484727373,11.0,Not Applicable,WEST   52 STREET,,-73.977937228646-51.0
50145645,40.758003399168,11.0,Not Applicable,5 AVENUE,,-73.977595140586-51.0
50173385,40.746894214295,11.0,Not Applicable,BROADWAY,,-73.988440349399-10.0
50144080,40.721649053993,36.0,Not Applicable,WYTHE AVENUE,,-73.958155039926-38.0
50179242,40.753936992473,11.0,Not Applicable,BRYANT PARK,,-73.985948643127-51.0
50171357,40.767808491195,12.0,Not Applicable,COLUMBUS CIRCLE,,-73.982266967297-10.0
50140617,40.750509164767,11.0,Not Applicable,WEST   34 STREET,,-73.989479170444-10.0
50179217,40.758941286674,12.0,Not Applicable,9 AVENUE,,-73.992239225365-10.0
50176977,40.752460063335,71.0,Not Applicable,2 AVENUE,,-73.970262893814-51.0
50163756,40.73325562509,70.0,Not Applicable,4 AVENUE,,-73.989914897004-50.0
