indicator_name,_9,_4,_3,_6
Cases filed (%) - Bias-related harassment,1%,1%,2%,1%
Narcotics recovery rate (average per 100 Total ADP),0.04,0.03,0.02,0.05
Children eligible for adoption who are adopted (%),69.90%,65.30%,76.70%,70.20%
Complaint processing time 21-50 days (%),32%,16%,35%,42%
Inspected stores complying with tobacco regulations (%),90%,84%,82%,86%
Abuse and/or neglect reports for children in foster care that are substantiated (%),34.70%,14.90%,14.60%,30.00%
Complaint processing time 51-90 days (%),3%,30%,26%,21%
Children adopted,"1,186","1,831","2,364","1,472"
Average number of bidders per bid,4.6,5,5.1,4.6
Percentage of test-takers passing the National Council Licensure Examination for Registered Nurses (NCLEX),85.50%,84.50%,85.30%,86.30%
Child abuse and/or neglect allegation rate (internal) (average per 100 Total ADP),0.09,0.1,0.1,0.08
Children eligible for adoption (average),"1,697","2,805","3,083","2,098"
Children returned to parent(s) within 12 months (%),61.50%,55.60%,44.90%,66.80%
Abuse and/or neglect reports for children in foster care,"2,040","1,256","1,095","1,650"
Circulation (000),"20,280","15,923","14,000","16,825"
Public wholesale market background investigations completed (total),397,114,,158
General healthcare cost per youth per day ($),$47 ,$59 ,$49 ,$83 
Violations issued to private carters - Total,"1,280",308,136,620
Carting licenses approved - New and Renewal,95,124,176,100
311 calls (000),"21,730.00","14,245.40","12,503.20","15,212.90"
Cost per foster care case $ - Congregate care by level of need - Level 1,$252.76 ,$144.57 ,$134.90 ,$201.88 
Cases filed,444,312,401,466
Age of cases when substantiated by date of incident (6-11 months),50%,52%,46%,44%
Number of fines collected within 45 days of assessment (%),84%,75%,72%,77%
Residents seen within 24 hours of sick call report (%),100%,99%,99%,97%
Total admissions,"4,868","5,973","5,252","5,490"
Complaints about 311 per million calls,24.9,,,36.5
Indication rate,40.10%,41.30%,28.70%,39.90%
Carting applications denied (%) - Total,3.60%,4.10%,3.80%,4.10%
Mediation resolution rate,,96%,95%,94%
Average building cleanliness and condition rating for DCAS-managed office buildings (%),67%,,,
Students passing the New York State Teacher Certification Examination (%),97.00%,98.00%,96.00%,97.00%
Average time to complete adoption (years),3,3.5,3.4,3.4
Civilians who accepted mediation (%),,45%,42%,
Age of docket by date of report (1 year or older),4%,,,7%
Consumer Protection Law - refund and receipt compliance rate (%),91%,91%,89%,90%
Number of students transferring to a CUNY baccalaureate program within two years of leaving a CUNY associate program,"7,311","5,554","5,564","5,605"
Docketed complaints - Debt collection agency,627,,,
Cases referred to mediation,626,418,327,368
Youth on Youth Assaults and Altercations with Injury Rate (per 100 total ADP),0.36,0.3,0.23,0.37
Age of docket by date of report (0-4 months),70%,70%,66%,64%
Reference queries (000),"3,401","3,572","5,183","3,450"
Children in foster kinship homes,"5,178","4,011","4,669","5,399"
Average age of open docket (days),,,,
Average square feet of office space per employee,268,,,
Combined average length of stay (ALOS) in secure and non-secure detention (days),26,27,29,28
Age of docket by date of report (18 months and older),,,,
Average Daily Population in Detention (Total),337.4,448.7,425.4,426.4
Age of cases when substantiated by date of incident (0-5 months),5%,20%,13%,8%
In-care youth who were referred for mental health services (%),44.00%,,,
Children placed in foster care in their borough,60.40%,74.10%,76.80%,54.00%
Violations issued to public wholesale markets and businesses,345,306,190,551
Officers who accepted mediation (%),,68%,67%,68%
"Conferences, workshops and training sessions","1,206",728,659,735
Youth on Staff Assaults and Altercations with Injury Rate (per 100 Total ADP),0.03,0.03,0.02,0.03
Child abuse/neglect allegations cases (internal) reported by OCFS as Substantiated,13,,,
Call takers time occupied (%),80%,67%,73%,63%
Siblings placed simultaneously in the same foster home,85.00%,90.20%,91.40%,79.70%
Cases closed through the mediation unit,417,246,156,171
Public wholesale market registrations approved - New and Renewal,80,44,18,40
Cases closed,462,456,492,477
Age of cases when substantiated by date of incident (12-14 months),30%,18%,28%,28%
Program sessions,"43,748","36,047","33,702","43,862"
Abuse and/or neglect reports for children in foster care and child care that are substantiated (%) (Preliminary),33.90%,16.60%,15.20%,29.40%
Docketed complaints - Home improvement contractor,592,,,957
Age of mediation docket by date of referral to mediation unit (12 months and older),0%,0%,0%,0%
Cases pending by age - 3-5 years old,5,15,23,7
Total library attendance (000),"12,341","10,210","9,910","12,915"
Contracted Family Child Care capacity filled (%),94.00%,97.90%,92.90%,98.40%
Cases referred to the Office of Administrative Trials and Hearings,59,29,32,29
Computers for public use,"1,108","1,009",994,"1,108"
Modifications for accessibility,187,185,156,217
Average time to approve carting licenses (days) - New and Renewal,155,285,776,206
High school students participating in college preparation programs through the College Now program,"27,122","52,828","54,602","48,234"
The mean SAT score of enrolled freshmen in baccalaureate programs at senior colleges (excluding comprehensive colleges),"1,100.00","1,041.00","1,041.00","1,036.00"
Community-based technical assistance,"17,055","11,628","10,562","11,920"
Cost per child care slot - Family child care (contract) ($),"$8,044 ","$6,942 ","$5,950 ","$7,306 "
Total Number of Children using Vouchers for Child Care (Low-Income Working/ Other Families),"18,595","20,175","18,161","23,281"
Cases closed (%) - No probable cause determination,44%,47%,47%,53%
Licensing Law compliance rate (%),92%,82%,78%,88%
Cases pending by age - Older than 5 years,0,2,20,0
Children in substantiated investigations with repeat substantiated investigations within a year (%) (Preliminary),17.10%,12.60%,11.50%,14.20%
Program attendance,"855,713","649,319","625,416","894,648"
Children who re-enter foster care within a year of discharge to a family,11.20%,7.80%,8.70%,11.10%
Abuse and/or neglect reports responded to within 24 hours of receipt from the State Central Registry (%) *,93.50%,94.30%,96.40%,97.30%
Average time to complete a full investigation (days),282,288,292,306
Average time to complete in-house trade shop work orders (days),8.2,,,8.2
Children entering foster care who are placed with relatives,27.00%,25.30%,21.40%,24.30%
Complaints resolved to the satisfaction of the businesses and consumers (%),56%,50%,59%,57%
Youth(s) with previous admissions to detention (%),54.00%,42.90%,44.20%,47.50%
Average daily cost per juvenile in detention ($),$705 ,$476 ,$439 ,$588 
Carting registrations approved - New and Renewal,860,410,659,485
Library card holders (000),741,"1,029",999,"1,075"
Cases closed,"6,149",,,
In-care youth who were referred for and received mental health services (%),48.00%,,,
Children placed in foster care in their community,35.10%,38.00%,43.40%,29.10%
Total civilian complaints against uniformed members of the NYPD,"6,259","7,349","6,360","7,488"
Average time to approve public wholesale market registrations (days) - New and Renewal,221,,,280
Average cost of cleaning per square foot ($),$2.90 ,$2.00 ,$1.70 ,$2.40 
Cases pending by age - Less than one year,438,329,396,433
Six-year graduation rate of full-time first-time freshmen seeking a baccalaureate degree at a CUNY college,51.10%,48.60%,47.10%,49.30%
Public wholesale market applications denied (%),1.90%,2.00%,,2.10%
Carting applications denied (%) - License,9.30%,10.10%,9.20%,10.30%
Licensing center wait time (minutes),11,13,13,13
Construction projects completed early or on time (%),100%,,,100%
Median length of stay for children entering foster care for the first time who are returned to parent (months),6.4,10.3,8.2,9.3
Total Number of Children using Vouchers for Child Care (TANF),"49,889",,,"47,632"
Number of Families Entering Purchased Preventive Services,"7,865","10,671","11,965","11,227"
Average age of pending carting applications (days) - New and Renewal,167,282,519,130
Average weekly scheduled hours,35.5,37.9,35.8,46.7
Cost per foster care case $ - Congregate care by level of need - Level 2,$240.69 ,$186.29 ,$172.93 ,$215.82 
Total settlements ($000),"$7,336 ",,,"$5,266 "
Average time to complete a substantiated investigation (days),,,,
Enrollment of first-time freshmen in CUNY community colleges,"17,512","11,890","11,978","13,935"
Total contracted Child care capacity filled (%),89.90%,97.90%,92.10%,89.10%
Abscond rate in non-secure detention (average per 100 Total ADP in non-secure),0.02,0.02,0.05,0.03
Age of docket by date of report (5-12 months),27%,27%,29%,31%
Honors college student enrollment,"1,417","1,070","1,016","1,198"
Electronic visits to website (000),"5,807","3,414","2,790","3,882"
Total Enrollment in subsidized child-care (Low-income working/other and TANF),"98,643",,,"102,292"
Cases closed (%) - Probable cause determination,13%,5%,7%,6%
