indicator_name,_8
Total docketed complaints,"4,704"
Contracted Family Child Care capacity filled (%),102.50%
Six-year graduation rate of full-time first-time freshmen seeking a baccalaureate degree at a CUNY college,50.60%
Enrollment of first-time freshmen in CUNY community colleges,"17,220"
Cases closed (%) - Administrative cause,25%
Average wait time (tier 1 calls) (minutes:seconds),0:22
Mediation resolution rate,
Total Number of Children using Vouchers for Child Care,"72,200"
Violations issued - Other,996
Average time to process a purchase order (days),2.9
Complaints resolved to the satisfaction of the businesses and consumers (%),55%
Combined average length of stay (ALOS) in secure and non-secure detention (days),26
Total Enrollment in subsidized child-care (Low-income working/other and TANF),"102,246"
Abuse and/or neglect reports for children in foster care that are substantiated (%),33.30%
Computers for public use,"1,108"
Consumer Protection Law - refund and receipt compliance rate (%),93%
Average time to approve public wholesale market registrations (days) - New and Renewal,226
Average cost of training per employee ($),$179 
Cases closed (%) - Settlement,32%
Cases filed (%) - Employment discrimination,56%
Program sessions,"49,398"
