location_1,we,borough,su,fr
"{'latitude': '40.593066', 'longitude': '-73.784341'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.757877', 'longitude': '-73.784804'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.783103', 'longitude': '-73.777013'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.660152', 'longitude': '-73.739488'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.705193', 'longitude': '-73.902867'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.706755', 'longitude': '-73.753827'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.707865', 'longitude': '-73.795295'}",9:00 AM - 7:00 PM,QUEENS   ,12:00 PM - 5:00 PM,9:00 AM - 7:00 PM
"{'latitude': '40.707865', 'longitude': '-73.795295'}",9:00 AM - 9:00 PM,QUEENS   ,12:00 PM - 5:00 PM,9:00 AM - 7:00 PM
"{'latitude': '40.694619', 'longitude': '-73.861812'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.785984', 'longitude': '-73.846506'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.745388', 'longitude': '-73.715036'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.664069', 'longitude': '-73.841928'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.772173', 'longitude': '-73.928757'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.726991', 'longitude': '-73.864371'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.743081', 'longitude': '-73.825526'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.750871', 'longitude': '-73.862204'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.672568', 'longitude': '-73.770994'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
,2:30 PM - 6:00 PM,,Closed - Closed,2:30 PM - 6:00 PM
"{'latitude': '40.71258', 'longitude': '-73.880885'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.751319', 'longitude': '-73.885533'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.734936', 'longitude': '-73.755509'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.680318', 'longitude': '-73.79203'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.5863', 'longitude': '-73.815797'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.692284', 'longitude': '-73.760112'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.675084', 'longitude': '-73.809585'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.707865', 'longitude': '-73.795295'}",9:00 AM - 9:00 PM,QUEENS   ,12:00 PM - 5:00 PM,9:00 AM - 7:00 PM
"{'latitude': '40.773525', 'longitude': '-73.796552'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.57971', 'longitude': '-73.837487'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.76278', 'longitude': '-73.874016'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.758859', 'longitude': '-73.918772'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
,Closed - Closed,QUEENS   ,Closed - Closed,Closed - Closed
"{'latitude': '40.728981', 'longitude': '-73.781902'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.74172', 'longitude': '-73.782521'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.710913', 'longitude': '-73.853662'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.604487', 'longitude': '-73.752641'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.75942', 'longitude': '-73.731307'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.707865', 'longitude': '-73.795295'}",9:00 AM - 9:00 PM,QUEENS   ,12:00 PM - 5:00 PM,9:00 AM - 7:00 PM
"{'latitude': '40.757784', 'longitude': '-73.829252'}",9:00 AM - 9:00 PM,QUEENS   ,12:00 PM - 5:00 PM,9:00 AM - 7:00 PM
"{'latitude': '40.738027', 'longitude': '-73.861173'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.701022', 'longitude': '-73.83211'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.735403', 'longitude': '-73.717266'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.745524', 'longitude': '-73.90982'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.78864', 'longitude': '-73.810893'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.738498', 'longitude': '-73.877382'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.760363', 'longitude': '-73.768588'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.727126', 'longitude': '-73.893357'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.721777', 'longitude': '-73.843378'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.763998', 'longitude': '-73.809754'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.740977', 'longitude': '-73.921797'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.600838', 'longitude': '-73.820374'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.719749', 'longitude': '-73.739299'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.757826', 'longitude': '-73.938771'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.719914', 'longitude': '-73.762191'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.681283', 'longitude': '-73.847111'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
