segmentid,the_geom,rw_type,street,boro
301494,"{'type': 'MultiLineString', 'coordinates': [[[-74.00785483146097, 40.70310778901047], [-74.00767936143869, 40.70321855478787]]]}",2,F D R DRIVE,MAN
34667,"{'type': 'MultiLineString', 'coordinates': [[[-73.97579823470531, 40.74064461681907], [-73.97534263504826, 40.74127467977877]]]}",1,1 AVENUE,MAN
301495,"{'type': 'MultiLineString', 'coordinates': [[[-74.00767936143869, 40.70321855478787], [-74.00713811173041, 40.703560216747995], [-74.00695781540378, 40.70367402724842]]]}",2,F D R DRIVE,MAN
249270,"{'type': 'MultiLineString', 'coordinates': [[[-74.00006148244637, 40.70779792514992], [-74.00001705219744, 40.70782095573836]]]}",2,F D R DRIVE,MAN
19367,"{'type': 'MultiLineString', 'coordinates': [[[-73.98060324751846, 40.605227710976834], [-73.9801712802255, 40.60517880196463]]]}",1,KINGS HIGHWAY,BK
9001098,"{'type': 'MultiLineString', 'coordinates': [[[-73.93298398501807, 40.79932195110729], [-73.93291921585553, 40.79941052798935]]]}",1,1 AVENUE,MAN
9009249,"{'type': 'MultiLineString', 'coordinates': [[[-73.87796379784989, 40.64444416861513], [-73.87751948278748, 40.644042965312025]]]}",1,PENNSYLVANIA AVENUE,BK
36661,"{'type': 'MultiLineString', 'coordinates': [[[-73.95741202512652, 40.765868753886465], [-73.95695607057442, 40.766493435127]]]}",1,1 AVENUE,MAN
32807,"{'type': 'MultiLineString', 'coordinates': [[[-73.99075396816592, 40.73483915434294], [-73.98990296066164, 40.73443478993218]]]}",1,EAST 14 STREET,MAN
169639,"{'type': 'MultiLineString', 'coordinates': [[[-73.82172941304475, 40.58356270880368], [-73.82252368971497, 40.58317741397782]]]}",1,ROCKAWAY BEACH BOULEVARD,QNS
190827,"{'type': 'MultiLineString', 'coordinates': [[[-73.96959343188169, 40.749139320919994], [-73.96954460668508, 40.74920504496792]]]}",1,1 AVENUE,MAN
32897,"{'type': 'MultiLineString', 'coordinates': [[[-73.98797056968532, 40.72391488526341], [-73.98749104757326, 40.72457376287195]]]}",1,1 AVENUE,MAN
53567,"{'type': 'MultiLineString', 'coordinates': [[[-73.82148089189349, 40.583679346225765], [-73.82172941304475, 40.58356270880368]]]}",1,ROCKAWAY BEACH BOULEVARD,QNS
32044,"{'type': 'MultiLineString', 'coordinates': [[[-74.00512553468717, 40.74085021269853], [-74.00536222102257, 40.74094950264434]]]}",1,WEST 14 STREET,MAN
27106,"{'type': 'MultiLineString', 'coordinates': [[[-73.95779741106087, 40.60895744093669], [-73.95740601244292, 40.60913090811249]]]}",1,KINGS HIGHWAY,BK
9001681,"{'type': 'MultiLineString', 'coordinates': [[[-73.94659059152688, 40.780691973808295], [-73.94647764213019, 40.78084530301465]]]}",1,1 AVENUE,MAN
249269,"{'type': 'MultiLineString', 'coordinates': [[[-74.0010999908304, 40.70725959881289], [-74.00006148244637, 40.70779792514992]]]}",2,F D R DRIVE,MAN
166971,"{'type': 'MultiLineString', 'coordinates': [[[-73.94319348995879, 40.617678587922164], [-73.94310276996835, 40.61778532771909]]]}",1,KINGS HIGHWAY,BK
305539,"{'type': 'MultiLineString', 'coordinates': [[[-73.99831211235387, 40.760822069122575], [-73.99939320935542, 40.761277076008824]]]}",1,WEST 42 STREET,MAN
27106,"{'type': 'MultiLineString', 'coordinates': [[[-73.95779741106087, 40.60895744093669], [-73.95740601244292, 40.60913090811249]]]}",1,KINGS HIGHWAY,BK
9001718,"{'type': 'MultiLineString', 'coordinates': [[[-73.94588094432015, 40.78165816590426], [-73.94573785330763, 40.781854041526536]]]}",1,1 AVENUE,MAN
53601,"{'type': 'MultiLineString', 'coordinates': [[[-73.82110911941406, 40.583856800980364], [-73.82148089189349, 40.583679346225765]]]}",1,ROCKAWAY BEACH BOULEVARD,QNS
32794,"{'type': 'MultiLineString', 'coordinates': [[[-73.99361688443895, 40.73600449137932], [-73.99171498742916, 40.73521530119412]]]}",1,EAST 14 STREET,MAN
53641,"{'type': 'MultiLineString', 'coordinates': [[[-73.82033879034444, 40.58422133934803], [-73.82110911941406, 40.583856800980364]]]}",1,ROCKAWAY BEACH BOULEVARD,QNS
46914,"{'type': 'MultiLineString', 'coordinates': [[[-73.88349551791781, 40.64941055665984], [-73.88310250186392, 40.649052715094044]]]}",1,PENNSYLVANIA AVENUE,BK
46977,"{'type': 'MultiLineString', 'coordinates': [[[-73.8814817895251, 40.64760007787689], [-73.8807326757479, 40.64692762460888]]]}",1,PENNSYLVANIA AVENUE,BK
19367,"{'type': 'MultiLineString', 'coordinates': [[[-73.98060324751846, 40.605227710976834], [-73.9801712802255, 40.60517880196463]]]}",1,KINGS HIGHWAY,BK
41387,"{'type': 'MultiLineString', 'coordinates': [[[-73.9204179988144, 40.63090438394236], [-73.91954260597657, 40.631471003099314]]]}",1,FLATLANDS AVENUE,BK
29178,"{'type': 'MultiLineString', 'coordinates': [[[-73.97016463066427, 40.684591082599844], [-73.96906201984206, 40.68415736147941]]]}",1,FULTON STREET,BK
36401,"{'type': 'MultiLineString', 'coordinates': [[[-73.96162070858722, 40.76009443384769], [-73.96152208575701, 40.76023036005373]]]}",1,1 AVENUE,MAN
9001683,"{'type': 'MultiLineString', 'coordinates': [[[-73.94642443334412, 40.78091753367078], [-73.94630631715816, 40.781077876113024]]]}",1,1 AVENUE,MAN
240351,"{'type': 'MultiLineString', 'coordinates': [[[-74.00306956973111, 40.70614280305055], [-74.00303118722634, 40.70616556899512]]]}",2,F D R DRIVE,MAN
165449,"{'type': 'MultiLineString', 'coordinates': [[[-73.97041171607071, 40.749072446321065], [-73.96998692139938, 40.74886871396474]]]}",1,EAST 42 STREET,MAN
29181,"{'type': 'MultiLineString', 'coordinates': [[[-73.96892193898083, 40.684101464851835], [-73.96796054798135, 40.68372681250015]]]}",1,FULTON STREET,BK
9000990,"{'type': 'MultiLineString', 'coordinates': [[[-73.94055963759038, 40.78894946525047], [-73.94050265258782, 40.78902744083944]]]}",1,1 AVENUE,MAN
29245,"{'type': 'MultiLineString', 'coordinates': [[[-73.96796054798135, 40.68372681250015], [-73.9668896223823, 40.68348273118454]]]}",1,FULTON STREET,BK
164494,"{'type': 'MultiLineString', 'coordinates': [[[-73.98238628696872, 40.73141124348769], [-73.9823228266877, 40.73149788968038]]]}",1,1 AVENUE,MAN
292895,"{'type': 'MultiLineString', 'coordinates': [[[-73.88569041981296, 40.65195806488846], [-73.88479047318656, 40.65077192203811]]]}",1,PENNSYLVANIA AVENUE,BK
9001100,"{'type': 'MultiLineString', 'coordinates': [[[-73.93285662990314, 40.79949612185019], [-73.93279163138287, 40.79958501189852]]]}",1,1 AVENUE,MAN
33119,"{'type': 'MultiLineString', 'coordinates': [[[-73.98399733806518, 40.72936968376534], [-73.98353592495889, 40.73000772808081]]]}",1,1 AVENUE,MAN
165450,"{'type': 'MultiLineString', 'coordinates': [[[-73.96998692139938, 40.74886871396474], [-73.96989975612283, 40.74882690773285]]]}",1,EAST 42 STREET,MAN
9001096,"{'type': 'MultiLineString', 'coordinates': [[[-73.93314821690583, 40.799097347522654], [-73.93308563035829, 40.79918294061094]]]}",1,1 AVENUE,MAN
33284,"{'type': 'MultiLineString', 'coordinates': [[[-73.97934819537566, 40.7355531119325], [-73.97890917431862, 40.73616412595845]]]}",1,1 AVENUE,MAN
46406,"{'type': 'MultiLineString', 'coordinates': [[[-73.90231269756666, 40.64513470474333], [-73.90143322579232, 40.64570373042063]]]}",1,GLENWOOD ROAD,BK
27102,"{'type': 'MultiLineString', 'coordinates': [[[-73.95828056997172, 40.60874735454], [-73.95779741106087, 40.60895744093669]]]}",1,KINGS HIGHWAY,BK
165449,"{'type': 'MultiLineString', 'coordinates': [[[-73.97041171607071, 40.749072446321065], [-73.96998692139938, 40.74886871396474]]]}",1,EAST 42 STREET,MAN
33110,"{'type': 'MultiLineString', 'coordinates': [[[-73.98443161455354, 40.72876843766964], [-73.98399733806518, 40.72936968376534]]]}",1,1 AVENUE,MAN
29181,"{'type': 'MultiLineString', 'coordinates': [[[-73.96892193898083, 40.684101464851835], [-73.96796054798135, 40.68372681250015]]]}",1,FULTON STREET,BK
120767,"{'type': 'MultiLineString', 'coordinates': [[[-73.93374351881353, 40.625415611116225], [-73.93344253443692, 40.62565567803975]]]}",1,KINGS HIGHWAY,BK
46537,"{'type': 'MultiLineString', 'coordinates': [[[-73.89926539227156, 40.64710809263265], [-73.89855399316588, 40.64757243197118]]]}",1,GLENWOOD ROAD,BK
164517,"{'type': 'MultiLineString', 'coordinates': [[[-73.97944605950276, 40.73541451426949], [-73.97934819537566, 40.7355531119325]]]}",1,1 AVENUE,MAN
214487,"{'type': 'MultiLineString', 'coordinates': [[[-73.96954460668508, 40.74920504496792], [-73.96932031464223, 40.74951697388946]]]}",1,1 AVENUE,MAN
46912,"{'type': 'MultiLineString', 'coordinates': [[[-73.88370781457142, 40.6496009700043], [-73.88349551791781, 40.64941055665984]]]}",1,PENNSYLVANIA AVENUE,BK
9001685,"{'type': 'MultiLineString', 'coordinates': [[[-73.94619718761948, 40.78122601812342], [-73.94613091601796, 40.78131597792668]]]}",1,1 AVENUE,MAN
165629,"{'type': 'MultiLineString', 'coordinates': [[[-73.96167816899315, 40.76001396586246], [-73.96164363271221, 40.76005959194919]]]}",1,1 AVENUE,MAN
109300,"{'type': 'MultiLineString', 'coordinates': [[[-73.97337475155688, 40.68588481525165], [-73.97307314902784, 40.68576305324776]]]}",1,FULTON STREET,BK
29354,"{'type': 'MultiLineString', 'coordinates': [[[-73.96477852663547, 40.683039717827974], [-73.96366357791018, 40.68280663327991]]]}",1,FULTON STREET,BK
127608,"{'type': 'MultiLineString', 'coordinates': [[[-73.97444451615803, 40.75076469254384], [-73.97348599525658, 40.750361711107814]]]}",1,EAST 42 STREET,MAN
169760,"{'type': 'MultiLineString', 'coordinates': [[[-73.81718875863471, 40.585705055379734], [-73.81728166350132, 40.58566001479198]]]}",1,ROCKAWAY BEACH BOULEVARD,QNS
46414,"{'type': 'MultiLineString', 'coordinates': [[[-73.90069187746664, 40.646182016295185], [-73.89996186160548, 40.64666556445924]]]}",1,GLENWOOD ROAD,BK
127609,"{'type': 'MultiLineString', 'coordinates': [[[-73.97348599525658, 40.750361711107814], [-73.97220372205453, 40.74982300527627]]]}",1,EAST 42 STREET,MAN
29080,"{'type': 'MultiLineString', 'coordinates': [[[-73.97231249591701, 40.685458234338135], [-73.97123922109166, 40.685027486769016]]]}",1,FULTON STREET,BK
9017058,"{'type': 'MultiLineString', 'coordinates': [[[-73.88600306705095, 40.744366336409634], [-73.88509442027426, 40.74397395764886]]]}",1,BROADWAY,QNS
9001107,"{'type': 'MultiLineString', 'coordinates': [[[-73.93237026407499, 40.800161263399644], [-73.93229967513432, 40.80025779872384]]]}",1,1 AVENUE,MAN
36068,"{'type': 'MultiLineString', 'coordinates': [[[-73.97165740650827, 40.74630369366359], [-73.9712280614582, 40.74691917072089]]]}",1,1 AVENUE,MAN
32943,"{'type': 'MultiLineString', 'coordinates': [[[-73.98990296066164, 40.73443478993218], [-73.98877931676213, 40.733965398800954]]]}",1,EAST 14 STREET,MAN
25219,"{'type': 'MultiLineString', 'coordinates': [[[-73.97397127775179, 40.604382611375925], [-73.97319525262901, 40.60429754080573]]]}",1,KINGS HIGHWAY,BK
305540,"{'type': 'MultiLineString', 'coordinates': [[[-73.99939320935542, 40.761277076008824], [-74.00103587530872, 40.76196835149215]]]}",1,WEST 42 STREET,MAN
9008708,"{'type': 'MultiLineString', 'coordinates': [[[-73.81765982599717, 40.58548616214967], [-73.81804518079512, 40.585306797630864]]]}",1,ROCKAWAY BEACH BOULEVARD,QNS
9009266,"{'type': 'MultiLineString', 'coordinates': [[[-73.88275969214169, 40.64874862127386], [-73.88241240096438, 40.64844055955498]]]}",1,PENNSYLVANIA AVENUE,BK
32792,"{'type': 'MultiLineString', 'coordinates': [[[-73.99361688443895, 40.73600449137932], [-73.99683993951959, 40.737360888523035]]]}",1,WEST 14 STREET,MAN
46916,"{'type': 'MultiLineString', 'coordinates': [[[-73.88241240096438, 40.64844055955498], [-73.8814817895251, 40.64760007787689]]]}",1,PENNSYLVANIA AVENUE,BK
27241,"{'type': 'MultiLineString', 'coordinates': [[[-73.95740601244292, 40.60913090811249], [-73.95650188820714, 40.60953951435348]]]}",1,KINGS HIGHWAY,BK
109300,"{'type': 'MultiLineString', 'coordinates': [[[-73.97337475155688, 40.68588481525165], [-73.97307314902784, 40.68576305324776]]]}",1,FULTON STREET,BK
165427,"{'type': 'MultiLineString', 'coordinates': [[[-73.97078031731908, 40.74754347182471], [-73.97036560457762, 40.748094511746864]]]}",1,1 AVENUE,MAN
19358,"{'type': 'MultiLineString', 'coordinates': [[[-73.9811334133092, 40.60527996555697], [-73.98060324751846, 40.605227710976834]]]}",1,KINGS HIGHWAY,BK
28105,"{'type': 'MultiLineString', 'coordinates': [[[-73.96666504596011, 40.64802887771178], [-73.96578421312798, 40.64837552548897]]]}",1,CHURCH AVENUE,BK
35895,"{'type': 'MultiLineString', 'coordinates': [[[-73.97257598372876, 40.74506785371265], [-73.97212474197063, 40.7456813379809]]]}",1,1 AVENUE,MAN
19358,"{'type': 'MultiLineString', 'coordinates': [[[-73.9811334133092, 40.60527996555697], [-73.98060324751846, 40.605227710976834]]]}",1,KINGS HIGHWAY,BK
32805,"{'type': 'MultiLineString', 'coordinates': [[[-73.99119899402012, 40.73501236768723], [-73.99075396816592, 40.73483915434294]]]}",1,EAST 14 STREET,MAN
33105,"{'type': 'MultiLineString', 'coordinates': [[[-73.9857384194534, 40.72697455933445], [-73.985293828931, 40.72759283780802]]]}",1,1 AVENUE,MAN
9001101,"{'type': 'MultiLineString', 'coordinates': [[[-73.93279163138287, 40.79958501189852], [-73.93270453764791, 40.79970412058034]]]}",1,1 AVENUE,MAN
215773,"{'type': 'MultiLineString', 'coordinates': [[[-74.00310733866476, 40.73999752073207], [-74.00512553468717, 40.74085021269853]]]}",1,WEST 14 STREET,MAN
40753,"{'type': 'MultiLineString', 'coordinates': [[[-73.93822861442361, 40.621858315512526], [-73.9375085514554, 40.62209435800788]]]}",1,KINGS HIGHWAY,BK
32903,"{'type': 'MultiLineString', 'coordinates': [[[-73.9866032195227, 40.72577807680726], [-73.98616358058538, 40.726398232372674]]]}",1,1 AVENUE,MAN
265064,"{'type': 'MultiLineString', 'coordinates': [[[-74.00621926858342, 40.70415418450446], [-74.00619037432934, 40.70417249976652], [-74.00600414681273, 40.704290542387795], [-74.00532701454726, 40.704705512535334]]]}",2,F D R DRIVE,MAN
29080,"{'type': 'MultiLineString', 'coordinates': [[[-73.97231249591701, 40.685458234338135], [-73.97123922109166, 40.685027486769016]]]}",1,FULTON STREET,BK
53661,"{'type': 'MultiLineString', 'coordinates': [[[-73.81804518079512, 40.585306797630864], [-73.81880426416744, 40.58494833635181]]]}",1,ROCKAWAY BEACH BOULEVARD,QNS
294713,"{'type': 'MultiLineString', 'coordinates': [[[-73.98296440616376, 40.73152084218467], [-73.98255629299425, 40.73135013385498]]]}",1,EAST 14 STREET,MAN
46419,"{'type': 'MultiLineString', 'coordinates': [[[-73.89996186160548, 40.64666556445924], [-73.89926539227156, 40.64710809263265]]]}",1,GLENWOOD ROAD,BK
165451,"{'type': 'MultiLineString', 'coordinates': [[[-73.96989975612283, 40.74882690773285], [-73.96984501477515, 40.748800652664585]]]}",1,EAST 42 STREET,MAN
33095,"{'type': 'MultiLineString', 'coordinates': [[[-73.98616358058538, 40.726398232372674], [-73.9857384194534, 40.72697455933445]]]}",1,1 AVENUE,MAN
46972,"{'type': 'MultiLineString', 'coordinates': [[[-73.87926860751489, 40.6456120419835], [-73.87896383565501, 40.645344141458445]]]}",1,PENNSYLVANIA AVENUE,BK
53653,"{'type': 'MultiLineString', 'coordinates': [[[-73.8195743771321, 40.584586933655544], [-73.82033879034444, 40.58422133934803]]]}",1,ROCKAWAY BEACH BOULEVARD,QNS
27588,"{'type': 'MultiLineString', 'coordinates': [[[-73.94573691944699, 40.615363406621924], [-73.9448277094101, 40.61604620813896]]]}",1,KINGS HIGHWAY,BK
292894,"{'type': 'MultiLineString', 'coordinates': [[[-73.88625521771492, 40.652719823736376], [-73.88569041981296, 40.65195806488846]]]}",1,PENNSYLVANIA AVENUE,BK
127609,"{'type': 'MultiLineString', 'coordinates': [[[-73.97348599525658, 40.750361711107814], [-73.97220372205453, 40.74982300527627]]]}",1,EAST 42 STREET,MAN
35888,"{'type': 'MultiLineString', 'coordinates': [[[-73.97350834975836, 40.74378203397334], [-73.97302670388525, 40.744450041468596]]]}",1,1 AVENUE,MAN
35945,"{'type': 'MultiLineString', 'coordinates': [[[-73.97220372205453, 40.74982300527627], [-73.97041171607071, 40.749072446321065]]]}",1,EAST 42 STREET,MAN
32901,"{'type': 'MultiLineString', 'coordinates': [[[-73.98704399194148, 40.72519130151177], [-73.9866032195227, 40.72577807680726]]]}",1,1 AVENUE,MAN
36109,"{'type': 'MultiLineString', 'coordinates': [[[-73.96890797237585, 40.75011244361425], [-73.96887640188403, 40.75015517130209], [-73.96842681210879, 40.7507636685074]]]}",1,1 AVENUE,MAN
9001102,"{'type': 'MultiLineString', 'coordinates': [[[-73.93270453764791, 40.79970412058034], [-73.93264631558188, 40.79978374295749]]]}",1,1 AVENUE,MAN
35892,"{'type': 'MultiLineString', 'coordinates': [[[-73.97302670388525, 40.744450041468596], [-73.97257598372876, 40.74506785371265]]]}",1,1 AVENUE,MAN
32627,"{'type': 'MultiLineString', 'coordinates': [[[-73.99683993951959, 40.737360888523035], [-73.99968392204184, 40.738552248842126]]]}",1,WEST 14 STREET,MAN
214527,"{'type': 'MultiLineString', 'coordinates': [[[-73.96890797237585, 40.75011244361425], [-73.96887640188403, 40.75015517130209], [-73.96842681210879, 40.7507636685074]]]}",1,1 AVENUE,MAN
165450,"{'type': 'MultiLineString', 'coordinates': [[[-73.96998692139938, 40.74886871396474], [-73.96989975612283, 40.74882690773285]]]}",1,EAST 42 STREET,MAN
9001682,"{'type': 'MultiLineString', 'coordinates': [[[-73.94647764213019, 40.78084530301465], [-73.94642443334412, 40.78091753367078]]]}",1,1 AVENUE,MAN
164368,"{'type': 'MultiLineString', 'coordinates': [[[-73.9885950147552, 40.722996978626796], [-73.98843048074261, 40.72325983799973]]]}",1,1 AVENUE,MAN
109300,"{'type': 'MultiLineString', 'coordinates': [[[-73.97337475155688, 40.68588481525165], [-73.97307314902784, 40.68576305324776]]]}",1,FULTON STREET,BK
29251,"{'type': 'MultiLineString', 'coordinates': [[[-73.9668896223823, 40.68348273118454], [-73.9658647173868, 40.68326722686451]]]}",1,FULTON STREET,BK
165376,"{'type': 'MultiLineString', 'coordinates': [[[-73.9719611995544, 40.74590289943961], [-73.9718473913806, 40.746057459833025]]]}",1,1 AVENUE,MAN
29180,"{'type': 'MultiLineString', 'coordinates': [[[-73.96906201984206, 40.68415736147941], [-73.96892193898083, 40.684101464851835]]]}",1,FULTON STREET,BK
29181,"{'type': 'MultiLineString', 'coordinates': [[[-73.96892193898083, 40.684101464851835], [-73.96796054798135, 40.68372681250015]]]}",1,FULTON STREET,BK
34643,"{'type': 'MultiLineString', 'coordinates': [[[-73.9784984559051, 40.7367909564629], [-73.97805226554974, 40.7375539534523]]]}",1,1 AVENUE,MAN
109300,"{'type': 'MultiLineString', 'coordinates': [[[-73.97337475155688, 40.68588481525165], [-73.97307314902784, 40.68576305324776]]]}",1,FULTON STREET,BK
33123,"{'type': 'MultiLineString', 'coordinates': [[[-73.9830694696301, 40.73065522599053], [-73.98255629299425, 40.73135013385498]]]}",1,1 AVENUE,MAN
27102,"{'type': 'MultiLineString', 'coordinates': [[[-73.95828056997172, 40.60874735454], [-73.95779741106087, 40.60895744093669]]]}",1,KINGS HIGHWAY,BK
294717,"{'type': 'MultiLineString', 'coordinates': [[[-73.98321374004725, 40.731625134251196], [-73.98296440616376, 40.73152084218467]]]}",1,EAST 14 STREET,MAN
294716,"{'type': 'MultiLineString', 'coordinates': [[[-73.98494550566592, 40.7323496722837], [-73.98321374004725, 40.731625134251196]]]}",1,EAST 14 STREET,MAN
240352,"{'type': 'MultiLineString', 'coordinates': [[[-74.00303118722634, 40.70616556899512], [-74.00303110202917, 40.7061656203265], [-74.0023227657499, 40.706585746053136]]]}",2,F D R DRIVE,MAN
29354,"{'type': 'MultiLineString', 'coordinates': [[[-73.96477852663547, 40.683039717827974], [-73.96366357791018, 40.68280663327991]]]}",1,FULTON STREET,BK
29251,"{'type': 'MultiLineString', 'coordinates': [[[-73.9668896223823, 40.68348273118454], [-73.9658647173868, 40.68326722686451]]]}",1,FULTON STREET,BK
165428,"{'type': 'MultiLineString', 'coordinates': [[[-73.97036560457762, 40.748094511746864], [-73.97031778715672, 40.74815805716612]]]}",1,1 AVENUE,MAN
302255,"{'type': 'MultiLineString', 'coordinates': [[[-74.00532701454726, 40.704705512535334], [-74.0052740076296, 40.704737997327975], [-74.00467986533026, 40.705128246174326]]]}",2,F D R DRIVE,MAN
106081,"{'type': 'MultiLineString', 'coordinates': [[[-73.99547450245572, 40.759626856359056], [-73.99623223156122, 40.75994603150067]]]}",1,WEST 42 STREET,MAN
35945,"{'type': 'MultiLineString', 'coordinates': [[[-73.97220372205453, 40.74982300527627], [-73.97041171607071, 40.749072446321065]]]}",1,EAST 42 STREET,MAN
46541,"{'type': 'MultiLineString', 'coordinates': [[[-73.89855399316588, 40.64757243197118], [-73.8978318123787, 40.648069888286024]]]}",1,GLENWOOD ROAD,BK
165451,"{'type': 'MultiLineString', 'coordinates': [[[-73.96989975612283, 40.74882690773285], [-73.96984501477515, 40.748800652664585]]]}",1,EAST 42 STREET,MAN
29098,"{'type': 'MultiLineString', 'coordinates': [[[-73.97276482719224, 40.68564129156275], [-73.97231249591701, 40.685458234338135]]]}",1,FULTON STREET,BK
28007,"{'type': 'MultiLineString', 'coordinates': [[[-73.96930730274129, 40.6469914602486], [-73.96842739715483, 40.64733540898613]]]}",1,CHURCH AVENUE,BK
127608,"{'type': 'MultiLineString', 'coordinates': [[[-73.97444451615803, 40.75076469254384], [-73.97348599525658, 40.750361711107814]]]}",1,EAST 42 STREET,MAN
29096,"{'type': 'MultiLineString', 'coordinates': [[[-73.97307314902784, 40.68576305324776], [-73.97276482719224, 40.68564129156275]]]}",1,FULTON STREET,BK
41370,"{'type': 'MultiLineString', 'coordinates': [[[-73.9213004967211, 40.63032400301685], [-73.9204179988144, 40.63090438394236]]]}",1,FLATLANDS AVENUE,BK
36073,"{'type': 'MultiLineString', 'coordinates': [[[-73.9712280614582, 40.74691917072089], [-73.97078031731908, 40.74754347182471]]]}",1,1 AVENUE,MAN
29180,"{'type': 'MultiLineString', 'coordinates': [[[-73.96906201984206, 40.68415736147941], [-73.96892193898083, 40.684101464851835]]]}",1,FULTON STREET,BK
29178,"{'type': 'MultiLineString', 'coordinates': [[[-73.97016463066427, 40.684591082599844], [-73.96906201984206, 40.68415736147941]]]}",1,FULTON STREET,BK
76191,"{'type': 'MultiLineString', 'coordinates': [[[-73.88733790772608, 40.744940635520386], [-73.88623268246968, 40.74446548599212]]]}",1,BROADWAY,QNS
168096,"{'type': 'MultiLineString', 'coordinates': [[[-73.88628975413357, 40.65276890009638], [-73.88625521771492, 40.652719823736376]]]}",1,PENNSYLVANIA AVENUE,BK
46922,"{'type': 'MultiLineString', 'coordinates': [[[-73.88411278150187, 40.64995648016788], [-73.88370781457142, 40.6496009700043]]]}",1,PENNSYLVANIA AVENUE,BK
9001099,"{'type': 'MultiLineString', 'coordinates': [[[-73.93291921585553, 40.79941052798935], [-73.93285662990314, 40.79949612185019]]]}",1,1 AVENUE,MAN
32805,"{'type': 'MultiLineString', 'coordinates': [[[-73.99119899402012, 40.73501236768723], [-73.99075396816592, 40.73483915434294]]]}",1,EAST 14 STREET,MAN
9000991,"{'type': 'MultiLineString', 'coordinates': [[[-73.94050265258782, 40.78902744083944], [-73.94047533679776, 40.78906481823461]]]}",1,1 AVENUE,MAN
164507,"{'type': 'MultiLineString', 'coordinates': [[[-73.98064498884412, 40.733779319440075], [-73.98041991325051, 40.73408982068397]]]}",1,1 AVENUE,MAN
29255,"{'type': 'MultiLineString', 'coordinates': [[[-73.9658647173868, 40.68326722686451], [-73.96477852663547, 40.683039717827974]]]}",1,FULTON STREET,BK
34654,"{'type': 'MultiLineString', 'coordinates': [[[-73.97714764855252, 40.738795460283185], [-73.97670005824101, 40.73940973275981]]]}",1,1 AVENUE,MAN
53657,"{'type': 'MultiLineString', 'coordinates': [[[-73.81880426416744, 40.58494833635181], [-73.8195743771321, 40.584586933655544]]]}",1,ROCKAWAY BEACH BOULEVARD,QNS
120766,"{'type': 'MultiLineString', 'coordinates': [[[-73.93433464774202, 40.62488277926051], [-73.93374351881353, 40.625415611116225]]]}",1,KINGS HIGHWAY,BK
