shape_leng,shape_le_1,lane_color,facility,hours,year3
320.681181134,"{'type': 'MultiLineString', 'coordinates': [[[994018.7235608399, 188128.1743184179], [994327.9913150072, 188043.38118092716]]]}",,Fulton Street,2PM-7PM,0
94.681859267,"{'type': 'MultiLineString', 'coordinates': [[[991634.2339072526, 189163.884189263], [991717.8938449174, 189119.5483199209]]]}",,Fulton Street,2PM-7PM,0
259.454604541,"{'type': 'MultiLineString', 'coordinates': [[[1017346.8586630076, 174992.08871400356], [1017514.0400871783, 174793.67736542225]]]}",,Pennsylvania Avenue,24 Hours,0
240.781422262,"{'type': 'MultiLineString', 'coordinates': [[[988085.0546539277, 203923.31956534088], [988202.8628172576, 204133.31225559115]]]}",Red,1st Avenue,24 Hours,0
318.833168109,"{'type': 'MultiLineString', 'coordinates': [[[1006339.4302185923, 169141.8907687515], [1006582.2217277586, 169348.54717959464]]]}",,Flatlands Avenue,7AM-7PM,0
38.8123336025,"{'type': 'MultiLineString', 'coordinates': [[[999277.378725931, 224132.02160191536], [999296.1998825073, 224165.96510358155]]]}",Red,1st Avenue,24 Hours,0
120.956213839,"{'type': 'MultiLineString', 'coordinates': [[[1002642.203361094, 167139.1060604155], [1002725.6874460876, 167226.63213208318]]]}",,Kings Highway,24 Hours,0
278.077420457,"{'type': 'MultiLineString', 'coordinates': [[[986812.4075929224, 206998.4433363378], [987048.2693259269, 206851.14671492577]]]}",Red,14 Street (9 Avenue- 3 Avenue),6AM-10PM,0
248.011593759,"{'type': 'MultiLineString', 'coordinates': [[[1034789.3431349248, 152571.9636068344], [1034578.7723618448, 152440.93040433526]]]}",Red,Rockaway Beach Boulevard,7AM-10PM/3PM-7PM,0
253.690202165,"{'type': 'MultiLineString', 'coordinates': [[[989973.2956280857, 207259.0999672562], [990094.9092300087, 207481.74059808254]]]}",Red,1st Avenue,24 Hours,0
94.681859267,"{'type': 'MultiLineString', 'coordinates': [[[991634.2339072526, 189163.884189263], [991717.8938449174, 189119.5483199209]]]}",,Fulton Street,7AM-10AM,0
94.681859267,"{'type': 'MultiLineString', 'coordinates': [[[991634.2339072526, 189163.884189263], [991717.8938449174, 189119.5483199209]]]}",,Fulton Street,2PM-7PM,0
323.593967143,"{'type': 'MultiLineString', 'coordinates': [[[1006094.6669285893, 168930.2212445885], [1006339.4302185923, 169141.8907687515]]]}",,Flatlands Avenue,7AM-7PM,0
28.5533111655,"{'type': 'MultiLineString', 'coordinates': [[[992565.9508758336, 212111.14734975994], [992590.1076516807, 212095.92428308725]]]}",Red,42nd Street,24 Hours,0
344.217700278,"{'type': 'MultiLineString', 'coordinates': [[[992524.6878350079, 188692.82673242688], [992830.5471314192, 188534.91563092172]]]}",,Fulton Street,2PM-7PM,0
261.979994198,"{'type': 'MultiLineString', 'coordinates': [[[990956.5941864252, 209114.34789717197], [991082.7815980911, 209343.93503642082]]]}",Red,1st Avenue,24 Hours,0
199.572056244,"{'type': 'MultiLineString', 'coordinates': [[[1016218.9724673331, 176391.16367176175], [1016324.1212071776, 176221.53835484385]]]}",,Pennsylvania Avenue,24 Hours,0
303.459179676,"{'type': 'MultiLineString', 'coordinates': [[[991330.6498687565, 212801.52162517607], [991596.2713847607, 212654.78143309057]]]}",Red,42nd Street,24 Hours,0
900.341006511,"{'type': 'MultiLineString', 'coordinates': [[[984337.5916764289, 208351.1056572497], [983550.6116230935, 208788.45714475214]]]}",Red,14 Street (9 Avenue- 3 Avenue),6AM-10PM,0
26.0455063135,"{'type': 'MultiLineString', 'coordinates': [[[982952.4628850073, 196173.7468099296], [982954.6741666794, 196175.65494258702], [982965.4553130865, 196184.9593859166], [982972.1843022555, 196190.75957117975]]]}",None,FDR Drive,2PM-8PM,0
254.186671494,"{'type': 'MultiLineString', 'coordinates': [[[1002478.2568385899, 166944.85776124895], [1002642.203361094, 167139.1060604155]]]}",,Kings Highway,24 Hours,0
92.9115751651,"{'type': 'MultiLineString', 'coordinates': [[[989247.5785755962, 205958.0756664276], [989293.1329464167, 206039.05319476128]]]}",Red,1st Avenue,24 Hours,0
165.400059071,"{'type': 'MultiLineString', 'coordinates': [[[1018009.255632177, 174214.2884323448], [1018116.4863888472, 174088.35692566633]]]}",,Pennsylvania Avenue,24 Hours,0
332.850570955,"{'type': 'MultiLineString', 'coordinates': [[[991975.7519250065, 159402.04804375768], [992305.3477225006, 159448.4820059985]]]}",,Kings Highway,,0
129.080192812,"{'type': 'MultiLineString', 'coordinates': [[[988971.4101646692, 205789.8020528406], [989084.5310014188, 205727.62993308902]]]}",Red,14 Street,24 Hours,0
259.868700267,"{'type': 'MultiLineString', 'coordinates': [[[990456.7854747623, 208213.28769142926], [990582.8314824998, 208440.54117392004]]]}",Red,1st Avenue,24 Hours,0
270.200768296,"{'type': 'MultiLineString', 'coordinates': [[[1012401.1470977515, 175220.77920150757], [1012601.3399388343, 175402.24898292124]]]}",,Glenwood Road,24 Hours,0
260.288912777,"{'type': 'MultiLineString', 'coordinates': [[[996047.1611050069, 218306.25930334628], [996173.3517975062, 218533.9130475074]]]}",Red,1st Avenue,24 Hours,2022
152.057021772,"{'type': 'MultiLineString', 'coordinates': [[[1016324.1212071776, 176221.53835484385], [1016407.4150038362, 176094.32404233515]]]}",,Pennsylvania Avenue,24 Hours,0
13.4923143896,"{'type': 'MultiLineString', 'coordinates': [[[983398.9455878437, 196543.36057201028], [983409.5876269192, 196551.65451867878]]]}",None,FDR Drive,2PM-8PM,0
35.6756683811,"{'type': 'MultiLineString', 'coordinates': [[[1002822.4779349267, 230530.91103509068], [1002839.7820341736, 230562.10913541913]]]}",Red,1st Avenue,24 Hours,0
249.943149039,"{'type': 'MultiLineString', 'coordinates': [[[988564.9519880861, 204786.9395572543], [988685.276550591, 205006.0139222592]]]}",Red,1st Avenue,24 Hours,0
274.389986658,"{'type': 'MultiLineString', 'coordinates': [[[987584.3338705897, 203018.4854170084], [987717.2141822577, 203258.55350641906]]]}",Red,1st Avenue,24 Hours,0
244.188113006,"{'type': 'MultiLineString', 'coordinates': [[[991733.6297058463, 159433.7445026785], [991975.7519250065, 159402.04804375768]]]}",,Kings Highway,,0
294.901299049,"{'type': 'MultiLineString', 'coordinates': [[[993433.1473041773, 188289.34853675961], [993717.4347933382, 188210.94318175316]]]}",,Fulton Street,7AM-10AM,0
35.7364692147,"{'type': 'MultiLineString', 'coordinates': [[[1002993.7699151784, 230839.7332520932], [1003011.1035419255, 230870.9845019281]]]}",Red,1st Avenue,24 Hours,0
15.5775758107,"{'type': 'MultiLineString', 'coordinates': [[[1000725.4417746663, 226746.47667483985], [1000732.9965495914, 226760.09967908263]]]}",Red,1st Avenue,24 Hours,0
289.536404249,"{'type': 'MultiLineString', 'coordinates': [[[1015838.1195545048, 210489.9163402617], [1016090.0895230025, 210347.28932891786]]]}",Red,Broadway,24 Hours,0
899.751619974,"{'type': 'MultiLineString', 'coordinates': [[[985125.7331447601, 207917.07109226286], [984337.5916764289, 208351.1056572497]]]}",Red,14 Street (9 Avenue- 3 Avenue),6AM-10PM,0
49.6449203097,"{'type': 'MultiLineString', 'coordinates': [[[1002857.7531268448, 230594.50867691636], [1002881.8331311792, 230637.9226320833]]]}",Red,1st Avenue,24 Hours,0
129.527835428,"{'type': 'MultiLineString', 'coordinates': [[[992688.4637541771, 212233.72584475577], [992750.5699291676, 212347.39326833189]]]}",Red,1st Avenue,24 Hours,0
172.74386266,"{'type': 'MultiLineString', 'coordinates': [[[989293.1329464167, 206039.05319476128], [989377.4339589179, 206189.83045224845]]]}",Red,1st Avenue,24 Hours,0
291.857404607,"{'type': 'MultiLineString', 'coordinates': [[[996076.593460843, 161202.0808610022], [996327.5575258434, 161351.07006433606]]]}",,Kings Highway,,0
351.792945939,"{'type': 'MultiLineString', 'coordinates': [[[1015467.9713446796, 210698.67314058542], [1015774.4471096694, 210525.95695059]]]}",Red,Broadway,24 Hours,0
146.025999715,"{'type': 'MultiLineString', 'coordinates': [[[1016688.195610255, 175765.430343166], [1016783.4710102528, 175654.7678348422]]]}",,Pennsylvania Avenue,24 Hours,0
303.459179676,"{'type': 'MultiLineString', 'coordinates': [[[991330.6498687565, 212801.52162517607], [991596.2713847607, 212654.78143309057]]]}",Red,42nd Street,24 Hours,0
110.309138547,"{'type': 'MultiLineString', 'coordinates': [[[1017514.0400871783, 174793.67736542225], [1017587.0648755133, 174711.00036542118]]]}",,Pennsylvania Avenue,24 Hours,0
251.835969888,"{'type': 'MultiLineString', 'coordinates': [[[1034153.0875176787, 152175.18979409337], [1033939.3907665908, 152041.94170100987]]]}",Red,Rockaway Beach Boulevard,7AM-10PM/3PM-7PM,0
405.890166952,"{'type': 'MultiLineString', 'coordinates': [[[991596.2713847607, 212654.78143309057], [991951.6148341745, 212458.62368892133]]]}",Red,42nd Street,24 Hours,0
258.590584006,"{'type': 'MultiLineString', 'coordinates': [[[1017587.0648755133, 174711.00036542118], [1017753.8001063466, 174513.34295234084]]]}",,Pennsylvania Avenue,24 Hours,0
320.224205663,"{'type': 'MultiLineString', 'coordinates': [[[1011359.101937756, 174331.4633948356], [1011602.9298621714, 174539.0482815057]]]}",,Glenwood Road,24 Hours,0
106.072626249,"{'type': 'MultiLineString', 'coordinates': [[[987411.2928780913, 202684.04054783285], [987456.8866189271, 202779.81430642307]]]}",Red,1st Avenue,24 Hours,0
138.54026676,"{'type': 'MultiLineString', 'coordinates': [[[986689.0686007589, 207061.5376983434], [986812.4075929224, 206998.4433363378]]]}",Red,14 Street (3 Avenue-9 Avenue),6AM-10PM,0
336.500125693,"{'type': 'MultiLineString', 'coordinates': [[[991928.8885016739, 189008.55969674885], [992226.6034574211, 188851.72175583243]]]}",,Fulton Street,2PM-7PM,0
318.722167572,"{'type': 'MultiLineString', 'coordinates': [[[1015811.6058280021, 177100.30628234148], [1015968.6865505874, 176822.9807215035]]]}",,Pennsylvania Avenue,24 Hours,0
139.151131461,"{'type': 'MultiLineString', 'coordinates': [[[992448.2247333378, 212185.3335530907], [992565.9508758336, 212111.14734975994]]]}",Red,42nd Street,24 Hours,0
299.546385088,"{'type': 'MultiLineString', 'coordinates': [[[992869.4053214192, 188514.56462176144], [993136.0940925032, 188378.16397592425]]]}",,Fulton Street,2PM-7PM,0
32.6643541687,"{'type': 'MultiLineString', 'coordinates': [[[1035001.1471732557, 152701.09064517915], [1034973.3299716711, 152683.96863217652]]]}",Red,Rockaway Beach Boulevard,7AM-10PM/3PM-7PM,0
246.227176403,"{'type': 'MultiLineString', 'coordinates': [[[987841.0951680839, 203483.5599461794], [987963.2340314239, 203697.35873116553]]]}",Red,1st Avenue,24 Hours,0
63.2106161903,"{'type': 'MultiLineString', 'coordinates': [[[982072.1073622555, 195437.6967728436], [982120.7631048411, 195478.04774200916]]]}",None,FDR Drive,2PM-8PM,0
256.108314129,"{'type': 'MultiLineString', 'coordinates': [[[991849.0133333355, 210726.13699641824], [991973.9783065021, 210949.6883865893]]]}",Red,1st Avenue,24 Hours,0
239.972645381,"{'type': 'MultiLineString', 'coordinates': [[[985503.7113914192, 216029.29535333812], [985293.790551424, 216145.5713675022]]]}",Red,42nd Street,24 Hours,0
566.841150862,"{'type': 'MultiLineString', 'coordinates': [[[991951.6148341745, 212458.62368892133], [992448.2247333378, 212185.3335530907]]]}",Red,42nd Street,24 Hours,0
28.5533111655,"{'type': 'MultiLineString', 'coordinates': [[[992565.9508758336, 212111.14734975994], [992590.1076516807, 212095.92428308725]]]}",Red,42nd Street,24 Hours,0
400.566826136,"{'type': 'MultiLineString', 'coordinates': [[[1016879.992798835, 175542.66175983846], [1017138.64713718, 175236.7995106727]]]}",,Pennsylvania Avenue,24 Hours,0
147.93318671,"{'type': 'MultiLineString', 'coordinates': [[[1016783.4710102528, 175654.7678348422], [1016879.992798835, 175542.66175983846]]]}",,Pennsylvania Avenue,24 Hours,0
91.0111029891,"{'type': 'MultiLineString', 'coordinates': [[[1016519.9607105106, 175964.95094150305], [1016578.963217169, 175895.65646067262]]]}",,Pennsylvania Avenue,24 Hours,0
139.151131461,"{'type': 'MultiLineString', 'coordinates': [[[992448.2247333378, 212185.3335530907], [992565.9508758336, 212111.14734975994]]]}",Red,42nd Street,24 Hours,0
257.415982795,"{'type': 'MultiLineString', 'coordinates': [[[991724.1910764277, 210501.00949391723], [991849.0133333355, 210726.13699641824]]]}",Red,1st Avenue,24 Hours,0
249.023038635,"{'type': 'MultiLineString', 'coordinates': [[[983409.5876269192, 196551.65451867878], [983409.6112489253, 196551.67321942747], [983606.0052130967, 196704.7316403389]]]}",None,FDR Drive,2PM-8PM,0
251.182273863,"{'type': 'MultiLineString', 'coordinates': [[[1034578.7723618448, 152440.93040433526], [1034365.1379465908, 152308.82108850777]]]}",Red,Rockaway Beach Boulevard,7AM-10PM/3PM-7PM,0
342.311309427,"{'type': 'MultiLineString', 'coordinates': [[[984717.5919006765, 216464.72263209522], [984418.0967647582, 216630.4926417619]]]}",Red,42nd Street,24 Hours,0
294.901299049,"{'type': 'MultiLineString', 'coordinates': [[[993433.1473041773, 188289.34853675961], [993717.4347933382, 188210.94318175316]]]}",,Fulton Street,2PM-7PM,0
339.831279567,"{'type': 'MultiLineString', 'coordinates': [[[1006582.2217277586, 169348.54717959464], [1006843.0305893421, 169566.40960475802]]]}",,Flatlands Avenue,7AM-7PM,0
268.468451313,"{'type': 'MultiLineString', 'coordinates': [[[1011808.4612752497, 174713.53316876292], [1012010.84276025, 174889.933406502]]]}",,Glenwood Road,24 Hours,0
110.828066333,"{'type': 'MultiLineString', 'coordinates': [[[1012013.7134894282, 198425.2268870026], [1012054.2481852621, 198322.07748700678]]]}",Red,Fresh Pond Road,3PM-7PM,0
81.061313558,"{'type': 'MultiLineString', 'coordinates': [[[1033836.2577707618, 151977.07995408773], [1033767.3140110075, 151934.44552491605]]]}",Red,Rockaway Beach Boulevard,7AM-10PM/3PM-7PM,0
94.681859267,"{'type': 'MultiLineString', 'coordinates': [[[991634.2339072526, 189163.884189263], [991717.8938449174, 189119.5483199209]]]}",,Fulton Street,7AM-10AM,0
17.9319968056,"{'type': 'MultiLineString', 'coordinates': [[[992590.1076516807, 212095.92428308725], [992605.2785530835, 212086.36393475533]]]}",Red,42nd Street,24 Hours,0
320.681181134,"{'type': 'MultiLineString', 'coordinates': [[[994018.7235608399, 188128.1743184179], [994327.9913150072, 188043.38118092716]]]}",,Fulton Street,7AM-10AM,0
129.183134445,"{'type': 'MultiLineString', 'coordinates': [[[989614.054220587, 206612.7695670128], [989676.4064580947, 206725.90877641737]]]}",Red,1st Avenue,24 Hours,0
304.244339394,"{'type': 'MultiLineString', 'coordinates': [[[990208.6757347584, 207710.14237225056], [990332.2578366697, 207988.15690809488]]]}",Red,1st Avenue,24 Hours,0
32.4974231685,"{'type': 'MultiLineString', 'coordinates': [[[1000709.6813075095, 226718.0567841679], [1000725.4417746663, 226746.47667483985]]]}",Red,1st Avenue,24 Hours,0
499.108209278,"{'type': 'MultiLineString', 'coordinates': [[[1015968.6865505874, 176822.9807215035], [1016218.9724673331, 176391.16367176175]]]}",,Pennsylvania Avenue,24 Hours,0
269.607376822,"{'type': 'MultiLineString', 'coordinates': [[[1011602.9298621714, 174539.0482815057], [1011808.4612752497, 174713.53316876292]]]}",,Glenwood Road,24 Hours,0
337.789763909,"{'type': 'MultiLineString', 'coordinates': [[[992226.6034574211, 188851.72175583243], [992524.6878350079, 188692.82673242688]]]}",,Fulton Street,7AM-10AM,0
257.276120651,"{'type': 'MultiLineString', 'coordinates': [[[990332.2578366697, 207988.15690809488], [990456.7854747623, 208213.28769142926]]]}",Red,1st Avenue,24 Hours,0
171.475757207,"{'type': 'MultiLineString', 'coordinates': [[[1016407.4150038362, 176094.32404233515], [1016519.9607105106, 175964.95094150305]]]}",,Pennsylvania Avenue,24 Hours,0
121.262886602,"{'type': 'MultiLineString', 'coordinates': [[[989635.9931530952, 159777.7661243379], [989755.9437005967, 159759.97416517138]]]}",,Kings Highway,,0
251.689092709,"{'type': 'MultiLineString', 'coordinates': [[[1012010.84276025, 174889.933406502], [1012203.9293163419, 175051.3799340129]]]}",,Glenwood Road,24 Hours,0
35.7729348118,"{'type': 'MultiLineString', 'coordinates': [[[1015774.4471096694, 210525.95695059], [1015805.5789371729, 210508.3355947584]]]}",Red,Broadway,24 Hours,0
148.439600954,"{'type': 'MultiLineString', 'coordinates': [[[989488.775271669, 159796.77166375518], [989635.9931530952, 159777.7661243379]]]}",,Kings Highway,,0
148.439600954,"{'type': 'MultiLineString', 'coordinates': [[[989488.775271669, 159796.77166375518], [989635.9931530952, 159777.7661243379]]]}",,Kings Highway,,0
348.378720227,"{'type': 'MultiLineString', 'coordinates': [[[983945.0268447548, 196950.22983700037], [984232.9540904164, 197146.3564132601]]]}",None,FDR Drive,2PM-8PM,0
74.9027417779,"{'type': 'MultiLineString', 'coordinates': [[[982829.6583405882, 209188.36809033155], [982764.0721856803, 209224.54649567604]]]}",Red,14 Street (9 Avenue- 3 Avenue),6AM-10PM,0
259.982624673,"{'type': 'MultiLineString', 'coordinates': [[[1012203.9293163419, 175051.3799340129], [1012401.1470977515, 175220.77920150757]]]}",,Glenwood Road,24 Hours,0
37.5642934496,"{'type': 'MultiLineString', 'coordinates': [[[999150.3110666722, 223903.13295209408], [999168.6443633437, 223935.9196319282]]]}",Red,1st Avenue,24 Hours,0
26.674740718,"{'type': 'MultiLineString', 'coordinates': [[[992461.1216891706, 211829.04489558935], [992474.3631325066, 211852.20101726055]]]}",Red,1st Avenue,24 Hours,0
261.493694557,"{'type': 'MultiLineString', 'coordinates': [[[1033767.3140110075, 151934.44552491605], [1033546.9765251726, 151793.62526850402]]]}",Red,Rockaway Beach Boulevard,7AM-10PM/3PM-7PM,0
89.9932766406,"{'type': 'MultiLineString', 'coordinates': [[[1034973.3299716711, 152683.96863217652], [1034896.2421993464, 152637.53302951157]]]}",Red,Rockaway Beach Boulevard,7AM-10PM/3PM-7PM,0
265.314370206,"{'type': 'MultiLineString', 'coordinates': [[[988685.276550591, 205006.0139222592], [988813.1175022572, 205238.49705308676]]]}",Red,1st Avenue,24 Hours,0
639.759129378,"{'type': 'MultiLineString', 'coordinates': [[[983388.911487177, 208877.679079175], [982829.6583405882, 209188.36809033155]]]}",Red,14 Street (9 Avenue- 3 Avenue),6AM-10PM,0
487.040442805,"{'type': 'MultiLineString', 'coordinates': [[[985929.8030589223, 215793.3837516755], [985503.7113914192, 216029.29535333812]]]}",Red,42nd Street,24 Hours,0
256.707153467,"{'type': 'MultiLineString', 'coordinates': [[[987963.2340314239, 203697.35873116553], [988085.0546539277, 203923.31956534088]]]}",Red,1st Avenue,24 Hours,0
658.682332247,"{'type': 'MultiLineString', 'coordinates': [[[985293.790551424, 216145.5713675022], [984717.5919006765, 216464.72263209522]]]}",Red,42nd Street,24 Hours,0
253.841633018,"{'type': 'MultiLineString', 'coordinates': [[[992103.3993075043, 211176.47402225435], [992222.2921143472, 211400.7508046776]]]}",Red,1st Avenue,24 Hours,0
255.817364356,"{'type': 'MultiLineString', 'coordinates': [[[990706.8079405874, 208664.37274725735], [990831.1147785932, 208887.95792999864]]]}",Red,1st Avenue,24 Hours,0
318.673902228,"{'type': 'MultiLineString', 'coordinates': [[[982525.623515591, 195818.89351700246], [982533.6353105903, 195825.5657477528], [982585.2723464221, 195868.56861451268], [982773.0252517611, 196019.74252475798]]]}",None,FDR Drive,2PM-8PM,0
356.3821906,"{'type': 'MultiLineString', 'coordinates': [[[998142.5571766794, 162363.4856904149], [998376.5298058391, 162632.30733124912]]]}",,Kings Highway,24 Hours,0
121.83374346,"{'type': 'MultiLineString', 'coordinates': [[[1033939.3907665908, 152041.94170100987], [1033836.2577707618, 151977.07995408773]]]}",Red,Rockaway Beach Boulevard,7AM-10PM/3PM-7PM,0
506.460250395,"{'type': 'MultiLineString', 'coordinates': [[[987359.6952122599, 206680.1706789285], [987802.8275280893, 206434.9447914213]]]}",Red,14 Street (9 Avenue- 3 Avenue),6AM-10PM,0
43.8648207811,"{'type': 'MultiLineString', 'coordinates': [[[992830.5471314192, 188534.91563092172], [992869.4053214192, 188514.56462176144]]]}",,Fulton Street,2PM-7PM,0
285.27428539,"{'type': 'MultiLineString', 'coordinates': [[[991451.7178680897, 210008.52032142878], [991590.8025636673, 210257.59232984483]]]}",Red,1st Avenue,24 Hours,0
272.151439263,"{'type': 'MultiLineString', 'coordinates': [[[992864.7426010966, 212564.38233567774], [992873.4843815118, 212579.95251449943], [992997.9733057618, 212801.69222851098]]]}",Red,1st Avenue,24 Hours,0
245.762683044,"{'type': 'MultiLineString', 'coordinates': [[[988446.9141664207, 204571.37896475196], [988564.9519880861, 204786.9395572543]]]}",Red,1st Avenue,24 Hours,0
405.890166952,"{'type': 'MultiLineString', 'coordinates': [[[991596.2713847607, 212654.78143309057], [991951.6148341745, 212458.62368892133]]]}",Red,42nd Street,24 Hours,0
96.33223153,"{'type': 'MultiLineString', 'coordinates': [[[991717.8938449174, 189119.5483199209], [991803.4176240116, 189075.2134348452]]]}",,Fulton Street,7AM-10AM,0
1020.79270101,"{'type': 'MultiLineString', 'coordinates': [[[986018.9597047567, 207422.94150309265], [985125.7331447601, 207917.07109226286]]]}",Red,14 Street (9 Avenue- 3 Avenue),6AM-10PM,0
355.272976142,"{'type': 'MultiLineString', 'coordinates': [[[987048.2693259269, 206851.14671492577], [987359.6952122599, 206680.1706789285]]]}",Red,14 Street (9 Avenue- 3 Avenue),6AM-10PM,0
64.0247087631,"{'type': 'MultiLineString', 'coordinates': [[[999041.4792633355, 223708.4958741665], [999072.7259200066, 223764.37798026204]]]}",Red,1st Avenue,24 Hours,0
125.715568527,"{'type': 'MultiLineString', 'coordinates': [[[995967.948665008, 161138.8296751678], [996076.593460843, 161202.0808610022]]]}",,Kings Highway,,0
17.9319968056,"{'type': 'MultiLineString', 'coordinates': [[[992590.1076516807, 212095.92428308725], [992605.2785530835, 212086.36393475533]]]}",Red,42nd Street,24 Hours,0
312.450966006,"{'type': 'MultiLineString', 'coordinates': [[[993717.4347933382, 188210.94318175316], [994018.7235608399, 188128.1743184179]]]}",,Fulton Street,7AM-10AM,0
217.703126995,"{'type': 'MultiLineString', 'coordinates': [[[991477.616766423, 159470.3520410061], [991693.1117422581, 159439.42362517118]]]}",,Kings Highway,,0
37.0498375304,"{'type': 'MultiLineString', 'coordinates': [[[1002839.7820341736, 230562.10913541913], [1002857.7531268448, 230594.50867691636]]]}",Red,1st Avenue,24 Hours,0
154.452645041,"{'type': 'MultiLineString', 'coordinates': [[[995833.8314791769, 161062.22549767792], [995967.948665008, 161138.8296751678]]]}",,Kings Highway,,0
