pivot-metric,pivot-value,lane_width,chron_id_1,lane_type2,direction,bltrafdir
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[991477.616766423, 159470.3520410061], [991693.1117422581, 159439.42362517118]]]}",Single,BK2018,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[988422.297089681, 206091.67021550238], [988902.3000666797, 205827.78557267785]]]}",Single,MAN2019,Curbside,EB,T
sbs_route2,,Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[986546.0616689175, 207135.45881034434], [986689.0686007589, 207061.5376983434]]]}",Single,MAN2019,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[991596.2713847607, 212654.78143309057], [991951.6148341745, 212458.62368892133]]]}",Single,MAN2019,,WB,T
sbs_route2,,Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[987802.8275280893, 206434.9447914213], [988422.297089681, 206091.67021550238]]]}",Single,MAN2019,Curbside,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[991733.6297058463, 159433.7445026785], [991975.7519250065, 159402.04804375768]]]}",Single,BK2018,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1017138.64713718, 175236.7995106727], [1017346.8586630076, 174992.08871400356]]]}",Single,BK2018,,NB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1000671.9156350046, 165327.1477420926], [1000909.1953441799, 165588.59078875184]]]}",Single,BK2018,,EB,T
sbs_route2,,Single,BK2018,,NB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[992830.5471314192, 188534.91563092172], [992869.4053214192, 188514.56462176144]]]}",Single,BK2018,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[982072.1073622555, 195437.6967728436], [982120.7631048411, 195478.04774200916]]]}",Single,MAN2019,,WB,A
sbs_route2,,Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[990956.5941864252, 209114.34789717197], [991082.7815980911, 209343.93503642082]]]}",Single,MAN1982,,NB,W
sbs_route2,,Single,MAN2019,,WB,T
sbs_route2,,Single,BK2018,Contraflow,WB,W
sbs_route2,,Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[991330.6498687565, 212801.52162517607], [991596.2713847607, 212654.78143309057]]]}",Single,MAN2019,,WB,T
sbs_route2,,Single,MAN2019,,WB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[989946.1861022562, 207208.59809975326], [989973.2956280857, 207259.0999672562]]]}",Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1002804.570162341, 230498.62566658854], [1002822.4779349267, 230530.91103509068]]]}",Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1002478.2568385899, 166944.85776124895], [1002642.203361094, 167139.1060604155]]]}",Single,BK2018,,WB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1035001.1471732557, 152701.09064517915], [1034973.3299716711, 152683.96863217652]]]}",Single,QNS2019,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[988326.0515472591, 204358.5906764269], [988446.9141664207, 204571.37896475196]]]}",Single,MAN1982,,NB,W
sbs_route2,,Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[992869.4053214192, 188514.56462176144], [993136.0940925032, 188378.16397592425]]]}",Single,BK2018,,EB,T
sbs_route2,M14 D,Single,MAN2019,,EB,T
sbs_route2,,Single,BK2018,,WB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1017753.8001063466, 174513.34295234084], [1017838.5112230033, 174415.8562706709]]]}",Single,BK2018,,NB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[984418.0967647582, 216630.4926417619], [983963.0386197567, 216882.3481091708]]]}",Single,MAN2019,,EB,T
sbs_route2,,Single,MAN2019,,WB,A
sbs_route2,,Single,BK2018,,EB,T
sbs_route2,,Single,BK2018,,NB,T
sbs_route2,M14 D,Single,MAN2019,,EB,T
sbs_route2,,Single,MAN2019,,EB,T
sbs_route2,M14 D,Single,MAN2019,,WB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[986018.9597047567, 207422.94150309265], [986546.0616689175, 207135.45881034434]]]}",Single,MAN2019,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[999237.7951436788, 224060.6329651773], [999277.378725931, 224132.02160191536]]]}",Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[986812.4075929224, 206998.4433363378], [987048.2693259269, 206851.14671492577]]]}",Single,MAN2019,,EB,T
sbs_route2,,Single,BK2018,,WB,T
sbs_route2,,Single,BK2018,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[991928.8885016739, 189008.55969674885], [992226.6034574211, 188851.72175583243]]]}",Single,BK2018,,EB,T
sbs_route2,,Single,BK2018,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[988564.9519880861, 204786.9395572543], [988685.276550591, 205006.0139222592]]]}",Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[984337.5916764289, 208351.1056572497], [983550.6116230935, 208788.45714475214]]]}",Single,MAN2019,,EB,T
sbs_route2,,Single,QNS2019,,EB,T
sbs_route2,,Single,QNS2019,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1011359.101937756, 174331.4633948356], [1011602.9298621714, 174539.0482815057]]]}",Single,BK2018,Contraflow,WB,W
sbs_route2,,Single,BK2019,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[991928.8885016739, 189008.55969674885], [992226.6034574211, 188851.72175583243]]]}",Single,BK2018,,WB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1017587.0648755133, 174711.00036542118], [1017753.8001063466, 174513.34295234084]]]}",Single,BK2018,,NB,T
sbs_route2,,Single,MAN1982,,NB,W
sbs_route2,,Single,BK2018,,WB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1015774.4471096694, 210525.95695059], [1015805.5789371729, 210508.3355947584]]]}",Single,QNS2019,,NB,T
sbs_route2,,Single,MAN1982,,NB,W
sbs_route2,,Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1015811.6058280021, 177100.30628234148], [1015968.6865505874, 176822.9807215035]]]}",Single,BK2018,,SB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[994018.7235608399, 188128.1743184179], [994327.9913150072, 188043.38118092716]]]}",Single,BK2018,,WB,T
sbs_route2,,Single,MAN1982,,NB,W
sbs_route2,,Single,BK2018,,NB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[982952.4628850073, 196173.7468099296], [982954.6741666794, 196175.65494258702], [982965.4553130865, 196184.9593859166], [982972.1843022555, 196190.75957117975]]]}",Single,MAN2019,,WB,A
sbs_route2,,Single,MAN2019,,WB,A
sbs_route2,,Single,QNS2019,,EB,T
sbs_route2,,Single,MAN2019,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[986018.9597047567, 207422.94150309265], [985125.7331447601, 207917.07109226286]]]}",Single,MAN2019,,EB,T
sbs_route2,,Single,QNS2019,,EB,T
sbs_route2,,Single,BK2018,,EB,T
sbs_route2,,Single,MAN2019,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1012401.1470977515, 175220.77920150757], [1012601.3399388343, 175402.24898292124]]]}",Single,BK2018,Contraflow,WB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[991634.2339072526, 189163.884189263], [991717.8938449174, 189119.5483199209]]]}",Single,BK2018,,WB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[991717.8938449174, 189119.5483199209], [991803.4176240116, 189075.2134348452]]]}",Single,BK2018,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1002759.1621166766, 230416.76001666486], [1002776.4665440023, 230447.95778892934]]]}",Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[992869.4053214192, 188514.56462176144], [993136.0940925032, 188378.16397592425]]]}",Single,BK2018,,WB,T
sbs_route2,,Single,MAN1982,,NB,W
sbs_route2,M14 D,Single,MAN2019,,EB,T
sbs_route2,,Single,BK2018,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[993136.0940925032, 188378.16397592425], [993433.1473041773, 188289.34853675961]]]}",Single,BK2018,,EB,T
sbs_route2,,Single,BK2018,,NB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[986689.0686007589, 207061.5376983434], [986812.4075929224, 206998.4433363378]]]}",Single,MAN2019,,WB,T
sbs_route2,M14 D,Single,MAN2019,Curbside,EB,T
sbs_route2,,Single,MAN2019,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[995833.8314791769, 161062.22549767792], [995967.948665008, 161138.8296751678]]]}",Single,BK2018,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[995967.948665008, 161138.8296751678], [996076.593460843, 161202.0808610022]]]}",Single,BK2018,,WB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[991717.8938449174, 189119.5483199209], [991803.4176240116, 189075.2134348452]]]}",Single,BK2018,,WB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[992226.6034574211, 188851.72175583243], [992524.6878350079, 188692.82673242688]]]}",Single,BK2018,,EB,T
sbs_route2,,Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[991590.8025636673, 210257.59232984483], [991724.1910764277, 210501.00949391723]]]}",Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1017346.8586630076, 174992.08871400356], [1017514.0400871783, 174793.67736542225]]]}",Single,BK2018,,NB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1034896.2421993464, 152637.53302951157], [1034789.3431349248, 152571.9636068344]]]}",Single,QNS2019,,EB,T
sbs_route2,,Single,BK2018,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[982773.0252517611, 196019.74252475798], [982787.722728923, 196031.5768186748], [982952.4628850073, 196173.7468099296]]]}",Single,MAN2019,,WB,A
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[989676.4064580947, 206725.90877641737], [989735.9535830915, 206833.58277367055]]]}",Single,MAN1982,,NB,W
sbs_route2,,Single,MAN1982,,NB,W
sbs_route2,,Single,BK2018,,WB,T
sbs_route2,,Single,BK2018,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[991951.6148341745, 212458.62368892133], [992448.2247333378, 212185.3335530907]]]}",Single,MAN2019,,WB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[985125.7331447601, 207917.07109226286], [984337.5916764289, 208351.1056572497]]]}",Single,MAN2019,,EB,T
sbs_route2,,Single,BK2018,,WB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[991951.6148341745, 212458.62368892133], [992448.2247333378, 212185.3335530907]]]}",Single,MAN2019,,EB,T
sbs_route2,,Single,MAN1982,,NB,W
sbs_route2,,Single,MAN1982,,NB,W
sbs_route2,,Single,BK2018,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1016519.9607105106, 175964.95094150305], [1016578.963217169, 175895.65646067262]]]}",Single,BK2018,,NB,T
sbs_route2,,Single,BK2018,,WB,T
sbs_route2,,Single,BK2018,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[992750.5699291676, 212347.39326833189], [992864.3023132533, 212563.5450670123], [992864.7426010966, 212564.38233567774]]]}",Single,MAN1982,,NB,W
sbs_route2,,Single,BK2018,,WB,T
sbs_route2,,Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1012013.7134894282, 198425.2268870026], [1012054.2481852621, 198322.07748700678]]]}",Single,QNS2019,,SB,T
sbs_route2,,Single,QNS2019,,EB,T
sbs_route2,,Single,QNS2019,,NB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1016407.4150038362, 176094.32404233515], [1016519.9607105106, 175964.95094150305]]]}",Single,BK2018,,NB,T
sbs_route2,,Single,MAN1982,,NB,W
sbs_route2,,Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[999150.3110666722, 223903.13295209408], [999168.6443633437, 223935.9196319282]]]}",Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[987963.2340314239, 203697.35873116553], [988085.0546539277, 203923.31956534088]]]}",Single,MAN1982,,NB,W
sbs_route2,,Single,MAN2019,,WB,A
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1016688.195610255, 175765.430343166], [1016783.4710102528, 175654.7678348422]]]}",Single,BK2018,,SB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[989973.2956280857, 207259.0999672562], [990094.9092300087, 207481.74059808254]]]}",Single,MAN1982,,NB,W
sbs_route2,,Single,BK2018,Contraflow,WB,W
sbs_route2,,Single,MAN2019,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1002857.7531268448, 230594.50867691636], [1002881.8331311792, 230637.9226320833]]]}",Single,MAN1982,,NB,W
sbs_route2,,Single,BK2018,,SB,T
sbs_route2,,Single,MAN1982,,NB,W
sbs_route2,M14 D,Single,MAN2019,Curbside,WB,T
sbs_route2,,Single,BK2018,,SB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1016218.9724673331, 176391.16367176175], [1016324.1212071776, 176221.53835484385]]]}",Single,BK2018,,NB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[988902.3000666797, 205827.78557267785], [988971.4101646692, 205789.8020528406]]]}",Single,MAN2019,Curbside,WB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[989614.054220587, 206612.7695670128], [989676.4064580947, 206725.90877641737]]]}",Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[991451.7178680897, 210008.52032142878], [991590.8025636673, 210257.59232984483]]]}",Single,MAN1982,,NB,A
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[993433.1473041773, 188289.34853675961], [993717.4347933382, 188210.94318175316]]]}",Single,BK2018,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1035026.917791009, 152717.55386683345], [1035001.1471732557, 152701.09064517915]]]}",Single,QNS2019,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[989293.1329464167, 206039.05319476128], [989377.4339589179, 206189.83045224845]]]}",Single,MAN1982,,NB,W
sbs_route2,,Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[987584.3338705897, 203018.4854170084], [987717.2141822577, 203258.55350641906]]]}",Single,MAN1982,,NB,W
sbs_route2,,Single,QNS2019,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[992674.943768084, 212209.7757614255], [992688.4637541771, 212233.72584475577]]]}",Single,MAN1982,,NB,W
sbs_route2,,Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[989247.5785755962, 205958.0756664276], [989293.1329464167, 206039.05319476128]]]}",Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[992222.2921143472, 211400.7508046776], [992346.2797272503, 211628.24477225542]]]}",Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[983398.9455878437, 196543.36057201028], [983409.5876269192, 196551.65451867878]]]}",Single,MAN2019,,WB,A
sbs_route2,,Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1002822.4779349267, 230530.91103509068], [1002839.7820341736, 230562.10913541913]]]}",Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[984717.5919006765, 216464.72263209522], [984418.0967647582, 216630.4926417619]]]}",Single,MAN2019,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1012203.9293163419, 175051.3799340129], [1012401.1470977515, 175220.77920150757]]]}",Single,BK2018,Contraflow,WB,W
sbs_route2,,Single,BK2018,,WB,T
sbs_route2,,Single,MAN1982,,NB,W
sbs_route2,M14 D,Single,MAN2019,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1015968.6865505874, 176822.9807215035], [1016218.9724673331, 176391.16367176175]]]}",Single,BK2018,,SB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1002881.8331311792, 230637.9226320833], [1002897.9305399209, 230666.94422759116]]]}",Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[992524.6878350079, 188692.82673242688], [992830.5471314192, 188534.91563092172]]]}",Single,BK2018,,WB,T
sbs_route2,,Single,BK2018,,EB,T
sbs_route2,,Single,BK2018,,NB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[988085.0546539277, 203923.31956534088], [988202.8628172576, 204133.31225559115]]]}",Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[985929.8030589223, 215793.3837516755], [985503.7113914192, 216029.29535333812]]]}",Single,MAN2019,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[992830.5471314192, 188534.91563092172], [992869.4053214192, 188514.56462176144]]]}",Single,BK2018,,WB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[983409.5876269192, 196551.65451867878], [983409.6112489253, 196551.67321942747], [983606.0052130967, 196704.7316403389]]]}",Single,MAN2019,,WB,A
sbs_route2,,Single,BK2018,,NB,T
sbs_route2,,Single,BK2018,,WB,T
sbs_route2,M14 D,Single,MAN2019,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1002974.2535500079, 230804.54697075486], [1002993.7699151784, 230839.7332520932]]]}",Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[995833.8314791769, 161062.22549767792], [995967.948665008, 161138.8296751678]]]}",Single,BK2018,,WB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[993136.0940925032, 188378.16397592425], [993433.1473041773, 188289.34853675961]]]}",Single,BK2018,,WB,T
sbs_route2,,Single,MAN2019,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[992869.4053214192, 188514.56462176144], [993136.0940925032, 188378.16397592425]]]}",Single,BK2018,,EB,T
sbs_route2,,Single,BK2018,,EB,T
sbs_route2,,Single,MAN1982,,NB,A
sbs_route2,,Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1015801.9995480031, 177118.17370067537], [1015811.6058280021, 177100.30628234148]]]}",Single,BK2018,,NB,T
sbs_route2,,Single,MAN1982,,NB,W
sbs_route2,,Single,MAN2019,,WB,A
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[992864.7426010966, 212564.38233567774], [992873.4843815118, 212579.95251449943], [992997.9733057618, 212801.69222851098]]]}",Single,MAN1982,,NB,W
sbs_route2,M14 D,Single,MAN2019,,EB,T
sbs_route2,,Single,BK2018,,NB,T
sbs_route2,,Single,BK2018,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[996076.593460843, 161202.0808610022], [996327.5575258434, 161351.07006433606]]]}",Single,BK2018,,EB,T
sbs_route2,,Single,MAN2019,,EB,T
sbs_route2,,Single,MAN1982,,NB,W
sbs_route2,,Single,BK2018,,EB,T
sbs_route2,,Single,MAN1982,,NB,W
sbs_route2,,Single,BK2018,,WB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[991634.2339072526, 189163.884189263], [991717.8938449174, 189119.5483199209]]]}",Single,BK2018,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[992461.1216891706, 211829.04489558935], [992474.3631325066, 211852.20101726055]]]}",Single,MAN1982,,NB,W
sbs_route2,,Single,QNS2019,,EB,T
sbs_route2,,Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[994018.7235608399, 188128.1743184179], [994327.9913150072, 188043.38118092716]]]}",Single,BK2018,,EB,T
sbs_route2,,Single,BK2018,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[999567.4821483344, 163723.45344291627], [999609.5752400011, 163766.8001410067]]]}",Single,BK2018,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[989488.775271669, 159796.77166375518], [989635.9931530952, 159777.7661243379]]]}",Single,BK2018,,EB,T
sbs_route2,,Single,MAN2019,,EB,T
sbs_route2,,Single,QNS2019,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[993433.1473041773, 188289.34853675961], [993717.4347933382, 188210.94318175316]]]}",Single,BK2018,,WB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[990456.7854747623, 208213.28769142926], [990582.8314824998, 208440.54117392004]]]}",Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[992565.9508758336, 212111.14734975994], [992590.1076516807, 212095.92428308725]]]}",Single,MAN2019,,EB,T
sbs_route2,M14 D,Single,MAN2019,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[996047.1611050069, 218306.25930334628], [996173.3517975062, 218533.9130475074]]]}",Single,MAN1982,,NB,W
sbs_route2,,Single,QNS2019,,NB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1011808.4612752497, 174713.53316876292], [1012010.84276025, 174889.933406502]]]}",Single,BK2018,Contraflow,WB,W
sbs_route2,,Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1006582.2217277586, 169348.54717959464], [1006843.0305893421, 169566.40960475802]]]}",Single,BK2018,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[982120.7631048411, 195478.04774200916], [982270.8441695124, 195602.51271617413], [982320.837507844, 195643.9732631743]]]}",Single,MAN2019,,WB,A
sbs_route2,,Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1001398.0952850133, 165842.17952042818], [1001597.927562505, 165928.31779958308]]]}",Single,BK2018,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[991634.2339072526, 189163.884189263], [991717.8938449174, 189119.5483199209]]]}",Single,BK2018,,WB,T
sbs_route2,,Single,BK2018,,WB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1034973.3299716711, 152683.96863217652], [1034896.2421993464, 152637.53302951157]]]}",Single,QNS2019,,EB,T
sbs_route2,,Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1006339.4302185923, 169141.8907687515], [1006582.2217277586, 169348.54717959464]]]}",Single,BK2018,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[992448.2247333378, 212185.3335530907], [992565.9508758336, 212111.14734975994]]]}",Single,MAN2019,,EB,T
sbs_route2,M14 D,Single,MAN2019,Curbside,WB,T
sbs_route2,,Single,BK2018,,WB,T
sbs_route2,,Single,BK2018,,EB,T
sbs_route2,,Single,BK2018,,WB,T
sbs_route2,,Single,BK2018,,WB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1016324.1212071776, 176221.53835484385], [1016407.4150038362, 176094.32404233515]]]}",Single,BK2018,,SB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1002993.7699151784, 230839.7332520932], [1003011.1035419255, 230870.9845019281]]]}",Single,MAN1982,,NB,W
sbs_route2,,Single,BK2018,,EB,T
sbs_route2,,Single,BK2018,,EB,T
sbs_route2,,Single,BK2019,,EB,T
sbs_route2,,Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[991996.3722905964, 174582.67352233827], [992091.1978883445, 174633.26725317538]]]}",Single,BK2019,,EB,T
sbs_route2,,Single,BK2018,,SB,T
