segmentid,shape_leng,lane_type1,lane_type
9009291,152.057021772,Shared Lane,Offset
29080,336.500125693,Shared Lane,
165450,28.5533111655,Bus Lane,Offset
27102,154.452645041,Shared Lane,Curbside
169639,261.493694557,Bus Lane,Curbside
106081,239.972645381,Bus Lane,Offset
164494,36.1368471614,Bus Lane,Offset
40753,217.606852525,Shared Lane,Median
46406,320.224205663,Shared Lane,Curbside
165428,26.674740718,Bus Lane,Offset
28007,274.451599283,Bus Lane,Curbside
27471,356.3821906,Shared Lane,Median
120767,120.956213839,Shared Lane,Median
164957,46.4684971477,Bus Lane,Offset
27588,354.402722283,Shared Lane,Median
27102,154.452645041,Shared Lane,Curbside
32805,138.54026676,Bus Lane,Busway
164508,123.042877831,Bus Lane,Offset
33110,249.943149039,Bus Lane,Offset
168096,20.2860852217,Shared Lane,Offset
46914,169.972225301,Shared Lane,Offset
9001718,81.6284107227,Bus Lane,Offset
46414,268.468451313,Shared Lane,Curbside
164499,92.9115751651,Bus Lane,Offset
32947,506.460250395,Bus Lane,Busway
48927,110.828066333,Bus Lane,Curbside
294716,547.757211431,Bus Lane,Offset
215773,639.759129378,Bus Lane,Busway
165450,28.5533111655,Bus Lane,Offset
214527,272.151439263,Bus Lane,Curbside
109300,94.681859267,Shared Lane,
29181,299.546385088,Shared Lane,
36068,253.841633018,Bus Lane,Offset
25222,244.188113006,Shared Lane,Curbside
29098,142.076253975,Shared Lane,
214494,245.19309611,Bus Lane,Curbside
9001100,37.0498375304,Bus Lane,Offset
9001099,35.6756683811,Bus Lane,Offset
46980,259.454604541,Shared Lane,Offset
34656,255.817364356,Bus Lane,Offset
33108,245.762683044,Bus Lane,Offset
190827,27.5026637889,Bus Lane,Curbside
9001720,38.8123336025,Bus Lane,Offset
106082,658.682332247,Bus Lane,Offset
46972,129.149627927,Shared Lane,Offset
165427,231.320915062,Bus Lane,Offset
165376,64.5400829426,Bus Lane,Offset
9001108,35.7364692147,Bus Lane,Offset
294713,129.080192812,Bus Lane,Offset
46969,258.590584006,Shared Lane,Offset
169760,30.5804252324,Bus Lane,Curbside
9009290,199.572056244,Shared Lane,Offset
29096,96.33223153,Shared Lane,
9001096,35.6755406444,Bus Lane,Offset
53601,121.83374346,Bus Lane,Curbside
76191,351.792945939,Bus Lane,Curbside
32805,138.54026676,Bus Lane,Busway
46537,259.982624673,Shared Lane,Curbside
32794,600.402181252,Bus Lane,Busway
19358,148.439600954,Shared Lane,Curbside
240352,249.023038635,Shared Lane,Bus lane on shoulder
53641,251.835969888,Bus Lane,Curbside
34654,255.872498299,Bus Lane,Offset
9008708,125.406376071,Bus Lane,Curbside
165451,17.9319968056,Bus Lane,Offset
127609,405.890166952,Bus Lane,Offset
9000990,32.4974231685,Bus Lane,Offset
29180,43.8648207811,Shared Lane,
9001682,30.1609331192,Bus Lane,Offset
29354,320.681181134,Shared Lane,
29181,299.546385088,Shared Lane,
27241,291.857404607,Shared Lane,Curbside
46916,400.566826136,Shared Lane,Offset
33284,253.690202165,Bus Lane,Offset
53657,251.182273863,Bus Lane,Curbside
32456,900.341006511,Bus Lane,Busway
29080,336.500125693,Shared Lane,
164500,172.74386266,Bus Lane,Offset
36109,272.151439263,Bus Lane,Curbside
33105,256.760258016,Bus Lane,Offset
9009248,165.400059071,Shared Lane,Offset
9001107,40.2363380893,Bus Lane,Offset
36073,259.087694493,Bus Lane,Offset
302255,236.474006741,Shared Lane,Bus lane on shoulder
32953,708.223109017,Bus Lane,Offset
33123,290.39142688,Bus Lane,Offset
46419,251.689092709,Shared Lane,Curbside
29178,344.217700278,Shared Lane,
46968,110.309138547,Shared Lane,Offset
29178,344.217700278,Shared Lane,
214487,129.527835428,Bus Lane,Curbside
