the_geom,days,last_updat,streetwidt,sbs_route1,year1,open_dates,days_code,year2
"{'type': 'MultiLineString', 'coordinates': [[[-73.97276482719224, 40.68564129156275], [-73.97231249591701, 40.685458234338135]]]}",Mon - Fri,2/25/2019,0.0,,2018,06/01/2018,5.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.88241240096438, 40.64844055955498], [-73.8814817895251, 40.64760007787689]]]}",7 Days/Week,2/25/2019,0.0,B82,2018,6/30/2018,7.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-74.00303118722634, 40.70616556899512], [-74.00303110202917, 40.7061656203265], [-74.0023227657499, 40.706585746053136]]]}",Mon - Fri,12/19/2019,32.0,,2019,06/13/2019,5.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.98238628696872, 40.73141124348769], [-73.9823228266877, 40.73149788968038]]]}",7 Days/Week,7/19/2017,0.0,M15,1982,"8/24/82,10/10/10",7.0,2010
"{'type': 'MultiLineString', 'coordinates': [[[-73.94659059152688, 40.780691973808295], [-73.94647764213019, 40.78084530301465]]]}",7 Days/Week,7/19/2017,70.0,M15,1982,"8/24/82, 10/10/10",7.0,2010
"{'type': 'MultiLineString', 'coordinates': [[[-73.97016463066427, 40.684591082599844], [-73.96906201984206, 40.68415736147941]]]}",Mon - Fri,2/25/2019,0.0,,2018,06/01/2018,5.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.97217742833011, 40.604194710557245], [-73.97099040731612, 40.604321868843385]]]}",7 Days/Week,2/25/2019,0.0,B82,2018,10/05/2018,7.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.97350834975836, 40.74378203397334], [-73.97302670388525, 40.744450041468596]]]}",7 Days/Week,7/19/2017,70.0,M15,1982,"8/24/82,10/10/10",7.0,2010
"{'type': 'MultiLineString', 'coordinates': [[[-73.94642443334412, 40.78091753367078], [-73.94630631715816, 40.781077876113024]]]}",7 Days/Week,7/19/2017,70.0,M15,1982,"8/24/82, 10/10/10",7.0,2010
"{'type': 'MultiLineString', 'coordinates': [[[-73.87796379784989, 40.64444416861513], [-73.87751948278748, 40.644042965312025]]]}",7 Days/Week,2/25/2019,0.0,B82,2018,6/30/2018,7.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.96890797237585, 40.75011244361425], [-73.96887640188403, 40.75015517130209], [-73.96842681210879, 40.7507636685074]]]}",7 Days/Week,7/19/2017,0.0,M15,1982,"8/24/82, 10/10/10",7.0,2010
"{'type': 'MultiLineString', 'coordinates': [[[-73.98399733806518, 40.72936968376534], [-73.98353592495889, 40.73000772808081]]]}",7 Days/Week,7/19/2017,70.0,M15,1982,"8/24/82,10/10/10",7.0,2010
"{'type': 'MultiLineString', 'coordinates': [[[-74.00767936143869, 40.70321855478787], [-74.00713811173041, 40.703560216747995], [-74.00695781540378, 40.70367402724842]]]}",Mon - Fri,12/19/2019,32.0,,2019,06/13/2019,5.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.97348599525658, 40.750361711107814], [-73.97220372205453, 40.74982300527627]]]}",7 Days/Week,12/19/2019,55.0,,2019,12/20/2019,7.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.88349551791781, 40.64941055665984], [-73.88310250186392, 40.649052715094044]]]}",7 Days/Week,2/25/2019,0.0,B82,2018,6/30/2018,7.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.96890797237585, 40.75011244361425], [-73.96887640188403, 40.75015517130209], [-73.96842681210879, 40.7507636685074]]]}",7 Days/Week,7/19/2017,64.0,M15,1982,"8/24/82, 10/10/10",7.0,2010
"{'type': 'MultiLineString', 'coordinates': [[[-73.98749104757326, 40.72457376287195], [-73.98704399194148, 40.72519130151177]]]}",7 Days/Week,7/19/2017,70.0,M15,1982,"8/24/82,10/10/10",7.0,2010
"{'type': 'MultiLineString', 'coordinates': [[[-73.93237026407499, 40.800161263399644], [-73.93229967513432, 40.80025779872384]]]}",7 Days/Week,7/19/2017,70.0,M15,1982,"8/24/82, 10/10/10",7.0,2010
"{'type': 'MultiLineString', 'coordinates': [[[-73.82172941304475, 40.58356270880368], [-73.82252368971497, 40.58317741397782]]]}",Mon - Fri,12/19/2019,35.0,Q53,2019,09/16/2019,5.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.94647764213019, 40.78084530301465], [-73.94642443334412, 40.78091753367078]]]}",7 Days/Week,7/19/2017,70.0,M15,1982,"8/24/82, 10/10/10",7.0,2010
"{'type': 'MultiLineString', 'coordinates': [[[-73.88013120252312, 40.64638240248054], [-73.87986846259751, 40.64615519760247]]]}",7 Days/Week,2/25/2019,0.0,B82,2018,6/30/2018,7.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.99171498742916, 40.73521530119412], [-73.99119899402012, 40.73501236768723]]]}",7 Days/Week,12/19/2019,50.0,M14 A,2019,10/03/2019,7.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.97934819537566, 40.7355531119325], [-73.97890917431862, 40.73616412595845]]]}",7 Days/Week,7/19/2017,0.0,M15,1982,"8/24/82,10/10/10",7.0,2010
"{'type': 'MultiLineString', 'coordinates': [[[-73.97220372205453, 40.74982300527627], [-73.97041171607071, 40.749072446321065]]]}",7 Days/Week,12/19/2019,55.0,,2019,12/20/2019,7.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.96998692139938, 40.74886871396474], [-73.96989975612283, 40.74882690773285]]]}",7 Days/Week,12/19/2019,55.0,,2019,12/20/2019,7.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.96932031464223, 40.74951697388946], [-73.96890956251971, 40.750110145952135], [-73.96890797237585, 40.75011244361425]]]}",7 Days/Week,7/19/2017,0.0,M15,1982,"8/24/82, 10/10/10",7.0,2010
