the_geom,days,last_updat,streetwidt,sbs_route1,year1,open_dates,days_code,year2
"{'type': 'MultiLineString', 'coordinates': [[[-73.88733790772608, 40.744940635520386], [-73.88623268246968, 40.74446548599212]]]}",7 Days/Week,12/19/2019,50.0,Q53,2019,09/16/2019,7.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.99361688443895, 40.73600449137932], [-73.99171498742916, 40.73521530119412]]]}",7 Days/Week,12/19/2019,52.0,M14 A,2019,10/03/2019,7.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.89926539227156, 40.64710809263265], [-73.89855399316588, 40.64757243197118]]]}",7 Days/Week,2/25/2019,0.0,,2018,09/30/2018,7.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.98616358058538, 40.726398232372674], [-73.9857384194534, 40.72697455933445]]]}",7 Days/Week,7/19/2017,70.0,M15,1982,"8/24/82,10/10/10",7.0,2010
"{'type': 'MultiLineString', 'coordinates': [[[-73.99119899402012, 40.73501236768723], [-73.99075396816592, 40.73483915434294]]]}",7 Days/Week,12/19/2019,50.0,M14 A,2019,10/03/2019,7.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.98064498884412, 40.733779319440075], [-73.98041991325051, 40.73408982068397]]]}",7 Days/Week,7/19/2017,0.0,M15,1982,"8/24/82,10/10/10",7.0,2010
"{'type': 'MultiLineString', 'coordinates': [[[-74.00006148244637, 40.70779792514992], [-74.00001705219744, 40.70782095573836]]]}",Mon - Fri,12/19/2019,22.0,,2019,06/13/2019,5.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.9668896223823, 40.68348273118454], [-73.9658647173868, 40.68326722686451]]]}",Mon - Fri,2/25/2019,0.0,,2018,06/01/2018,5.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.9784984559051, 40.7367909564629], [-73.97805226554974, 40.7375539534523]]]}",7 Days/Week,7/19/2017,70.0,M15,1982,"8/24/82,10/10/10",7.0,2010
"{'type': 'MultiLineString', 'coordinates': [[[-73.96930730274129, 40.6469914602486], [-73.96842739715483, 40.64733540898613]]]}",Mon - Sat,12/19/2019,44.0,,2019,10/23/2019,6.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.82110911941406, 40.583856800980364], [-73.82148089189349, 40.583679346225765]]]}",Mon - Fri,12/19/2019,35.0,Q53,2019,09/16/2019,5.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.97220372205453, 40.74982300527627], [-73.97041171607071, 40.749072446321065]]]}",7 Days/Week,12/19/2019,55.0,,2019,12/20/2019,7.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.94319348995879, 40.617678587922164], [-73.94310276996835, 40.61778532771909]]]}",7 Days/Week,2/25/2019,0.0,B82,2018,10/05/2018,7.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.96906201984206, 40.68415736147941], [-73.96892193898083, 40.684101464851835]]]}",Mon - Fri,2/25/2019,0.0,,2018,06/01/2018,5.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.95741202512652, 40.765868753886465], [-73.95695607057442, 40.766493435127]]]}",7 Days/Week,4/9/2024,70.0,M15,1982,11/18/22,5.0,2010
"{'type': 'MultiLineString', 'coordinates': [[[-73.97337475155688, 40.68588481525165], [-73.97307314902784, 40.68576305324776]]]}",Mon - Fri,2/25/2019,0.0,,2018,06/01/2018,5.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.88479047318656, 40.65077192203811], [-73.88441234606373, 40.650305957593964]]]}",7 Days/Week,2/25/2019,0.0,B82,2018,6/30/2018,7.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.93291921585553, 40.79941052798935], [-73.93285662990314, 40.79949612185019]]]}",7 Days/Week,7/19/2017,70.0,M15,1982,"8/24/82, 10/10/10",7.0,2010
"{'type': 'MultiLineString', 'coordinates': [[[-73.94055963759038, 40.78894946525047], [-73.94050265258782, 40.78902744083944]]]}",7 Days/Week,7/19/2017,70.0,M15,1982,"8/24/82, 10/10/10",7.0,2010
"{'type': 'MultiLineString', 'coordinates': [[[-73.97016463066427, 40.684591082599844], [-73.96906201984206, 40.68415736147941]]]}",Mon - Fri,2/25/2019,0.0,,2018,06/01/2018,5.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.9811334133092, 40.60527996555697], [-73.98060324751846, 40.605227710976834]]]}",7 Days/Week,2/25/2019,0.0,B82,2018,10/05/2018,7.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.99831211235387, 40.760822069122575], [-73.99939320935542, 40.761277076008824]]]}",7 Days/Week,12/19/2019,66.0,,2019,12/20/2019,7.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.96892193898083, 40.684101464851835], [-73.96796054798135, 40.68372681250015]]]}",Mon - Fri,2/25/2019,0.0,,2018,06/01/2018,5.0,0
