case_number,filing_agency_case_id,original_conference,report_issued,type
250855,LB-0202,,2025-03-06T00:00:00.000,Real Estate/Land Use
252036,1001914994,,2025-07-17T00:00:00.000,Forfeiture
251189,1442373-07,2025-02-18T00:00:00.000,2025-04-28T00:00:00.000,Personnel
242814,1122864,2024-04-30T00:00:00.000,2024-12-02T00:00:00.000,Personnel
250586,TWC-228673,,2025-05-21T00:00:00.000,License
260139,5591679,,2025-08-01T00:00:00.000,License
251629,,,2025-03-25T00:00:00.000,License
250182,ADR2023LW029917,,2025-07-30T00:00:00.000,Contract
211981,LI-0052,,2024-04-23T00:00:00.000,Real Estate/Land Use
252350,5357633,,2025-06-18T00:00:00.000,License
220390,TR-1426,,2025-03-14T00:00:00.000,Real Estate/Land Use
252477,0639831,,2025-08-21T00:00:00.000,Personnel
243574,,2024-07-24T00:00:00.000,2025-03-27T00:00:00.000,Regulatory
251164,D-0294-23,,2025-03-04T00:00:00.000,Personnel
251520,5393680,,2025-03-05T00:00:00.000,License
241190,INV 0025/23,2023-12-06T00:00:00.000,2024-08-21T00:00:00.000,Personnel
251655,6025187,,2025-03-21T00:00:00.000,License
211556,TA-0279,,2025-08-05T00:00:00.000,Real Estate/Land Use
252202,6028700,,2025-07-21T00:00:00.000,License
211217,TA-0282,,2025-06-13T00:00:00.000,Real Estate/Land Use
250556,6028490,,2025-01-08T00:00:00.000,License
242793,DR# 1470/23,2024-04-17T00:00:00.000,2024-10-11T00:00:00.000,Personnel
251256,5650390,,2025-06-25T00:00:00.000,License
252432,5737667,,2025-06-26T00:00:00.000,License
251470,,2025-02-19T00:00:00.000,2025-06-11T00:00:00.000,Regulatory
242358,DR# 661/23 DR# 660/23,2024-02-29T00:00:00.000,2024-09-19T00:00:00.000,Personnel
252104,496172,,2025-06-03T00:00:00.000,License
242069,TWC-227159,,2025-02-12T00:00:00.000,License
250587,TWC-228526,,2025-04-25T00:00:00.000,License
251010,659088,,2025-02-13T00:00:00.000,License
210291,TA-0275,,2025-06-13T00:00:00.000,Real Estate/Land Use
242067,DR B1280/23,,2024-02-16T00:00:00.000,Personnel
250723,TWC-229010,,2025-07-23T00:00:00.000,License
250767,24/28,2024-10-18T00:00:00.000,2025-03-24T00:00:00.000,Personnel
242284,66053-958-008,2024-03-29T00:00:00.000,2024-10-11T00:00:00.000,Personnel
210313,TA-0276,,2025-06-13T00:00:00.000,Real Estate/Land Use
210300,TA-0266,,2025-06-13T00:00:00.000,Real Estate/Land Use
250504,,2024-10-21T00:00:00.000,2025-01-28T00:00:00.000,Personnel
211701,MP 1-18-33418,2021-06-03T00:00:00.000,2025-03-14T00:00:00.000,Discrimination
251976,5000252994,,2025-04-16T00:00:00.000,Forfeiture
250962,DR#1188/23,2024-11-21T00:00:00.000,2025-04-10T00:00:00.000,Personnel
232455,679281,,2023-04-04T00:00:00.000,License
250804,TWC-228542,,2025-09-18T00:00:00.000,License
242894,DR# 1833/23,2024-04-25T00:00:00.000,2024-12-05T00:00:00.000,Personnel
242956,PO-0239,,2025-08-28T00:00:00.000,Real Estate/Land Use
252097,5763172,,2025-05-19T00:00:00.000,License
252442,TWC-229547,,2025-09-19T00:00:00.000,License
251005,6002823,,2025-02-11T00:00:00.000,License
260071,5375006,,2025-08-15T00:00:00.000,License
251011,5635627,,2025-02-04T00:00:00.000,License
211079,TA-0281,,2025-02-14T00:00:00.000,Real Estate/Land Use
250864,TWC-229871,,2025-07-22T00:00:00.000,License
251447,5885674,,2025-04-02T00:00:00.000,License
230575,,2022-11-02T00:00:00.000,2024-02-06T00:00:00.000,License
251223,,,2025-06-27T00:00:00.000,License
251963,5110097,,2025-05-13T00:00:00.000,License
250980,,2024-12-16T00:00:00.000,2025-04-01T00:00:00.000,Regulatory
252335,5000272532,,2025-06-10T00:00:00.000,Forfeiture
251429,5727657,,2025-02-26T00:00:00.000,License
242320,DR# 052/23,2024-02-22T00:00:00.000,2024-11-15T00:00:00.000,Personnel
241222,0450533-01,2023-12-19T00:00:00.000,2025-02-21T00:00:00.000,Personnel
251968,5958808,,2025-04-25T00:00:00.000,License
251203,,2025-02-10T00:00:00.000,2025-03-19T00:00:00.000,Personnel
251174,"BLK11337 Lots: 1, 5, & 48",,2025-02-05T00:00:00.000,Real Estate/Land Use
260294,5810511,,2025-08-26T00:00:00.000,License
251127,,,2025-05-21T00:00:00.000,Regulatory
231626,PO-0201,,2025-05-06T00:00:00.000,Real Estate/Land Use
240525,,,2024-09-09T00:00:00.000,Personnel
252056,TWC-230008,,2025-08-22T00:00:00.000,License
240075,TWC-225072,,2025-02-06T00:00:00.000,License
251032,TWC-229145,,2025-05-21T00:00:00.000,License
260034,500518,,2025-08-13T00:00:00.000,License
250322,TWC-228289,,2025-07-22T00:00:00.000,License
251048,DR#814/24,2024-12-03T00:00:00.000,2025-03-14T00:00:00.000,Personnel
252365,6078403,,2025-06-23T00:00:00.000,License
241981,TWC-226950,,2025-05-27T00:00:00.000,License
251238,5501258,,2025-01-24T00:00:00.000,License
242659,104414,2024-04-05T00:00:00.000,2025-02-27T00:00:00.000,Regulatory
252534,5682513,,2025-07-21T00:00:00.000,License
241005,ADR2022LW030942,,2025-02-06T00:00:00.000,Contract
242278,D000,2024-02-26T00:00:00.000,2025-05-16T00:00:00.000,Personnel
220391,PO-0166,,2025-03-14T00:00:00.000,Real Estate/Land Use
252022,3001892364,,2025-05-09T00:00:00.000,Forfeiture
202100,PO-0114,2020-06-02T00:00:00.000,2024-01-12T00:00:00.000,Real Estate/Land Use
251622,,,2025-03-31T00:00:00.000,Personnel
250631,TWC-228551,,2025-05-27T00:00:00.000,License
232154,,2023-02-15T00:00:00.000,2025-04-03T00:00:00.000,Personnel
250710,5977727,,2025-02-12T00:00:00.000,License
251697,66056449-000,2025-04-18T00:00:00.000,2025-06-23T00:00:00.000,Personnel
230087,TR-1248,,2023-06-05T00:00:00.000,Real Estate/Land Use
240833,ADR2021LW024217,,2025-06-04T00:00:00.000,Contract
242958,0002255,2024-05-17T00:00:00.000,2025-03-27T00:00:00.000,Personnel
251817,TWC-228780,,2025-09-19T00:00:00.000,License
251967,5124298,,2025-05-12T00:00:00.000,License
232648,TM-0113,,2025-06-23T00:00:00.000,Real Estate/Land Use
251158,5770375,,2025-02-27T00:00:00.000,License
210155,TA-0268,,2025-06-13T00:00:00.000,Real Estate/Land Use
251816,TWC-227238,,2025-09-19T00:00:00.000,License
242456,,2024-03-25T00:00:00.000,2025-07-31T00:00:00.000,Personnel
251241,,,2025-01-28T00:00:00.000,Forfeiture
241643,1308019,2024-01-08T00:00:00.000,2024-05-31T00:00:00.000,Personnel
211134,TR-1403,,2022-02-22T00:00:00.000,Real Estate/Land Use
230782,,2022-10-03T00:00:00.000,2025-05-30T00:00:00.000,Personnel
243603,DMCCSG,,2025-03-17T00:00:00.000,Contract
250662,,2024-10-15T00:00:00.000,2025-07-30T00:00:00.000,Personnel
251259,5726455,,2025-02-24T00:00:00.000,License
250807,TWC-229454,,2025-09-18T00:00:00.000,License
251934,6029635,,2025-05-21T00:00:00.000,License
250794,TWC-228698,,2025-05-29T00:00:00.000,License
251515,5974942,,2025-02-27T00:00:00.000,License
251905,6012600,,2025-04-21T00:00:00.000,License
252532,5974911,,2025-07-29T00:00:00.000,License
241111,,2023-10-19T00:00:00.000,2025-03-20T00:00:00.000,Personnel
250174,ADR2024LW007314,,2025-07-17T00:00:00.000,Contract
251802,66055-856-000,2025-04-16T00:00:00.000,2025-06-17T00:00:00.000,Personnel
250699,2023-308b,2024-10-28T00:00:00.000,2025-08-14T00:00:00.000,Personnel
252284,5545621,,2025-07-31T00:00:00.000,License
242144,TWC-227121,,2025-09-18T00:00:00.000,License
251783,DP #127/24,,2025-06-04T00:00:00.000,Personnel
241815,0675393-02,,2024-07-10T00:00:00.000,Personnel
251659,5932720,,2025-06-06T00:00:00.000,License
242671,66055-982-001,2024-04-16T00:00:00.000,2025-05-01T00:00:00.000,Personnel
250024,TWC-228842,,2025-09-18T00:00:00.000,License
251906,5745408,,2025-06-18T00:00:00.000,License
251027,TWC-228965,,2025-05-21T00:00:00.000,License
250498,TWC-228421,,2025-06-03T00:00:00.000,License
251569,20171403887,,2025-06-09T00:00:00.000,Contract
240524,PO-0224,,2025-04-22T00:00:00.000,Real Estate/Land Use
250765,,,2025-02-04T00:00:00.000,License
251211,,,2025-04-04T00:00:00.000,License
251469,5812163,,2025-02-25T00:00:00.000,License
251219,,,2025-07-10T00:00:00.000,License
252550,6006052,,2025-07-25T00:00:00.000,License
251837,,2025-05-08T00:00:00.000,2025-09-18T00:00:00.000,Regulatory
251555,TWC-229142,,2025-05-30T00:00:00.000,License
192445,TM-0101,,2025-05-20T00:00:00.000,Real Estate/Land Use
240272,11077174,2023-10-02T00:00:00.000,2024-04-11T00:00:00.000,Personnel
260188,6023354,,2025-08-20T00:00:00.000,License
241963,D0003926,2024-01-29T00:00:00.000,2025-07-24T00:00:00.000,Personnel
251736,TWC-229551,,2025-06-17T00:00:00.000,License
252014,295/23D,2025-05-14T00:00:00.000,2025-06-11T00:00:00.000,Personnel
260035,5774517,,2025-08-08T00:00:00.000,License
251948,5771714,,2025-05-07T00:00:00.000,License
250058,DR#440/24,2024-07-11T00:00:00.000,2024-09-17T00:00:00.000,Personnel
251556,TWC-229374,,2025-05-30T00:00:00.000,License
200905,MPD 1826311,2020-01-08T00:00:00.000,2022-03-31T00:00:00.000,Discrimination
250069,1699821,2024-07-30T00:00:00.000,2025-05-13T00:00:00.000,Personnel
241191,TWC-225277,,2025-06-17T00:00:00.000,License
250786,,2024-10-23T00:00:00.000,2025-03-19T00:00:00.000,Personnel
251472,6035708,,2025-04-25T00:00:00.000,License
252244,5422659,,2025-07-08T00:00:00.000,License
251000,659082,,2025-01-24T00:00:00.000,License
251351,LS-0315,,2025-06-16T00:00:00.000,Real Estate/Land Use
260267,6044844,,2025-09-04T00:00:00.000,License
250150,TWC-227692,,2025-07-23T00:00:00.000,License
252533,6021182,,2025-07-24T00:00:00.000,License
251765,DR#1011/24,2025-03-13T00:00:00.000,2025-04-29T00:00:00.000,Personnel
