filing_agency_case_id,agency_head_decision,opened,subcategory
0639831,,2025-06-17T00:00:00.000,N1 - Absent without official leave
"1320272, File # 1052542",P - Upheld -- penalty modified upward,2024-01-26T00:00:00.000,K1 - Criminal activity off-duty or beyond scope of duties
TM-0101,,2019-05-21T00:00:00.000,TM - LFT - Services
5592536,U - Recommendation upheld in full,2025-01-27T00:00:00.000,04 - Fitness Drug Use
6025187,U - Recommendation upheld in full,2025-02-28T00:00:00.000,01 - Susp. Arrest
ADR2024LW007316,,2024-06-14T00:00:00.000,P4 - CD - Construction Contract
TA-0266,,2020-08-25T00:00:00.000,TA - LFT - Rent (Tenant)
LI-0052,U - Recommendation upheld in full,2021-04-30T00:00:00.000,LI - Unreasonable interference
5635627,U - Recommendation upheld in full,2024-11-19T00:00:00.000,04 - Fitness Drug Use
5393680,U - Recommendation upheld in full,2025-02-06T00:00:00.000,01 - Susp. Arrest
TWC-229533,U - Recommendation upheld in full,2025-03-10T00:00:00.000,BI - BIC
TWC-227692,,2024-07-15T00:00:00.000,BI - BIC
6023354,R - Reversed,2025-07-23T00:00:00.000,01 - Susp. Arrest
5763172,U - Recommendation upheld in full,2025-04-28T00:00:00.000,01 - Susp. Arrest
DR#296/24-,U - Recommendation upheld in full,2024-05-21T00:00:00.000,J15 - Undue familiarity with inmate
TWC-229993,,2025-04-24T00:00:00.000,BI - BIC
,,2024-09-26T00:00:00.000,M1 - Failure to perform work properly
1445123,U - Recommendation upheld in full,2024-07-23T00:00:00.000,J7 - Discourteous or offensive behavior or language
No. 42328,,2023-12-07T00:00:00.000,Q22 - Registered Representative
TR-1394,U - Recommendation upheld in full,2020-04-20T00:00:00.000,TR - LFT - Coverage (Tenant)
6029635,U - Recommendation upheld in full,2025-04-03T00:00:00.000,01 - Susp. Arrest
D0009431,,2025-03-31T00:00:00.000,N1 - Absent without official leave
5932720,U - Recommendation upheld in full,2025-02-28T00:00:00.000,04 - Fitness Drug Use
1308019,U - Recommendation upheld in full,2023-12-06T00:00:00.000,K6 - Sexual harrassment
6006052,U - Recommendation upheld in full,2025-06-30T00:00:00.000,01 - Susp. Arrest
DR#525/23,U - Recommendation upheld in full,2024-01-04T00:00:00.000,K3 - Threatening or intimidating behavior
5727657,U - Recommendation upheld in full,2025-01-28T00:00:00.000,01 - Susp. Arrest
679281,U - Recommendation upheld in full,2023-03-10T00:00:00.000,01 - Susp. Arrest
PO-0114,U - Recommendation upheld in full,2020-05-28T00:00:00.000,PO - LFT - Protected Occupancy Status
6106205,U - Recommendation upheld in full,2025-07-16T00:00:00.000,01 - Susp. Arrest
,U - Recommendation upheld in full,2022-08-29T00:00:00.000,Q1 - License matters (other than TLC)
6078403,U - Recommendation upheld in full,2025-06-04T00:00:00.000,01 - Susp. Arrest
,P - Upheld -- penalty modified upward,2024-12-09T00:00:00.000,QB - Dog Control cases (DOH)
,U - Recommendation upheld in full,2024-12-23T00:00:00.000,N2 - Sick leave violations -- excessive absence or use of sick leave
TA-0276,,2020-08-27T00:00:00.000,TA - LFT - Rent (Tenant)
TR-1403,U - Recommendation upheld in full,2020-12-31T00:00:00.000,TR - LFT - Coverage (Tenant)
6028700,U - Recommendation upheld in full,2025-05-09T00:00:00.000,06 - Fitness Conviction
DR B1280/23,D - Upheld -- penalty modified downward,2024-01-23T00:00:00.000,J1 - Use of force against inmate
LC-0173,,2024-08-15T00:00:00.000,LC - LFT - Coverage (Landlord)
295/23D,U - Recommendation upheld in full,2025-04-15T00:00:00.000,N1 - Absent without official leave
3001892364,,2025-04-17T00:00:00.000,X10 - Forefeiture - Vehicles
5124298,U - Recommendation upheld in full,2025-04-09T00:00:00.000,01 - Susp. Arrest
TWC-229010,,2024-10-03T00:00:00.000,BI - BIC
TA-0281,,2020-12-20T00:00:00.000,TA - LFT - Rent (Tenant)
MPD 1826311,U - Recommendation upheld in full,2019-11-04T00:00:00.000,Q5 - Discrimination Cases (CHR)
TWC-230023,,2025-06-05T00:00:00.000,BI - BIC
TWC-228526,,2024-09-13T00:00:00.000,BI - BIC
LB-0201,,2024-08-15T00:00:00.000,LB - LFT - Abandonment
5000252994,,2025-04-09T00:00:00.000,X10 - Forefeiture - Vehicles
ADR2023LW029917,,2024-07-17T00:00:00.000,P4 - CD - Construction Contract
TWC-229144,,2025-02-11T00:00:00.000,BI - BIC
PO-0201,,2022-12-15T00:00:00.000,PO - LFT - Protected Occupancy Status
5745408,U - Recommendation upheld in full,2025-03-31T00:00:00.000,01 - Susp. Arrest
24/28,R - Reversed,2024-10-10T00:00:00.000,J16 - Uniform violation
TWC-228421,,2024-08-28T00:00:00.000,BI - BIC
,,2025-01-01T00:00:00.000,X10 - Forefeiture - Vehicles
TWC-228660,,2024-10-15T00:00:00.000,BI - BIC
DR# 661/23 DR# 660/23,U - Recommendation upheld in full,2024-02-21T00:00:00.000,N1 - Absent without official leave
1122864,U - Recommendation upheld in full,2024-04-09T00:00:00.000,N1 - Absent without official leave
TWC-228698,,2024-10-15T00:00:00.000,BI - BIC
TWC-228780,,2025-03-19T00:00:00.000,BI - BIC
D-0294-23,,2024-12-16T00:00:00.000,N1 - Absent without official leave
6009316,U - Recommendation upheld in full,2025-04-09T00:00:00.000,01 - Susp. Arrest
6021182,U - Recommendation upheld in full,2025-06-27T00:00:00.000,01 - Susp. Arrest
,,2024-11-13T00:00:00.000,Q17 - Licensing Law (DCA)
5357633,,2025-05-30T00:00:00.000,01 - Susp. Arrest
DR#440/24,U - Recommendation upheld in full,2024-07-03T00:00:00.000,J1 - Use of force against inmate
D0005965,P - Upheld -- penalty modified upward,2023-08-03T00:00:00.000,J3 - Use of force against co-worker
66055-856-000,,2025-03-17T00:00:00.000,
"BLK11337 Lots: 1, 5, & 48",U - Recommendation upheld in full,2024-12-17T00:00:00.000,Q8 - Padlock law cases (DOB)
,,2025-03-24T00:00:00.000,Q1 - License matters (other than TLC)
DMCCSG,,2024-06-20T00:00:00.000,P4 - CD - Construction Contract
TWC-229142,,2025-02-11T00:00:00.000,BI - BIC
104414,U - Recommendation upheld in full,2024-03-22T00:00:00.000,Q3 - Limited supervisory check cases (DOB)
5545621,U - Recommendation upheld in full,2025-05-21T00:00:00.000,01 - Susp. Arrest
5885674,U - Recommendation upheld in full,2025-01-28T00:00:00.000,01 - Susp. Arrest
TA-0275,,2020-08-24T00:00:00.000,TA - LFT - Rent (Tenant)
DR# 1833/23,U - Recommendation upheld in full,2024-04-15T00:00:00.000,J1 - Use of force against inmate
6012600,U - Recommendation upheld in full,2025-03-31T00:00:00.000,01 - Susp. Arrest
TWC-229454,,2024-10-15T00:00:00.000,BI - BIC
TA-0282,,2021-01-13T00:00:00.000,TA - LFT - Rent (Tenant)
,U - Recommendation upheld in full,2024-10-15T00:00:00.000,N1 - Absent without official leave
5300738,U - Recommendation upheld in full,2025-04-17T00:00:00.000,01 - Susp. Arrest
500518,U - Recommendation upheld in full,2025-07-03T00:00:00.000,04 - Fitness Drug Use
,U - Recommendation upheld in full,2025-02-26T00:00:00.000,01 - Susp. Arrest
1001914994,,2025-04-17T00:00:00.000,X10 - Forefeiture - Vehicles
5974911,U - Recommendation upheld in full,2025-06-27T00:00:00.000,01 - Susp. Arrest
0675393-02,U - Recommendation upheld in full,2023-12-22T00:00:00.000,N1 - Absent without official leave
5977727,U - Recommendation upheld in full,2024-10-02T00:00:00.000,04 - Fitness Drug Use
TWC-228542,,2024-10-15T00:00:00.000,BI - BIC
659088,U - Recommendation upheld in full,2024-11-19T00:00:00.000,04 - Fitness Drug Use
,U - Recommendation upheld in full,2025-02-24T00:00:00.000,04 - Fitness Drug Use
TWC-227238,,2025-03-19T00:00:00.000,BI - BIC
ADR2021LW024217,,2023-09-21T00:00:00.000,P4 - CD - Construction Contract
5958808,U - Recommendation upheld in full,2025-04-09T00:00:00.000,01 - Susp. Arrest
5594805,U - Recommendation upheld in full,2025-08-06T00:00:00.000,01 - Susp. Arrest
,,2024-03-06T00:00:00.000,K6 - Sexual harrassment
1699821,,2024-07-05T00:00:00.000,N1 - Absent without official leave
TWC-227159,,2024-01-23T00:00:00.000,BI - BIC
5422659,U - Recommendation upheld in full,2025-05-14T00:00:00.000,01 - Susp. Arrest
TWC-226950,,2024-01-11T00:00:00.000,BI - BIC
TWC-229551,,2025-03-10T00:00:00.000,BI - BIC
TWC-228411,,2024-09-05T00:00:00.000,BI - BIC
20171403887,,2025-02-14T00:00:00.000,P4 - CD - Construction Contract
5375006,U - Recommendation upheld in full,2025-07-09T00:00:00.000,01 - Susp. Arrest
,U - Recommendation upheld in full,2024-12-30T00:00:00.000,04 - Fitness Drug Use
6023976,U - Recommendation upheld in full,2024-12-18T00:00:00.000,01 - Susp. Arrest
496172,R - Reversed,2025-04-29T00:00:00.000,01 - Susp. Arrest
5626779,U - Recommendation upheld in full,2025-06-10T00:00:00.000,04 - Fitness Drug Use
TWC-229163,,2025-01-27T00:00:00.000,BI - BIC
M-E-CNR-19-50623-E,,2023-12-20T00:00:00.000,Q5 - Discrimination Cases (CHR)
,U - Recommendation upheld in full,2022-09-21T00:00:00.000,K4 - Insubordination -- failure to obey orders or agency rules
5770375,U - Recommendation upheld in full,2024-12-12T00:00:00.000,01 - Susp. Arrest
6044844,U - Recommendation upheld in full,2025-08-06T00:00:00.000,01 - Susp. Arrest
,U - Recommendation upheld in full,2023-10-16T00:00:00.000,
TWC-228289,U - Recommendation upheld in full,2024-08-06T00:00:00.000,BI - BIC
TWC-229706,,2025-04-14T00:00:00.000,BI - BIC
TA-0279,,2021-03-02T00:00:00.000,TA - LFT - Rent (Tenant)
0450533-01,U - Recommendation upheld in full,2023-10-25T00:00:00.000,M1 - Failure to perform work properly
,,2024-06-18T00:00:00.000,Q19 - Unfair Trade Practices (DCA)
,,2025-01-30T00:00:00.000,QB - Dog Control cases (DOH)
D000,,2024-02-12T00:00:00.000,K4 - Insubordination -- failure to obey orders or agency rules
PO-0166,,2021-08-27T00:00:00.000,PO - LFT - Protected Occupancy Status
DR#814/24,U - Recommendation upheld in full,2024-11-25T00:00:00.000,M2 - Inability to perform work
DR#782/24,U - Recommendation upheld in full,2024-10-29T00:00:00.000,J10 - Failure to safeguard agency property
6081750,R - Reversed,2025-05-28T00:00:00.000,01 - Susp. Arrest
,U - Recommendation upheld in full,2024-12-23T00:00:00.000,04 - Fitness Drug Use
659082,U - Recommendation upheld in full,2024-11-19T00:00:00.000,06 - Fitness Conviction
1405632-02,,2025-01-16T00:00:00.000,N1 - Absent without official leave
6043814,U - Recommendation upheld in full,2024-12-17T00:00:00.000,04 - Fitness Drug Use
DR# 052/23,U - Recommendation upheld in full,2024-02-15T00:00:00.000,K3 - Threatening or intimidating behavior
66055-982-001,,2024-03-22T00:00:00.000,J7 - Discourteous or offensive behavior or language
0051-2022D,U - Recommendation upheld in full,2023-07-14T00:00:00.000,N1 - Absent without official leave
TWC-227121,,2024-01-30T00:00:00.000,BI - BIC
66053-958-008,U - Recommendation upheld in full,2024-02-12T00:00:00.000,M1 - Failure to perform work properly
,,2024-12-12T00:00:00.000,ML - Marriage license
0002255,P - Upheld -- penalty modified upward,2024-04-22T00:00:00.000,J3 - Use of force against co-worker
PO-0224,,2023-08-18T00:00:00.000,PO - LFT - Protected Occupancy Status
5110097,U - Recommendation upheld in full,2025-04-09T00:00:00.000,01 - Susp. Arrest
5726455,U - Recommendation upheld in full,2025-01-06T00:00:00.000,01 - Susp. Arrest
TA-0268,,2020-07-29T00:00:00.000,TA - LFT - Rent (Tenant)
5000272532,,2025-05-28T00:00:00.000,X10 - Forefeiture - Vehicles
LB-0202,,2024-10-24T00:00:00.000,LB - LFT - Abandonment
TWC-228429,,2024-08-28T00:00:00.000,BI - BIC
TM-0113,,2023-03-24T00:00:00.000,TM - LFT - Services
ADR2024LW007314,,2024-07-17T00:00:00.000,P4 - CD - Construction Contract
DR#1188/23,,2024-11-12T00:00:00.000,J15 - Undue familiarity with inmate
MES1709799,P - Upheld -- penalty modified upward,2019-11-27T00:00:00.000,Q5 - Discrimination Cases (CHR)
5501258,,2024-12-31T00:00:00.000,01 - Susp. Arrest
