annual_rate,maxmum_salary,positions,title_code,ua_name,ua_code
887179,227738,8,30070,OFFICE OF THE MAYOR-PS,20
785092,105855,13,6393,OFFICE OF THE MAYOR-PS,20
244302,43980,6,56056,OFF OF LABOR RELATIONS-PS,61
69826,69826,1,5383,OFFICE OF THE MAYOR-PS,20
46966,46966,1,60888,OFF OF LABOR RELATIONS-PS,61
622859,96089,8,94229,PERSONAL SERVICES,1
104990,104990,1,4073A,PERSONAL SERVICE,100
243171,243171,1,40145,OFFICE OF MGMT AND BUDGET-PS,40
94702,94702,1,13652,PERSONAL SERVICE,100
323250,208250,2,95005,PERSONAL SERVICE,100
124875,124875,1,94408,PERSONAL SERVICES,1
137795,75941,2,94215,PERSONAL SERVICES,1
362238,193730,2,94406,PERSONAL SERVICES,1
82234,82234,1,13622,OFFICE OF MGMT AND BUDGET-PS,40
96066,48033,2,94389,PERSONAL SERVICES,1
832219,227786,5,10026,MAYOR'S OFFICE OF CONTRACT SERVICES - PS,90
145332,145332,1,10026,OFF OF LABOR RELATIONS-PS,61
415017,156053,4,10025,OFF OF LABOR RELATIONS-PS,61
227786,227786,1,6811,OFF FOR PEOPLE WITH DISAB-PS,260
1685084,171878,20,0668A,COMMUNITY AFFAIRS UNIT-PS,340
123745,123745,1,94214,PERSONAL SERVICES,1
56650,56650,1,51797,CRIMINAL JUSTICE PROGRAMS PS,50
2650941,55000,53,94211,PERSONAL SERVICES,1
721687,76154,14,6405,MAYOR'S OFFICE OF CONTRACT SERVICES - PS,90
243171,243171,1,5423,OFFICE OF OPERATIONS-PS,380
202910,123600,2,6144,OFFICE OF THE MAYOR-PS,20
182634,53724,4,9708,OFFICE OF OPERATIONS-PS,380
115238,115238,1,12627,PERSONAL SERVICES,1
222924,222924,1,40143,OFFICE OF MGMT AND BUDGET-PS,40
187991,187991,1,6818,COMMISSION ON GENDER EQUITY-PS,350
226773,75591,3,12627,OFF OF LABOR RELATIONS-PS,61
179795,32920,6,94367,PERSONAL SERVICES,1
70900,70900,1,1285A,OFFICE OF OPERATIONS-PS,380
258750,258750,1,12995,OFFICE OF THE MAYOR-PS,20
477746,91308,6,6423,OFFICE OF THE MAYOR-PS,20
114639,114639,1,10026,PERSONAL SERVICES,1
51035,51035,1,6423,CRIMINAL JUSTICE PROGRAMS PS,50
243853,243853,1,6809,OFFICE OF THE MAYOR-PS,20
101097,101097,1,94407,PERSONAL SERVICES,1
80773,80773,1,0527A,OFF FOR PEOPLE WITH DISAB-PS,260
214483,112898,2,5482,OFFICE OF THE MAYOR-PS,20
5664285,211150,48,0527A,OFFICE OF THE MAYOR-PS,20
187991,187991,1,10050,PERSONAL SERVICE,100
99640,53217,2,10252,SCHOOL SAFETY- P.S.,3
84247,84247,1,12704,OFF OF LABOR RELATIONS-PS,61
236900,236900,1,13261,OFFICE OF THE MAYOR-PS,20
84643,84643,1,5481,OFFICE OF THE MAYOR-PS,20
62696,62696,1,9709,OFFICE OF OPERATIONS-PS,380
440328,236332,2,6815,OFFICE OF THE MAYOR-PS,20
5197172,75691,98,94207,PERSONAL SERVICES,1
53705,53705,1,40526,OFF OF LABOR RELATIONS-PS,61
80000,80000,1,1002C,PERSONAL SERVICES,1
520036,175018,3,6458,PERSONAL SERVICES,1
1551292,258000,9,82985,PERSONAL SERVICE,100
416575,150762,3,94225,PERSONAL SERVICES,1
66463,66463,1,12158,MAYOR'S OFFICE OF CONTRACT SERVICES - PS,90
790815,96611,13,10124,OFF OF LABOR RELATIONS-PS,61
348255,100000,4,1285A,OFFICE OF THE MAYOR-PS,20
398616,165970,3,0527A,SPECIAL ENFORCEMENT-PS,560
773463,237407,5,10026,OFFICE OF MGMT AND BUDGET-PS,40
115000,60000,2,12851,CRIMINAL JUSTICE PROGRAMS PS,50
745854,135960,8,0668A,NYC COMM TO THE UN-PS,70
232615,232615,1,94223,PERSONAL SERVICES,1
240543,127243,2,9989,OFFICE OF THE MAYOR-PS,20
75643,75643,1,10124,PERSONAL SERVICE,100
1528526,112020,20,40731,PERSONAL SERVICE,100
581421,152574,4,94203,PERSONAL SERVICES,1
856758,146705,6,94204,PERSONAL SERVICES,1
129343,68485,2,12626,OFF OF LABOR RELATIONS-PS,61
105755,105755,1,10146,OFFICE OF THE MAYOR-PS,20
196406,113300,2,94399,PERSONAL SERVICES,1
103000,103000,1,60913,OFFICE OF THE MAYOR-PS,20
104675,104675,1,10033,PERSONAL SERVICE,100
263017,263017,1,94465,PERSONAL SERVICES,1
54343,54343,1,94374,PERSONAL SERVICES,1
1344956,72100,24,5277,MAYOR'S OFFICE OF CONTRACT SERVICES - PS,90
112795,112795,1,95005,OFFICE OF OPERATIONS-PS,380
333378,180000,2,95005,OFF OF LABOR RELATIONS-PS,61
189972,98409,2,30087,OFF OF LABOR RELATIONS-PS,61
47888,47888,1,10251,OFFICE OF OPERATIONS-PS,380
50000,50000,1,11704,OFFICE OF MGMT AND BUDGET-PS,40
61239,61239,1,10252,PERSONAL SERVICE,100
59263,59263,1,11704,OFF OF LABOR RELATIONS-PS,61
163243,163243,1,30098,OFF OF LABOR RELATIONS-PS,61
134280,134280,1,60913,OFFICE OF OPERATIONS-PS,380
325430,72671,5,53059,OFF OF LABOR RELATIONS-PS,61
233600,123600,2,5179A,CRIMINAL JUSTICE PROGRAMS PS,50
2213606,176232,17,10050,MAYOR'S OFFICE OF CONTRACT SERVICES - PS,90
3502418,51642,88,94232,PERSONAL SERVICES,1
291139,291139,1,12942,OFFICE OF THE MAYOR-PS,20
50000,50000,1,56057,PERSONAL SERVICE,100
870203,86444,13,5363,OFFICE OF MGMT AND BUDGET-PS,40
117915,60417,2,94200,PERSONAL SERVICES,1
42000,42000,1,56057,OFFICE OF MGMT AND BUDGET-PS,40
227786,227786,1,6813,OFFICE OF THE MAYOR-PS,20
407070,104353,5,0668A,OFF FOR PEOPLE WITH DISAB-PS,260
457422,238167,2,13366,OFF OF LABOR RELATIONS-PS,61
105639,105639,1,13632,OFF OF LABOR RELATIONS-PS,61
1617869,211150,11,95005,OFFICE OF THE MAYOR-PS,20
167270,167270,1,10050,OFF OF LABOR RELATIONS-PS,61
51105,51105,1,12626,MAYOR'S OFFICE OF CONTRACT SERVICES - PS,90
318083,52974,7,10251,OFF OF LABOR RELATIONS-PS,61
1007928,251982,4,12940,OFFICE OF THE MAYOR-PS,20
182304,182304,1,10025,OFFICE OF MGMT AND BUDGET-PS,40
972507,63794,22,56057,OFF OF LABOR RELATIONS-PS,61
60248,60248,1,1002F,OFF OF LABOR RELATIONS-PS,61
86780,46019,2,10252,OFF OF LABOR RELATIONS-PS,61
72599,72599,1,6423,MAYOR'S OFFICE OF CONTRACT SERVICES - PS,90
753733,104473,12,6601,PERSONAL SERVICES,1
117217,117217,1,94409,PERSONAL SERVICES,1
79389,79389,1,91415,MAYOR'S OFFICE OF CONTRACT SERVICES - PS,90
4076655,204106,34,0668A,OFFICE OF OPERATIONS-PS,380
4067662,189238,47,0660A,PERSONAL SERVICES,1
214190,214190,1,94224,PERSONAL SERVICES,1
92679,92679,1,10095,PERSONAL SERVICES,1
87550,87550,1,6087A,SPECIAL ENFORCEMENT-PS,560
89364,89364,1,6423,OFFICE OF OPERATIONS-PS,380
732829,126520,8,6361,OFF OF LABOR RELATIONS-PS,61
218802,218802,1,5346,OFF OF LABOR RELATIONS-PS,61
