id,dateoccured,runtype
322255,2021-01-04,AM Run
322257,2021-01-04,AM Run
322421,2021-01-06,AM Run
322629,2021-01-11,AM Run
322252,2021-01-04,AM Run
322542,2021-01-08,AM Run
323141,2021-01-25,AM Run
323195,2021-01-25,AM Run
323141,2021-01-25,AM Run
322311,2021-01-04,AM Run
322325,2021-01-04,AM Run
322569,2021-01-11,PM Run
322450,2021-01-06,AM Run
322452,2021-01-06,AM Run
322568,2021-01-11,AM Run
322662,2021-01-12,PM Run
322561,2021-01-08,AM Run
323193,2021-01-25,PM Run
322226,2021-01-04,AM Run
323179,2021-01-25,AM Run
322542,2021-01-08,AM Run
323214,2021-01-25,AM Run
322449,2021-01-06,AM Run
323145,2021-01-25,AM Run
322568,2021-01-11,AM Run
322252,2021-01-04,AM Run
322427,2021-01-06,AM Run
322357,2021-01-05,PM Run
323143,2021-01-25,AM Run
322316,2021-01-04,AM Run
322238,2021-01-04,AM Run
322264,2021-01-04,AM Run
322256,2021-01-04,AM Run
322231,2021-01-04,AM Run
322355,2021-01-05,PM Run
322276,2021-01-04,AM Run
322439,2021-01-06,AM Run
322449,2021-01-06,AM Run
323194,2021-01-25,AM Run
322264,2021-01-04,AM Run
322336,2021-01-04,AM Run
322433,2021-01-06,PM Run
322610,2021-01-11,AM Run
322590,2021-01-11,PM Run
322451,2021-01-06,AM Run
322251,2021-01-04,AM Run
322221,2021-01-04,AM Run
