org_target_cap,organization_name
549.0,ACADEMY FOR LANGUAGE & TECH - X
,MOUNT SINAI HOSPITAL
706.0,I.S. 362 - M
147.0,TEACHER'S COLLEGE COMMUNITY SCHOOL- M
338.0,P.S. 15 - X
368.0,SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP - X
643.0,P.S. 161 - X
553.0,NEW OPPORTUNITY CHARTER SCHOOL - M
,SCHOOL BASED HEALTH CENTER - M
,SCHOOL SAFETY - M
178.0,X017 SPED - X
519.0,I.S. 131 - X
386.0,UNITY HS - M
493.0,FACING HISTORY SCHOOL - M
,COMMUNITY BASED ORGANIZATION - M
,FOOD SERVICES - M
691.0,P.S. 20 - M
,SCHOOL SAFETY - M
,COMMUNITY BASED ORGANIZATION - M
68.0,P469 - THE BRONX SCHOOL FOR CONTINUOUS LEARNERS - X
,EDUCATION ALLIANCE - M
,SCHOOL SAFETY - X
615.0,P.S. 116 - M
,COMMUNITY BASED ORGANIZATION - M
527.0,HARLEM CHILDREN'S ZONE PROMISE ACADEMY 2 CHARTER SCHOOL - M
669.0,GRAMERCY ARTS HS - M
60.0,X010 SPED - X
169.0,P.S. 170 - X
361.0,KIPP NYC WASHINGTON HEIGHTS ACADEMY I CS
,COMMUNITY BASED ORGANIZATION - M
,YMCA - M
424.0,DREAMYARD PREPARATORY SCHOOL
1117.0,HS FOR ENVIRONMENTAL STUDIES - M
474.0,HYDE LEADERSHIP CHARTER SCHOOL - X
1601.0,I.S. 167 - M
,DOE ADMINISTRATIVE OFFICE - M
,SCHOOL SAFETY - M
304.0,P.S. 92 - M
,HARLEM CHILDRENS ZONE - M
628.0,P.S. 152 - M
498.0,P.S. 5 - M
489.0,BRONX LEADERSHIP ACADEMY II HS - X
46.0,M721 SPED - M
84.0,M811 SPED - M
176.0,P.S. 109 - X
436.0,BRONX CNTR FOR SCIENCE & MATH - X
,BEACON - M
734.0,MANHATTAN BRIDGES - M
767.0,HS FOR LEADERSHIP & PUBLIC SERV-M
625.0,MURRAY HILL ACADEMY HS - M
,SCHOOL BASED HEALTH CENTER - M
,BEACON PROGRAM - X
,CHINESE AMER. PLANNING COUN. - M
290.0,P.S. 149 - M
,CITY YEAR PROGRAM - M
346.0,KIPP CHARTER SCHOOL - X
408.0,P.S. 234 - M
570.0,BRONX LEADERSHIP ACADEMY - X
392.0,I.S. 313 - X
243.0,WASHINGTON HEIGHTS AND INWOOD MUSIC COMMUNITY CHARTER SCHOOL
1231.0,I.S. 45 - X
,CONTINUING EDUCATION PROGRAM - M
780.0,P.S. 72 - X
327.0,P.S. 38 - M
418.0,P.S. 3 - X
541.0,P.S. 33 - M
404.0,SUCCESS ACADEMY CHARTER SCHOOL - X 2
657.0,P.S. 206 - M
,ALC - MS 145
372.0,THE URBAN ASSEMBLY SCHOOL FOR GLOBAL COMMERCE
468.0,ESSEX STREET ACADEMY - M
332.0,P.S. 175 HENRY H GARNET - M
,"BEACON, PROGRESSIVE DOMINICAN - M"
528.0,URBAN ASSEMBLY SCHOOL - M
477.0,I.S. 371 - X
681.0,P.S. 84 - M
999.0,P.S. 46 - X
440.0,P.S. 291 - X
70.0,SCHOOL FOR COOPERATIVE TECHNICAL EDUCATION
100.0,ALC-JANE ADDAMS HS
,MOUNT SINAI HOSPITAL
493.0,P.S. 185 - M
312.0,JILL CHAIFETZ TRANSFER HIGH SCHOOL - X
,GRAND STREET/RAPP - M
324.0,P.S. 64 - M
,SCHOOL SAFETY - M
25.0,JUDITH S. KAYE SCHOOL - D79 - M
427.0,INDEPENDENCE HS - M
364.0,CASCADES CTR FOR TCHING & LNG - M
,RAINBOW PROGRAM - X
443.0,P.S. 43 - X
,MONTEFIORE MEDICAL CENTER
198.0,ICAHN CHARTER SCHOOL 7
204.0,GIRLS PREP CHARTER SCHOOL - M
364.0,FUTURE LEADERS CHARTER SCHOOL - M
590.0,P.S. 964 - M
585.0,I.S. 327 - X
509.0,P.S. 9 - M
441.0,URBAN ASSEMBLY ACADEMY - M
701.0,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS
,SCHOOL SAFETY - M
814.0,HS FOR ECONOMICS & FINANCE - M
,M226 SPED - M
440.0,EAST HARLEM SCHOLARS ACADEMY CHARTER SCHOOL II - M
,COMMUNITY BASED ORGANIZATION - M
,THE EQUITY PROJECT CHARTER SCHOOL - M
336.0,P.S. 267 - M
84.0,M138 SPED - M
505.0,P.S. 59 - M
270.0,P.S. 225 - M
562.0,MUSEUM SCHOOL - M
453.0,P.S. 192 - M
158.0,P.S. 318 - M
,OSHA - M
,LYFE PROGRAM
,NEW YORK HARBOR SCHOOL - M
80.0,PATHWAYS TO GRADUATION - CITYWIDE
352.0,P.S. 527 - M
842.0,BARD COLLEGE HS - M
127.0,X188 SPED - X
,SCHOOL SAFETY - M
331.0,SUCCESS ACADEMY CHARTER SCHOOL - HARLEM 1
242.0,NYC PUBLIC SCHOOL REPERTORY CO - M
157.0,I.S. 250 - M
,RESTART - CITYWIDE
520.0,P.S. 37 - X
,SCHOOL SAFETY - M
,MOUNT SINAI HOSPITAL
,COMMUNITY BASED ORGANIZATION - M
245.0,P.S. 132 - M
,MOUNT SINAI HOSPITAL
522.0,P.S. 188 - M
355.0,P.S. 155 - M
504.0,J. K. ONASSIS HS FOR INT CAREERS-M
268.0,SUCCESS ACADEMY CHARTER SCHOOL - HARLEM 1
