data_as_of,bldg_name
2023-01-04T00:00:00.000,I.S. 167 - M
2023-01-04T00:00:00.000,FORSYTH HS (AUXSVC-OLD 91) - M
2023-01-04T00:00:00.000,I.S. 52 - M
2023-01-04T00:00:00.000,P.S. 92 - M
2023-01-04T00:00:00.000,P.S. 149 (TANDEM M207) - M
2023-01-04T00:00:00.000,P.S. 152 - M
2023-01-04T00:00:00.000,P.S. 5 - M
2023-01-04T00:00:00.000,MOTT HAVEN EDUCATIONAL CAMPUS - X
2023-01-04T00:00:00.000,J.H.S. 47 (SCH FOR THE DEAF) - M
2023-01-04T00:00:00.000,P.S. 149 (TANDEM M207) - M
2023-01-04T00:00:00.000,P.S. 109 MINISCHOOL - X
2023-01-04T00:00:00.000,MORRISANIA SEC ED COMPLEX - X
2023-01-04T00:00:00.000,P.S. 198 - M
2023-01-04T00:00:00.000,PARK WEST HS (ECF) - M
2023-01-04T00:00:00.000,HS FOR LEADERSHIP & PUBLIC SER - M
2023-01-04T00:00:00.000,NORMAN THOMAS HS (ECF) - M
2023-01-04T00:00:00.000,P.S. 140 - M
2023-01-04T00:00:00.000,I.S. 45 - X
2023-01-04T00:00:00.000,P.S. 130 - M
2023-01-04T00:00:00.000,P.S. 207 (TANDEM M149) - M
2023-01-04T00:00:00.000,P.S. 206 (TANDEM M112) - M
2023-01-04T00:00:00.000,I.S. 151 - X
2023-01-04T00:00:00.000,P.S. 234 - M
2023-01-04T00:00:00.000,BRONX LEADERSHIP ACADEMY - X
2023-01-04T00:00:00.000,I.S. 339 (OLD 147) - X
2023-01-04T00:00:00.000,I.S. 164 - M
2023-01-04T00:00:00.000,I.S. 45 - X
2023-01-04T00:00:00.000,P.S. 2 - M
2023-01-04T00:00:00.000,P.S. 72 - X
2023-01-04T00:00:00.000,P.S. 38 (OLD M121) - M
2023-01-04T00:00:00.000,P.S. 3 - X
2023-01-04T00:00:00.000,P.S. 33 - M
2023-01-04T00:00:00.000,P.S. 55 - X
2023-01-04T00:00:00.000,P.S. 206 (TANDEM M112) - M
2023-01-04T00:00:00.000,I.S. 145 - X
2023-01-04T00:00:00.000,ARTHUR SCHOMBURG HS (IS 201) - M
2023-01-04T00:00:00.000,SEWARD PARK HS - M
2023-01-04T00:00:00.000,P.S. 175 - M
2023-01-04T00:00:00.000,I.S. 164 - M
2023-01-04T00:00:00.000,BROADWAY EDUCATION CAMPUS - M
2023-01-04T00:00:00.000,I.S. 192 - X
2023-01-04T00:00:00.000,P.S. 84 - M
2023-01-04T00:00:00.000,P.S. 46 - X
2023-01-04T00:00:00.000,P.S. 15 - X
2023-01-04T00:00:00.000,P.S. 79 (MULT. HANDICAP) - M
2023-01-04T00:00:00.000,JANE ADDAMS HS - X
2023-01-04T00:00:00.000,JULIA RICHMAN ED. COMPLEX - M
2023-01-04T00:00:00.000,P.S. 185 (TANDEM M208) - M
2023-01-04T00:00:00.000,I.S. 184 - X
2023-01-04T00:00:00.000,LOUIS D. BRANDEIS HS - M
2023-01-04T00:00:00.000,P.S. 64 (OLD 71) - M
2023-01-04T00:00:00.000,LOUIS D. BRANDEIS HS - M
2023-01-04T00:00:00.000,SCL COOP TECH ED (MNH VOC HS) - M
2023-01-04T00:00:00.000,HS FOR ENVIRONMENTAL STUDIES - M
2023-01-04T00:00:00.000,FORSYTH HS (AUXSVC-OLD 91) - M
2023-01-04T00:00:00.000,I.S. 125 - X
2023-01-04T00:00:00.000,P.S. 43 - X
2023-01-04T00:00:00.000,I.S. 45 - X
2023-01-04T00:00:00.000,P.S. 107 - X
2023-01-04T00:00:00.000,J.H.S. 60 - M
2023-01-04T00:00:00.000,P.S. 242 (OLD P144) - M
2023-01-04T00:00:00.000,P.S. 50 (UDC) - M
2023-01-04T00:00:00.000,DOE NEW SETTLEMENT COMMUNITY CAMPUS - X
2023-01-04T00:00:00.000,P.S. 9 - M
2023-01-04T00:00:00.000,SEWARD PARK HS - M
2023-01-04T00:00:00.000,I.S. 172 (OLD 43) - M
2023-01-04T00:00:00.000,I.S. 99 - M
2023-01-04T00:00:00.000,HS FOR ECONOMICS & FINANCE - M
2023-01-04T00:00:00.000,SCHL OF THE FUTURE (OLD BACON) - M
2023-01-04T00:00:00.000,I.S. 13 - M
2023-01-04T00:00:00.000,J. K. ONASSIS HS FOR INT CAREERS - M
2023-01-04T00:00:00.000,153 SHERMAN AVENUE
2023-01-04T00:00:00.000,P.S. 59 (MEETH) - M
2023-01-04T00:00:00.000,P.S. 33 - M
2023-01-04T00:00:00.000,MIDTOWN EAST CAMPUS - M
2023-01-04T00:00:00.000,JULIA RICHMAN ED. COMPLEX - M
2023-01-04T00:00:00.000,I.S. 70 - M
2023-01-04T00:00:00.000,P.S. 192 - M
2023-01-04T00:00:00.000,P.S. 318 - M
2023-01-04T00:00:00.000,P.S. 133 - M
2023-01-04T00:00:00.000,FORSYTH HS (AUXSVC-OLD 91) - M
2023-01-04T00:00:00.000,HARBOR HIGH BOATHOUSE - M
2023-01-04T00:00:00.000,HARLEM RENAISSANCE HS (OLD M24) - M
2023-01-04T00:00:00.000,P.S. 527 - EAST SIDE SCHOOL FOR SOCIAL ACTION - M
2023-01-04T00:00:00.000,BARD COLLEGE HS (OLD M097) - M
2023-01-04T00:00:00.000,MOTT HAVEN EDUCATIONAL CAMPUS - X
2023-01-04T00:00:00.000,TERENCE D. TOLBERT EDUCATION COMPLEX - M
2023-01-04T00:00:00.000,P.S. 149 (TANDEM M207) - M
2023-01-04T00:00:00.000,NYC PUBLIC SCHOOL REPERTORY CO - M
2023-01-04T00:00:00.000,P.S. 75 - M
2023-01-04T00:00:00.000,G. WASHINGTON HS EDUC. CAMPUS - M
2023-01-04T00:00:00.000,P.S. 37 - X
2023-01-04T00:00:00.000,P.S. 200 (TANDEM M010) - M
2023-01-04T00:00:00.000,J.H.S. 117 - M
2023-01-04T00:00:00.000,FORSYTH HS (AUXSVC-OLD 91) - M
2023-01-04T00:00:00.000,P.S. 132 - M
2023-01-04T00:00:00.000,I.S. 45 - M
2023-01-04T00:00:00.000,P.S. 188 - M
2023-01-04T00:00:00.000,P.S. 155 - M
2023-01-04T00:00:00.000,J. K. ONASSIS HS FOR INT CAREERS - M
2023-01-04T00:00:00.000,P.S. 207 (TANDEM M149) - M
