branch,_total_attendance,outreach_services_attendance,juvenile_program,adult_program
Great Kills ,9906.0,3030.0,215.0,83.0
Richmondtown,7052.0,618.0,182.0,47.0
Riverdale,5417.0,118.0,212.0,109.0
Washington Heights*   * Closed for major renovation - effective 4/15/10,50.0,50.0,0.0,0.0
58th Street,6958.0,743.0,3.0,348.0
Allerton,5401.0,17.0,183.0,25.0
Westchester Square,10627.0,2639.0,294.0,78.0
Seward Park,20368.0,2053.0,598.0,35.0
George Bruce,6930.0,1058.0,208.0,81.0
Tottenville,9150.0,2226.0,207.0,50.0
67th Street ,12020.0,834.0,253.0,146.0
Manhattan Borough Office,0.0,0.0,0.0,0.0
Grand Concourse,18364.0,5097.0,349.0,228.0
Performing Arts Library,767.0,0.0,0.0,4.0
Kingsbridge,6778.0,2189.0,147.0,15.0
Subtotal:,187217.0,34710.0,4707.0,1884.0
Tremont,9748.0,662.0,361.0,174.0
Countee Cullen,8616.0,557.0,254.0,199.0
Aguilar,12460.0,3343.0,364.0,29.0
Jerome Park,4664.0,91.0,117.0,94.0
Subtotal:,181757.0,24965.0,4162.0,1830.0
Morningside Heights,10625.0,1039.0,246.0,100.0
Eastchester,5166.0,136.0,172.0,27.0
St. Agnes,13287.0,1409.0,241.0,118.0
Subtotal:,98513.0,31523.0,1941.0,802.0
Jefferson Market,11579.0,358.0,194.0,77.0
Belmont,12493.0,740.0,352.0,226.0
Huguenot Park,5240.0,278.0,140.0,94.0
New Dorp,12074.0,5319.0,181.0,141.0
Mott Haven ,14737.0,2786.0,318.0,94.0
Port Richmond,8928.0,1957.0,177.0,35.0
Subtotal:,172313.0,20344.0,4379.0,1923.0
Bronx  Library Center,40723.0,8151.0,379.0,449.0
Harlem ,8823.0,911.0,228.0,170.0
Francis Martin,5064.0,645.0,206.0,7.0
Morris Park,9960.0,2561.0,228.0,142.0
MANHATTAN TOTAL:,354070.0,45309.0,8541.0,3753.0
Cooke-Cathedral,955.0,487.0,14.0,27.0
Columbus ,4456.0,906.0,119.0,46.0
Todt-Hill Westerleigh,5886.0,1664.0,147.0,57.0
South Beach,9611.0,3392.0,212.0,59.0
Van Nest ,5098.0,2230.0,133.0,35.0
Kips Bay,12932.0,1671.0,480.0,284.0
Subtotal:,159556.0,26914.0,3531.0,1818.0
125th Street,3679.0,1015.0,142.0,116.0
Dongan Hills,15368.0,8935.0,165.0,66.0
West Farms,6276.0,983.0,133.0,135.0
Roosevelt Island,7975.0,1219.0,209.0,97.0
Seward Park Network,,,,
Baychester,5588.0,137.0,160.0,111.0
Melrose,8220.0,535.0,308.0,80.0
GRAND TOTAL:,864669.0,149106.0,19111.0,9584.0
Battery Park City,10103.0,408.0,278.0,87.0
Castle Hill,3621.0,229.0,137.0,37.0
Mid-Manhattan Library,33782.0,2200.0,3.0,1169.0
Macomb's Bridge,2128.0,64.0,118.0,13.0
Subtotal:,0.0,0.0,0.0,0.0
Yorkville,7807.0,1317.0,205.0,39.0
Spuyten Duyvil,5343.0,42.0,179.0,68.0
SIBL,0.0,0.0,0.0,0.0
Webster,11271.0,1020.0,211.0,80.0
Hamilton Grange,7950.0,996.0,115.0,137.0
Inwood,14987.0,4346.0,255.0,75.0
West New Brighton,3732.0,303.0,108.0,58.0
Subtotal:,89.0,89.0,0.0,0.0
High Bridge,6236.0,1549.0,45.0,74.0
Mosholu,10163.0,1739.0,198.0,119.0
