transcom_id,data_as_of
4616353,2025-12-24T23:14:11.000
4362250,2025-12-24T23:17:05.000
4616195,2025-12-24T23:18:03.000
4616350,2025-12-24T23:18:03.000
4616252,2025-12-24T23:18:10.000
4329472,2025-12-24T23:18:04.000
4456476,2025-12-24T23:18:07.000
4456501,2025-12-24T23:18:06.000
4329508,2025-12-24T23:18:04.000
4616198,2025-12-24T23:18:10.000
4616352,2025-12-24T23:14:11.000
4763652,2025-12-24T23:14:07.000
4616206,2025-12-24T23:18:10.000
4456481,2025-12-24T23:14:08.000
4620310,2025-12-24T23:14:04.000
4456511,2025-12-24T23:18:06.000
4616210,2025-12-24T23:14:03.000
4616259,2025-12-24T23:14:11.000
4616206,2025-12-24T23:14:11.000
4616211,2025-12-24T23:14:11.000
4616194,2025-12-24T23:18:03.000
4456506,2025-12-24T23:14:07.000
4616341,2025-12-24T23:18:03.000
4620298,2025-12-24T23:18:04.000
4616354,2025-12-24T23:14:11.000
4456452,2025-12-24T23:18:10.000
4456476,2025-12-24T23:14:08.000
4456498,2025-12-24T23:14:07.000
4616351,2025-12-24T23:14:03.000
4456479,2025-12-24T23:14:08.000
4329499,2025-12-24T23:18:06.000
4616196,2025-12-24T23:18:03.000
4456483,2025-12-24T23:14:07.000
4616309,2025-12-24T23:18:03.000
4620331,2025-12-24T23:18:04.000
4763649,2025-12-24T23:14:07.000
4456502,2025-12-24T23:14:07.000
4616208,2025-12-24T23:14:03.000
4329507,2025-12-24T23:14:04.000
4456479,2025-12-24T23:18:07.000
4456494,2025-12-24T23:14:07.000
4616364,2025-12-24T23:18:10.000
4616325,2025-12-24T23:18:03.000
4456450,2025-12-24T23:18:07.000
4616213,2025-12-24T23:14:03.000
4616239,2025-12-24T23:18:03.000
4616338,2025-12-24T23:18:03.000
4616214,2025-12-24T23:18:03.000
4620315,2025-12-24T23:18:04.000
4616305,2025-12-24T23:18:03.000
4616202,2025-12-24T23:18:03.000
4616318,2025-12-24T23:18:03.000
4616351,2025-12-24T23:18:03.000
4456510,2025-12-24T23:14:07.000
4616329,2025-12-24T23:18:03.000
4456510,2025-12-24T23:18:06.000
4616217,2025-12-24T23:14:03.000
4616333,2025-12-24T23:18:03.000
4616212,2025-12-24T23:18:03.000
4616266,2025-12-24T23:18:03.000
4616247,2025-12-24T23:18:03.000
4456477,2025-12-24T23:18:06.000
4456500,2025-12-24T23:14:07.000
4616339,2025-12-24T23:18:03.000
4616253,2025-12-24T23:18:03.000
4616323,2025-12-24T23:18:03.000
