link_name,travel_time
CIP N Hempstead Tpk - LIE,211
BE S TBB EXIT RAMP - MANHATTAN LIFT SPAN,92
MLK N WALKER STREET - NJ ROUTE 169,0
MLK S - SIE E WALKER STREET - WOOLEY AVENUE,158
CIP N ramp to TNB - TNB Queens Anchorage,54
CBE E AMSTERDAM AVE(U/LVL) - MORRIS AVE,118
CBE W MORRIS AVE - GWB W AMSTERDAM AVE (U/LVL),97
VNB W BROOKLYN GANTRY UPPER LEVEL - SI GANTRY UPPER LEVEL,0
BBT E Manhattan Portal - Toll Plaza,171
SIE W BRADLEY AVENUE - WOOLEY AVENUE,28
LINCOLN TUNNEL W NORTH TUBE NY - NJ,133
BE S TBB EXIT RAMP - MANHATTAN LIFT SPAN,70
West St S Spring St - BBT Manhattan Portal outbound,303
LIE W 108TH ST - 84TH ST,93
11th ave s ganservoort - west st @ spring st,0
FDR N - TBB E 116TH STREET - MANHATTAN TRUSS,59
WSE N ARDEN AVENUE - VICTORY BLVD,139
Whitestone Expwy S Exit 14 (Linden Pl) - VWE S MP8.65 (Exit 13 Northern Blvd),109
12th Ave N 40th - 57th St,0
WSE N BLOOMUINGDALE ROAD - ARDEN AVENUE,86
CBE W L/LE V AMSTERDAM AVE - I 95 S LOC LNS,0
BWB N Toll Plaza - HRP N Lafayatte Ave,0
WSE S ARDEN AVENUE - BLOOMINGDALE ROAD,85
GOW N 7TH AVENUE - 9TH STREET,261
CIP N Hempstead Tpk - LIE,211
QMT W Toll Plaza - Manhattan Side,168
FDR N 25th - 63rd St,355
QMT W Toll Plaza - Manhattan Side,165
SIE W - MLK N WOOLEY AVENUE - WLAKER STREET,135
FDR S 25th St - Catherine Slip,228
WSE N VICTORY BLVD - SOUTH AVENUE,53
BRP S FORDHAM ROAD - WATSON AVENUE,0
BE N Castle Hill Avenue - Griswold Ave,140
MDE S TBB EXIT RAMP - QUEENS ANCHORAGE,147
Whitestone Expwy N Exit 14 (Linden Pl) - BWB N Queens Anchorage,139
BQE N Atlantic Ave - BKN Bridge Manhattan Side,279
CBE E TAYLOR AVENUE - CASTLE HILL AVENUE,50
12th Ave S 57th St - 45th St,0
