of_students_within_grade,program_type
11.3,Gen Ed/ICT/G&T
3.8,Gen Ed/ICT/G&T
7.1,Gen Ed/ICT/G&T
2.3,Gen Ed/ICT/G&T
8.6,Gen Ed/ICT/G&T
0.2,Gen Ed/ICT/G&T
7.2,Gen Ed/ICT/G&T
2.8,Gen Ed/ICT/G&T
3.7,Gen Ed/ICT/G&T
3.0,Gen Ed/ICT/G&T
9.4,Gen Ed/ICT/G&T
8.4,Gen Ed/ICT/G&T
1.5,Gen Ed/ICT/G&T
2.9,Gen Ed/ICT/G&T
9.9,Gen Ed/ICT/G&T
11.3,Gen Ed/ICT/G&T
9.8,Gen Ed/ICT/G&T
9.2,Gen Ed/ICT/G&T
7.3,Gen Ed/ICT/G&T
10.5,Gen Ed/ICT/G&T
3.4,Gen Ed/ICT/G&T
6.7,Gen Ed/ICT/G&T
6.8,Gen Ed/ICT/G&T
3.9,Gen Ed/ICT/G&T
4.8,Gen Ed/ICT/G&T
8.1,Gen Ed/ICT/G&T
8.1,Gen Ed/ICT/G&T
0.4,Gen Ed/ICT/G&T
2.2,Gen Ed/ICT/G&T
7.2,Gen Ed/ICT/G&T
9.3,Gen Ed/ICT/G&T
9.2,Gen Ed/ICT/G&T
5.0,SC 12:1
9.9,Gen Ed/ICT/G&T
6.4,SC 12:1:1
3.3,Gen Ed/ICT/G&T
4.8,Gen Ed/ICT/G&T
4.2,Gen Ed/ICT/G&T
1.5,Gen Ed/ICT/G&T
6.7,Gen Ed/ICT/G&T
5.5,Gen Ed/ICT/G&T
6.0,Gen Ed/ICT/G&T
9.4,Gen Ed/ICT/G&T
1.7,Gen Ed/ICT/G&T
0.2,Gen Ed/ICT/G&T
3.1,Gen Ed/ICT/G&T
2.2,Gen Ed/ICT/G&T
9.2,Gen Ed/ICT/G&T
10.4,Gen Ed/ICT/G&T
2.0,Gen Ed/ICT/G&T
17.6,SC 12:1
2.0,Gen Ed/ICT/G&T
3.7,Gen Ed/ICT/G&T
0.1,Gen Ed/ICT/G&T
3.1,Gen Ed/ICT/G&T
7.9,Gen Ed/ICT/G&T
8.7,Gen Ed/ICT/G&T
11.2,Gen Ed/ICT/G&T
7.9,Gen Ed/ICT/G&T
10.4,SC 12:1:1
11.6,Gen Ed/ICT/G&T
1.5,Gen Ed/ICT/G&T
2.1,Gen Ed/ICT/G&T
0.8,Gen Ed/ICT/G&T
1.2,Gen Ed/ICT/G&T
1.3,Gen Ed/ICT/G&T
3.2,Gen Ed/ICT/G&T
7.2,Gen Ed/ICT/G&T
3.8,Gen Ed/ICT/G&T
11.6,Gen Ed/ICT/G&T
8.0,Gen Ed/ICT/G&T
9.9,Gen Ed/ICT/G&T
0.2,Gen Ed/ICT/G&T
0.5,Gen Ed/ICT/G&T
5.2,Gen Ed/ICT/G&T
2.4,Gen Ed/ICT/G&T
5.4,Gen Ed/ICT/G&T
6.7,Gen Ed/ICT/G&T
5.1,SC 12:1:1
2.8,Gen Ed/ICT/G&T
11.8,Gen Ed/ICT/G&T
4.1,Gen Ed/ICT/G&T
9.1,Gen Ed/ICT/G&T
10.4,Gen Ed/ICT/G&T
8.0,Gen Ed/ICT/G&T
11.2,Gen Ed/ICT/G&T
4.5,Gen Ed/ICT/G&T
0.6,Gen Ed/ICT/G&T
12.7,SC 12:1
6.1,Gen Ed/ICT/G&T
5.6,Gen Ed/ICT/G&T
9.9,Gen Ed/ICT/G&T
8.0,Gen Ed/ICT/G&T
10.5,Gen Ed/ICT/G&T
2.4,Gen Ed/ICT/G&T
3.7,Gen Ed/ICT/G&T
2.8,Gen Ed/ICT/G&T
5.1,Gen Ed/ICT/G&T
10.9,Gen Ed/ICT/G&T
4.5,Gen Ed/ICT/G&T
1.3,Gen Ed/ICT/G&T
8.8,Gen Ed/ICT/G&T
10.3,Gen Ed/ICT/G&T
1.5,Gen Ed/ICT/G&T
6.4,Gen Ed/ICT/G&T
3.6,Gen Ed/ICT/G&T
0.1,Gen Ed/ICT/G&T
1.3,Gen Ed/ICT/G&T
2.5,Gen Ed/ICT/G&T
3.2,Gen Ed/ICT/G&T
2.1,Gen Ed/ICT/G&T
7.5,Gen Ed/ICT/G&T
2.0,Gen Ed/ICT/G&T
5.2,Gen Ed/ICT/G&T
2.1,Gen Ed/ICT/G&T
8.0,Gen Ed/ICT/G&T
0.8,Gen Ed/ICT/G&T
