building_id,borough,census_tract_2010,of_dwelling_units,community_board,infested_dwelling_unit_count,postcode
327238,BROOKLYN,818,16,17,0,11226
30032,MANHATTAN,77,7,2,0,10014
152866,BROOKLYN,234,48,12,0,11219
985030,QUEENS,97202,9,14,0,11692
13539,MANHATTAN,78,20,6,0,10016
993227,BROOKLYN,364,20,13,0,11235
309224,BROOKLYN,802,3,9,0,11225
19191,MANHATTAN,170,47,11,0,10029
84,MANHATTAN,32,5,3,0,10009
923607,BROOKLYN,548,51,15,0,11229
