longitude,filing_date,latitude-re_infested_dwelling_unit
-73.950966,2023-12-29T00:00:00.000,40.774682-0
-73.978822,2024-01-02T00:00:00.000,40.736319-0
-73.992145,2023-12-27T00:00:00.000,40.759934-0
-73.9951,2024-04-29T00:00:00.000,40.678494-0
-73.953275,2024-05-13T00:00:00.000,40.694901-0
-73.877815,2024-06-26T00:00:00.000,40.876075-0
-73.854443,2024-01-05T00:00:00.000,40.739995-0
-73.899664,2021-06-08T00:00:00.000,40.696033-0
-73.853172,2025-08-29T00:00:00.000,40.871177-0
-73.940664,2023-12-27T00:00:00.000,40.791563-0
-73.927743,2025-08-20T00:00:00.000,40.807812-0
-73.996878,2024-01-04T00:00:00.000,40.684999-0
-73.928033,2019-01-10T00:00:00.000,40.816925-0
-73.945889,2022-03-22T00:00:00.000,40.7132-0
