registration_id,filing_period_start_date,city_council_district,house_number,nta
205324,2018-11-01T00:00:00.000,15,2403,Belmont
383069,2020-11-01T00:00:00.000,44,1503,Borough Park
429558,2022-11-01T00:00:00.000,22,20-66,Astoria (North)-Ditmars-Steinway
225196,2022-11-01T00:00:00.000,15,455,Tremont
325710,2022-11-01T00:00:00.000,41,867,East Flatbush-Rugby
333538,2023-11-01T00:00:00.000,33,227,Williamsburg
353599,2021-11-01T00:00:00.000,36,75,Bedford-Stuyvesant (East)
205654,2022-11-01T00:00:00.000,8,270,Mott Haven-Port Morris
139411,2017-11-01T00:00:00.000,4,123,Upper East Side-Carnegie Hill
219535,2023-11-01T00:00:00.000,18,1423,Soundview-Bruckner-Bronx River
215771,2023-11-01T00:00:00.000,15,2162,Mount Hope
349557,2019-11-01T00:00:00.000,33,243,Greenpoint
204857,2020-11-01T00:00:00.000,17,1504,Crotona Park East
354047,2019-11-01T00:00:00.000,43,6703,Dyker Heights
344782,2022-11-01T00:00:00.000,38,202,Sunset Park (West)
305439,2022-11-01T00:00:00.000,35,499,Clinton Hill
372885,2021-11-01T00:00:00.000,36,396A,Bedford-Stuyvesant (West)
229244,2023-11-01T00:00:00.000,12,1166,Pelham Gardens
403684,2022-11-01T00:00:00.000,22,30-67,Astoria (Central)
204336,2022-11-01T00:00:00.000,11,31,Norwood
228515,2023-11-01T00:00:00.000,8,304,Mott Haven-Port Morris
219580,2021-11-01T00:00:00.000,15,2295,Belmont
202666,2022-11-01T00:00:00.000,16,1155,Concourse-Concourse Village
222507,2020-11-01T00:00:00.000,12,1034,Williamsbridge-Olinville
390461,2022-11-01T00:00:00.000,46,1088,Marine Park-Mill Basin-Bergen Beach
338271,2022-11-01T00:00:00.000,44,2309,Bensonhurst
383849,2022-11-01T00:00:00.000,33,892,Bedford-Stuyvesant (West)
357464,2021-11-01T00:00:00.000,36,389,Bedford-Stuyvesant (West)
116118,2022-11-01T00:00:00.000,6,210,Upper West Side (Central)
212176,2023-11-01T00:00:00.000,17,1518,Soundview-Bruckner-Bronx River
425462,2022-11-01T00:00:00.000,34,321,Ridgewood
226307,2020-11-01T00:00:00.000,12,3473,Eastchester-Edenwald-Baychester
428199,2022-11-01T00:00:00.000,20,46-40,East Flushing
409100,2022-11-01T00:00:00.000,21,104-15,North Corona
318491,2019-11-01T00:00:00.000,33,125,Greenpoint
388973,2019-11-01T00:00:00.000,47,3514,Coney Island-Sea Gate
369041,2022-11-01T00:00:00.000,47,3802,Coney Island-Sea Gate
350607,2023-11-01T00:00:00.000,37,431,Bushwick (West)
224743,2023-11-01T00:00:00.000,17,845,Crotona Park East
341654,2023-11-01T00:00:00.000,36,479,Bedford-Stuyvesant (East)
302996,2021-11-01T00:00:00.000,36,304,Bedford-Stuyvesant (East)
225008,2018-11-01T00:00:00.000,8,458,Mott Haven-Port Morris
385893,2022-11-01T00:00:00.000,34,1146,Bushwick (West)
347409,2022-11-01T00:00:00.000,35,29,Clinton Hill
424248,2022-11-01T00:00:00.000,25,92-02,Elmhurst
118956,2022-11-01T00:00:00.000,2,213,Gramercy
384406,2020-11-01T00:00:00.000,34,42,East Williamsburg
127528,2017-11-01T00:00:00.000,3,76,West Village
345757,2022-11-01T00:00:00.000,39,18,Carroll Gardens-Cobble Hill-Gowanus-Red Hook
322866,2022-11-01T00:00:00.000,39,339,Carroll Gardens-Cobble Hill-Gowanus-Red Hook
334281,2023-11-01T00:00:00.000,34,219,Bushwick (West)
407317,2019-11-01T00:00:00.000,34,1714,Ridgewood
401646,2022-11-01T00:00:00.000,32,84-09,Woodhaven
124111,2022-11-01T00:00:00.000,9,312,Harlem (South)
361540,2021-11-01T00:00:00.000,40,2323,Flatbush
215622,2022-11-01T00:00:00.000,14,1879,University Heights (South)-Morris Heights
142101,2018-11-01T00:00:00.000,2,539,East Village
228170,2021-11-01T00:00:00.000,17,1228,Crotona Park East
202513,2020-11-01T00:00:00.000,15,2365,Belmont
211318,2022-11-01T00:00:00.000,13,2194,Pelham Parkway-Van Nest
363318,2020-11-01T00:00:00.000,33,168,Greenpoint
422659,2022-11-01T00:00:00.000,21,106-17,Corona
340946,2023-11-01T00:00:00.000,35,832,Prospect Heights
426643,2020-11-01T00:00:00.000,31,214,Far Rockaway-Bayswater
105131,2022-11-01T00:00:00.000,7,550,Hamilton Heights-Sugar Hill
142330,2022-11-01T00:00:00.000,5,402,Upper East Side-Yorkville
381038,2023-11-01T00:00:00.000,42,527,East New York-New Lots
418448,2022-11-01T00:00:00.000,27,143-37,Jamaica
429880,2022-11-01T00:00:00.000,21,37-17,North Corona
337674,2022-11-01T00:00:00.000,34,907,East Williamsburg
309460,2021-11-01T00:00:00.000,44,2347,Bensonhurst
334952,2021-11-01T00:00:00.000,39,149,Carroll Gardens-Cobble Hill-Gowanus-Red Hook
500488,2021-11-01T00:00:00.000,49,45,Tompkinsville-Stapleton-Clifton-Fox Hills
306009,2019-11-01T00:00:00.000,33,161,Greenpoint
209732,2019-11-01T00:00:00.000,16,1304,Highbridge
371194,2022-11-01T00:00:00.000,37,94,Bushwick (East)
301508,2022-11-01T00:00:00.000,41,373,East Flatbush-Remsen Village
611270,2018-11-01T00:00:00.000,3,269,West Village
213002,2017-11-01T00:00:00.000,8,261,Mott Haven-Port Morris
208297,2018-11-01T00:00:00.000,17,1315,Hunts Point
133534,2020-11-01T00:00:00.000,7,314,Upper West Side (Central)
322333,2022-11-01T00:00:00.000,39,121,Carroll Gardens-Cobble Hill-Gowanus-Red Hook
403865,2019-11-01T00:00:00.000,30,861,Ridgewood
430476,2021-11-01T00:00:00.000,21,37-56,Jackson Heights
427777,2023-11-01T00:00:00.000,30,74-42,Glendale
362789,2022-11-01T00:00:00.000,39,88,Park Slope
307306,2019-11-01T00:00:00.000,44,1574,Borough Park
215043,2022-11-01T00:00:00.000,17,835,Morrisania
104493,2022-11-01T00:00:00.000,6,202,Upper West Side (Central)
346483,2022-11-01T00:00:00.000,36,1340,Crown Heights (North)
311893,2022-11-01T00:00:00.000,33,621,Greenpoint
110078,2022-11-01T00:00:00.000,2,381,Gramercy
371590,2021-11-01T00:00:00.000,39,253,Windsor Terrace-South Slope
209106,2022-11-01T00:00:00.000,14,59,University Heights (North)-Fordham
304339,2023-11-01T00:00:00.000,34,147,East Williamsburg
344767,2023-11-01T00:00:00.000,41,123,Bedford-Stuyvesant (East)
379669,2022-11-01T00:00:00.000,34,260,East Williamsburg
228477,2021-11-01T00:00:00.000,8,602,Mott Haven-Port Morris
225858,2022-11-01T00:00:00.000,15,578,Belmont
228289,2019-11-01T00:00:00.000,16,237,Highbridge
501172,2021-11-01T00:00:00.000,51,48,New Springville-Willowbrook-Bulls Head-Travis
346557,2022-11-01T00:00:00.000,39,232,Park Slope
425530,2022-11-01T00:00:00.000,24,164-46,Jamaica Hills-Briarwood
308173,2022-11-01T00:00:00.000,34,110,Williamsburg
349536,2020-11-01T00:00:00.000,33,212,Greenpoint
405791,2018-11-01T00:00:00.000,30,2030,Ridgewood
416766,2022-11-01T00:00:00.000,20,134-20,Queensboro Hill
131759,2022-11-01T00:00:00.000,1,41,SoHo-Little Italy-Hudson Square
324634,2023-11-01T00:00:00.000,38,1011,Sunset Park (East)-Borough Park (West)
128649,2022-11-01T00:00:00.000,3,403,Hell's Kitchen
100801,2022-11-01T00:00:00.000,5,229,Upper East Side-Yorkville
710573,2021-11-01T00:00:00.000,12,3311,Co-op City
339136,2021-11-01T00:00:00.000,36,163,Bedford-Stuyvesant (West)
115320,2022-11-01T00:00:00.000,9,2220,Harlem (South)
206281,2023-11-01T00:00:00.000,14,3004,Kingsbridge Heights-Van Cortlandt Village
351988,2023-11-01T00:00:00.000,43,102,Gravesend (West)
432461,2022-11-01T00:00:00.000,21,34-25,North Corona
427260,2019-11-01T00:00:00.000,31,209,Far Rockaway-Bayswater
133866,2023-11-01T00:00:00.000,8,157,East Harlem (North)
221499,2022-11-01T00:00:00.000,13,2160,Pelham Parkway-Van Nest
141110,2020-11-01T00:00:00.000,2,43,East Village
402234,2022-11-01T00:00:00.000,25,44-10,Elmhurst
322752,2022-11-01T00:00:00.000,33,204,Greenpoint
213946,2022-11-01T00:00:00.000,17,873,Morrisania
351393,2021-11-01T00:00:00.000,46,3021,Marine Park-Mill Basin-Bergen Beach
308540,2020-11-01T00:00:00.000,44,5200,Borough Park
305226,2021-11-01T00:00:00.000,40,274,East Flatbush-Erasmus
114215,2017-11-01T00:00:00.000,3,239,West Village
303752,2019-11-01T00:00:00.000,44,1442,Borough Park
432615,2022-11-01T00:00:00.000,31,112,Rockaway Beach-Arverne-Edgemere
122083,2022-11-01T00:00:00.000,4,302,Murray Hill-Kips Bay
388943,2020-11-01T00:00:00.000,48,340,Brighton Beach
304070,2021-11-01T00:00:00.000,40,198,Prospect Lefferts Gardens-Wingate
116793,2022-11-01T00:00:00.000,8,315,East Harlem (South)
119604,2022-11-01T00:00:00.000,2,120,East Village
382915,2022-11-01T00:00:00.000,48,3692,Madison
