total_days,days_present,days_absent,category
2908409,2668482,239927,All Students
3059254,2719606,339648,All Students
34766072,31204265,3561807,All Students
1573564,1484515,89049,All Students
1491443,1408695,82748,All Students
2626424,2381814,244610,All Students
47816179,43776805,4039374,All Students
3638959,3397188,241771,All Students
2814868,2612285,202583,All Students
2323622,2168318,155304,All Students
944498,864818,79680,All Students
3187795,2912397,275398,All Students
30721564,28168622,2552942,All Students
3179709,2929709,250000,All Students
3383227,3093680,289547,All Students
3812503,3588375,224128,All Students
2757947,2499770,258177,All Students
3569179,3348299,220880,All Students
3327540,3091349,236191,All Students
1273961,1176893,97068,All Students
2354846,2217394,137452,All Students
3730128,3428384,301744,All Students
3073063,2740328,332735,All Students
2650295,2424604,225691,All Students
1415265,1271754,143511,All Students
2987886,2660146,327740,All Students
1477710,1396015,81695,All Students
2757198,2533291,223907,All Students
3799740,3150335,649405,All Students
1388008,1274321,113687,All Students
22879175,20269088,2610087,All Students
3237442,2755412,482030,All Students
2219601,2029164,190437,All Students
1484554,1387528,97026,All Students
2691358,2415279,276079,All Students
2866423,2616423,250000,All Students
3757082,3157623,599459,All Students
21258215,19212172,2046043,All Students
3848842,3621344,227498,All Students
1633364,1502886,130478,All Students
3514441,3264722,249719,All Students
920172,852797,67375,All Students
3719429,3498447,220982,All Students
3583042,3364210,218832,All Students
2899810,2674520,225290,All Students
2354572,1974352,380220,All Students
3560830,3356054,204776,All Students
1610003,1505978,104025,All Students
2872228,2644367,227861,All Students
1363263,1270078,93185,All Students
3790027,3564084,225943,All Students
2292361,2048462,243899,All Students
1276442,1116569,159873,All Students
1500215,1351682,148533,All Students
3653764,3205000,448764,All Students
964442,909599,54843,All Students
3746662,3495120,251542,All Students
2339500,1949727,389773,All Students
806751,714263,92488,All Students
3707078,3414362,292716,All Students
1258590,1114855,143735,All Students
2510287,2098563,411724,All Students
2515249,2273168,242081,All Students
1593964,1495767,98197,All Students
1771422,1648200,123222,All Students
2225033,2061048,163985,All Students
3712878,3507479,205399,All Students
721878,629245,92633,All Students
1611005,1379026,231979,All Students
2462842,2183415,279427,All Students
2336983,1947875,389108,All Students
2494055,2087622,406433,All Students
3667899,3238188,429711,All Students
30839365,27220701,3618664,All Students
1495064,1390819,104245,All Students
1584518,1486367,98151,All Students
2417297,2039645,377652,All Students
2925790,2662096,263694,All Students
2006198,1796185,210013,All Students
572280,509798,62482,All Students
1386945,1283194,103751,All Students
942762,883766,58996,All Students
3865974,3620584,245390,All Students
2606230,2373017,233213,All Students
3350912,3102558,248354,All Students
3568240,3116688,451552,All Students
3672184,3438395,233789,All Students
1584118,1442540,141578,All Students
2628644,2428923,199721,All Students
963155,911588,51567,All Students
1964561,1702625,261936,All Students
1495060,1411188,83872,All Students
2163920,1842001,321919,All Students
3373592,3134435,239157,All Students
661844,583873,77971,All Students
1489318,1319401,169917,All Students
2119434,1769720,349714,All Students
1526789,1404594,122195,All Students
651355,584209,67146,All Students
1551247,1428811,122436,All Students
1599180,1514868,84312,All Students
3288174,2834549,453625,All Students
24418481,22282146,2136335,All Students
