dbn,location,full_time,ratio_gc_only,total_gc_sw,ratio_gc_sw
03M256,03M256 - M.S. 256 ACADEMIC & ATHLETIC EXCELLENCE,,142.0,0.6,142.0
02M006,02M006 - P.S. 006 LILLIE D. BLAKE,1.0,363.0,2.4,242.0
01M034,01M034 - P.S. 034 FRANKLIN D. ROOSEVELT,1.0,198.0,1.0,198.0
02M089,02M089 - P.S. 89,,442.0,0.8,442.0
03M084,03M084 - P.S. 084 LILLIAN WEBER,,,1.0,521.0
02M630,02M630 - ART AND DESIGN HIGH SCHOOL,5.0,211.0,6.4,185.0
01M015,01M015 - P.S. 015 ROBERTO CLEMENTE,2.0,92.0,2.0,92.0
03M299,"03M299 - HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",2.0,224.0,3.0,149.0
04M007,04M007 - P.S. 007 SAMUEL STERN,,,1.0,385.0
04M013,04M013 - J.H.S. 013 JACKIE ROBINSON,,,0.4,37.0
02M300,"02M300 - URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,",1.0,414.0,2.0,207.0
02M255,02M255 - M.S. 255 SALK SCHOOL OF SCIENCE,1.0,365.0,1.0,365.0
02M183,02M183 - P.S. 183 ROBERT L. STEVENSON,1.0,595.0,2.0,298.0
03M242,03M242 - P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,1.0,221.0,1.0,221.0
03M145,"03M145 - P.S. 145, THE BLOOMINGDALE SCHOOL",,391.0,1.6,196.0
02M225,02M225 - ELLA BAKER SCHOOL,1.0,323.0,1.0,323.0
03M199,03M199 - P.S. 199 JESSIE ISADOR STRAUS,,,2.0,445.0
02M615,02M615 - CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,2.0,147.0,3.1,110.0
02M276,02M276 - BATTERY PARK CITY SCHOOL,1.0,857.0,2.0,429.0
02M234,02M234 - P.S. 234 INDEPENDENCE SCHOOL,,,1.0,729.0
01M361,01M361 - THE CHILDREN'S WORKSHOP SCHOOL,,,0.6,255.0
02M135,02M135 - THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,1.0,193.0,1.0,193.0
01M020,01M020 - P.S. 020 ANNA SILVER,1.0,633.0,2.0,317.0
02M150,02M150 - P.S. 150,,184.0,0.6,184.0
02M002,02M002 - P.S. 002 MEYER LONDON,1.0,380.0,1.8,380.0
02M033,02M033 - P.S. 033 CHELSEA PREP,1.0,317.0,2.2,212.0
03M191,03M191 - P.S. 191 AMSTERDAM,2.0,245.0,4.0,123.0
02M288,02M288 - FOOD AND FINANCE HIGH SCHOOL,2.0,214.0,3.0,143.0
02M281,02M281 - THE RIVER SCHOOL,,104.0,0.2,104.0
02M393,02M393 - BUSINESS OF SPORTS SCHOOL,1.0,449.0,2.0,225.0
03M208,03M208 - P.S. 208 ALAIN L. LOCKE,,157.0,0.4,157.0
02M124,02M124 - P.S. 124 YUNG WING,,,1.0,864.0
